RTECS_ID,CAS_RN,SMILES,bird - wild_oral_LD50
50077,1950/7/7,COC12C(COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1CC1NC12,4.649116683
50373,50-37-3,CCN(CC)C(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1,5.254521223
50555,50-55-5,COC(=O)C1C2CC3c4[nH]c5cc(OC)ccc5c4CCN3CC2CC(OC(=O)c2cc(OC)c(OC)c(OC)c2)C1OC,3.78439474
50760,50-76-0,Cc1ccc(C(=O)NC2C(=O)NC(C(C)C)C(=O)N3CCCC3C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC2C)c2c1OC1C(C)C(=O)C(N)C(C(=O)NC3C(=O)NC(C(C)C)C(=O)N4CCCC4C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC3C)C1N2,6.100882435
51183,51-18-3,C1CN1c1nc(N2CC2)nc(N2CC2)n1,4.852252526
51285,51-28-5,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,4.151126949
51730,51-73-0,C(#CCN1CCCC1)CN1CCCC1,3.283992835
52244,52-24-4,S=P(N1CC1)(N1CC1)N1CC1,4.527239903
52460,52-46-0,C1CN1P1(N2CC2)=NP(N2CC2)(N2CC2)=NP(N2CC2)(N2CC2)=N1,3.197122482
52608,52-60-8,CCOP(=S)(OCC)Oc1cc(C)c(SC)c(C)c1,4.882464904
52686,52-68-6,COP(=O)(OC)C(O)C(Cl)(Cl)Cl,3.842469242
52857,52-85-7,COP(=S)(OC)Oc1ccc(S(=O)(=O)N(C)C)cc1,5.257075636
54966,54-96-6,Nc1ccncc1N,3.162890851
55378,55-37-8,COP(=S)(OC)Oc1cc(C)c(SC)c(C)c1,4.465920924
55389,55-38-9,COP(=S)(OC)Oc1ccc(SC)c(C)c1,5.330624469
55981,55-98-1,CS(=O)(=O)OCCCCOS(C)(=O)=O,3.641738676
56382,56-38-2,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,5.34043666
56724,56-72-4,CCOP(=S)(OCC)Oc1ccc2c(C)c(Cl)c(=O)oc2c1,5.30921256
58082,1958/8/2,Cn1c(=O)c2c(ncn2C)n(C)c1=O,2.788548725
58366,58-36-6,c1ccc2c(c1)Oc1ccccc1[As]2O[As]1c2ccccc2Oc2ccccc21,4.320694004
60515,60-51-5,CNC(=O)CSP(=S)(OC)OC,4.540790035
60991,60-99-1,COc1ccc2c(c1)N(CC(C)CN(C)C)c1ccccc1S2,3.516510254
61121,1961/12/1,CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1,3.912640784
62737,62-73-7,COP(=O)(OC)OC=C(Cl)Cl,4.265163862
62748,62-74-8,O=C(O)CF,4.517580045
63252,63-25-2,CNC(=O)Oc1cccc2ccccc12,3.555493909
64006,64-00-6,CNC(=O)Oc1cccc(C(C)C)c1,4.780960535
64551,64-55-1,CCC(C)C(C)(COC(N)=O)COC(N)=O,3.366011817
64868,64-86-8,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,4.101767732
66273,66-27-3,COS(C)(=O)=O,3.292185097
66320,66-32-0,O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46,4.320170961
67685,67-68-5,CS(C)=O,2.892851175
70553,70-55-3,Cc1ccc(S(N)(=O)=O)cc1,3.358495766
70699,70-69-9,CCC(=O)c1ccc(N)cc1,3.049896806
71363,71-36-3,CCCCO,1.47201298
72480,72-48-0,O=C1c2ccccc2C(=O)c2c1ccc(O)c2O,2.880911232
72560,72-56-0,CCc1ccc(C(c2ccc(CC)cc2)C(Cl)Cl)cc1,1.533269171
76744,76-74-4,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,3.479577229
76766,76-76-6,CCC1(C(C)C)C(=O)NC(=O)NC1=O,3.916940612
77269,77-26-9,C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O,3.475690554
79196,79-19-6,NNC(N)=S,4.000662867
79936,79-93-6,CC(C)(O)C(C)(O)c1ccc(Cl)cc1,3.826665883
86408,86-40-8,C[n+]1c2cc(N)ccc2cc2ccc(N)cc21,3.601067786
86500,86-50-0,COP(=S)(OC)SCn1nnc2ccccc2c1=O,4.572094943
86817,86-81-7,COc1cc(C=O)cc(OC)c1OC,2.667390979
87478,87-47-8,Cc1cc(OC(=O)N(C)C)n(-c2ccccc2)n1,3.798601072
87605,87-60-5,Cc1c(N)cccc1Cl,2.776317974
87661,87-66-1,Oc1cccc(O)c1O,3.225691706
88686,88-68-6,NC(=O)c1ccccc1N,2.134030405
88744,88-74-4,Nc1ccccc1[N+](=O)[O-],2.265214172
88857,88-85-7,CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,4.529341774
89690,89-69-0,O=[N+]([O-])c1cc(Cl)c(Cl)cc1Cl,3.354964654
90040,90-04-0,COc1ccccc1N,2.465139598
90506,90-50-6,COc1cc(C=CC(=O)O)cc(OC)c1OC,2.751700407
90948,90-94-8,CN(C)c1ccc(C(=O)c2ccc(N(C)C)cc2)cc1,3.428717783
91087,1991/8/7,Cc1c(N=C=O)cccc1N=C=O,3.240945922
93107,1993/10/7,O=C(O)c1ccc2ccccc2n1,3.238475165
94097,1994/9/7,CCOC(=O)c1ccc(N)cc1,3.469800984
95523,95-52-3,Cc1ccccc1F,3.041909583
95545,95-54-5,Nc1ccccc1N,2.910150788
95647,95-64-7,Cc1ccc(N)cc1C,4.335253673
95692,95-69-2,Cc1cc(Cl)ccc1N,3.276005057
95761,95-76-1,Nc1ccc(Cl)c(Cl)c1,2.834817601
96242,96-24-2,OCC(O)CCl,3.668771114
96991,96-99-1,O=C(O)c1ccc(Cl)c([N+](=O)[O-])c1,3.429353859
97176,97-17-6,CCOP(=S)(OCC)Oc1ccc(Cl)cc1Cl,4.3524003
98113,1998/11/3,O=S(=O)(O)c1ccccc1,3.324084817
98986,98-98-6,O=C(O)c1ccccn1,2.839876857
99058,1999/5/8,Nc1cccc(C(=O)O)c1,2.262096548
99650,99-65-0,O=[N+]([O-])c1cccc([N+](=O)[O-])c1,3.602339091
99923,99-92-3,CC(=O)c1ccc(N)cc1,3.007015821
100016,100-01-6,Nc1ccc([N+](=O)[O-])cc1,3.265214172
100221,100-22-1,CN(C)c1ccc(N(C)C)cc1,3.84076232
100436,100-43-6,C=Cc1ccncc1,3.021767973
100516,100-51-6,OCc1ccccc1,3.033986365
102567,102-56-7,COc1ccc(OC)c(N)c1,3.1852049
104461,104-46-1,CC=Cc1ccc(OC)cc1,2.671175773
106478,106-47-8,Nc1ccc(Cl)cc1,3.105762173
106490,106-49-0,Cc1ccc(N)cc1,3.406767203
107493,107-49-3,CCOP(=O)(OCC)OP(=O)(OCC)OCC,5.348737594
108349,108-34-9,CCOP(=O)(OCC)Oc1cc(C)[nH]n1,3.767512064
108441,108-44-1,Cc1cccc(N)c1,2.646201128
108452,108-45-2,Nc1cccc(N)c1,2.284266114
108894,108-89-4,Cc1ccncc1,2.343772489
108985,108-98-5,Sc1ccccc1,3.661895468
108996,108-99-6,Cc1cccnc1,1.96908494
109002,109-00-2,Oc1cccnc1,2.10312382
109091,109-09-1,Clc1ccccn1,2.055175664
110656,110-65-6,OCC#CCO,3.059891444
113188,113-18-8,C#CC(O)(C=CCl)CC,3.536922006
113699,113-69-9,CCN(CC)C(=O)C1CN2CCc3cc(OC)c(OC)cc3C2CC1OC(C)=O,3.606926041
114261,114-26-1,CNC(=O)Oc1ccccc1OC(C)C,4.740871493
115297,115-29-7,O=S1OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,4.065450597
115446,115-44-6,C=CCC1(C(C)CC)C(=O)NC(=O)NC1=O,3.475690554
115902,115-90-2,CCOP(=S)(OCC)Oc1ccc(S(C)=O)cc1,6.108848204
116063,116-06-3,CNC(=O)ON=CC(C)(C)SC,5.40430449
118923,118-92-3,Nc1ccccc1C(=O)O,2.262096548
119211,119-21-1,COc1cc(OC)c([N+](=O)[O-])cc1Cl,3.337674857
119324,119-32-4,Cc1ccc(N)cc1[N+](=O)[O-],4.677130541
119380,119-38-0,Cc1cc(OC(=O)N(C)C)n(C(C)C)n1,4.390329103
120796,120-79-6,CNC(=S)C(=S)NC,4.295951015
121755,121-75-5,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,2.916932725
122101,122-10-1,COC(=O)C=C(CC(=O)OC)OP(=O)(OC)OC,5.472810319
122145,122-14-5,COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(C)c1,4.401460072
123308,123-30-8,Nc1ccc(O)cc1,3.28819988
130154,130-15-4,O=C1C=CC(=O)c2ccccc21,3.075234032
137268,137-26-8,CN(C)C(=S)SSC(=S)N(C)C,2.90389269
140103,140-10-3,O=C(O)C=Cc1ccccc1,3.170733901
140567,140-56-7,CN(C)c1ccc(N=NS(=O)(=O)O)cc1,4.105057677
141662,141-66-2,COP(=O)(OC)OC(C)=CC(=O)N(C)C,5.375100037
143339,143-33-9,N#C[Na],4.088206988
152169,152-16-9,CN(C)P(=O)(OP(=O)(N(C)C)N(C)C)N(C)C,4.415357362
290879,290-87-9,c1ncncn1,2.908903027
297789,297-78-9,ClC1=C(Cl)C2(Cl)C3C(Cl)OC(Cl)C3C1(Cl)C2(Cl)Cl,5.614637827
297972,297-97-2,CCOP(=S)(OCC)Oc1cnccn1,5.011063395
298000,298-00-0,COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1,4.721334031
298022,298-02-2,CCOP(=S)(OCC)SCSCC,5.41561763
298044,298-04-4,CCOP(=S)(OCC)SCCSCC,5.05819344
299843,299-84-3,COP(=S)(OC)Oc1cc(Cl)c(Cl)cc1Cl,3.604157176
299854,299-85-4,COP(S)(=NC(C)C)Oc1ccc(Cl)cc1Cl,3.497170241
299865,299-86-5,CNP(=O)(OC)Oc1ccc(C(C)(C)C)cc1Cl,3.464958761
