RTECS_ID,CAS_RN,SMILES,guinea pig_intraperitoneal_LD50
50497,50-49-7,CN(C)CCCN1c2ccccc2CCc2ccccc21,3.518382316
50533,50-53-3,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,3.515144872
51285,51-28-5,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,3.81791227
51456,51-45-6,NCCc1cnc[nH]1,4.364943343
51558,51-55-8,CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,2.859401017
52686,52-68-6,COP(=O)(OC)C(O)C(Cl)(Cl)Cl,2.933549711
53861,53-86-1,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,3.398295802
54853,54-85-3,NNC(=O)c1ccncc1,2.847135867
55185,55-18-5,CCN(CC)N=O,2.766145049
55389,55-38-9,COP(=S)(OC)Oc1ccc(SC)c(C)c1,2.953206127
56100,56-10-0,N=C(N)SCCN,2.679006727
56382,56-38-2,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,4.385107055
56724,56-72-4,CCOP(=S)(OCC)Oc1ccc2c(C)c(Cl)c(=O)oc2c1,3.413504526
57374,57-37-4,CCN(CC)CCOC(=O)C(O)(c1ccccc1)c1ccccc1,3.51511051
57523,57-52-3,CC[Sn](CC)(CC)OS(=O)(=O)O[Sn](CC)(CC)CC,5.228620188
58548,58-54-8,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,4.311382964
58582,58-58-2,COc1ccc(CC(N)C(=O)NC2C(CO)OC(n3cnc4c(N(C)C)ncnc43)C2O)cc1,3.21561638
59018,1959/1/8,NCC1OC(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(O)C(O)C1O,2.543846697
59325,59-32-5,CN(C)CCN(Cc1ccc(Cl)cc1)c1ccccn1,3.428689611
60128,1960/12/8,OCCc1ccccc1,2.785923914
60877,60-87-7,CC(CN1c2ccccc2Sc2ccccc21)N(C)C,3.649709331
62748,62-74-8,O=C(O)CF,5.314836591
62759,62-75-9,CN(C)N=O,3.732997994
64040,64-04-0,NCCc1ccccc1,2.782411704
64119,1964/11/9,Cc1ccc(CC(C)N)cc1,3.872846514
64175,64-17-5,CCO,1.130145269
64868,64-86-8,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,5.90248481
66819,66-81-9,CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1,3.671098756
67561,67-56-1,CO,0.954757864
67630,67-63-0,CC(C)O,1.370605601
69238,69-23-8,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,3.165337641
71238,71-23-8,CCCO,1.696778632
71410,71-41-0,CCCCCO,2.156347201
71636,71-63-6,CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,5.628360544
74884,74-88-4,CI,3.444531565
74942,74-94-2,CNC,2.906620266
75036,1975/3/6,CCI,2.685174062
75127,1975/12/7,NC=O,1.556698011
76755,76-75-5,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,3.624764427
78400,78-40-0,CCOP(=O)(OCC)OCC,2.357353494
78488,78-48-8,CCCCSP(=O)(SCCCC)SCCCC,3.32155977
78831,78-83-1,CC(C)CO,1.790409981
78922,78-92-2,CCC(C)O,1.841788569
79196,79-19-6,NNC(N)=S,3.579493017
80499,80-49-9,C[N+]1(C)C2CCC1CC(OC(=O)C(O)c1ccccc1)C2,3.383789942
80626,80-62-6,C=C(C)C(=O)OC,1.724046023
80773,80-77-3,CN1C(=O)CCS(=O)(=O)C1c1ccc(Cl)cc1,2.659188599
83749,83-74-9,CCC1CC2CC3c4[nH]c5ccc(OC)cc5c4CCN(C2)C13,3.578165221
85449,85-44-9,O=C1OC(=O)c2ccccc21,3.170604907
86500,86-50-0,COP(=S)(OC)SCn1nnc2ccccc2c1=O,3.899453878
86884,86-88-4,NC(=S)Nc1cccc2ccccc12,2.761889195
87081,1987/8/1,CC1(C)SC2C(NC(=O)COc3ccccc3)C(=O)N2C1C(=O)O,2.629687322
95045,1995/4/5,CC=C(CC)C(=O)NC(N)=O,2.152246637
96844,96-84-4,CCC(Cc1c(I)cc(I)c(O)c1I)C(=O)O,3.00145891
97950,97-95-0,CCC(CC)CO,2.356140634
97994,97-99-4,OCC1CCCO1,2.407106098
101406,101-40-6,CNC(C)CC1CCCCC1,3.261710581
106898,106-89-8,ClCC1CO1,2.894377086
107073,107-07-3,OCCCl,2.976452478
107084,107-08-4,CCCI,2.455914073
107120,107-12-0,CCC#N,3.740993932
107200,107-20-0,O=CCCl,4.492941341
108101,108-10-1,CC(=O)CC(C)C,2.097608665
108883,108-88-3,Cc1ccccc1,2.265482917
110510,110-51-0,[BH3-][n+]1ccccc1,3.235799563
111228,111-22-8,O=[N+]([O-])OCCOCCOCCO[N+](=O)[O-],2.535417101
112561,112-56-1,CCCCOCCOCCSC#N,3.383873046
113984,113-98-4,CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O,2.95139077
115093,115-09-3,C[Hg]Cl,4.554710621
115264,115-26-4,CN(C)P(=O)(F)N(C)C,4.789933081
115902,115-90-2,CCOP(=S)(OCC)Oc1ccc(S(C)=O)cc1,4.756665686
117511,117-51-1,CCCCCCc1cc(O)c2c(c1)OC(C)(C)C1=C2CC(C)CC1,2.58711116
119415,119-41-5,CCOC(=O)COc1ccc2c(=O)cc(-c3ccccc3)oc2c1,2.209959804
121324,121-32-4,CCOc1cc(C=O)ccc1O,2.16366345
121755,121-75-5,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,3.086023425
126170,126-17-0,CC1CCC2(NC1)OC1CC3C4CC=C5CC(O)CCC5(C)C4CCC3(C)C1C2C,3.603791604
126750,126-75-0,CCOP(=O)(OCC)SCCSCC,4.671837371
130869,130-86-9,CN1CCc2cc3c(cc2C(=O)Cc2ccc4c(c2C1)OCO4)OCO3,3.483776603
140567,140-56-7,CN(C)c1ccc(N=NS(=O)(=O)O)cc1,3.883208928
147240,147-24-0,CN(C)CCOC(c1ccccc1)c1ccccc1,3.532093307
148538,148-53-8,COc1cccc(C=O)c1O,2.580209111
152169,152-16-9,CN(C)P(=O)(OP(=O)(N(C)C)N(C)C)N(C)C,4.456750047
153184,153-18-4,CC1OC(OCC2OC(Oc3c(-c4ccc(O)c(O)c4)oc4cc(O)cc(O)c4c3=O)C(O)C(O)C2O)C(O)C(O)C1O,2.484670611
154698,154-69-8,CN(C)CCN(Cc1ccccc1)c1ccccn1,3.600981399
257078,257-07-8,C1=Nc2ccccc2Oc2ccccc21,2.624945542
298044,298-04-4,CCOP(=S)(OCC)SCCSCC,4.593306642
301111,301-11-1,CCCCCCCCCCCC(=O)OCCSC#N,2.285272896
301122,301-12-2,CCS(=O)CCSP(=O)(OC)OC,3.914325524
327980,327-98-0,CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl,4.108257901
329895,329-89-5,NC(=O)c1ccc(N)nc1,4.137170479
335762,335-76-2,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3.53493776
404820,404-82-0,CCNC(C)Cc1cccc(C(F)(F)F)c1,3.364102399
404864,404-86-4,COc1cc(CNC(=O)CCCCC=CC(C)C)ccc1O,5.443501944
453189,453-18-9,COC(=O)CF,5.420045382
456597,456-59-7,CC1CC(OC(=O)C(O)c2ccccc2)CC(C)(C)C1,2.047048646
