RTECS_ID,CAS_RN,SMILES,guinea pig_intravenous_LD50
50679,50-67-9,NCCc1c[nH]c2ccc(O)cc12,4.138842763
51058,1951/5/8,CCN(CC)CCOC(=O)c1ccc(N)cc1,3.665921113
51069,1951/6/9,CCN(CC)CCNC(=O)c1ccc(N)cc1,2.924521109
51218,51-21-8,O=c1[nH]cc(F)c(=O)[nH]1,3.716263842
51456,51-45-6,NCCc1cnc[nH]1,5.545376958
53214,53-21-4,COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,4.318734426
53861,53-86-1,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,3.298359335
54853,54-85-3,NNC(=O)c1ccncc1,2.794747798
56542,56-54-2,C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,3.755238119
56757,56-75-7,O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,2.761191942
57943,57-94-3,COc1cc2c3cc1Oc1cc(ccc1O)CC1c4c(cc(OC)c(O)c4Oc4ccc(cc4)CC3N(C)CC2)CC[N+]1(C)C,6.965602888
58151,58-15-1,Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,3.250230403
58719,58-71-9,CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)Cc3cccs3)C2SC1,3.422092781
59303,59-30-3,Nc1nc(=O)c2nc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cnc2[nH]1,3.555060369
60311,60-31-1,CC(=O)OCC[N+](C)(C)C,4.278486352
60877,60-87-7,CC(CN1c2ccccc2Sc2ccccc21)N(C)C,3.924096
61121,1961/12/1,CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1,5.044948869
63569,63-56-9,COc1ccc(CN(CCN(C)C)c2ncccn2)cc1,3.874877805
66762,66-76-2,O=c1oc2ccccc2c(O)c1Cc1c(O)c2ccccc2oc1=O,3.755873564
67038,1967/3/8,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1,3.277710696
68122,1968/12/2,CN(C)C=O,1.842698371
69056,1969/5/6,CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12,4.455895039
70224,70-22-4,O=C1CCCN1CC#CCN1CCCC1,6.104961056
73789,73-78-9,CCN(CC)CC(=O)Nc1c(C)cccc1C,3.980685901
74908,74-90-8,C#N,4.276445735
76062,1976/6/2,O=[N+]([O-])C(Cl)(Cl)Cl,4.592586475
82984,82-98-4,CCN1CCCC(OC(=O)C(c2ccccc2)c2ccccc2)C1,4.305668375
91805,91-80-5,CN(C)CCN(Cc1cccs1)c1ccccn1,4.252942759
104314,104-31-4,CCCCNc1ccc(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)cc1,5.137404467
112276,112-27-6,OCCOCCOCCO,1.151288883
113984,113-98-4,CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O,3.042819744
121824,121-82-4,O=[N+]([O-])N1CN([N+](=O)[O-])CN([N+](=O)[O-])C1,3.94864179
122145,122-14-5,COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(C)c1,3.393634735
125519,125-51-9,CC[N+]1(C)CCCC(OC(=O)C(O)(c2ccccc2)c2ccccc2)C1,4.207156804
132934,132-93-4,CC(Oc1ccccc1)C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,3.051060769
136470,136-47-0,CCCCNc1ccc(C(=O)OCCN(C)C)cc1,4.820150537
136696,136-69-6,CC(Cc1ccc2c(c1)OCO2)NCC(O)c1ccc(O)c(O)c1,3.92924596
144832,144-83-2,Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1,2.555980334
298000,298-00-0,COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1,3.721334031
302272,302-27-2,CCN1CC2(COC)C(O)CC(OC)C34C5CC6(O)C(OC)C(O)C(OC(C)=O)(C5C6OC(=O)c5ccccc5)C(C(OC)C23)C14,7.031910474
318989,318-98-9,CC(C)NCC(O)COc1cccc2ccccc12,3.99891123
466068,466-06-8,CC1OC(OC2C=C3CCC4C(CCC5(C)C(c6ccc(=O)oc6)CCC45O)C3(C)CC2)C(O)C(O)C1O,6.277656685
466240,466-24-0,CCN1CC2(COC)C(O)CC(OC)C34C5CC6(O)C(OC)C(O)C(O)(C5C6OC(=O)c5ccccc5)C(C(OC)C23)C14,4.400616409
508758,508-75-8,CC1OC(OC2CCC3(C=O)C4CCC5(C)C(C6=CC(=O)OC6)CCC5(O)C4CCC3(O)C2)C(O)C(O)C1O,6.473699972
509206,509-20-6,CCN1CC2(COC)C(O)CC(OC)C34C5CC6(O)C(O)C5C(O)(C(O)C6OC)C(C(OC)C23)C14,3.259290605
532763,532-76-3,CC(CNC1CCCCC1)OC(=O)c1ccccc1,4.138493829
533288,533-28-8,CC1CCCCN1CCCOC(=O)c1ccccc1,4.161974925
607750,607-75-0,CN(C)CCCNC(=O)COc1ccc2c(=O)cc(-c3ccccc3)oc2c1,3.100283796
611574,611-57-4,O=C(COc1ccc2c(=O)cc(-c3ccccc3)oc2c1)NCCCNC1CCCCC1,4.336995767
630604,630-60-4,CC1OC(OC2CC(O)C3(CO)C4C(O)CC5(C)C(C6=CC(=O)OC6)CCC5(O)C4CCC3(O)C2)C(O)C(O)C1O,6.408967792
637321,637-32-1,CC(C)NC(=N)N=C(N)Nc1ccc(Cl)cc1,3.807676771
652788,652-78-8,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2c(OC3OC(CO)C(O)C(O)C3O)c(O)cc(O)c12,4.261627361
848533,848-53-3,CN1CCCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,4.21936389
950356,950-35-6,COP(=O)(OC)Oc1ccc([N+](=O)[O-])cc1,5.050525633
1154127,1154-12-7,CN(C)CCC=C1c2ccccc2CSc2sccc21,4.07442479
1163366,1163-36-6,Clc1ccc(Cn2c(CN3CCCC3)nc3ccccc32)cc1,4.098035048
1722629,1722-62-9,Cc1cccc(C)c1NC(=O)C1CCCCN1C,4.090529623
2255176,2255-17-6,COP(=O)(OC)Oc1ccc([N+](=O)[O-])c(C)c1,3.911773311
2270408,2270-40-8,CC(=O)OCC12CCC(C)=CC1OC1C(O)C(OC(C)=O)C2(C)C12CO2,5.563967318
2508727,2508-72-7,c1ccc(CN(CC2=NCCN2)c2ccccc2)cc1,4.190839348
2691410,2691-41-0,O=[N+]([O-])N1CN([N+](=O)[O-])CN([N+](=O)[O-])CN([N+](=O)[O-])C1,4.024362504
2779557,2779-55-7,COc1ccc(C=NNC(=O)c2ccncc2)c(C(=O)O)c1OC,2.304355504
2784283,2784-28-3,CNC(C)C(S)c1ccccc1,3.494979392
2820511,2820-51-1,CN1CCCC1c1cccnc1,4.556934716
2870715,2870-71-5,C[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,3.411576908
3015712,3015-71-2,CCOP(=O)(CCCc1ccccc1)Oc1ccc([N+](=O)[O-])cc1,5.598744509
3015723,3015-72-3,CCOP(=O)(CCCCc1ccccc1)Oc1ccc([N+](=O)[O-])cc1,6.387138896
3015756,3015-75-6,CCCCCP(=O)(OCC)Oc1ccc([N+](=O)[O-])cc1,6.003297673
3015778,3015-77-8,CCCCCCCP(=O)(OCC)Oc1ccc([N+](=O)[O-])cc1,5.313243918
3015789,3015-78-9,CCCCCCCCP(=O)(OCC)Oc1ccc([N+](=O)[O-])cc1,5.120275532
3118614,3118-61-4,O=C(NCCCNC1CCCCC1)C(O)c1ccccc1,3.559917093
3384916,3384-91-6,CCOP(=O)(CCc1ccccc1)Oc1ccc([N+](=O)[O-])cc1,5.562112861
3544943,3544-94-3,O=C(O)CCC(=O)OCC(NC(=O)C(Cl)Cl)C(O)c1ccc([N+](=O)[O-])cc1,2.62655079
3567122,12-02-67,CCN1CCCC(OC(=O)C(O)(c2ccccc2)c2ccccc2)C1,4.252003021
4091503,4091-50-3,CNCCc1ccc(OC)cc1,5.107514963
4185471,4185-47-1,O=[N+]([O-])OCCN(CCO[N+](=O)[O-])[N+](=O)[O-],3.982502795
4394007,4394-00-7,O=C(O)c1cccnc1Nc1cccc(C(F)(F)F)c1,3.210040078
5152307,5152-30-7,COc1ccc2cc1Oc1cc3c(cc1OC)CC[N+](C)(C)C3Cc1ccc(cc1)Oc1c(OC)c(OC)cc3c1C(C2)[N+](C)(C)CC3,4.11583143
5892159,5892-15-9,CCCCN(CCCC)CCCOC(=O)c1ccc(N)cc1,4.444966941
5987826,5987-82-6,CCCCOc1cc(C(=O)OCCN(CC)CC)ccc1N,4.865896059
6011138,6011-13-8,CCN(CC)CCNC(=O)c1ccncc1,2.276803402
6055192,6055-19-2,O=P1(N(CCCl)CCCl)NCCCO1,2.814728584
6903793,6903-79-3,CN(CCOP(=O)(O)O)C(=N)N,2.118663666
7009496,7009-49-6,O=C(O)CC1(CO)CCCCC1,4.758972417
7084073,07-03-84,CN(C)CCN(Cc1cccs1)c1ccccc1,3.938529732
10018787,10018-78-7,O=C(O)CCC(=O)OC1CCCCC1,2.20462781
10368204,10368-20-4,CCCCCCCCCCP(=O)(OCC)Oc1ccc([N+](=O)[O-])cc1,5.10507075
11005633,11005-63-3,COC1CC(OC2CCC3(C=O)C(O)(CCC4(C)C3(C)CCC3(C)C(C5=CC(=O)OC5)CCC34O)C2)OC(C)C1OC1CC(CO)C(O)C(O)C1O,6.436042435
11072938,11072-93-8,CC=C(C)C(=O)OC1C(OC(C)=O)C2(CO)C(O)CC3(C)C(=CCC4C5(C)CCC(OC6OC(C(=O)O)C(OC7OC(CO)C(O)C(O)C7O)C(O)C6OC6OC(CO)C(O)C(O)C6O)C(C)(CO)C5CCC43C)C2CC1(C)C,5.033977844
12712286,12712-28-6,OCC(CO)(CCl)CCl,2.459992746
13018503,13018-50-3,CN1CCC(CNC(=O)CCCCCCCCC(=O)NCC2(c3ccccc3)CCN(C)CC2)(c2ccccc2)CC1,5.157497566
13754568,13754-56-8,CC(CN1c2ccccc2S(=O)(=O)c2ccccc21)N(C)C,4.597182174
18642109,18642-10-9,CC(=C(CCO)SSC(CCO)=C(C)N(C=O)Cc1cnc(C)nc1N)N(C=O)Cc1cnc(C)nc1N,2.833839946
19683988,19683-98-8,COC1C(=O)CCC2(CO2)C1(O)C1(C)OC1CC=C(C)C,4.626725942
20830813,20830-81-3,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(C)=O)CC3OC1CC(N)C(O)C(C)O1,4.944092619
20977053,20977-05-3,CC(=O)OC(C)C(C)C(=O)OCC12C3CC4(C)C(=CCC5C6(C)CCC(OC7OC(C(=O)O)C(OC8OC(CO)C(O)C(O)C8O)C(O)C7OC7OCC(O)C(O)C7O)C(C)(CO)C6CCC54C)C1CC(C)(C)C(O3)C2O,5.081412383
21259201,21259-20-1,CC(=O)OCC12CC(OC(=O)CC(C)C)C(C)=CC1OC1C(O)C(OC(C)=O)C2(C)C12CO2,5.554933431
21590250,21590-25-0,CC1OC(OC2C=C3CCC4C(CCC5(C)C(c6ccc(=O)oc6)CCC45O)C3(C)CC2)C2OC(C)(C)OC2C1O,6.241877622
21898191,21898-19-1,CC(C)(C)NCC(O)c1cc(Cl)c(N)c(Cl)c1,4.342414847
23883456,23883-45-6,Cc1ncc(C[n+]2csc(CCOP(=O)(O)OP(=O)(O)O)c2C)c(N)n1,3.103670998
23984170,23984-17-0,CCC(=O)OC1C2CCC3C(C)(O)C4CC(O)C(C)(C)C4(O)C(O)CC13CC2(C)O,7.027909955
24526645,24526-64-5,CN1Cc2c(N)cccc2C(c2ccccc2)C1,2.955582075
26116881,26116-88-1,CC(=O)OC1C2CCC3C(C)(O)C4C5OC5C(C)(C)C4(O)C(OC(C)=O)CC13CC2(C)O,5.164299117
