RTECS_ID,CAS_RN,SMILES,guinea pig_intravenous_LDLo
50340,50-34-0,CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc21)C(C)C,3.85886378
50420,50-42-0,CCN(CC)CCOC(=O)C(c1ccccc1)c1ccccc1,3.648255433
50497,50-49-7,CN(C)CCCN1c2ccccc2CCc2ccccc21,3.555706639
50555,50-55-5,COC(=O)C1C2CC3c4[nH]c5cc(OC)ccc5c4CCN3CC2CC(OC(=O)c2cc(OC)c(OC)c(OC)c2)C1OC,4.580274757
51058,1951/5/8,CCN(CC)CCOC(=O)c1ccc(N)cc1,3.674521285
51796,51-79-6,CCOC(N)=O,2.046758471
53214,53-21-4,COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,4.180925457
54717,54-71-7,CCC1C(=O)OCC1Cc1cncn1C,4.017577954
54864,54-86-4,O=C(O)c1cccnc1,1.546228815
57410,57-41-0,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,3.815283467
57625,57-62-5,CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(C)(O)C3CC12,3.680231234
58004,58-00-4,CN1CCc2cccc3c2C1Cc1ccc(O)c(O)c1-3,4.126014454
58286,58-28-6,CNCCCN1c2ccccc2CCc2ccccc21,3.685151968
60322,60-32-2,NCCCCCC(=O)O,0.821185883
60446,60-44-6,CC[N+](C)(CC)CCOC(=O)C(O)(c1cccs1)C1CCCC1,3.536493401
60797,60-79-7,CC(CO)NC(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1,3.609343577
62511,62-51-1,CC(=O)OC(C)C[N+](C)(C)C,4.630731538
64437,64-43-7,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,3.400395983
66284,66-28-4,CC12CCC3C(CCC4(O)CC(O)CCC34C=O)C1(O)CCC2C1=CC(=O)OC1,6.226710505
66320,66-32-0,O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46,5.524290944
71636,71-63-6,CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,6.392271355
73789,73-78-9,CCN(CC)CC(=O)Nc1c(C)cccc1C,3.556938629
81812,81-81-2,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,2.754220179
86408,86-40-8,C[n+]1c2cc(N)ccc2cc2ccc(N)cc21,3.748744111
90391,90-39-1,C1CCN2CC3CC(CN4CCCCC34)C2C1,3.938569756
104143,104-14-3,NCC(O)c1ccc(O)cc1,2.884174905
113008,113-00-8,N=C(N)N,2.072411671
113984,113-98-4,CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O,3.348171114
124992,124-99-2,CC1OC(OC2C=C3CCC4C(CCC5(C)C(c6ccc(=O)oc6)CCC45O)C3(C)CC2)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O,6.292832547
131022,131-02-2,COC(=O)C1=COC(C)C2CN3CCc4c([nH]c5cc(OC)c(OC)cc45)C3CC12,4.336655612
143624,143-62-4,CC12CCC(O)CC1CCC1C2CCC2(C)C(C3=CC(=O)OC3)CCC12O,5.421493779
151508,151-50-8,N#C[K],4.11471771
302170,302-17-0,OC(O)C(Cl)(Cl)Cl,2.616483391
303344,303-34-4,CC=C(C)C(=O)OC1CCN2CC=C(COC(=O)C(O)(C(C)OC)C(C)(C)O)C12,3.915394558
309433,309-43-3,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,3.833032305
316427,316-42-7,CCC1CN2CCc3cc(OC)c(OC)cc3C2CC1CC1NCCc2cc(OC)c(OC)cc21,4.836730003
318989,318-98-9,CC(C)NCC(O)COc1cccc2ccccc12,3.965178258
329657,329-65-7,CNCC(O)c1ccc(O)c(O)c1,6.162598731
357573,357-57-3,COc1cc2c(cc1OC)C13CCN4CC5=CCOC6CC(=O)N2C1C6C5CC43,3.516833835
465190,465-19-0,CC12CCC(O)CC1CCC1C2CCC2(C)C(c3ccc(=O)oc3)C(O)CC12O,5.579493467
465907,465-90-7,CC12CCC3C(CCC4(O)CC(O)CCC34C=O)C1(O)CCC2c1ccc(=O)oc1,5.490907319
474453,474-45-3,CC(=O)C1CCC2C3CCC4CC(N)CCC4(C)C3CCC12C,3.695587009
537268,537-26-8,CN1C2CCC1CC(OC(=O)c1ccccc1)C2,3.991796488
549188,549-18-8,CN(C)CCC=C1c2ccccc2CCc2ccccc21,3.813087984
550903,550-90-3,O=C1CCCC2C3CC(CN12)C1CCCCN1C3,3.503004535
576681,576-68-1,OC(CNCCCl)C(O)C(O)C(O)CNCCCl,4.18355738
590636,590-63-6,CC(C[N+](C)(C)C)OC(N)=O,4.093489033
595211,595-21-1,COC1C(O)C(C)OC(OC2CCC3(C)C(CCC4C3CCC3(C)C(C5=CC(=O)OC5)C(O)CC43O)C2)C1O,5.442053325
630648,630-64-8,CC1OC(OC2CCC3(C=O)C4CCC5(C)C(C6=CC(=O)OC6)CCC5(O)C4CCC3(O)C2)CC(O)C1O,5.790047224
637581,637-58-1,CCCCOc1ccc(OCCCN2CCOCC2)cc1,3.430043973
683181,683-18-1,CCCC[Sn](Cl)(Cl)CCCC,4.783687807
751984,751-98-4,CN(C)C1C(=O)C(C(=O)NCNCC(=O)O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3CC12,4.026547972
834286,834-28-6,N=C(N=C(N)N)NCCc1ccccc1,3.835193649
850577,850-57-7,COC1=CC=C2C3Cc4ccc(OC)c5c4C2(CCN3C)C1O5,3.75292942
865043,865-04-3,COC(=O)C1C2CC3c4[nH]c5ccc(OC)cc5c4CCN3CC2CC(OC(=O)c2cc(OC)c(OC)c(OC)c2)C1OC,4.068391396
