RTECS_ID,CAS_RN,SMILES,guinea pig_oral_LD50
50000,50-00-0,C=O,2.062524132
50124,1950/12/4,CCC1(c2ccccc2)NC(=O)N(C)C1=O,2.759182595
50293,50-29-3,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,3.373513955
50317,50-31-7,O=C(O)c1c(Cl)ccc(Cl)c1Cl,2.267418362
50339,50-33-9,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,3.091147604
50782,50-78-2,CC(=O)Oc1ccccc1C(=O)O,2.224247498
51285,51-28-5,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,3.356585282
51309,51-30-9,CC(C)NCC(O)c1ccc(O)c(O)c1,2.893455567
51558,51-55-8,CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,2.420068323
51752,51-75-2,CN(CCCl)CCCl,4.114099225
52528,52-52-8,NC1(C(=O)O)CCCC1,2.964996638
53190,53-19-0,Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1,1.806242399
53861,53-86-1,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,3.55363184
54853,54-85-3,NNC(=O)c1ccncc1,2.730630298
55185,55-18-5,CCN(CC)N=O,2.611243089
55389,55-38-9,COP(=S)(OC)Oc1ccc(SC)c(C)c1,3.029594473
55630,55-63-0,O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],2.194820446
56188,56-18-8,NCCCNCCCN,2.706390256
56235,56-23-5,ClC(Cl)(Cl)Cl,1.426598794
56382,56-38-2,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,4.561198314
56542,56-54-2,C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,2.25584047
56724,56-72-4,CCOP(=S)(OCC)Oc1ccc2c(C)c(Cl)c(=O)oc2c1,3.796204569
56757,56-75-7,O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,2.810409964
56815,56-81-5,OCC(O)CO,1.074929634
57307,57-30-7,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,3.2519918
57556,57-55-6,CC(O)CO,0.617720053
58082,1958/8/2,Cn1c(=O)c2c(ncn2C)n(C)c1=O,2.926507971
58151,58-15-1,Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,2.405132363
58366,58-36-6,c1ccc2c(c1)Oc1ccccc1[As]2O[As]1c2ccccc2Oc2ccccc21,4.320694004
58548,58-54-8,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,2.810471836
58582,58-58-2,COc1ccc(CC(N)C(=O)NC2C(CO)OC(n3cnc4c(N(C)C)ncnc43)C2O)cc1,2.895347026
58902,58-90-2,Oc1c(Cl)cc(Cl)c(Cl)c1Cl,2.96734763
59961,59-96-1,CC(COc1ccccc1)N(CCCl)Cc1ccccc1,2.783664937
60128,1960/12/8,OCCc1ccccc1,1.682120193
60515,60-51-5,CNC(=O)CSP(=S)(OC)OC,2.816265927
60548,60-54-8,CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3CC12,2.374811867
60571,60-57-1,ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,4.133667763
60877,60-87-7,CC(CN1c2ccccc2Sc2ccccc21)N(C)C,2.647792374
62442,62-44-2,CCOc1ccc(NC(C)=O)cc1,1.981542443
62748,62-74-8,O=C(O)CF,5.318644837
63252,63-25-2,CNC(=O)Oc1cccc2ccccc12,2.905741927
63569,63-56-9,COc1ccc(CN(CCN(C)C)c2ncccn2)cc1,2.764094249
63741,63-74-1,Nc1ccc(S(N)(=O)=O)cc1,1.740511507
63989,63-98-9,NC(=O)NC(=O)Cc1ccccc1,2.30541718
64040,64-04-0,NCCc1ccccc1,2.782411704
64175,64-17-5,CCO,0.918333994
65452,65-45-2,NC(=O)c1ccccc1O,1.899111708
66819,66-81-9,CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1,3.63633665
67663,67-66-3,ClC(Cl)Cl,2.163110446
67721,67-72-1,ClC(Cl)(Cl)C(Cl)(Cl)Cl,1.677915255
70304,70-30-4,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,3.831343911
70699,70-69-9,CCC(=O)c1ccc(N)cc1,2.165148275
71556,71-55-6,CC(Cl)(Cl)Cl,1.148822128
71636,71-63-6,CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,5.315431325
72173,72-17-3,CC(O)C(=O)O,1.69694016
75058,1975/5/8,CC#N,2.365371633
75150,75-15-0,S=C=S,1.554282457
75218,75-21-8,C1CO1,2.212611725
75310,75-31-0,CC(C)N,1.340311889
75478,75-47-8,IC(I)I,2.907670649
75569,75-56-9,CC1CO1,1.944482672
75741,75-74-1,C[Pb](C)(C)C,3.389637446
75865,75-86-5,CC(C)(O)C#N,3.97571767
76448,76-44-8,ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl,3.507624431
76744,76-74-4,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,3.576487243
76879,76-87-9,O[Sn](c1ccccc1)(c1ccccc1)c1ccccc1,4.131739372
77361,77-36-1,NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl,1.830937504
77714,77-71-4,CC1(C)NC(=O)NC1=O,1.181826641
77838,77-83-8,CCOC(=O)C1OC1(C)c1ccccc1,1.706919983
78400,78-40-0,CCOP(=O)(OCC)OCC,2.056323498
78488,78-48-8,CCCCSP(=O)(SCCCC)SCCCC,3.351522993
78513,78-51-3,CCCCOCCOP(=O)(OCCOCCCC)OCCOCCCC,2.123282004
78591,78-59-1,CC1=CC(=O)CC(C)(C)C1,2.295441427
78875,78-87-5,CC(Cl)CCl,1.751998482
78897,78-89-7,CC(Cl)CO,2.118287695
79061,1979/6/1,C=CC(N)=O,2.67565005
79141,79-14-1,O=C(O)CO,1.5978037
79210,79-21-0,CC(=O)OO,3.881104929
79221,79-22-1,COC(=O)Cl,2.829289985
79276,79-27-6,BrC(Br)C(Br)Br,2.936581596
80057,1980/5/7,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,1.756428799
80080,80-08-0,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,2.917867708
80331,80-33-1,O=S(=O)(Oc1ccc(Cl)cc1)c1ccc(Cl)cc1,2.67550052
80353,80-35-3,COc1ccc(NS(=O)(=O)c2ccc(N)cc2)nn1,1.998930722
80499,80-49-9,C[N+]1(C)C2CCC1CC(OC(=O)C(O)c1ccccc1)C2,2.462971188
80626,80-62-6,C=C(C)C(=O)OC,1.225698997
80717,80-71-7,CC1=C(O)C(=O)CC1,1.90358604
81049,1981/4/9,O=S(=O)(O)c1cccc2c(S(=O)(=O)O)cccc12,0.787749797
81118,1981/11/8,Nc1ccc(C=Cc2ccc(N)cc2S(=O)(=O)O)c(S(=O)(=O)O)c1,0.8965825
81812,81-81-2,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,3.231348062
81969,81-96-9,O=C1c2ccccc2-c2ccc(Br)c3cccc1c23,2.645088068
82484,82-48-4,O=C1c2cccc(S(=O)(=O)O)c2C(=O)c2c1cccc2S(=O)(=O)O,2.294411993
84662,84-66-2,CCOC(=O)c1ccccc1C(=O)OCC,1.412323777
84742,84-74-2,CCCCOC(=O)c1ccccc1C(=O)OCCCC,1.444588105
84764,84-76-4,CCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCCC,1.289379439
85687,85-68-7,CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1,1.356359668
86500,86-50-0,COP(=S)(OC)SCn1nnc2ccccc2c1=O,3.598423882
86544,86-54-4,NNc1nncc2ccccc12,2.806668281
87207,87-20-7,CC(C)CCOC(=O)c1ccccc1O,1.924147927
87569,87-56-9,O=CC(Cl)=C(Cl)C(=O)O,3.227791612
87683,87-68-3,ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,3.462001794
88062,1988/6/2,Oc1c(Cl)cc(Cl)cc1Cl,2.295452739
88744,88-74-4,Nc1ccccc1[N+](=O)[O-],1.769207573
88857,88-85-7,CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,4.079570127
89327,89-32-7,O=c1oc(=O)c2cc3c(=O)oc(=O)c3cc12,2.135934802
89612,89-61-2,O=[N+]([O-])c1cc(Cl)ccc1Cl,2.380213504
89634,89-63-4,Nc1ccc(Cl)cc1[N+](=O)[O-],1.759846561
89725,89-72-5,CCC(C)c1ccccc1O,2.398579398
89838,89-83-8,Cc1ccc(C(C)C)c(O)c1,2.232247977
90153,90-15-3,Oc1cccc2ccccc12,1.85785394
90493,90-49-3,CCC(C(=O)NC(N)=O)c1ccccc1,2.507525399
91203,91-20-3,c1ccc2ccccc2c1,2.028618692
91496,91-49-6,CCCCN(C(C)=O)c1ccccc1,2.804534685
91645,91-64-5,O=c1ccc2ccccc2o1,2.859432592
91805,91-80-5,CN(C)CCN(Cc1cccs1)c1ccccn1,2.843264347
93232,93-23-2,CCCCCCCCCCCC[n+]1ccc2ccccc2c1,3.17390561
93561,93-56-1,OCC(O)c1ccccc1,1.839371189
93583,93-58-3,COC(=O)c1ccccc1,1.521233789
93765,93-76-5,O=C(O)COc1cc(Cl)c(Cl)cc1Cl,2.826438731
93787,93-78-7,CC(C)OC(=O)COc1cc(Cl)c(Cl)cc1Cl,2.821335507
94111,1994/11/1,CC(C)OC(=O)COc1ccc(Cl)cc1Cl,2.679791171
94280,94-28-0,CCCCC(CC)C(=O)OCCOCCOCCOC(=O)C(CC)CCCC,1.28262427
95089,1995/8/9,CCC(CC)C(=O)OCCOCCOCCOC(=O)C(CC)CC,2.044113778
95147,95-14-7,c1ccc2n[nH]nc2c1,2.377040201
95545,95-54-5,Nc1ccccc1N,2.477699928
95738,95-73-8,Cc1ccc(Cl)cc1Cl,1.507939486
95761,95-76-1,Nc1ccc(Cl)c(Cl)c1,2.380262174
95829,95-82-9,Nc1cc(Cl)ccc1Cl,1.63553468
95954,95-95-4,Oc1cc(Cl)c(Cl)cc1Cl,2.295452739
96093,1996/9/3,c1ccc(C2CO2)cc1,1.778697394
96128,1996/12/8,ClCC(Br)CBr,3.197434946
96184,96-18-4,ClCC(Cl)CCl,2.63711284
97029,1997/2/9,Nc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],2.241553595
97234,97-23-4,Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O,2.333047257
97416,97-41-6,CCOC(=O)C1C(C=C(C)C)C1(C)C,2.014144574
97530,97-53-0,C=CCc1ccc(O)c(OC)c1,1.887004129
97541,97-54-1,CC=Cc1ccc(O)c(OC)c1,2.06616462
97745,97-74-5,CN(C)C(=S)SC(=S)N(C)C,2.389430855
97994,97-99-4,OCC1CCCO1,2.106076102
98011,1998/1/1,O=Cc1ccco1,2.249458329
98099,1998/9/9,O=S(=O)(Cl)c1ccccc1,2.329019379
98102,1998/10/2,NS(=O)(=O)c1ccccc1,2.418284715
98942,98-94-2,CN(C)C1CCCCC1,2.388589597
99081,1999/8/1,Cc1cccc([N+](=O)[O-])c1,1.580855311
99092,1999/9/2,Nc1cccc([N+](=O)[O-])c1,2.487062921
99309,99-30-9,Nc1c(Cl)cc([N+](=O)[O-])cc1Cl,2.154635911
99354,99-35-4,O=[N+]([O-])c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,2.465270779
99547,99-54-7,O=[N+]([O-])c1ccc(Cl)c(Cl)c1,2.584333486
99763,99-76-3,COC(=O)c1ccc(O)cc1,1.705147848
100016,100-01-6,Nc1ccc([N+](=O)[O-])cc1,2.487062921
100436,100-43-6,C=Cc1ccncc1,2.51526294
100516,100-51-6,OCc1ccccc1,1.636046357
100527,100-52-7,O=Cc1ccccc1,2.025813611
100630,100-63-0,NNc1ccccc1,3.130912442
100867,100-86-7,CC(C)(O)Cc1ccccc1,2.181973704
101144,101-14-4,Nc1ccc(Cc2ccc(N)c(Cl)c2)cc1Cl,2.824709818
101279,101-27-9,O=C(Nc1cccc(Cl)c1)OCC#CCCl,3.031583493
101428,101-42-8,CN(C)C(=O)Nc1ccccc1,1.710244333
101779,101-77-9,Nc1ccc(Cc2ccc(N)cc2)cc1,2.882281468
101804,101-80-4,Nc1ccc(Oc2ccc(N)cc2)cc1,2.488639649
102067,102-06-7,N=C(Nc1ccccc1)Nc1ccccc1,2.926893712
102205,102-20-5,O=C(Cc1ccccc1)OCCc1ccccc1,1.876966702
102307,102-30-7,CCCCCCCCCCCC[N+](C)(C)Cc1ccc(Cl)c(Cl)c1,3.072524448
102716,102-71-6,OCCN(CCO)CCO,1.831317033
102829,102-82-9,CCCCN(CCCC)CCCC,2.723936261
103366,103-36-6,CCOC(=O)C=Cc1ccccc1,1.643982883
103413,103-41-3,O=C(C=Cc1ccccc1)OCc1ccccc1,1.801910682
103457,103-45-7,CC(=O)OCCc1ccccc1,1.650717668
103537,103-53-7,O=C(C=Cc1ccccc1)OCCc1ccccc1,1.748727114
103548,103-54-8,CC(=O)OCC=Cc1ccccc1,1.569349265
103731,103-73-1,CCOc1ccccc1,1.609832655
103764,103-76-4,OCCN1CCNCC1,1.544038023
103822,103-82-2,O=C(O)Cc1ccccc1,1.781835128
103902,103-90-2,CC(=O)Nc1ccc(O)cc1,1.761149957
104461,104-46-1,CC=Cc1ccc(OC)cc1,1.835706524
104541,104-54-1,OCC=Cc1ccccc1,1.700357528
104552,104-55-2,O=CC=Cc1ccccc1,2.056648613
104610,104-61-0,CCCCCC1CCC(=O)O1,1.657192091
104767,104-76-7,CCCCC(CC)CO,1.845201431
106478,106-47-8,Nc1ccc(Cl)cc1,2.561694128
106898,106-89-8,ClCC1CO1,2.519101062
106912,106-91-2,C=C(C)C(=O)OCC1CO1,2.309526306
106934,106-93-4,BrCCBr,3.232446256
106967,106-96-7,C#CCBr,6.613006608
107073,107-07-3,OCCCl,2.864478718
107120,107-12-0,CCC#N,3.343053923
107131,107-13-1,C=CC#N,3.02582998
107153,107-15-3,NCCN,2.106776614
107197,107-19-7,C#CCO,2.97053283
107211,107-21-1,OCCO,0.972666292
107415,107-41-5,CC(O)CC(C)(C)O,1.625371255
107493,107-49-3,CCOP(=O)(OCC)OP(=O)(OCC)OCC,5.10095311
107880,107-88-0,CC(O)CCO,0.913438136
108101,108-10-1,CC(=O)CC(C)C,1.796578669
108189,108-18-9,CC(C)NC(C)C,1.55799244
108316,108-31-6,O=C1C=CC(=O)O1,2.400413995
108429,108-42-9,Nc1cccc(Cl)c1,2.707822164
108452,108-45-2,Nc1cccc(N)c1,2.380789915
108623,108-62-3,CC1OC(C)OC(C)OC(C)O1,3.002997432
108861,108-86-1,Brc1ccccc1,1.965478392
108907,108-90-7,Clc1ccccc1,1.699197708
108918,108-91-8,NC1CCCCC1,2.280407624
109068,109-06-8,Cc1ccccn1,2.01484243
109739,109-73-9,CCCCN,2.230680563
109864,109-86-4,COCCO,1.903632516
109944,109-94-4,CCOC=O,1.824372132
109999,109-99-9,C1CCOC1,1.496249591
110407,110-40-7,CCOC(=O)CCCCCCCCC(=O)OCC,1.550090535
110496,110-49-6,COCCOC(C)=O,1.975457544
110634,110-63-4,OCCCCO,1.875649575
110656,110-65-6,OCC#CCO,2.821009356
110805,110-80-5,CCOCCO,1.808702785
110963,110-96-3,CC(C)CNCC(C)C,2.319028782
111159,111-15-9,CCOCCOC(C)=O,1.840063377
111295,111-29-5,OCCCCCO,1.354897273
111308,111-30-8,O=CCCCC=O,3.301537823
111364,111-36-4,CCCCN=C=O,2.59827824
111411,111-41-1,NCCNCCO,1.841580525
111422,111-42-2,OCCNCCO,1.720725585
111466,111-46-6,OCCOCCO,1.133706731
111488,111-48-8,OCCSCCO,1.489336925
111557,111-55-7,CC(=O)OCCOC(C)=O,1.471048098
111762,111-76-2,CCCCOCCO,1.99334804
111773,111-77-3,COCCOCCO,1.460623215
111922,111-92-2,CCCCNCCCC,2.749692635
112152,112-15-2,CCOCCOCCOC(C)=O,1.65164293
112265,112-26-5,ClCCOCCOCCCl,3.192813614
112276,112-27-6,OCCOCCOCCO,1.278967657
112345,112-34-5,CCCCOCCOCCO,1.909098495
112367,112-36-7,CCOCCOCCOCC,1.942956763
112505,112-50-5,CCOCCOCCOCCO,1.763837558
112561,112-56-1,CCCCOCCOCCSC#N,2.910212323
113984,113-98-4,CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O,2.94219901
114261,114-26-1,CNC(=O)Oc1ccccc1OC(C)C,3.718595098
115093,115-09-3,C[Hg]Cl,4.077589366
115264,115-26-4,CN(C)P(=O)(F)N(C)C,4.585813098
115311,115-31-1,CC1(C)C2CCC1(C)C(OC(=O)CSC#N)C2,2.66259845
115322,115-32-2,OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)C(Cl)(Cl)Cl,2.311097915
115775,115-77-5,OCC(CO)(CO)CO,1.080929633
115902,115-90-2,CCOP(=S)(OCC)Oc1ccc(S(C)=O)cc1,4.534816936
117146,117-14-6,O=C1c2cccc(S(=O)(=O)O)c2C(=O)c2cccc(S(=O)(=O)O)c21,2.193894017
117555,117-55-5,Nc1ccc(S(=O)(=O)O)c2cccc(S(=O)(=O)O)c12,1.10168551
117817,117-81-7,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,1.176718862
118525,118-52-5,CC1(C)C(=O)N(Cl)C(=O)N1Cl,2.164178751
118718,118-71-8,Cc1occc(=O)c1O,1.951533857
118741,118-74-1,Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,1.977394331
119120,119-12-0,CCOP(=S)(OCC)Oc1ccc(=O)n(-c2ccccc2)n1,2.821796905
119368,119-36-8,COC(=O)c1ccccc1O,2.337171062
119846,119-84-6,O=C1CCc2ccccc2O1,1.925221233
120365,120-36-5,CC(Oc1ccc(Cl)cc1Cl)C(=O)O,2.578798128
120478,120-47-8,CCOC(=O)c1ccc(O)cc1,1.919538305
120809,120-80-9,Oc1ccccc1O,2.719615356
121335,121-33-5,COc1cc(C=O)ccc1O,2.036141067
121755,121-75-5,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,2.76311786
121879,121-87-9,Nc1ccc([N+](=O)[O-])cc1Cl,1.981695311
122145,122-14-5,COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(C)c1,2.743882753
122190,122-19-0,CCCCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,2.890649005
122203,122-20-3,CC(O)CN(CC(C)O)CC(C)O,2.082992041
122394,122-39-4,c1ccc(Nc2ccccc2)cc1,2.751348401
122781,122-78-1,O=CCc1ccccc1,1.489777788
123115,123-11-5,COc1ccc(C=O)cc1,2.033647101
123295,123-29-5,CCCCCCCCC(=O)OCC,0.889989957
123319,123-31-9,Oc1ccc(O)cc1,2.301471961
123682,123-68-2,C=CCOC(=O)CCCCC,2.746592502
123864,123-86-4,CCCCOC(C)=O,1.392958745
123911,123-91-1,C1COCCO1,1.446694931
124038,124-03-8,CCCCCCCCCCCCCCCC[N+](C)(C)CC,3.276402172
