RTECS_ID,CAS_RN,SMILES,guinea pig_skin_LD50
50293,50-29-3,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,2.549605214
56382,56-38-2,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,3.811075787
60344,60-34-4,CNN,2.982205254
60515,60-51-5,CNC(=O)CSP(=S)(OC)OC,2.375806658
62748,62-74-8,O=C(O)CF,4.688208408
64697,64-69-7,O=C(O)CI,3.172481499
70304,70-30-4,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,2.568102476
74884,74-88-4,CI,2.249011754
75570,75-57-0,C[N+](C)(C)C,3.472153575
75752,75-75-2,CS(=O)(=O)O,1.681725025
75865,75-86-5,CC(C)(O)C#N,2.75386892
77816,77-81-6,CCOP(=O)(C#N)N(C)C,3.66579266
79414,79-41-4,C=C(C)C(=O)O,1.934952708
80091,1980/9/1,O=S(=O)(c1ccc(O)cc1)c1ccc(O)cc1,5.39841747
84593,84-59-3,Oc1c(Br)ccc2c(O)c(Br)ccc12,2.201347956
84695,84-69-5,CC(C)COC(=O)c1ccccc1C(=O)OCC(C)C,1.444588105
85712,85-71-2,CCOC(=O)COC(=O)c1ccccc1C(=O)OC,1.425287985
86500,86-50-0,COP(=S)(OC)SCn1nnc2ccccc2c1=O,3.054355838
89725,89-72-5,CCC(C)c1ccccc1O,2.398579398
91156,91-15-6,N#Cc1ccccc1C#N,2.107664384
92160,92-16-0,COc1ccccc1NC(=O)CC(=O)c1ccccc1,2.430236353
92433,92-43-3,O=C1CCN(c2ccccc2)N1,2.210029429
93685,93-68-5,CC(=O)CC(=O)Nc1ccccc1C,2.281556025
95556,95-55-6,Nc1ccccc1O,2.037936196
95716,95-71-6,Cc1cc(O)ccc1O,2.093908243
96173,96-17-3,CCC(C)C=O,0.63414462
96480,96-48-0,O=C1CCCO1,1.235982703
97994,97-99-4,OCC1CCCO1,1.310196084
100016,100-01-6,Nc1ccc([N+](=O)[O-])cc1,2.441305431
100027,100-02-7,O=[N+]([O-])c1ccc(O)cc1,2.143358351
101962,101-96-2,CCC(C)Nc1ccc(NC(C)CC)cc1,1.644162759
102012,102-01-2,CC(=O)CC(=O)Nc1ccccc1,2.24847107
103628,103-62-8,CCCCNc1ccc(O)cc1,1.519134669
104905,104-90-5,CCc1ccc(C)nc1,1.685501691
106707,106-70-7,CCCCCC(=O)OC,1.415597615
107131,107-13-1,C=CC#N,2.419448615
107222,107-22-2,O=CC=O,0.944153536
108316,108-31-6,O=C1C=CC(=O)O1,0.690448606
108429,108-42-9,Nc1cccc(Cl)c1,3.105762173
108485,108-48-5,Cc1cccc(C)n1,1.632076485
108758,108-75-8,Cc1cc(C)nc(C)c1,2.0834417
108996,108-99-6,Cc1cccnc1,1.96908494
