RTECS_ID,CAS_RN,SMILES,guinea pig_subcutaneous_LD50
50293,50-29-3,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,2.595362704
50373,50-37-3,CCN(CC)C(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1,4.305673746
50497,50-49-7,CN(C)CCCN1c2ccccc2CCc2ccccc21,3.16904764
50533,50-53-3,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,2.880368457
50555,50-55-5,COC(=O)C1C2CC3c4[nH]c5cc(OC)ccc5c4CCN3CC2CC(OC(=O)c2cc(OC)c(OC)c(OC)c2)C1OC,3.971481383
50599,50-59-9,O=C(Cc1cccs1)NC1C(=O)N2C(C(=O)O)=C(C[n+]3ccccc3)CSC12,2.879256487
51058,1951/5/8,CCN(CC)CCOC(=O)c1ccc(N)cc1,2.76389688
51309,51-30-9,CC(C)NCC(O)c1ccc(O)c(O)c1,5.819669353
51456,51-45-6,NCCc1cnc[nH]1,4.948991639
51752,51-75-2,CN(CCCl)CCCl,4.892250475
52493,52-49-3,OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1,2.974099885
53214,53-21-4,COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,3.995340572
54853,54-85-3,NNC(=O)c1ccncc1,2.847135867
56382,56-38-2,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,4.464288301
57090,57-09-0,CCCCCCCCCCCCCCCC[N+](C)(C)C,3.454161642
57410,57-41-0,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,2.95471274
57534,57-53-4,CCCC(C)(COC(N)=O)COC(N)=O,2.759176625
58719,58-71-9,CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)Cc3cccs3)C2SC1,3.556791355
60877,60-87-7,CC(CN1c2ccccc2Sc2ccccc21)N(C)C,2.737969004
61121,1961/12/1,CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1,4.351198644
62748,62-74-8,O=C(O)CF,5.494388382
66819,66-81-9,CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1,3.671098756
67038,1967/3/8,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1,2.483322247
67732,67-73-2,CC1(C)OC2CC3C4CC(F)C5=CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(C(=O)CO)O1,2.154553563
73789,73-78-9,CCN(CC)CC(=O)Nc1c(C)cccc1C,3.290670739
76744,76-74-4,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,3.509540453
77816,77-81-6,CCOP(=O)(C#N)N(C)C,6.130679458
78535,78-53-5,CCOP(=O)(OCC)SCCN(CC)CC,6.527222156
79061,1979/6/1,C=CC(N)=O,2.621292388
80499,80-49-9,C[N+]1(C)C2CCC1CC(OC(=O)C(O)c1ccccc1)C2,3.587909924
80626,80-62-6,C=C(C)C(=O)OC,1.225698997
84662,84-66-2,CCOC(=O)c1ccccc1C(=O)OCC,1.869700974
96640,96-64-0,CC(OP(C)(=O)F)C(C)(C)C,6.880277536
105566,105-56-6,CCOC(=O)CC#N,2.006249172
107073,107-07-3,OCCCl,3.03081014
107120,107-12-0,CCC#N,3.483315357
107131,107-13-1,C=CC#N,2.610856632
107448,107-44-8,CC(C)OP(C)(=O)F,6.669298281
107493,107-49-3,CCOP(=O)(OCC)OP(=O)(OCC)OCC,5.617582906
107915,107-91-5,N#CCC(N)=O,1.862100388
109751,109-75-1,C=CCC#N,2.706090334
109773,109-77-3,N#CCC#N,3.497738997
111693,111-69-3,N#CCCCCC#N,3.335032425
112561,112-56-1,CCCCOCCOCCSC#N,2.654939818
114498,114-49-8,CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12,2.552536527
115264,115-26-4,CN(C)P(=O)(F)N(C)C,4.886843094
121755,121-75-5,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,2.865780202
125699,125-69-9,COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3,3.257524985
125859,125-85-9,CCN(CC)CCOC(=O)C1(c2ccccc2)CCCC1,3.347583686
135319,135-31-9,Clc1ccc(CC(=CCN2CCCC2)c2ccccc2)cc1,2.400182323
136470,136-47-0,CCCCNc1ccc(C(=O)OCCN(C)C)cc1,4.132175917
136696,136-69-6,CC(Cc1ccc2c(c1)OCO2)NCC(O)c1ccc(O)c(O)c1,5.520310567
141786,141-78-6,CCOC(C)=O,1.46788423
143339,143-33-9,N#C[Na],3.926838986
147240,147-24-0,CN(C)CCOC(c1ccccc1)c1ccccc1,3.732030561
149644,149-64-4,CCCC[N+]1(C)C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12,3.366542248
154698,154-69-8,CN(C)CCN(Cc1ccccc1)c1ccccn1,3.930040118
302272,302-27-2,CCN1CC2(COC)C(O)CC(OC)C34C5CC6(O)C(OC)C(O)C(OC(C)=O)(C5C6OC(=O)c5ccccc5)C(C(OC)C23)C14,7.031910474
305339,305-33-9,CC(C)NNC(=O)c1ccncc1,2.390070883
311455,311-45-5,CCOP(=O)(OCC)Oc1ccc([N+](=O)[O-])cc1,5.740673691
329997,329-99-7,CP(=O)(F)OC1CCCCC1,6.255655963
333255,333-25-5,O=[As](Cl)(Cl)C=CCl,6.047893734
339720,339-72-0,NC1CONC1=O,2.008995966
341695,341-69-5,Cc1ccccc1C(OCCN(C)C)c1ccccc1,3.561146526
341708,341-70-8,CCN(CC)CCN1c2ccccc2Sc2ccccc21,2.821666345
356127,356-12-7,CC(=O)OCC(=O)C12OC(C)(C)OC1CC1C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC12C,2.193134259
453189,453-18-9,COC(=O)CF,5.66308343
462657,462-65-7,C[N+](C)(C)CCOC(=O)CF,5.039281894
482155,482-15-5,CC(CN1c2ccccc2Sc2cccnc21)N(C)C,3.842694459
494520,494-52-0,c1cncc(C2CCCCN2)c1,3.867724549
