RTECS_ID,CAS_RN,SMILES,guinea pig_subcutaneous_LDLo
50135,50-13-5,CCOC(=O)C1(c2ccccc2)CCN(C)CC1,3.393290845
51058,1951/5/8,CCN(CC)CCOC(=O)c1ccc(N)cc1,2.771431298
51285,51-28-5,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,3.867130293
51456,51-45-6,NCCc1cnc[nH]1,4.142811665
51832,51-83-2,C[N+](C)(C)CCOC(N)=O,6.292840646
56177,56-17-7,NCCSSCCN,2.705544428
56542,56-54-2,C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,3.28669527
57556,57-55-6,CC(O)CO,0.691024423
57921,57-92-1,CNC1C(OC2C(OC3C(O)C(O)C(NC(=N)N)C(O)C3NC(=N)N)OC(C)C2(O)C=O)OC(CO)C(O)C1O,2.986458213
57976,57-97-6,Cc1c2ccccc2c(C)c2c1ccc1ccccc12,4.107799938
58082,1958/8/2,Cn1c(=O)c2c(ncn2C)n(C)c1=O,2.987205812
58151,58-15-1,Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,2.966233746
60195,60-19-5,NCCc1ccc(O)cc1,2.118596632
60800,60-80-0,Cc1cc(=O)n(-c2ccccc2)n1C,2.07056886
61121,1961/12/1,CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1,3.486672052
61734,61-73-4,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1,2.976820554
62566,62-56-6,NC(N)=S,1.279461609
62599,62-59-9,CC=C(C)C(=O)OC1CCC2(C)C3CCC4C5(O)CC(O)C6(O)C(CN7CC(C)CCC7C6(C)O)C5(O)CC42OC13O,5.772132395
64040,64-04-0,NCCc1ccccc1,2.577656478
64437,64-43-7,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,3.124189572
66320,66-32-0,O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46,5.019140966
67641,67-64-1,CC(C)=O,1.065056603
