RTECS_ID,CAS_RN,SMILES,mouse_intramuscular_LD50
50339,50-33-9,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,2.855619157
50599,50-59-9,O=C(Cc1cccs1)NC1C(=O)N2C(C(=O)O)=C(C[n+]3ccccc3)CSC12,1.774521137
50635,50-63-5,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,3.653728739
50679,50-67-9,NCCc1c[nH]c2ccc(O)cc12,2.370991469
51058,1951/5/8,CCN(CC)CCOC(=O)c1ccc(N)cc1,2.674521285
51069,1951/6/9,CCN(CC)CCNC(=O)c1ccc(N)cc1,2.437180689
51183,51-18-3,C1CN1c1nc(N2CC2)nc(N2CC2)n1,5.134043164
51752,51-75-2,CN(CCCl)CCCl,4.753947777
51774,51-77-4,CC(C)=CCCC(C)=CCCC(C)=CCCC(=O)OCC=C(C)CCC=C(C)C,1.472428127
52244,52-24-4,S=P(N1CC1)(N1CC1)N1CC1,4.216278378
53032,1953/3/2,CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,2.776257948
54477,54-47-7,Cc1ncc(COP(=O)(O)O)c(C=O)c1O,2.332250474
54773,54-77-3,C[N+]1(C)CCN(c2ccccc2)CC1,3.834552398
54853,54-85-3,NNC(=O)c1ccncc1,3.000449912
55185,55-18-5,CCN(CC)N=O,2.4577331
56382,56-38-2,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,4.606955804
56542,56-54-2,C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,3.210082979
56973,56-97-3,ON=Cc1cc[n+](CCC[n+]2ccc(C=NO)cc2)cc1,3.456874437
57307,57-30-7,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,3.122897104
57476,57-47-6,CNC(=O)Oc1ccc2c(c1)C1(C)CCN(C)C1N2C,5.921374295
57943,57-94-3,COc1cc2c3cc1Oc1cc(ccc1O)CC1c4c(cc(OC)c(O)c4Oc4ccc(cc4)CC3N(C)CC2)CC[N+]1(C)C,6.052753063
