RTECS_ID,CAS_RN,SMILES,mouse_intraperitoneal_LD50
50033,1950/3/3,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C,2.245193911
50077,1950/7/7,COC12C(COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1CC1NC12,4.922117955
50099,1950/9/9,CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,2.967622916
50113,1950/11/3,CCC1(CC)C(=O)NC(=O)N(C)C1=O,2.598181849
50124,1950/12/4,CCC1(c2ccccc2)NC(=O)N(C)C1=O,2.861844937
50135,50-13-5,CCOC(=O)C1(c2ccccc2)CCN(C)CC1,3.306187358
50248,50-24-8,CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,3.743931673
50293,50-29-3,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,4.044455235
50306,50-30-6,O=C(O)c1c(Cl)cccc1Cl,2.781375843
50317,50-31-7,O=C(O)c1c(Cl)ccc(Cl)c1Cl,3.102645648
50339,50-33-9,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,3.341652064
50340,50-34-0,CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc21)C(C)C,3.788282706
50373,50-37-3,CCN(CC)C(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1,3.810823724
50384,50-38-4,O=C(O)c1c(Cl)c(Cl)cc(Cl)c1Cl,3.040062946
50420,50-42-0,CCN(CC)CCOC(=O)C(c1ccccc1)c1ccccc1,3.229731915
50442,50-44-2,S=c1nc[nH]c2nc[nH]c12,3.130220623
50464,50-46-4,O=C1C=CC(=O)c2cnccc21,3.803850261
50497,50-49-7,CN(C)CCCN1c2ccccc2CCc2ccccc21,3.582959721
50555,50-55-5,COC(=O)C1C2CC3c4[nH]c5cc(OC)ccc5c4CCN3CC2CC(OC(=O)c2cc(OC)c(OC)c(OC)c2)C1OC,5.085424736
50599,50-59-9,O=C(Cc1cccs1)NC1C(=O)N2C(C(=O)O)=C(C[n+]3ccccc3)CSC12,1.890859701
50602,50-60-2,Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1,3.290229144
50635,50-63-5,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,3.678960663
50679,50-67-9,NCCc1c[nH]c2ccc(O)cc12,3.04193275
50704,50-70-4,OCC(O)C(O)C(O)C(O)CO,1.099371979
50748,50-74-8,O=C(O)c1cc(Cl)c(Cl)c(Cl)c1Cl,2.665074977
50760,50-76-0,Cc1ccc(C(=O)NC2C(=O)NC(C(C)C)C(=O)N3CCCC3C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC2C)c2c1OC1C(C)C(=O)C(N)C(C(=O)NC3C(=O)NC(C(C)C)C(=O)N4CCCC4C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC3C)C1N2,6.225821172
