RTECS_ID,CAS_RN,SMILES,mouse_intraperitoneal_LDLo
50000,50-00-0,C=O,3.273377498
50328,50-32-8,c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,2.702974787
50351,50-35-1,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,2.508921754
50395,50-39-5,CC(O)Cn1c(=O)c2c(ncn2C)n(C)c1=O,2.484932838
50715,50-71-5,O=C1NC(=O)C(=O)C(=O)N1,2.675381126
51036,1951/3/6,CCCCOCCOCCOCc1cc2c(cc1CCC)OCO2,2.529486819
53101,1953/10/1,CC12CCC(=O)CC1CCC1C2CCC2(C)C(C(=O)COC(=O)CCC(=O)O)CCC12,2.829863371
54364,54-36-4,CC(C)(C(=O)c1cccnc1)c1cccnc1,2.877522996
57067,1957/6/7,C=CCN=C=S,4.394267767
57136,57-13-6,NC(N)=O,0.958486369
57396,57-39-6,CC1CN1P(=O)(N1CC1C)N1CC1C,4.838066908
57625,57-62-5,CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(C)(O)C3CC12,3.396930005
60195,60-19-5,NCCc1ccc(O)cc1,2.234207143
60571,60-57-1,ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,4.165852447
62373,62-37-3,COC(C[Hg+])CNC(N)=O,3.724924369
65714,65-71-4,Cc1c[nH]c(=O)[nH]c1=O,2.100766744
66751,66-75-1,O=c1[nH]cc(N(CCCl)CCCl)c(=O)[nH]1,4.924453314
68359,68-35-9,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,2.658068662
72571,72-57-1,Cc1cc(-c2ccc(N=Nc3c(S(=O)(=O)O)cc4cc(S(=O)(=O)O)cc(N)c4c3O)c(C)c2)ccc1N=Nc1c(S(=O)(=O)O)cc2cc(S(=O)(=O)O)cc(N)c2c1O,3.396893464
75854,75-85-4,CCC(C)(C)O,1.644192321
76766,76-76-6,CCC1(C(C)C)C(=O)NC(=O)NC1=O,2.899211845
76879,76-87-9,O[Sn](c1ccccc1)(c1ccccc1)c1ccccc1,4.635289738
77021,1977/2/1,C=CCC1(C(C)C)C(=O)NC(=O)NC1=O,2.720640896
78104,1978/10/4,CCO[Si](OCC)(OCC)OCC,2.399673721
78466,78-46-6,CCCCOP(=O)(CCCC)OCCCC,3.301583802
78637,78-63-7,CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C,2.232613488
78966,78-96-6,CC(O)CN,2.477763535
80717,80-71-7,CC1=C(O)C(=O)CC1,2.350744071
84822,84-82-2,Cn1ncnc2c(=O)n(C)c(=O)nc1-2,4.808809432
85438,85-43-8,O=C1OC(=O)C2CC=CCC12,2.483299098
86408,86-40-8,C[n+]1c2cc(N)ccc2cc2ccc(N)cc21,4.309411417
87569,87-56-9,O=CC(Cl)=C(Cl)C(=O)O,4.227791612
87990,87-99-0,OCC(O)C(O)C(O)CO,0.837868265
90039,1990/3/9,Oc1ccccc1[Hg]Cl,3.836149983
91576,91-57-6,Cc1ccc2ccccc2c1,2.15290265
92671,92-67-1,Nc1ccc(-c2ccccc2)cc1,2.830529647
93094,1993/9/4,O=C(O)c1ccc2ccccc2c1,2.537020266
95487,95-48-7,Cc1ccccc1O,2.73295637
96208,96-20-8,CCC(N)CO,2.552122877
96311,96-31-1,CNC(=O)NC,1.249368441
96491,96-49-1,O=C1OCCO1,2.24581854
97029,1997/2/9,Nc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],2.660682903
98602,98-60-2,O=S(=O)(Cl)c1ccc(Cl)cc1,2.926484444
98919,98-91-9,O=C(S)c1ccccc1,2.742539751
99036,1999/3/6,CC(=O)c1cccc(N)c1,1.819537509
99058,1999/5/8,Nc1cccc(C(=O)O)c1,2.438187807
99650,99-65-0,O=[N+]([O-])c1cccc([N+](=O)[O-])c1,2.924558386
99898,99-89-8,CC(C)c1ccc(O)cc1,2.736217967
105088,105-08-8,OCC1CCC(CO)CC1,1.95488744
108189,108-18-9,CC(C)NC(C)C,2.607210463
108452,108-45-2,Nc1cccc(N)c1,2.431942438
108781,108-78-1,Nc1nc(N)nc(N)n1,2.197704305
114830,114-83-0,CC(=O)NNc1ccccc1,3.000523733
115786,115-78-6,CCCC[P+](CCCC)(CCCC)Cc1ccc(Cl)cc1Cl,4.280368672
115968,115-96-8,O=P(OCCCl)(OCCCl)OCCCl,3.057652413
116176,116-17-6,CC(C)OP(OC(C)C)OC(C)C,2.61958998
121437,121-43-7,COB(OC)OC,2.016674063
121608,121-60-8,CC(=O)Nc1ccc(S(=O)(=O)Cl)cc1,3.669644106
121879,121-87-9,Nc1ccc([N+](=O)[O-])cc1Cl,2.537997811
123035,123-03-5,CCCCCCCCCCCCCCCC[n+]1ccccc1,3.784677191
123308,123-30-8,Nc1ccc(O)cc1,3.037936196
123513,123-51-3,CC(C)CCO,2.577866396
124641,124-64-1,OC[P+](CO)(CO)CO,3.093729785
125406,125-40-6,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,2.782777608
126987,126-98-7,C=C(C)C#N,3.650573006
129168,129-16-8,O=C1OC2(c3cc(Br)c(O)cc3Oc3c2cc(Br)c(O)c3[Hg]O)c2ccccc21,3.548200179
137097,137-09-7,Nc1ccc(O)c(N)c1,3.394952232
138318,138-31-8,CC(=O)Nc1ccc([Sb](=O)(O)O)cc1,3.361771845
138374,138-37-4,NCc1ccc(S(N)(=O)=O)cc1,1.872123627
139935,139-93-5,Nc1cc([AsH]=[AsH]c2ccc(O)c(N)c2)ccc1O,3.356450803
140578,140-57-8,CC(COc1ccc(C(C)(C)C)cc1)OS(=O)OCCCl,3.223839762
144003,144-00-3,CCCCCCC1(CC)C(=O)NC(=O)NC1=O,3.019031357
150696,150-69-6,CCOc1ccc(NC(N)=O)cc1,3.125437888
154869,154-86-9,CNCC(O)c1cccc(O)c1,3.445105802
298077,298-07-7,CCCCC(CC)COP(=O)(O)OCC(CC)CCCC,3.712550038
300629,300-62-9,CC(N)Cc1ccccc1,3.415005469
303979,303-97-9,COC1=C(OC)C(=O)C(CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)=C(C)C1=O,2.599471498
306536,306-53-6,CC[N+](C)(C)CCN(C)CC[N+](C)(C)CC,3.174084204
306672,306-67-2,NCCCNCCCCNCCCN,4.226913378
321142,321-14-2,O=C(O)c1cc(Cl)ccc1O,2.83901774
327924,327-92-4,O=[N+]([O-])c1cc([N+](=O)[O-])c(F)cc1F,4.610847465
