RTECS_ID,CAS_RN,SMILES,chicken_oral_LD50
50317,50-31-7,O=C(O)c1c(Cl)ccc(Cl)c1Cl,2.176974391
52460,52-46-0,C1CN1P1(N2CC2)=NP(N2CC2)(N2CC2)=NP(N2CC2)(N2CC2)=N1,3.197122482
52608,52-60-8,CCOP(=S)(OCC)Oc1cc(C)c(SC)c(C)c1,4.252861164
52686,52-68-6,COP(=O)(OC)C(O)C(Cl)(Cl)Cl,3.535609702
54875,54-87-5,O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1,3.652591128
55378,55-37-8,COP(=S)(OC)Oc1cc(C)c(SC)c(C)c1,3.453083699
55389,55-38-9,COP(=S)(OC)Oc1ccc(SC)c(C)c1,4.143537826
56382,56-38-2,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,4.464288301
57396,57-39-6,CC1CN1P(=O)(N1CC1C)N1CC1C,2.815721032
60515,60-51-5,CNC(=O)CSP(=S)(OC)OC,3.962393962
60571,60-57-1,ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,4.279795799
62384,62-38-4,CC(=O)O[Hg]c1ccccc1,3.749143457
62737,62-73-7,COP(=O)(OC)OC=C(Cl)Cl,4.534785393
64006,64-00-6,CNC(=O)Oc1cccc(C(C)C)c1,4.206929267
67685,67-68-5,CS(C)=O,0.813669929
71987,71-98-7,CCCOP(=O)(OC=C(Cl)Cl)OCCC,4.442611449
72004,72-00-4,CCOP(=O)(OC=C(Cl)Cl)OCC,4.864772752
74602,74-60-2,CC(C)OP(=S)(Oc1ccc(S(C)=O)cc1)OC(C)C,4.013657752
78308,78-30-8,Cc1ccccc1OP(=O)(Oc1ccccc1C)Oc1ccccc1C,2.867313071
78342,78-34-2,CCOP(=S)(OCC)SC1OCCOC1SP(=S)(OCC)OCC,3.159801264
78513,78-51-3,CCCCOCCOP(=O)(OCCOCCCC)OCCOCCCC,1.901433255
78579,78-57-9,COP(=S)(OC)SCc1nc(N)nc(N)n1,2.761645403
80331,80-33-1,O=S(=O)(Oc1ccc(Cl)cc1)c1ccc(Cl)cc1,1.904188694
81812,81-81-2,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,2.514969106
86500,86-50-0,COP(=S)(OC)SCn1nnc2ccccc2c1=O,3.0590341
86884,86-88-4,NC(=S)Nc1cccc2ccccc12,1.677568309
88857,88-85-7,CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,3.965626775
93754,93-75-4,S=c1sc2nc3ccccc3nc2s1,1.771488265
93765,93-76-5,O=C(O)COc1cc(Cl)c(Cl)cc1Cl,2.916002013
94111,1994/11/1,CC(C)OC(=O)COc1ccc(Cl)cc1Cl,2.267865516
96128,1996/12/8,ClCC(Br)CBr,3.595374955
97176,97-17-6,CCOP(=S)(OCC)Oc1ccc(Cl)cc1Cl,3.32826662
101053,101-05-3,Clc1nc(Cl)nc(Nc2ccccc2Cl)n1,1.86613132
106934,106-93-4,BrCCBr,3.37621185
114261,114-26-1,CNC(=O)Oc1ccccc1OC(C)C,3.653202136
115322,115-32-2,OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)C(Cl)(Cl)Cl,1.928792242
115913,115-91-3,COP(=S)(OC)Oc1ccc(S(C)=O)cc1,5.082145958
116063,116-06-3,CNC(=O)ON=CC(C)(C)SC,4.376275766
118718,118-71-8,Cc1occc(=O)c1O,1.53021003
121062,121-06-2,Cc1cccc(C)c1OP(=O)(Oc1c(C)cccc1C)Oc1c(C)cccc1C,2.61326026
121197,121-19-7,O=[N+]([O-])c1cc([As](=O)(O)O)ccc1O,3.378624157
121755,121-75-5,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,2.740841465
121813,121-81-3,NC(=O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,2.370313609
122101,122-10-1,COC(=O)C=C(CC(=O)OC)OP(=O)(OC)OC,4.475102116
122145,122-14-5,COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(C)c1,2.995694726
122349,122-34-9,CCNc1nc(Cl)nc(NCC)n1,1.605651912
126227,126-22-7,CCCC(=O)OC(C(Cl)(Cl)Cl)P(=O)(OC)OC,3.193029139
126738,126-73-8,CCCCOP(=O)(OCCCC)OCCCC,2.249309262
127208,127-20-8,CC(Cl)(Cl)C(=O)O,1.407053852
131895,131-89-5,O=[N+]([O-])c1cc(C2CCCCC2)c(O)c([N+](=O)[O-])c1,3.544480918
132296,132-29-6,O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1-c1ccccc1,1.604642862
136254,136-25-4,CC(Cl)(Cl)C(=O)OCCOc1cc(Cl)c(Cl)cc1Cl,2.062961389
140318,140-31-8,NCCN1CCNCC1,1.935194784
140409,140-40-9,CC(=O)Nc1ncc([N+](=O)[O-])s1,2.369169456
141662,141-66-2,COP(=O)(OC)OC(C)=CC(=O)N(C)C,4.473641716
143339,143-33-9,N#C[Na],3.368047685
148516,148-51-6,Cc1ncc(CO)c(C)c1O,1.989305248
297789,297-78-9,ClC1=C(Cl)C2(Cl)C3C(Cl)OC(Cl)C3C1(Cl)C2(Cl)Cl,5.313607831
299843,299-84-3,COP(=S)(OC)Oc1cc(Cl)c(Cl)cc1Cl,1.702766974
299854,299-85-4,COP(S)(=NC(C)C)Oc1ccc(Cl)cc1Cl,2.364590394
301122,301-12-2,CCS(=O)CCSP(=O)(OC)OC,3.488356792
303479,303-47-9,CC1Cc2c(Cl)cc(C(=O)NC(Cc3ccccc3)C(=O)O)c(O)c2C(=O)O1,5.132052564
311444,311-44-4,O=[N+]([O-])c1ccc(OP(=O)(OCCCl)OCCCl)cc1,3.536668265
311455,311-45-5,CCOP(=O)(OCC)Oc1ccc([N+](=O)[O-])cc1,5.1386137
315184,315-18-4,CNC(=O)Oc1cc(C)c(N(C)C)c(C)c1,4.703463342
321540,321-54-0,CCOP(=O)(OCC)Oc1ccc2c(C)c(Cl)c(=O)oc2c1,5.197534919
321551,321-55-1,Cc1c(Cl)c(=O)oc2cc(OP(=O)(OCCCl)OCCCl)ccc12,1.773570184
327980,327-98-0,CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl,4.433326138
328041,328-04-1,CCP(=S)(Oc1ccc([N+](=O)[O-])cc1Cl)OC(C)C,4.907049307
329215,329-21-5,CCOP(=S)(CC)Sc1ccc(C(C)(C)C)cc1,3.671760542
330552,330-55-2,CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1,1.820603517
333299,333-29-9,CCOP(=S)(N=C1SCCS1)OCC,4.717556891
333404,333-40-4,CCOP(=S)(OCC)Sc1nc(C)cc(C)n1,3.848926525
333415,333-41-5,CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,4.559096874
333437,333-43-7,CCOCCP(=S)(S)c1ccc(C)cc1,4.059555078
465736,465-73-6,ClC1=C(Cl)C2(Cl)C3C4C=CC(C4)C3C1(Cl)C2(Cl)Cl,4.562190525
470906,470-90-6,CCOP(=O)(OCC)OC(=CCl)c1ccc(Cl)cc1Cl,4.091894085
485314,485-31-4,CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1OC(=O)C=C(C)C,2.605193225
504881,504-88-1,O=C(O)CC[N+](=O)[O-],3.676029415
507608,507-60-8,CC(=O)OC1CC2(O)C(CCC3(C)C(c4ccc(=O)oc4)CCC32O)C2(C)CCC(OC3OC(CO)C(O)C(O)C3O)C=C12,3.190816157
535897,535-89-7,Cc1cc(N(C)C)nc(Cl)n1,3.882413215
545551,545-55-1,O=P(N1CC1)(N1CC1)N1CC1,3.059460598
608731,608-73-1,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,2.687667859
637321,637-32-1,CC(C)NC(=N)N=C(N)Nc1ccc(Cl)cc1,2.802323809
639587,639-58-7,Cl[Sn](c1ccccc1)(c1ccccc1)c1ccccc1,3.263784809
640197,640-19-7,NC(=O)CF,4.258428803
645056,645-05-6,CN(C)c1nc(N(C)C)nc(N(C)C)n1,2.790053916
650511,650-51-1,O=C(O)C(Cl)(Cl)Cl,1.58177373
673198,673-19-8,CCC(C)c1cccc(OC(=O)NC)c1,4.183003825
680319,680-31-9,CN(C)P(=O)(N(C)C)N(C)C,2.331661224
732116,732-11-6,COP(=S)(OC)SCN1C(=O)c2ccccc2C1=O,2.652088981
756796,756-79-6,COP(C)(=O)OC,1.491844994
786196,786-19-6,CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,0.777739792
791286,791-28-6,O=P(c1ccccc1)(c1ccccc1)c1ccccc1,1.745529157
822366,822-36-6,Cc1cnc[nH]1,2.143522883
824113,824-11-3,CCC12COP(OC1)OC2,3.334788726
886500,886-50-0,CCNc1nc(NC(C)(C)C)nc(SC)n1,1.780612503
