RTECS_ID,CAS_RN,SMILES,mouse_intravenous_LD50
38266,38-26-6,COC1C(O)C(CO)OC(OC2C(O)C(CO)OC(OC3C(C)OC(OC4C(OC5CCC6(C)C7=CC(O)C89C(=O)OC(C)(C%10CCC(C)(C)O%10)C8(O)CCC9(C)C7CCC6C5(C)C)OCC(OS(=O)(=O)O)C4O)C(O)C3O)C2O)C1O,5.124693291
50077,1950/7/7,COC12C(COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1CC1NC12,4.922117955
50099,1950/9/9,CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,3.202742627
50135,50-13-5,CCOC(=O)C1(c2ccccc2)CCN(C)CC1,3.870551118
50191,50-19-1,CCC(O)(COC(N)=O)c1ccccc1,2.692266159
50248,50-24-8,CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,3.301572525
50339,50-33-9,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,3.500429315
50340,50-34-0,CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc21)C(C)C,4.760253983
50373,50-37-3,CCN(CC)C(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1,3.847035897
50420,50-42-0,CCN(CC)CCOC(=O)C(c1ccccc1)c1ccccc1,4.111452361
50442,50-44-2,S=c1nc[nH]c2nc[nH]c12,3.2792733
50497,50-49-7,CN(C)CCCN1c2ccccc2CCc2ccccc21,4.071009712
50533,50-53-3,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,4.251042759
50555,50-55-5,COC(=O)C1C2CC3c4[nH]c5cc(OC)ccc5c4CCN3CC2CC(OC(=O)c2cc(OC)c(OC)c(OC)c2)C1OC,4.462175445
50566,50-56-6,CCC(C)C1NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(N)CSSCC(C(=O)N2CCCC2C(=O)NC(CC(C)C)C(=O)NCC(N)=O)NC(=O)C(CC(N)=O)NC(=O)C(CCC(N)=O)NC1=O,5.239690742
50599,50-59-9,O=C(Cc1cccs1)NC1C(=O)N2C(C(=O)O)=C(C[n+]3ccccc3)CSC12,2.277196496
50602,50-60-2,Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1,3.905192767
50635,50-63-5,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,4.170533336
50657,50-65-7,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,4.639649817
50679,50-67-9,NCCc1c[nH]c2ccc(O)cc12,3.147909358
50704,50-70-4,OCC(O)C(O)C(O)C(O)CO,1.335417157
50760,50-76-0,Cc1ccc(C(=O)NC2C(=O)NC(C(C)C)C(=O)N3CCCC3C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC2C)c2c1OC1C(C)C(=O)C(N)C(C(=O)NC3C(=O)NC(C(C)C)C(=O)N4CCCC4C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC3C)C1N2,6.09015857
50817,50-81-7,O=C1OC(C(O)CO)C(O)=C1O,2.531488781
50964,50-96-4,CCC(NC(C)C)C(O)c1ccc(O)c(O)c1,3.623095065
50975,50-97-5,OC(c1ccccc1)c1nc2ccccc2[nH]1,3.17178068
50997,50-99-7,O=CC(O)C(O)C(O)C(O)CO,1.301406221
51058,1951/5/8,CCN(CC)CCOC(=O)c1ccc(N)cc1,3.787628062
51069,1951/6/9,CCN(CC)CCNC(=O)c1ccc(N)cc1,3.472300244
51127,1951/12/7,O=C(CCNNC(=O)c1ccncc1)NCc1ccccc1,3.395538973
51172,51-17-2,c1ccc2[nH]cnc2c1,2.625235259
51218,51-21-8,O=c1[nH]cc(F)c(=O)[nH]1,3.205718832
51285,51-28-5,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,3.516882274
51296,51-29-6,CC(C)NCC(O)c1ccc(Cl)c(Cl)c1,3.809295428
51309,51-30-9,CC(C)NCC(O)c1ccc(O)c(O)c1,3.541370516
51456,51-45-6,NCCc1cnc[nH]1,2.487199423
51558,51-55-8,CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,3.714951861
51616,51-61-6,NCCc1ccc(O)c(O)c1,3.132837831
51718,51-71-8,NNCCc1ccccc1,2.938271078
51730,51-73-0,C(#CCN1CCCC1)CN1CCCC1,3.336834803
51752,51-75-2,CN(CCCl)CCCl,4.892250475
51774,51-77-4,CC(C)=CCCC(C)=CCCC(C)=CCCC(=O)OCC=C(C)CCC=C(C)C,2.152358809
51796,51-79-6,CCOC(N)=O,2.250878453
51832,51-83-2,C[N+](C)(C)CCOC(N)=O,5.651525653
51945,51-94-5,CCCCCCCCCCCC(=O)OC12C=CC(=O)C3Oc4c(OC)ccc5c4C31CCN(C)C2C5,3.616002626
52017,1952/1/7,CC(=O)SC1CC2=CC(=O)CCC2(C)C2CCC3(C)C(CCC34CCC(=O)O4)C12,3.204728195
52244,52-24-4,S=P(N1CC1)(N1CC1)N1CC1,4.115608217
52437,52-43-7,C=CCC1(CC=C)C(=O)NC(=O)NC1=O,2.980059691
52493,52-49-3,OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1,3.822613526
52517,52-51-7,O=[N+]([O-])C(Br)(CO)CO,3.6197627
52619,52-61-9,CC(=O)OC1CC[N+](C)(Cc2ccccc2)C1,3.62007119
52664,52-66-4,CC(C)(S)C(N)C(=O)O,1.713417004
52686,52-68-6,COP(=O)(OC)C(O)C(Cl)(Cl)Cl,2.948272968
52722,52-72-2,CC12CCC3C(CCC4CC(O)C(N5CCOCC5)CC43C)C1CCC2=O,3.043192319
52868,52-86-8,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,4.461095467
52891,52-89-1,NC(CS)C(=O)O,2.091380654
52915,52-91-5,CC(=O)C1C(C)CC2C3CCC4CC(O)C(N5CCOCC5)CC4(C)C3C(=O)CC21C,3.783840193
52926,52-92-6,CC(=O)C1CCC2C3CCC4CC(O)C(N5CCOCC5)CC4(C)C3C(=O)CC12C,3.872562063
53076,1953/7/6,CC(=O)C1C(C)CC2C3CCC4CC(O)C(N5CCOCC5)CC4(C)C3CCC21C,3.706981995
53101,1953/10/1,CC12CCC(=O)CC1CCC1C2CCC2(C)C(C(=O)COC(=O)CCC(=O)O)CCC12,3.238103336
53214,53-21-4,COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,4.287178378
53316,53-31-6,c1ccc(C(c2ccccc2)N2CCN(Cc3ccc4c(c3)OCO4)CC2)cc1,3.974360023
53407,53-40-7,CC(=O)C1CCC2C3CCC4CC(O)C(N5CCOCC5)CC4(C)C3CCC12C,3.820628855
53463,53-46-3,CC[N+](C)(CC)CCOC(=O)C1c2ccccc2Oc2ccccc21,4.898575953
53861,53-86-1,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,4.114975058
53894,53-89-4,CN1CCC(n2[nH]c(-c3ccccc3)c(Cc3ccccc3)c2=O)CC1,3.336787332
54035,1954/3/5,COc1cc(C(=O)OCCCN(C)CCN(C)CCCOC(=O)c2cc(OC)c(OC)c(OC)c2)cc(OC)c1OC,4.226282005
54068,1954/6/8,CN1CC(O)C2=CC(=O)C(=O)C=C21,3.146067443
54308,54-30-8,CCN(CC)CCNC(C(=O)OCCC(C)C)c1ccccc1,3.813831764
54319,54-31-9,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,3.030947823
54477,54-47-7,Cc1ncc(COP(=O)(O)O)c(C=O)c1O,2.668672445
54648,54-64-8,CC[Hg]Sc1ccccc1C(=O)O,3.929797987
54717,54-71-7,CCC1C(=O)OCC1Cc1cncn1C,3.223931367
54773,54-77-3,C[N+]1(C)CCN(c2ccccc2)CC1,5.077590447
54808,54-80-8,CC(C)NCC(O)c1ccc2ccccc2c1,3.858717349
54842,54-84-2,CN(C)CCCSc1ccccc1NC(=O)C=Cc1ccccc1,3.988038868
54853,54-85-3,NNC(=O)c1ccncc1,2.96398421
54864,54-86-4,O=C(O)c1cccnc1,1.47018419
54955,54-95-5,C1CCc2nnnn2CC1,3.643496682
54966,54-96-6,Nc1ccncc1N,3.924008762
55185,55-18-5,CCN(CC)N=O,2.542315477
55221,55-22-1,O=C(O)c1ccncc1,1.391326855
55389,55-38-9,COP(=S)(OC)Oc1ccc(SC)c(C)c1,2.939417843
55436,55-43-6,ClCCN(Cc1ccccc1)Cc1ccccc1,3.715635708
55458,55-45-8,C[N+](C)(C)CC#CCOC(=O)Nc1cccc(Cl)c1,5.380215866
55527,55-52-7,CC(Cc1ccccc1)NN,4.093956842
55561,55-56-1,N=C(N=C(N)Nc1ccc(Cl)cc1)NCCCCCCNC(=N)N=C(N)Nc1ccc(Cl)cc1,4.323473833
55630,55-63-0,O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],4.330882583
55652,55-65-2,N=C(N)NCCN1CCCCCCC1,3.940188494
55732,55-73-2,CNC(=NCc1ccccc1)NC,4.036214623
