RTECS_ID,CAS_RN,SMILES,mouse_intravenous_LDLo
50715,50-71-5,O=C1NC(=O)C(=O)C(=O)N1,3.001987383
51183,51-18-3,C1CN1c1nc(N2CC2)nc(N2CC2)n1,4.708074431
56553,56-55-3,c1ccc2cc3c(ccc4ccccc43)cc2c1,4.358494498
57830,57-83-0,CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,3.49757784
61121,1961/12/1,CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1,4.757738824
63741,63-74-1,Nc1ccc(S(N)(=O)=O)cc1,2.457904594
64437,64-43-7,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,3.053608497
66320,66-32-0,O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46,5.746139694
67641,67-64-1,CC(C)=O,1.161966616
69534,69-53-4,CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O,2.118946262
73096,1973/9/6,CCOC(=O)C=C1SC(N2CCCCC2)C(=O)N1C,3.701084146
76448,76-44-8,ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl,4.271052425
80922,80-92-2,CC(O)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C,4.660753029
88302,88-30-2,O=[N+]([O-])c1ccc(O)cc1C(F)(F)F,3.381696327
95501,95-50-1,Clc1ccccc1Cl,2.565269161
100210,100-21-0,O=C(O)c1ccc(C(=O)O)cc1,2.106509941
106707,106-70-7,CCCCCC(=O)OC,3.433326382
110543,110-54-3,CCCCCC,2.015795387
112583,112-58-3,CCCCCCOCCCCCC,2.32336049
115446,115-44-6,C=CCC1(C(C)CC)C(=O)NC(=O)NC1=O,3.19541578
130154,130-15-4,O=C1C=CC(=O)c2ccccc21,4.199085672
132296,132-29-6,O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1-c1ccccc1,3.905672858
132923,132-92-3,COc1cccc(OC)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,1.978205633
138658,138-65-8,NCC(O)c1ccc(O)c(O)c1,4.529379016
142961,142-96-1,CCCCOCCCC,2.703094669
144809,144-80-9,CC(=O)NS(=O)(=O)c1ccc(N)cc1,2.427822735
154416,154-41-6,CC(N)C(O)c1ccccc1,2.931458869
156569,156-56-9,C=C1CC1CC(N)C(=O)O,3.357350725
299263,299-26-3,CC(N)Cc1c[nH]c2ccccc12,3.161984064
309433,309-43-3,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,3.263156997
329657,329-65-7,CNCC(O)c1ccc(O)c(O)c1,4.563972059
442513,442-51-3,COc1ccc2c(c1)[nH]c1c(C)nccc12,3.627881787
455801,455-80-1,CCCCN(CCCC)CCCOC(=O)c1ccc(F)c(I)c1,3.898446929
469794,469-79-4,CCC(=O)C1(c2cccc(O)c2)CCN(C)CC1,4.13801834
487547,487-54-7,O=C(O)CNC(=O)c1ccccc1O,2.512270712
501304,501-30-4,O=c1cc(CO)occ1O,1.97653338
533288,533-28-8,CC1CCCCN1CCCOC(=O)c1ccccc1,3.995643503
537268,537-26-8,CN1C2CCC1CC(OC(=O)c1ccccc1)C2,3.766487206
548629,548-62-9,CN(C)c1ccc([C+](c2ccc(N(C)C)cc2)c2ccc(N(C)C)cc2)cc1,4.270138251
549848,549-84-8,COC(=O)C1C(O)CCC2CN3CCc4c([nH]c5ccccc45)C3CC21,4.14047372
563688,563-68-8,CC(=O)O,1.946549871
573580,573-58-0,Nc1c(N=Nc2ccc(-c3ccc(N=Nc4cc(S(=O)(=O)O)c5ccccc5c4N)cc3)cc2)cc(S(=O)(=O)O)c2ccccc12,3.416782919
583608,583-60-8,CC1CCCCC1=O,2.618520699
603509,603-50-9,CC(=O)Oc1ccc(C(c2ccc(OC(C)=O)cc2)c2ccccn2)cc1,3.654894556
637036,637-03-6,O=[As]c1ccccc1,5.029479421
639145,639-14-5,CC1(C)CCC2(C(=O)O)CCC3(C)C(=CCC4C5(C)CCC(O)C(C)(C=O)C5CCC43C)C2C1,4.496647403
709557,709-55-7,CCNCC(O)c1cccc(O)c1,4.216849387
736265,736-26-5,O=Nc1ccc(NNC(=O)c2ccncc2)c(=O)cc1,3.130732493
824113,824-11-3,CCC12COP(OC1)OC2,5.209849989
981408,981-40-8,CC(C)(C)c1ccc(OP(=O)(Oc2ccccc2)Oc2ccccc2)cc1,3.582513341
1005932,1005-93-2,CCC12COP(=O)(OC1)OC2,5.551752435
1024573,1024-57-3,ClC1=C(Cl)C2(Cl)C3C4OC4C(Cl)C3C1(Cl)C2(Cl)Cl,4.590306715
1098448,1098-44-8,C=C1CC(=CC)C(=O)OC2CCN3CC=C(COC(=O)C1(C)O)C23,3.823974749
1620195,1620-19-5,C[N+](C)(C)c1cccc(O)c1,3.78452315
2097190,2097-19-0,c1ccc([Si]23OCCN(CCO2)CCO3)cc1,3.400292712
2469343,2469-34-3,CC1(C)CCC2(C(=O)O)CCC3=C(C(CCl)CC4C3(C)CCC3C4(C)CC(O)C(O)C3(C)C(=O)O)C2C1,4.076872555
2482806,2482-80-6,Clc1cc(N2CC2)nc(N2CC2)n1,4.117582815
2571860,2571-86-0,C=C(C)C1C2CC3(C)C4(CO4)C4OC4C3(O)C1C(=O)O2,5.444519448
2738649,2738-64-9,CC=C(C)C(O)C(C)C=C(C)C=CCC(C)=CCc1[nH]c(OC)c(OC)c(=O)c1C,5.618648369
2883989,2883-98-9,CC=Cc1cc(OC)c(OC)cc1OC,3.499055672
2947004,2947-00-4,CCNCC(O)c1ccc(O)c(O)c1,4.391891796
3484671,3484-67-1,NCCCC(N)CC(=O)NCCCC(N)CC(=O)NCCCC(N)CC(=O)NCCCC(N)CC(=O)NCCCC(N)CC(=O)NCCCC(N)CC(=O)NC1C(NC2=NC3C(O)CNC(=O)C3N2)OC(CO)C(OC(N)=O)C1O,7.434950417
3484682,3484-68-2,NCCCC(N)CC(=O)NCCCC(N)CC(=O)NCCCC(N)CC(=O)NCCCC(N)CC(=O)NCCCC(N)CC(=O)NC1C(NC2=NC3C(O)CNC(=O)C3N2)OC(CO)C(OC(N)=O)C1O,6.68850068
6295530,6295-53-0,Cc1ccc(OC(=O)N2CCCCC2)c(C(C)C)c1[N+](C)(C)C,6.653170374
7532607,7532-60-7,CCCCNCC(O)CNc1ccc(C)cc1,4.896450889
8061516,8061-51-6,COc1cc(CCCS(=O)(=O)O)ccc1OC(Cc1cccc(OC)c1O)CS(=O)(=O)O,2.991715046
9005678,9005-67-8,CCCCCCCCCCCCCCCCCC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,2.783072768
11024241,11024-24-1,CC1CCC2(OC1)OC1C(O)C3C4CCC5CC(OC6OC(CO)C(OC7OC(CO)C(O)C(OC8OCC(O)C(O)C8O)C7OC7OC(CO)C(O)C(OC8OC(CO)C(O)C(O)C8O)C7O)C(O)C6O)C(O)CC5(C)C4CCC3(C)C1C2C,5.089666007
16846347,16846-34-7,COC1C(O)CC(=O)OC(C)CC=CC=CC(O)C(C)CC(CC=O)C1OC1OC(C)C(OC2CC(C)(O)C(OC(=O)CC(C)C)C(C)O2)C(N(C)C)C1O,3.050307377
17466454,17466-45-4,CC1NC(=O)C(CC(C)(O)CO)NC(=O)C2Cc3c([nH]c4ccccc34)SCC(NC(=O)C(C(C)O)NC1=O)C(=O)N1CC(O)CC1C(=O)NC(C)C(=O)N2,5.077467561
23509162,23509-16-2,Cc1c[nH]c(C)c1C(=O)OC(C)C1=CCC23OCCN(C)CC12CC(O)C12OC4(O)CCC1(C)C(CC=C32)C4,8.299971118
23930190,23930-19-0,CC(=O)C1CCC2C3CCC4CC(O)CCC4(C)C3C(=O)CC12C,3.317650768
24280931,24280-93-1,COc1c(C)c2c(c(O)c1CC=C(C)CCC(=O)O)C(=O)OC2,2.855097529
27819472,27819-47-2,CCN(CC)CCOC(=O)C1c2ccccc2Oc2ccccc21,4.308308243
29400428,29400-42-8,CC(=O)OC1CC2(C)C(CCC3C4(C)C=CC(=O)C(C)C4C(OC(C)=O)C(=O)C32C)C1=C(CCC=C(C)C)C(=O)O,3.05591857
36168237,36168-23-7,CC=C1CC(C)C(O)(CO)C(=O)OCC2=CCN3CCC(OC1=O)C23,3.700702481
51287662,51287-66-2,NC(=NP(=O)(O)O)N=C(N)Nc1ccccc1,2.96000497
52820005,52820-00-5,CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,4.925317249
55156246,55156-24-6,N#[N+][CH-]C(=O)CCC(NC(=O)C(CCC(=O)[CH-][N+]#N)NC(=O)CCC(N)C(=O)O)C(=O)O,3.660857815
55383603,55383-60-3,CN(C)c1ncnc2c1N=C(N)CS2,2.922783568
60398223,60398-22-3,CC[N+](C)(CC)c1cccc(OC(=O)NC)c1,6.37533983
63951122,63951-12-2,CCN(CC)CCN(CC)c1ccccc1,3.866011509
66641381,66641-38-1,CC=C1CC(C)C(C)(O)C(=O)OCC2CCN3CCC(OC1=O)C23,4.528165673
67465296,67465-29-6,CCN(CC)CC(C)(C)COC(=O)C(C)(OC(C)=O)c1ccccc1,3.730497786
69225963,69225-96-3,CC(=O)OCC(C(=O)OCC(C)(C)CN1CCCCC1)c1ccccc1,3.859116672
69343459,69343-45-9,CCCOC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,4.219338234
75348402,75348-40-2,CCN(CC)CCOc1ccc(C(=O)Nc2ccccc2OC)cn1,3.535834436
78218958,78218-95-8,CCCCCCCCOP(=O)(NCCCO)N(CCCl)CCCl,4.194592036
78329858,78329-85-8,CCCCOc1ccc(C(=O)OCCN(CC)CCO)cc1,2.946460687
83144110,83144-11-0,CC(=O)C1CC(=O)OC1c1ccc(Cl)cc1,4.678827829
102107619,102107-61-9,O=[As]c1ccc(O)c([N+](=O)[O-])c1,4.484817836
103577453,103577-45-3,Cc1c(OCC(F)(F)F)ccnc1CS(=O)c1nc2ccccc2[nH]1,3.692398004
103840444,103840-44-4,CCOc1ccccc1N1CCN(CCOc2cc(C)c(O)cc2C(C)C)CC1,4.503569531
119694676,119694-67-6,NC(=S)N/N=C/c1cc2c(cn1)[nH]c1ccccc12,4.430289569
128232144,128232-14-4,CC(=O)Oc1c(C)c(C)c2c(c1C)CC(CC(=O)O)O2,2.541429461
1229352,1229-35-2,CN1CCC(CN2c3ccccc3Sc3ccccc32)C1,4.073995331
1404155,1404-15-5,COC(=O)C1c2cc3c(c(O)c2C(OC2OC(C)C(OC)C(C)(OC)C2OC)CC1(C)O)C(=O)c1c(O)cc2c(c1C3=O)OC1OC2(C)C(O)C(N(C)C)C1O,4.967003666
1404882,1404-88-2,CC(C)CC1NC(=O)C(CCCN)NC(=O)C(C(C)C)NC(=O)C(Cc2ccc(O)cc2)NC(CCC(=O)O)C(=O)NC(CC(N)=O)C(=O)C(Cc2ccccc2)NC(=O)C(Cc2ccccc2)NC(=O)C2CCCN2C(=O)C(Cc2ccccc2)NC1=O,6.01017942
7568936,7568-93-6,NCC(O)c1ccccc1,2.697964436
23795031,23795-03-1,CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1,2.794535228
88220977,88220-97-7,CC(=O)C1CC(=O)OC1c1c(F)cccc1Cl,4.710388186
94982306,94982-30-6,C[S+](C)CCCCCC[S+](C)C,3.142881471
