RTECS_ID,CAS_RN,SMILES,mouse_oral_LD50
50000,50-00-0,C=O,2.85424819
50077,1950/7/7,COC12C(COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1CC1NC12,4.16245011
50099,1950/9/9,CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,2.477179554
50113,1950/11/3,CCC1(CC)C(=O)NC(=O)N(C)C1=O,2.598181849
50124,1950/12/4,CCC1(c2ccccc2)NC(=O)N(C)C1=O,2.695513515
50135,50-13-5,CCOC(=O)C1(c2ccccc2)CCN(C)CC1,3.117565846
50146,50-14-6,C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)C=CC(C)C(C)C,4.223668967
50191,50-19-1,CCC(O)(COC(N)=O)c1ccccc1,2.401576997
50248,50-24-8,CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,2.331535748
50293,50-29-3,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,3.419271445
50317,50-31-7,O=C(O)c1c(Cl)ccc(Cl)c1Cl,2.564190534
50339,50-33-9,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,2.892836768
50340,50-34-0,CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc21)C(C)C,2.918073946
50351,50-35-1,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,2.688432725
50420,50-42-0,CCN(CC)CCOC(=O)C(c1ccccc1)c1ccccc1,2.754792846
50442,50-44-2,S=c1nc[nH]c2nc[nH]c12,2.540077718
50497,50-49-7,CN(C)CCCN1c2ccccc2CCc2ccccc21,3.09105597
50533,50-53-3,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,3.373283979
50555,50-55-5,COC(=O)C1C2CC3c4[nH]c5cc(OC)ccc5c4CCN3CC2CC(OC(=O)c2cc(OC)c(OC)c(OC)c2)C1OC,4.085424736
50566,50-56-6,CCC(C)C1NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(N)CSSCC(C(=O)N2CCCC2C(=O)NC(CC(C)C)C(=O)NCC(N)=O)NC(=O)C(CC(N)=O)NC(=O)C(CCC(N)=O)NC1=O,3.292155616
50599,50-59-9,O=C(Cc1cccs1)NC1C(=O)N2C(C(=O)O)=C(C[n+]3ccccc3)CSC12,1.318589181
50602,50-60-2,Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1,2.449260812
50635,50-63-5,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,2.848013827
50657,50-65-7,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,2.51471108
50679,50-67-9,NCCc1c[nH]c2ccc(O)cc12,3.467901482
50704,50-70-4,OCC(O)C(O)C(O)C(O)CO,0.964060285
50760,50-76-0,Cc1ccc(C(=O)NC2C(=O)NC(C(C)C)C(=O)N3CCCC3C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC2C)c2c1OC1C(C)C(=O)C(N)C(C(=O)NC3C(=O)NC(C(C)C)C(=O)N4CCCC4C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC3C)C1N2,4.986939083
50782,50-78-2,CC(=O)Oc1ccccc1C(=O)O,2.857715954
50817,50-81-7,O=C1OC(C(O)CO)C(O)=C1O,1.587963765
50840,50-84-0,O=C(O)c1ccc(Cl)cc1Cl,2.361984833
50851,50-85-1,Cc1ccc(C(=O)O)c(O)c1,1.926996597
50919,50-91-9,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1F,3.22396013
51036,1951/3/6,CCCCOCCOCCOCc1cc2c(cc1CCC)OCO2,2.114513471
51058,1951/5/8,CCN(CC)CCOC(=O)c1ccc(N)cc1,2.979938243
51069,1951/6/9,CCN(CC)CCNC(=O)c1ccc(N)cc1,2.488937999
51127,1951/12/7,O=C(CCNNC(=O)c1ccncc1)NCc1ccccc1,2.703868208
51172,51-17-2,c1ccc2[nH]cnc2c1,1.608500301
