RTECS_ID,CAS_RN,SMILES,mouse_oral_LDLo
54126,1954/12/6,NC(Cc1c[nH]c2ccccc12)C(=O)O,1.134026152
55378,55-37-8,COP(=S)(OC)Oc1cc(C)c(SC)c(C)c1,2.436537146
58366,58-36-6,c1ccc2c(c1)Oc1ccccc1[As]2O[As]1c2ccccc2Oc2ccccc21,4.077655955
61007,61-00-7,CC(=O)c1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2,3.212806632
61165,61-16-5,COc1ccc(OC)c(C(O)C(C)N)c1,3.194485563
68359,68-35-9,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,1.398431352
72004,72-00-4,CCOP(=O)(OC=C(Cl)Cl)OCC,3.773002378
72548,72-54-8,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,2.727061153
74942,74-94-2,CNC,2.95506207
75570,75-57-0,C[N+](C)(C)C,2.773183571
75854,75-85-4,CCC(C)(C)O,1.547282308
77510,77-51-0,CC(CC(C#N)(c1ccccc1)C(C)C)N(C)C,2.810577415
77747,77-74-7,CCC(C)(O)CC,2.134291884
78115,1978/11/5,O=[N+]([O-])OCC(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-],1.65477454
79196,79-19-6,NNC(N)=S,2.986576405
80068,1980/6/8,CC(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,2.551702043
80126,1980/12/6,O=S1(=O)N2CN3CN1CN(C2)S3(=O)=O,6.079662323
80159,80-15-9,CC(C)(OO)c1ccccc1,1.483424674
83056,1983/5/6,O=C(O)C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,2.670768301
83341,83-34-1,Cc1c[nH]c2ccccc12,2.445763147
88299,88-29-9,CCc1cc2c(cc1C(C)=O)C(C)(C)CCC2(C)C,2.740203055
89690,89-69-0,O=[N+]([O-])c1cc(Cl)c(Cl)cc1Cl,2.325580876
90415,90-41-5,Nc1ccccc1-c1ccccc1,1.228469655
91996,91-99-6,Cc1cccc(N(CCO)CCO)c1,2.591647729
93754,93-75-4,S=c1sc2nc3ccccc3nc2s1,2.344164479
94702,94-70-2,CCOc1ccccc1N,2.35914588
97563,97-56-3,Cc1cc(N=Nc2ccccc2C)ccc1N,2.449661566
97858,97-85-8,CC(C)COC(=O)C(C)C,1.051797453
98964,98-96-4,NC(=O)c1cnccn1,1.613189715
100174,100-17-4,COc1ccc([N+](=O)[O-])cc1,2.70795888
101768,101-76-8,Clc1ccc(Cc2ccc(Cl)cc2)cc1,2.198893411
105555,105-55-5,CCNC(=S)NCC,3.328944877
105873,105-87-3,CC(=O)OCC=C(C)CCC=C(C)C,1.389808188
106310,106-31-0,CCCC(=O)OC(=O)CCC,2.199198243
106934,106-93-4,BrCCBr,2.875898933
107697,107-69-7,NC(=O)OCC(Cl)(Cl)Cl,2.40920926
107926,107-92-6,CCCC(=O)O,2.24603548
108112,108-11-2,CC(C)CC(C)O,2.009353147
109319,109-31-9,CCCCCCOC(=O)CCCCCCCC(=O)OCCCCCC,1.376025528
109808,109-80-8,SCCCS,2.004967893
109853,109-85-3,COCCN,1.671583561
112276,112-27-6,OCCOCCOCCO,0.90942302
115695,115-69-5,CC(N)(CO)CO,2.875627545
115786,115-78-6,CCCC[P+](CCCC)(CCCC)Cc1ccc(Cl)cc1Cl,2.887024415
120729,120-72-9,c1ccc2[nH]ccc2c1,2.039362222
122349,122-34-9,CCNc1nc(Cl)nc(NCC)n1,1.605651912
123386,123-38-6,CCC=O,1.860936621
123693,123-69-3,O=C1CCCCCC=CCCCCCCCCO1,2.197965927
123819,123-81-9,O=C(CS)OCCOC(=O)CS,3.623819703
126750,126-75-0,CCOP(=O)(OCC)SCCSCC,4.648772067
127333,127-33-3,CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(O)C3CC12,2.065260318
130154,130-15-4,O=C1C=CC(=O)c2ccccc21,3.295995686
131179,131-17-9,C=CCOC(=O)c1ccccc1C(=O)OCC=C,2.55825029
131793,131-79-3,Cc1ccccc1N=Nc1c(N)ccc2ccccc12,2.417185945
132605,132-60-5,O=C(O)c1cc(-c2ccccc2)nc2ccccc12,2.220577012
134532,134-53-2,CCN(CC)CC(C)(C)COC(=O)C(CO)c1ccccc1,2.73187704
135193,135-19-3,Oc1ccc2ccccc2c1,3.158883935
139935,139-93-5,Nc1cc([AsH]=[AsH]c2ccc(O)c(N)c2)ccc1O,2.264935822
140567,140-56-7,CN(C)c1ccc(N=NS(=O)(=O)O)cc1,3.214202147
151735,151-73-5,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)COP(=O)(O)O,2.072292185
298033,298-03-3,CCOP(=S)(OCC)OCCSCC,4.333018815
