RTECS_ID,CAS_RN,SMILES,mouse_parenteral_LD50
50099,1950/9/9,CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,3.169290437
50135,50-13-5,CCOC(=O)C1(c2ccccc2)CCN(C)CC1,3.142870842
50668,50-66-8,CSc1ncnc2nc[nH]c12,3.159956696
51058,1951/5/8,CCN(CC)CCOC(=O)c1ccc(N)cc1,3.09019006
54955,54-95-5,C1CCc2nnnn2CC1,3.283093834
57294,57-29-4,C=CCN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,2.667217306
57476,57-47-6,CNC(=O)Oc1ccc2c(c1)C1(C)CCN(C)C1N2C,5.661736985
62237,62-23-7,O=C(O)c1ccc([N+](=O)[O-])cc1,2.055711092
64040,64-04-0,NCCc1ccccc1,3.0834417
64653,64-65-3,CCC1(C)CC(=O)NC(=O)C1,3.685733344
65292,65-29-2,CC[N+](CC)(CC)CCOc1cccc(OCC[N+](CC)(CC)CC)c1OCC[N+](CC)(CC)CC,5.477825773
66320,66-32-0,O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46,5.498985079
69534,69-53-4,CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O,2.066216561
76755,76-75-5,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,3.430189762
78182,78-18-2,OOC1(OOC2(O)CCCCC2)CCCCC1,2.090439706
96059,1996/5/9,C=CCOC(=O)C(=C)C,3.345029612
104767,104-76-7,CCCCC(CC)CO,1.891997904
121926,121-92-6,O=C(O)c1cccc([N+](=O)[O-])c1,2.112438717
135091,135-09-1,NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NCNS2(=O)=O,2.447600027
144741,144-74-1,Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,2.117057028
144832,144-83-2,Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1,2.396713568
154869,154-86-9,CNCC(O)c1cccc(O)c1,1.737535626
300425,300-42-5,CNC(C)Cc1ccccc1,3.668726532
306672,306-67-2,NCCCNCCCCNCCCN,3.81473293
340567,340-56-7,Cc1ccccc1-n1c(C)nc2ccccc2c1=O,2.69949258
370149,370-14-9,CNC(C)Cc1ccc(O)cc1,3.218104673
372747,372-74-7,CCOC(=O)CNC(=O)CF,3.911551759
407341,407-34-1,O=C(CF)NC(=O)NCF,3.403977964
438415,438-41-5,CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+](O)C1,2.633135032
439145,439-14-5,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,3.551367645
453189,453-18-9,COC(=O)CF,4.185962176
459983,459-98-3,O=C(CF)NCCCl,5.746811616
553275,553-27-5,ClCCN(CCCl)c1ccccc1,3.241799413
611085,611-08-5,O=c1[nH]cc([N+](=O)[O-])c(=O)[nH]1,1.906100105
635416,635-41-6,COc1cc(C(=O)N2CCOCC2)cc(OC)c1OC,2.370000837
724345,724-34-5,c1ccc(CSc2ncnc3nc[nH]c23)cc1,3.129093456
756809,756-80-9,COP(=S)(S)OC,3.363471982
766278,766-27-8,CCC1(CC)NCCS1,2.259088939
767691,767-69-1,Brc1ncnc2nc[nH]c12,2.78967456
822446,822-44-6,CC1(C)NCCS1,2.370020598
853349,853-34-9,CC(=O)CCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,2.695433179
911659,911-65-9,CCOc1ccc(Cc2nc3cc([N+](=O)[O-])ccc3n2CCN(CC)CC)cc1,3.497862789
1095905,1095-90-5,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,4.68641952
1160903,1160-90-3,CC(=O)NC(Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O,3.479934409
1448937,1448-93-7,CC(=O)Oc1ccc(N(CCCl)CCCl)cc1,4.280127079
1465265,1465-26-5,NC(Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O,4.706440394
1683927,1683-92-7,CCSC(=O)C(F)(Cl)[N+](=O)[O-],3.074054532
1683938,1683-93-8,CCOC(=O)C(F)(Cl)[N+](=O)[O-],3.33393442
