RTECS_ID,CAS_RN,SMILES,mouse_skin_LD50
51752,51-75-2,CN(CCCl)CCCl,3.730882473
52517,52-51-7,O=[N+]([O-])C(Br)(CO)CO,1.624310328
52686,52-68-6,COP(=O)(OC)C(O)C(Cl)(Cl)Cl,2.177674855
55389,55-38-9,COP(=S)(OC)Oc1ccc(SC)c(C)c1,2.745597817
55630,55-63-0,O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],3.809645785
55914,55-91-4,CC(C)OP(=O)(F)OC(C)C,3.407832152
56359,56-35-9,CCCC[Sn](CCCC)(CCCC)O[Sn](CCCC)(CCCC)CCCC,3.563143903
56382,56-38-2,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,4.1855347
57396,57-39-6,CC1CN1P(=O)(N1CC1C)N1CC1C,2.758885662
60515,60-51-5,CNC(=O)CSP(=S)(OC)OC,2.360333971
62737,62-73-7,COP(=O)(OC)OC=C(Cl)Cl,3.030477888
62748,62-74-8,O=C(O)CF,3.489207869
67685,67-68-5,CS(C)=O,0.19388117
70304,70-30-4,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,3.178131397
71432,71-43-2,c1ccccc1,3.21148764
77816,77-81-6,CCOP(=O)(C#N)N(C)C,5.209860704
79221,79-22-1,COC(=O)Cl,1.732379972
79390,79-39-0,C=C(C)C(N)=O,1.151808929
85687,85-68-7,CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1,1.668587563
86500,86-50-0,COP(=S)(OC)SCn1nnc2ccccc2c1=O,3.688600512
87683,87-68-3,ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,3.240153044
87865,87-86-5,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,3.332011449
96640,96-64-0,CC(OP(C)(=O)F)C(C)(C)C,4.368394176
97416,97-41-6,CCOC(=O)C1C(C=C(C)C)C1(C)C,1.593928171
99309,99-30-9,Nc1c(Cl)cc([N+](=O)[O-])cc1Cl,1.617033908
106752,106-75-2,O=C(Cl)OCCOCCOC(=O)Cl,1.832191341
106898,106-89-8,ClCC1CO1,2.568319085
107073,107-07-3,OCCCl,3.650598898
107448,107-44-8,CC(C)OP(C)(=O)F,5.11299578
107493,107-49-3,CCOP(=O)(OCC)OP(=O)(OCC)OCC,4.559590959
108236,108-23-6,CC(C)OC(=O)Cl,4.009135613
109615,109-61-5,CCCOC(=O)Cl,4.088316859
111308,111-30-8,O=CCCCC=O,1.23409498
114261,114-26-1,CNC(=O)Oc1ccccc1OC(C)C,2.187116181
119120,119-12-0,CCOP(=S)(OCC)Oc1ccc(=O)n(-c2ccccc2)n1,2.712370335
120365,120-36-5,CC(Oc1ccc(Cl)cc1Cl)C(=O)O,2.225061782
121755,121-75-5,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,2.151636795
122145,122-14-5,COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(C)c1,2.044912749
124050,124-05-0,O=C(Cl)OCCOC(=O)Cl,1.970760514
127195,127-19-5,CC(=O)N(C)C,0.957856604
130201,130-20-1,O=c1c2ccccc2c(=O)c2c1cc(Cl)c1[nH]c3c([nH]c12)c(Cl)cc1c(=O)c2ccccc2c(=O)c13,1.310752772
136969,136-96-9,CCN(CC)CCOc1ccc2nc(N(C)C)sc2c1,2.443849476
140885,140-88-5,C=CC(=O)OCC,1.523821085
298000,298-00-0,COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1,2.341122789
298044,298-04-4,CCOP(=S)(OCC)SCCSCC,4.245280083
300765,300-76-5,COP(=O)(OC)OC(Br)C(Cl)(Cl)Br,2.802527441
315184,315-18-4,CNC(=O)Oc1cc(C)c(N(C)C)c(C)c1,3.317532241
333415,333-41-5,CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,2.044043466
351053,351-05-3,O=C(CF)Nc1ccc(Br)cc1,3.514326967
358747,358-74-7,CCOP(=O)(F)OCC,3.649315383
404864,404-86-4,COc1cc(CNC(=O)CCCCC=CC(C)C)ccc1O,2.775624668
439145,439-14-5,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,2.551367645
470906,470-90-6,CCOP(=O)(OCC)OC(=CCl)c1ccc(Cl)cc1Cl,3.029447796
485314,485-31-4,CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1OC(=O)C=C(C)C,2.633221949
505602,505-60-2,ClCCSCCCl,3.237830485
533744,533-74-4,CN1CSC(=S)N(C)C1,1.830061786
538078,538-07-8,CCN(CCCl)CCCl,4.116717555
541253,541-25-3,ClC=C[As](Cl)Cl,4.237457859
543215,543-21-5,NC(=O)C#CC(N)=O,2.225433286
555771,555-77-1,ClCCN(CCCl)CCCl,4.465654732
556616,556-61-6,CN=C=S,1.603964795
576261,576-26-1,Cc1cccc(C)c1O,2.123166082
624839,624-83-9,CN=C=O,1.496199486
640197,640-19-7,NC(=O)CF,3.355338816
644644,644-64-4,Cc1cc(OC(=O)N(C)C)nn1C(=O)N(C)C,3.426444386
693301,693-30-1,OCCSCCCl,2.369942167
696286,696-28-6,Cl[As](Cl)c1ccccc1,4.746116317
767102,767-10-2,CCCCN1CCCC1,2.190779088
780110,780-11-0,CNC(=O)Oc1cccc(C(C)(C)C)c1,1.891661097
824113,824-11-3,CCC12COP(OC1)OC2,4.607789998
831765,831-76-5,CNC(=O)Oc1cc(C)c(N)c(C)c1,4.443227214
1129415,1129-41-5,CNC(=O)Oc1cccc(C)c1,1.916959016
1467794,1467-79-4,CN(C)C#N,2.748777027
1696179,1696-17-9,CCN(CC)C(=O)c1ccccc1,2.018129972
1836777,1836-77-7,O=[N+]([O-])c1ccc(Oc2c(Cl)cc(Cl)cc2Cl)cc1,1.503168066
2032599,2032-59-9,CNC(=O)Oc1ccc(N(C)C)c(C)c1,3.827246256
2055143,2055-14-3,CCN(CC)Cc1cccnc1,2.194321367
2079007,2079-00-7,CN(CCC(N)CC(=O)NC1C=CC(n2ccc(N)nc2=O)OC1C(=O)O)C(=N)N,3.283348521
2104645,2104-64-5,CCOP(=S)(Oc1ccc([N+](=O)[O-])cc1)c1ccccc1,2.968039894
2152445,2152-44-5,CCCCC(=O)OC1(C(=O)CO)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,2.426745519
2227170,2227-17-0,ClC1=C(Cl)C(Cl)(C2(Cl)C(Cl)=C(Cl)C(Cl)=C2Cl)C(Cl)=C1Cl,1.977394331
2275232,2275-23-2,CNC(=O)C(C)SCCSP(=O)(OC)OC,2.294047766
2488019,01-09-88,C[SiH](C)c1ccc([SiH](C)C)cc1,1.811633087
2497076,07-06-97,CCOP(=S)(OCC)SCCS(=O)CC,3.043058809
2540821,2540-82-1,COP(=S)(OC)SCC(=O)N(C)C=O,2.808334219
2631405,2631-40-5,CNC(=O)Oc1ccccc1C(C)C,2.076595499
2636262,2636-26-2,COP(=S)(OC)Oc1ccc(C#N)cc1,2.084976431
2674911,2674-91-1,CCS(=O)CC(C)SP(=O)(OC)OC,2.374109845
2691465,2691-46-5,CCN(CC)CCOC(=O)C(c1ccccc1)N1CCCCC1,2.802352537
2738649,2738-64-9,CC=C(C)C(O)C(C)C=C(C)C=CCC(C)=CCc1[nH]c(OC)c(OC)c(=O)c1C,5.217247828
2745075,07-05-45,O=c1cccccc1NNc1ccccc1,2.326851791
2797515,2797-51-5,NC1=C(Cl)C(=O)c2ccccc2C1=O,2.016230824
2921882,2921-88-2,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,3.465619517
3037727,3037-72-7,CCO[Si](C)(CCCCN)OCC,3.659332948
3766812,3766-81-2,CCC(C)c1ccccc1OC(=O)NC,2.785063816
3811492,3811-49-2,COP1(=S)OCc2ccccc2O1,2.237941659
3861470,3861-47-0,CCCCCCCC(=O)Oc1c(I)cc(C#N)cc1I,2.603034309
4261727,4261-72-7,CCCCCCCCCCCCCCCCCC(=O)NC[n+]1ccccc1,1.884553785
5421465,5421-46-5,O=C(O)CS,3.292251357
