RTECS_ID,CAS_RN,SMILES,mouse_subcutaneous_LD50
50000,50-00-0,C=O,2.000376226
50033,1950/3/3,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C,3.953226952
50077,1950/7/7,COC12C(COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1CC1NC12,4.660855086
50099,1950/9/9,CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,2.760626563
50135,50-13-5,CCOC(=O)C1(c2ccccc2)CCN(C)CC1,3.280636204
50237,50-23-7,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,2.860297271
50248,50-24-8,CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,2.012776986
50306,50-30-6,O=C(O)c1c(Cl)cccc1Cl,2.104971666
50317,50-31-7,O=C(O)c1c(Cl)ccc(Cl)c1Cl,2.176974391
50339,50-33-9,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,3.111291347
50340,50-34-0,CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc21)C(C)C,3.459223987
50351,50-35-1,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,1.713041736
50395,50-39-5,CC(O)Cn1c(=O)c2c(ncn2C)n(C)c1=O,2.613599447
50420,50-42-0,CCN(CC)CCOC(=O)C(c1ccccc1)c1ccccc1,2.792653203
50431,50-43-1,O=C(O)c1c(Cl)cc(Cl)cc1Cl,2.273884404
50442,50-44-2,S=c1nc[nH]c2nc[nH]c12,3.182363287
50453,50-45-3,O=C(O)c1cccc(Cl)c1Cl,2.326820416
50555,50-55-5,COC(=O)C1C2CC3c4[nH]c5cc(OC)ccc5c4CCN3CC2CC(OC(=O)c2cc(OC)c(OC)c(OC)c2)C1OC,5.035431879
50566,50-56-6,CCC(C)C1NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(N)CSSCC(C(=O)N2CCCC2C(=O)NC(CC(C)C)C(=O)NCC(N)=O)NC(=O)C(CC(N)=O)NC(=O)C(CCC(N)=O)NC1=O,3.292155616
50599,50-59-9,O=C(Cc1cccs1)NC1C(=O)N2C(C(=O)O)=C(C[n+]3ccccc3)CSC12,1.730597755
50635,50-63-5,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,3.26642646
50679,50-67-9,NCCc1c[nH]c2ccc(O)cc12,2.383389364
50704,50-70-4,OCC(O)C(O)C(O)C(O)CO,0.880270385
50737,50-73-7,O=C(O)c1cc(Cl)cc(Cl)c1Cl,2.875944395
50760,50-76-0,Cc1ccc(C(=O)NC2C(=O)NC(C(C)C)C(=O)N3CCCC3C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC2C)c2c1OC1C(C)C(=O)C(N)C(C(=O)NC3C(=O)NC(C(C)C)C(=O)N4CCCC4C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC3C)C1N2,6.401912431
50782,50-78-2,CC(=O)Oc1ccccc1C(=O)O,2.247055791
50793,50-79-3,O=C(O)c1cc(Cl)ccc1Cl,2.20188168
50828,50-82-8,O=C(O)c1cc(Cl)c(Cl)cc1Cl,2.875944395
50840,50-84-0,O=C(O)c1ccc(Cl)cc1Cl,2.20188168
51058,1951/5/8,CCN(CC)CCOC(=O)c1ccc(N)cc1,2.980755188
51069,1951/6/9,CCN(CC)CCNC(=O)c1ccc(N)cc1,2.491467899
51183,51-18-3,C1CN1c1nc(N2CC2)nc(N2CC2)n1,5.038060635
51218,51-21-8,O=c1[nH]cc(F)c(=O)[nH]1,2.886317146
51285,51-28-5,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,3.533871302
51309,51-30-9,CC(C)NCC(O)c1ccc(O)c(O)c1,2.945306615
51365,51-36-5,O=C(O)c1cc(Cl)cc(Cl)c1,2.883122917
51398,51-39-8,O=C(O)c1cc(Cl)c(Cl)c(Cl)c1,2.955125641
51445,51-44-5,O=C(O)c1ccc(Cl)c(Cl)c1,2.679002934
51456,51-45-6,NCCc1cnc[nH]1,1.647961644
51558,51-55-8,CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,2.830017239
51616,51-61-6,NCCc1ccc(O)c(O)c1,2.049754201
51718,51-71-8,NNCCc1ccccc1,3.042535808
51730,51-73-0,C(#CCN1CCCC1)CN1CCCC1,3.257261532
51752,51-75-2,CN(CCCl)CCCl,4.778307123
51774,51-77-4,CC(C)=CCCC(C)=CCCC(C)=CCCC(=O)OCC=C(C)CCC=C(C)C,1.472428127
51796,51-79-6,CCOC(N)=O,1.706810409
51832,51-83-2,C[N+](C)(C)CCOC(N)=O,4.72674912
51945,51-94-5,CCCCCCCCCCCC(=O)OC12C=CC(=O)C3Oc4c(OC)ccc5c4C31CCN(C)C2C5,3.02773092
52211,52-21-1,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C,2.060683813
52244,52-24-4,S=P(N1CC1)(N1CC1)N1CC1,4.059492275
52460,52-46-0,C1CN1P1(N2CC2)=NP(N2CC2)(N2CC2)=NP(N2CC2)(N2CC2)=N1,4.19011758
52493,52-49-3,OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1,3.296456994
52517,52-51-7,O=[N+]([O-])C(Br)(CO)CO,3.236545948
52528,52-52-8,NC1(C(=O)O)CCCC1,2.537093406
52664,52-66-4,CC(C)(S)C(N)C(=O)O,1.592887508
52686,52-68-6,COP(=O)(OC)C(O)C(Cl)(Cl)Cl,2.984159704
52868,52-86-8,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,3.962254963
52891,52-89-1,NC(CS)C(=O)O,1.743386064
53032,1953/3/2,CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,3.550087825
53101,1953/10/1,CC12CCC(=O)CC1CCC1C2CCC2(C)C(C(=O)COC(=O)CCC(=O)O)CCC12,3.144681651
53214,53-21-4,COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,3.717258355
53270,53-27-0,CC(CN1CCC(O)(c2ccccc2)CC1)N(C(=O)c1ccco1)c1ccccc1,3.643141435
53361,53-36-1,CC(=O)OCC(=O)C1(O)CCC2C3CC(C)C4=CC(=O)C=CC4(C)C3C(O)CC21C,2.499055672
53394,53-39-4,CC12COC(=O)CC1CCC1C2CCC2(C)C1CCC2(C)O,1.444961272
53430,53-43-0,CC12CCC3C(CC=C4CC(O)CCC43C)C1CCC2=O,2.505799426
53565,53-56-5,CN(C)CC(c1ccccc1)N(Cc1ccccc1)c1ccccc1,2.218108616
53861,53-86-1,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,4.271258015
53894,53-89-4,CN1CCC(n2[nH]c(-c3ccccc3)c(Cc3ccccc3)c2=O)CC1,2.752032199
54035,1954/3/5,COc1cc(C(=O)OCCCN(C)CCN(C)CCCOC(=O)c2cc(OC)c(OC)c(OC)c2)cc(OC)c1OC,3.256950825
54308,54-30-8,CCN(CC)CCNC(C(=O)OCCC(C)C)c1ccccc1,2.547965065
54364,54-36-4,CC(C)(C(=O)c1cccnc1)c1cccnc1,2.62954973
54477,54-47-7,Cc1ncc(COP(=O)(O)O)c(C=O)c1O,2.453429062
54648,54-64-8,CC[Hg]Sc1ccccc1C(=O)O,3.763466566
54659,54-65-9,CN(C)C(CN(Cc1ccccc1)c1ccccc1)c1ccccc1,2.218108616
54717,54-71-7,CCC1C(=O)OCC1Cc1cncn1C,3.18881101
54773,54-77-3,C[N+]1(C)CCN(c2ccccc2)CC1,2.268873205
54853,54-85-3,NNC(=O)c1ccncc1,3.040260466
54864,54-86-4,O=C(O)c1cccnc1,1.546228815
54911,54-91-1,O=C(CCBr)N1CCN(C(=O)CCBr)CC1,3.003746043
54955,54-95-5,C1CCc2nnnn2CC1,3.29532829
54966,54-96-6,Nc1ccncc1N,3.49388407
55389,55-38-9,COP(=S)(OC)Oc1ccc(SC)c(C)c1,3.286205329
55436,55-43-6,ClCCN(Cc1ccccc1)Cc1ccccc1,2.662030723
55527,55-52-7,CC(Cc1ccccc1)NN,3.199018607
55630,55-63-0,O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],3.314795763
55652,55-65-2,N=C(N)NCCN1CCCCCCC1,2.947105356
55709,55-70-9,CC(CNc1ccccc1)N(C)C,2.4587085
55710,55-71-0,CCC(CNc1ccccc1)N(C)C,2.709961567
55914,55-91-4,CC(C)OP(=O)(F)OC(C)C,4.788043393
55981,55-98-1,CS(=O)(=O)OCCCCOS(C)(=O)=O,3.592134442
56100,56-10-0,N=C(N)SCCN,2.671902249
56122,1956/12/2,NCCCC(=O)O,1.049087486
56177,56-17-7,NCCSSCCN,2.85225191
56235,56-23-5,ClC(Cl)(Cl)Cl,0.695659583
56382,56-38-2,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,4.464288301
56406,56-40-6,NCC(=O)O,1.171298543
56699,56-69-9,NC(Cc1c[nH]c2ccc(O)cc12)C(=O)O,2.721696253
56757,56-75-7,O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,2.907319977
56815,56-81-5,OCC(O)CO,3.005189944
56940,56-94-0,CN(CCCCCCCCCCN(C)C(=O)Oc1cccc([N+](C)(C)C)c1)C(=O)Oc1cccc([N+](C)(C)C)c1,4.356526902
56973,56-97-3,ON=Cc1cc[n+](CCC[n+]2ccc(C=NO)cc2)cc1,3.537796345
57067,1957/6/7,C=CCN=C=S,3.093237772
57136,57-13-6,NC(N)=O,0.814768576
57294,57-29-4,C=CCN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,2.792161418
57307,57-30-7,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,3.059331477
57374,57-37-4,CCN(CC)CCOC(=O)C(O)(c1ccccc1)c1ccccc1,3.215441943
57396,57-39-6,CC1CN1P(=O)(N1CC1C)N1CC1C,3.186788894
57410,57-41-0,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,3.080144434
57476,57-47-6,CNC(=O)Oc1ccc2c(c1)C1(C)CCN(C)C1N2C,5.570656516
57498,57-49-8,CCOC(=O)N(c1ccccc1)C(C)CN1CCC(O)(c2ccccc2)CC1,3.731377632
57534,57-53-4,CCCC(C)(COC(N)=O)COC(N)=O,2.622956878
57556,57-55-6,CC(O)CO,0.641556303
57636,57-63-6,C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,1.994771597
57681,57-68-1,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,2.443151108
57852,57-85-2,CCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,1.838212919
57921,57-92-1,CNC1C(OC2C(OC3C(O)C(O)C(NC(=N)N)C(O)C3NC(=N)N)OC(C)C2(O)C=O)OC(CO)C(O)C1O,2.897099867
57943,57-94-3,COc1cc2c3cc1Oc1cc(ccc1O)CC1c4c(cc(OC)c(O)c4Oc4ccc(cc4)CC3N(C)CC2)CC[N+]1(C)C,6.002646536
58082,1958/8/2,Cn1c(=O)c2c(ncn2C)n(C)c1=O,2.894034447
58139,58-13-9,CCN(CC)CCSC(=O)N(c1ccccc1)c1ccccc1,3.525850168
58151,58-15-1,Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,2.969722074
58184,58-18-4,CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(C)O,1.781695072
58275,58-27-5,CC1=CC(=O)c2ccccc2C1=O,3.096111184
58286,58-28-6,CNCCCN1c2ccccc2CCc2ccccc21,3.095100884
58322,58-32-2,OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1,2.271614465
58388,58-38-8,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,3.028748977
58402,58-40-2,CN(C)CCCN1c2ccccc2Sc2ccccc21,3.122093949
58468,58-46-8,COc1cc2c(cc1OC)C1CC(=O)C(CC(C)C)CN1CC2,2.89958661
58548,58-54-8,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,3.205182875
