RTECS_ID,CAS_RN,SMILES,mouse_subcutaneous_LDLo
50099,1950/9/9,CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,2.975470411
50715,50-71-5,O=C1NC(=O)C(=O)C(=O)N1,2.550442389
50782,50-78-2,CC(=O)Oc1ccccc1C(=O)O,2.410557923
51456,51-45-6,NCCc1cnc[nH]1,1.9319583
52313,52-31-3,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,2.896289165
52437,52-43-7,C=CCC1(CC=C)C(=O)NC(=O)NC1=O,3.017486189
53463,53-46-3,CC[N+](C)(CC)CCOC(=O)C1c2ccccc2Oc2ccccc21,2.935447313
54864,54-86-4,O=C(O)c1cccnc1,1.613175604
56531,56-53-1,CCC(=C(CC)c1ccc(O)cc1)c1ccc(O)cc1,2.729741306
56542,56-54-2,C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,2.998808469
58004,58-00-4,CN1CCc2cccc3c2C1Cc1ccc(O)c(O)c1-3,4.313101097
58140,58-14-0,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,3.191585488
59303,59-30-3,Nc1nc(=O)c2nc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cnc2[nH]1,3.343806269
60128,1960/12/8,OCCc1ccccc1,1.872110061
60195,60-19-5,NCCc1ccc(O)cc1,2.785114612
60231,60-23-1,NCCS,1.933104679
60297,60-29-7,CCOCC,3.966863001
61687,61-68-7,Cc1cccc(Nc2ccccc2C(=O)O)c1C,2.081509328
62373,62-37-3,COC(C[Hg+])CNC(N)=O,3.742653136
62555,62-55-5,CC(N)=S,1.574818075
66320,66-32-0,O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46,5.223260948
66400,66-40-0,CC[N+](CC)(CC)CC,3.035613157
67481,67-48-1,C[N+](C)(C)CCO,2.151467832
67630,67-63-0,CC(C)O,1.000694316
68359,68-35-9,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,1.398431352
69534,69-53-4,CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O,1.844367812
73245,73-24-5,Nc1ncnc2nc[nH]c12,2.130751777
74908,74-90-8,C#N,3.954660518
75570,75-57-0,C[N+](C)(C)C,3.471459814
76006,76-00-6,CC(O)C(Cl)(Cl)Cl,2.514364434
76506,76-50-6,CC(C)CC(=O)OC1CC2CCC1(C)C2(C)C,2.076223423
78308,78-30-8,Cc1ccccc1OP(=O)(Oc1ccccc1C)Oc1ccccc1C,1.469373062
78671,78-67-1,CC(C)(C#N)N=NC(C)(C)C#N,3.613344899
80057,1980/5/7,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,1.960548782
80126,1980/12/6,O=S1(=O)N2CN3CN1CN(C2)S3(=O)=O,6.380692318
81812,81-81-2,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,2.585930022
87694,87-69-4,O=C(O)C(O)C(O)C(=O)O,2.176340183
87865,87-86-5,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,3.677245107
90697,90-69-7,CN1C(CC(=O)c2ccccc2)CCCC1CC(O)c1ccccc1,3.528226163
94075,1994/7/5,CNCC(O)c1ccc(O)cc1,2.047165793
95487,95-48-7,Cc1ccccc1O,2.421202509
95545,95-54-5,Nc1ccccc1N,2.63606242
97563,97-56-3,Cc1cc(N=Nc2ccccc2C)ccc1N,2.273570307
98862,98-86-2,CC(=O)c1ccccc1,2.56121345
98953,98-95-3,O=[N+]([O-])c1ccccc1,2.633930826
100630,100-63-0,NNc1ccccc1,2.803553508
101995,101-99-5,CCOC(=O)Nc1ccccc1,2.217989011
106445,106-44-5,Cc1ccc(O)cc1,2.857895106
106898,106-89-8,ClCC1CO1,2.568319085
107062,107-06-2,ClCCCl,2.41567609
107164,107-16-4,N#CCO,3.580179614
107211,107-21-1,OCCO,1.361503987
108394,108-39-4,Cc1cccc(O)c1,2.380773851
108941,108-94-1,O=C1CCCCC1,1.877924827
109579,109-57-9,C=CCNC(N)=S,2.220066974
109773,109-77-3,N#CCC#N,3.916868305
110623,110-62-3,CCCCC=O,1.63414462
110805,110-80-5,CCOCCO,1.255860817
111159,111-15-9,CCOCCOC(C)=O,1.42212674
111466,111-46-6,OCCOCCO,1.326831329
111762,111-76-2,CCCCOCCO,2.373559282
112561,112-56-1,CCCCOCCOCCSC#N,3.000656294
113008,113-00-8,N=C(N)N,2.346500038
118105,118-10-5,C=CC1CN2CCC1CC2C(O)c1ccnc2ccccc12,2.866874864
118138,118-13-8,O=C(O)c1c(O)cnc2ccccc12,2.072732281
120923,120-92-3,O=C1CCCC1,1.50991559
122985,122-98-5,OCCNc1ccccc1,2.095904445
123308,123-30-8,Nc1ccc(O)cc1,2.365838338
123513,123-51-3,CC(C)CCO,1.071320719
125235,125-23-5,C[N+]1(C)CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,3.04469883
126998,126-99-8,C=CC(=C)Cl,1.947124802
127333,127-33-3,CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(O)C3CC12,2.269380301
129168,129-16-8,O=C1OC2(c3cc(Br)c(O)cc3Oc3c2cc(Br)c(O)c3[Hg]O)c2ccccc21,4.548200179
130154,130-15-4,O=C1C=CC(=O)c2ccccc21,3.597025681
131113,131-11-3,COC(=O)c1ccccc1C(=O)OC,1.475304559
131282,131-28-2,COc1ccc(C(=O)Cc2c(CCN(C)C)cc3c(c2OC)OCO3)c(C(=O)O)c1OC,3.648816512
131895,131-89-5,O=[N+]([O-])c1cc(C2CCCCC2)c(O)c([N+](=O)[O-])c1,3.948173255
132456,132-45-6,CCCC(C(=O)OCCN(CC)CC)c1ccccc1,2.267027722
134532,134-53-2,CCN(CC)CC(C)(C)COC(=O)C(CO)c1ccccc1,2.390841883
135193,135-19-3,Oc1ccc2ccccc2c1,3.158883935
136776,136-77-6,CCCCCCc1ccc(O)cc1O,2.413353419
138227,138-22-7,CCCCOC(=O)C(C)O,1.123513098
138318,138-31-8,CC(=O)Nc1ccc([Sb](=O)(O)O)cc1,2.645002868
139935,139-93-5,Nc1cc([AsH]=[AsH]c2ccc(O)c(N)c2)ccc1O,3.469055804
140294,140-29-4,N#CCc1ccccc1,3.563596022
140896,140-89-6,CCOC(=S)S,2.485060967
141844,141-84-4,O=C1CSC(=S)N1,2.823464448
144627,144-62-7,O=C(O)C(=O)O,2.954406545
299263,299-26-3,CC(N)Cc1c[nH]c2ccccc12,2.542195305
300083,300-08-3,COC(=O)C1=CCCN(C)C1,3.377969965
302170,302-17-0,OC(O)C(Cl)(Cl)Cl,2.315453395
303071,303-07-1,O=C(O)c1c(O)cccc1O,1.78992181
309433,309-43-3,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,3.172980367
325246,325-24-6,FCCOc1ccc2ccccc2c1,3.501098078
329657,329-65-7,CNCC(O)c1ccc(O)c(O)c1,4.183760817
403907,403-90-7,NC(Cc1ccc(O)c(F)c1)C(=O)O,4.257855223
406202,406-20-2,COC(=O)CCCF,5.07962617
427009,427-00-9,CN1CCC23c4c5ccc(O)c4OC2CCCC3C1C5,3.416512491
445294,445-29-4,O=C(O)c1ccccc1F,2.301380392
457603,457-60-3,Nc1cc([As]=[As]c2ccc(O)c(NCOSO)c2)ccc1O,3.647555089
469794,469-79-4,CCC(=O)C1(c2cccc(O)c2)CCN(C)CC1,3.615139594
479505,479-50-5,CCN(CC)CCNc1ccc(C)c2sc3ccccc3c(=O)c12,2.833136908
481856,481-85-6,Cc1cc(O)c2ccccc2c1O,3.337955671
485892,485-89-2,O=C(O)c1c(O)c(-c2ccccc2)nc2ccccc12,2.821624872
486704,486-70-4,OCC1CCCN2CCCCC12,3.529604858
491929,491-92-9,CCN(CC)CCCC(C)Nc1cc(OC)cc2cccnc12,4.402035663
495545,495-54-5,Nc1ccc(N=Nc2ccccc2)c(N)c1,2.104924376
501304,501-30-4,O=c1cc(CO)occ1O,1.97653338
518285,518-28-5,COc1cc(C2c3cc4c(cc3C(O)C3COC(=O)C23)OCO4)cc(OC)c1OC,4.22649512
532285,532-28-5,N#CC(O)c1ccccc1,3.762613335
533288,533-28-8,CC1CCCCN1CCCOC(=O)c1ccccc1,2.646395418
537268,537-26-8,CN1C2CCC1CC(OC(=O)c1ccccc1)C2,3.690766492
538283,538-28-3,N=C(N)SCc1ccccc1,3.317669055
540727,540-72-7,N#CS,2.169476047
541640,541-64-0,C[N+](C)(C)Cc1ccco1,3.544706608
545937,545-93-7,C=C(Br)CC1(C(C)C)C(=O)NC(=O)NC1=O,3.461091654
554994,554-99-4,CN(C)CC(O)c1ccc(O)c(O)c1,2.897041774
556649,556-64-9,CSC#N,3.057856209
558258,558-25-8,CS(=O)(=O)F,4.447592109
563688,563-68-8,CC(=O)O,5.079557472
590863,590-86-3,CC(C)CC=O,1.63414462
593511,593-51-1,CN,1.094233477
597886,597-88-6,CCOP(=O)(Oc1ccc([N+](=O)[O-])cc1)SCC,4.163258305
606586,606-58-6,N#Cc1cn(C2OC(CO)C(O)C2O)c2ncnc(N)c12,4.464291283
615532,615-53-2,CCOC(=O)N(C)N=O,4.275867238
616455,616-45-5,O=C1CCCN1,0.929960179
621727,621-72-7,c1ccc(Cc2nc3ccccc3[nH]2)cc1,2.616183669
624180,624-18-0,Nc1ccc(N)cc1,3.036927071
628831,628-83-1,CCCCSC#N,2.968034564
639145,639-14-5,CC1(C)CCC2(C(=O)O)CCC3(C)C(=CCC4C5(C)CCC(O)C(C)(C=O)C5CCC43C)C2C1,3.672738662
693072,693-07-2,CCSCCCl,3.697703494
765151,765-15-1,CCCCCCCCCCCCSC#N,1.104941472
821578,821-57-8,O=C(O)CCCCCCCl,1.874091573
