RTECS_ID,CAS_RN,SMILES,mouse_unreported_LD50
50077,1950/7/7,COC12C(COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1CC1NC12,4.4449967
50339,50-33-9,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,3.381877643
50497,50-49-7,CN(C)CCCN1c2ccccc2CCc2ccccc21,3.418417464
50533,50-53-3,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,3.587163799
50679,50-67-9,NCCc1c[nH]c2ccc(O)cc12,2.848112724
50782,50-78-2,CC(=O)Oc1ccccc1C(=O)O,2.125322194
50919,50-91-9,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1F,2.650914775
51058,1951/5/8,CCN(CC)CCOC(=O)c1ccc(N)cc1,2.64921542
51218,51-21-8,O=c1[nH]cc(F)c(=O)[nH]1,2.88120774
51796,51-79-6,CCOC(N)=O,1.648818462
52686,52-68-6,COP(=O)(OC)C(O)C(Cl)(Cl)Cl,2.762310955
52868,52-86-8,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,4.319766314
52891,52-89-1,NC(CS)C(=O)O,1.606241594
53214,53-21-4,COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,3.448531697
54319,54-31-9,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,2.56525603
54864,54-86-4,O=C(O)c1cccnc1,1.488236868
55185,55-18-5,CCN(CC)N=O,2.686963803
55914,55-91-4,CC(C)OP(=O)(F)OC(C)C,4.566194644
55981,55-98-1,CS(=O)(=O)OCCCCOS(C)(=O)=O,3.72871716
56100,56-10-0,N=C(N)SCCN,2.351974881
56122,1956/12/2,NCCCC(=O)O,1.154208819
56382,56-38-2,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,4.302920298
57307,57-30-7,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,2.942689279
57410,57-41-0,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,2.584128898
57921,57-92-1,CNC1C(OC2C(OC3C(O)C(O)C(NC(=N)N)C(O)C3NC(=N)N)OC(C)C2(O)C=O)OC(CO)C(O)C1O,3.810366954
57943,57-94-3,COc1cc2c3cc1Oc1cc(ccc1O)CC1c4c(cc(OC)c(O)c4Oc4ccc(cc4)CC3N(C)CC2)CC[N+]1(C)C,6.131934309
58082,1958/8/2,Cn1c(=O)c2c(ncn2C)n(C)c1=O,2.888562086
58151,58-15-1,Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,2.8870525
58548,58-54-8,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,2.703493429
58935,58-93-5,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,2.432451792
59052,1959/5/2,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,3.571655981
59267,59-26-7,CCN(CC)C(=O)c1cccnc1,2.791600503
59529,59-52-9,OCC(S)CS,3.098591291
60231,60-23-1,NCCS,2.421618253
60242,60-24-2,OCCS,2.211609937
60515,60-51-5,CNC(=O)CSP(=S)(OC)OC,3.161676884
60548,60-54-8,CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3CC12,3.657554989
60797,60-79-7,CC(CO)NC(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1,3.354071072
62737,62-73-7,COP(=O)(OC)OC=C(Cl)Cl,3.469283845
62748,62-74-8,O=C(O)CF,3.892328391
63252,63-25-2,CNC(=O)Oc1cccc2ccccc12,2.735480212
63456,63-45-6,COc1cc(NC(C)CCCN)c2ncccc2c1,3.576302838
64777,64-77-7,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,2.58683476
64857,64-85-7,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(C(=O)CO)CCC12,2.519129412
66320,66-32-0,O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46,5.740230105
66773,66-77-3,O=Cc1cccc2ccccc12,2.152243856
66988,66-98-8,O=Cc1ccc(-c2ccc(C=O)cc2)cc1,2.146607563
66999,66-99-9,O=Cc1ccc2ccccc2c1,2.017545282
67367,67-36-7,O=Cc1ccc(Oc2ccccc2)cc1,3.018396062
67458,67-45-8,O=C1OCCN1N=Cc1ccc([N+](=O)[O-])o1,2.2917934
67629,67-62-9,CON,2.195502982
67685,67-68-5,CS(C)=O,0.813669929
68893,68-89-3,Cc1c(N(C)CS(=O)(=O)O)c(=O)n(-c2ccccc2)n1C,2.053934309
69534,69-53-4,CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O,1.096179785
75092,1975/9/2,ClCCl,1.250558085
75503,75-50-3,CN(C)C,2.108917822
75605,75-60-5,C[As](C)(=O)O,2.872701064
75865,75-86-5,CC(C)(O)C#N,4.467562181
76131,76-13-1,FC(F)(Cl)C(F)(Cl)Cl,0.670651655
77714,77-71-4,CC1(C)NC(=O)NC1=O,1.107654216
78717,78-71-7,ClCC1(CCl)COC1,2.454002436
78875,78-87-5,CC(Cl)CCl,2.070757244
79061,1979/6/1,C=CC(N)=O,2.658616711
79107,1979/10/7,C=CC(=O)O,1.938634246
