RTECS_ID,CAS_RN,SMILES,rat_intramuscular_LD50
50339,50-33-9,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,3.146664932
51183,51-18-3,C1CN1c1nc(N2CC2)nc(N2CC2)n1,5.134043164
51218,51-21-8,O=c1[nH]cc(F)c(=O)[nH]1,2.733992609
51558,51-55-8,CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,2.497673181
51752,51-75-2,CN(CCCl)CCCl,5.151887786
51774,51-77-4,CC(C)=CCCC(C)=CCCC(C)=CCCC(=O)OCC=C(C)CCC=C(C)C,1.472428127
51796,51-79-6,CCOC(N)=O,1.803720422
52686,52-68-6,COP(=O)(OC)C(O)C(Cl)(Cl)Cl,2.81407387
53861,53-86-1,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,4.133676091
54853,54-85-3,NNC(=O)c1ccncc1,2.535110487
55914,55-91-4,CC(C)OP(=O)(F)OC(C)C,5.009892143
56177,56-17-7,NCCSSCCN,3.20039445
56382,56-38-2,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,4.68613705
56973,56-97-3,ON=Cc1cc[n+](CCC[n+]2ccc(C=NO)cc2)cc1,3.366969326
57374,57-37-4,CCN(CC)CCOC(=O)C(O)(c1ccccc1)c1ccccc1,3.384776741
57556,57-55-6,CC(O)CO,0.735228086
58151,58-15-1,Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,2.832694838
59018,1959/1/8,NCC1OC(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(O)C(O)C1O,2.381247497
59529,59-52-9,OCC(S)CS,3.154707233
60877,60-87-7,CC(CN1c2ccccc2Sc2ccccc21)N(C)C,3.226085643
64006,64-00-6,CNC(=O)Oc1cccc(C(C)C)c1,4.139982478
66320,66-32-0,O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46,5.378162908
66400,66-40-0,CC[N+](CC)(CC)CC,3.073401718
68893,68-89-3,Cc1c(N(C)CS(=O)(=O)O)c(=O)n(-c2ccccc2)n1C,2.282413638
77816,77-81-6,CCOP(=O)(C#N)N(C)C,5.306770717
84742,84-74-2,CCCCOC(=O)c1ccccc1C(=O)OCCCC,1.541498118
87081,1987/8/1,CC1(C)SC2C(NC(=O)COc3ccccc3)C(=O)N2C1C(=O)O,2.391557048
87332,87-33-2,O=[N+]([O-])OC1COC2C(O[N+](=O)[O-])COC12,2.072132207
87990,87-99-0,OCC(O)C(O)C(O)CO,1.00616928
90642,90-64-2,O=C(O)C(O)c1ccccc1,2.705147848
93141,93-14-1,COc1ccccc1OCC(O)CO,1.695083099
94633,94-63-3,C[n+]1ccccc1C=NO,2.887773187
96640,96-64-0,CC(OP(C)(=O)F)C(C)(C)C,6.468097089
107153,107-15-3,NCCN,2.602783213
107448,107-44-8,CC(C)OP(C)(=O)F,6.11299578
107493,107-49-3,CCOP(=O)(OCC)OP(=O)(OCC)OCC,5.207408441
111104,111-10-4,CCCCCCCCC=CCCCCCCCC(=O)OCCOC,1.629088347
111411,111-41-1,NCCNCCO,1.716641788
111422,111-42-2,OCCNCCO,1.845664322
113984,113-98-4,CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O,2.223232377
114261,114-26-1,CNC(=O)Oc1ccccc1OC(C)C,3.59637922
114909,114-90-9,ON=Cc1cc[n+](COC[n+]2ccc(C=NO)cc2)cc1,3.223499175
116018,116-01-8,CCNC(=O)CSP(=S)(OC)OC,2.98818425
119482,119-48-2,CCCCN(CCN(CCCC)C(=O)N1CCOCC1)C(=O)N1CCOCC1,3.514120803
125520,125-52-0,CN1CCCN=C1COC(=O)C(O)(c1ccccc1)C1CCCCC1,2.515943194
132183,132-18-3,CN1CCC(OC(c2ccccc2)c2ccccc2)CC1,3.194050045
141435,141-43-5,NCCO,1.54288942
142643,142-64-3,C1CNCCN1,1.537254775
144821,144-82-1,Cc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1,1.784134653
145415,145-41-5,CC(CCC(=O)O)C1CCC2C3C(=O)CC4CC(=O)CCC4(C)C3CC(=O)C12C,2.428708073
151735,151-73-5,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)COP(=O)(O)O,2.563425934
152114,152-11-4,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,3.985542082
154938,154-93-8,O=NN(CCCl)C(=O)NCCCl,3.429606222
155975,155-97-5,CN(C)C(=O)Oc1ccc[n+](C)c1,4.81258994
311455,311-45-5,CCOP(=O)(OCC)Oc1ccc([N+](=O)[O-])cc1,5.790308837
329657,329-65-7,CNCC(O)c1ccc(O)c(O)c1,1.718874019
329997,329-99-7,CP(=O)(F)OC1CCCCC1,6.352565976
334225,334-22-5,ClCCNCCCl,2.948257047
359831,359-83-1,CC(C)=CCN1CCC2(C)c3cc(O)ccc3CC1C2C,3.21246309
453189,453-18-9,COC(=O)CF,4.566173417
466115,466-11-5,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)COS(=O)(=O)O,3.072370314
468280,468-28-0,CC(C)=CCC1C(=O)C(=C(O)CC(C)C)C(=O)C(CC=C(C)C)(CC=C(C)C)C1=O,3.099100693
474259,474-25-9,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,2.894958166
492182,492-18-2,COC(CNC(=O)c1ccccc1OCC(=O)O)C[Hg]O,4.304517455
511137,511-13-7,CN(C)CCC(O)(c1ccccc1)c1ccccc1Cl,3.033972579
512163,512-16-3,CCC(C(=O)O)C1(O)CCCCC1,2.270098613
518285,518-28-5,COc1cc(C2c3cc4c(cc3C(O)C3COC(=O)C23)OCO4)cc(OC)c1OC,5.140308972
532116,532-11-6,COc1ccc(-c2cc(=S)ss2)cc1,3.836819446
536505,536-50-5,Cc1ccc(C(C)O)cc1,2.134157975
551111,551-11-1,CCCCCC(O)C=CC1C(O)CC(O)C1CC=CCCCC(=O)O,3.50038229
562743,562-74-3,CC1=CCC(O)(C(C)C)CC1,2.01214236
