RTECS_ID,CAS_RN,SMILES,duck_oral_LD50
50146,50-14-6,C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)C=CC(C)C(C)C,2.297387317
55389,55-38-9,COP(=S)(OC)Oc1ccc(SC)c(C)c1,4.67371581
56382,56-38-2,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,5.142069006
56724,56-72-4,CCOP(=S)(OCC)Oc1ccc2c(C)c(Cl)c(=O)oc2c1,4.085416298
60515,60-51-5,CNC(=O)CSP(=S)(OC)OC,3.737084681
62737,62-73-7,COP(=O)(OC)OC=C(Cl)Cl,4.452250505
62748,62-74-8,O=C(O)CF,4.210183314
66320,66-32-0,O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46,5.047169689
67970,67-97-0,C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)C,2.284033483
72435,72-43-5,COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1,2.237610335
76744,76-74-4,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,3.479577229
77269,77-26-9,C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O,2.976003472
81845,81-84-5,O=C1OC(=O)c2cccc3cccc1c23,1.463906138
82666,82-66-6,O=C1C(=C(O)C(c2ccccc2)c2ccccc2)C(=O)c2ccccc21,2.032549356
83794,83-79-4,C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1,2.294932236
86500,86-50-0,COP(=S)(OC)SCn1nnc2ccccc2c1=O,3.367974961
87865,87-86-5,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,2.845649538
88857,88-85-7,CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,4.426357614
99309,99-30-9,Nc1c(Cl)cc([N+](=O)[O-])cc1Cl,2.014973917
101053,101-05-3,Clc1nc(Cl)nc(Nc2ccccc2Cl)n1,2.139132592
107493,107-49-3,CCOP(=O)(OCC)OP(=O)(OCC)OCC,4.911230948
111308,111-30-8,O=CCCCC=O,2.086693975
114261,114-26-1,CNC(=O)Oc1ccccc1OC(C)C,4.33928958
115297,115-29-7,O=S1OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,4.091004701
115446,115-44-6,C=CCC1(C(C)CC)C(=O)NC(=O)NC1=O,3.350751818
115902,115-90-2,CCOP(=S)(OCC)Oc1ccc(S(C)=O)cc1,5.615738844
116063,116-06-3,CNC(=O)ON=CC(C)(C)SC,4.747886836
121755,121-75-5,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,5.347266262
122145,122-14-5,COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(C)c1,2.367305796
123331,123-33-1,O=c1ccc(=O)[nH][nH]1,1.04955912
141662,141-66-2,COP(=O)(OC)OC(C)=CC(=O)N(C)C,4.758099696
143339,143-33-9,N#C[Na],4.292326971
297789,297-78-9,ClC1=C(Cl)C2(Cl)C3C(Cl)OC(Cl)C3C1(Cl)C2(Cl)Cl,5.359365322
297972,297-97-2,CCOP(=S)(OCC)Oc1cnccn1,5.169569479
298000,298-00-0,COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1,4.420304035
298022,298-02-2,CCOP(=S)(OCC)SCSCC,5.63746638
298044,298-04-4,CCOP(=S)(OCC)SCCSCC,4.625491325
299843,299-84-3,COP(=S)(OC)Oc1cc(Cl)c(Cl)cc1Cl,1.963179119
300765,300-76-5,COP(=O)(OC)OC(Br)C(Cl)(Cl)Br,3.864675348
301122,301-12-2,CCS(=O)CCSP(=O)(OC)OC,3.659053019
