RTECS_ID,CAS_RN,SMILES,rat_intraperitoneal_LD50
50077,1950/7/7,COC12C(COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1CC1NC12,5.223147951
50099,1950/9/9,CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,2.827137816
50135,50-13-5,CCOC(=O)C1(c2ccccc2)CCN(C)CC1,3.51707454
50237,50-23-7,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,3.383176016
50248,50-24-8,CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,2.255815034
50293,50-29-3,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,4.590563821
50317,50-31-7,O=C(O)c1c(Cl)ccc(Cl)c1Cl,2.35306565
50339,50-33-9,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,3.336799268
50340,50-34-0,CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc21)C(C)C,4.168493948
50351,50-35-1,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,1.63386049
50420,50-42-0,CCN(CC)CCOC(=O)C(c1ccccc1)c1ccccc1,3.095413464
50442,50-44-2,S=c1nc[nH]c2nc[nH]c12,2.980966163
50497,50-49-7,CN(C)CCCN1c2ccccc2CCc2ccccc21,3.570321447
50533,50-53-3,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,3.539061619
50555,50-55-5,COC(=O)C1C2CC3c4[nH]c5cc(OC)ccc5c4CCN3CC2CC(OC(=O)c2cc(OC)c(OC)c(OC)c2)C1OC,4.140942063
50599,50-59-9,O=C(Cc1cccs1)NC1C(=O)N2C(C(=O)O)=C(C[n+]3ccccc3)CSC12,2.118559914
50635,50-63-5,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,3.496386916
50657,50-65-7,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,3.116771072
50715,50-71-5,O=C1NC(=O)C(=O)C(=O)N1,2.894823806
50760,50-76-0,Cc1ccc(C(=O)NC2C(=O)NC(C(C)C)C(=O)N3CCCC3C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC2C)c2c1OC1C(C)C(=O)C(N)C(C(=O)NC3C(=O)NC(C(C)C)C(=O)N4CCCC4C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC3C)C1N2,7.100882435
50782,50-78-2,CC(=O)Oc1ccccc1C(=O)O,2.409232503
50908,50-90-8,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1Cl,2.118345756
50919,50-91-9,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1F,2.187157482
51058,1951/5/8,CCN(CC)CCOC(=O)c1ccc(N)cc1,3.063944624
51127,1951/12/7,O=C(CCNNC(=O)c1ccncc1)NCc1ccccc1,2.593906627
51172,51-17-2,c1ccc2[nH]cnc2c1,2.486932561
51183,51-18-3,C1CN1c1nc(N2CC2)nc(N2CC2)n1,5.310134423
51207,51-20-7,O=c1[nH]cc(Br)c(=O)[nH]1,2.050548064
51218,51-21-8,O=c1[nH]cc(F)c(=O)[nH]1,3.269105811
51285,51-28-5,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,3.964040306
51309,51-30-9,CC(C)NCC(O)c1ccc(O)c(O)c1,2.933380823
51456,51-45-6,NCCc1cnc[nH]1,1.825403844
51558,51-55-8,CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,3.014302977
51616,51-61-6,NCCc1ccc(O)c(O)c1,2.597159478
51718,51-71-8,NNCCc1ccccc1,2.736230722
51752,51-75-2,CN(CCCl)CCCl,5.097720148
51796,51-79-6,CCOC(N)=O,1.773757199
51821,51-82-1,CN(C)CSC(=S)N(C)C,2.889486832
51832,51-83-2,C[N+](C)(C)CCOC(N)=O,4.866871914
52017,1952/1/7,CC(=O)SC1CC2=CC(=O)CCC2(C)C2CCC3(C)C(CCC34CCC(=O)O4)C12,3.177221774
52244,52-24-4,S=P(N1CC1)(N1CC1)N1CC1,4.373886232
52313,52-31-3,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,2.911012422
52437,52-43-7,C=CCC1(CC=C)C(=O)NC(=O)NC1=O,3.235730815
52493,52-49-3,OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1,3.189215252
52517,52-51-7,O=[N+]([O-])C(Br)(CO)CO,3.886030589
52664,52-66-4,CC(C)(S)C(N)C(=O)O,2.369613954
52686,52-68-6,COP(=O)(OC)C(O)C(Cl)(Cl)Cl,3.206550983
52868,52-86-8,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,4.143675055
52891,52-89-1,NC(CS)C(=O)O,1.959892093
53101,1953/10/1,CC12CCC(=O)CC1CCC1C2CCC2(C)C(C(=O)COC(=O)CCC(=O)O)CCC12,3.357289744
53214,53-21-4,COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,3.621191892
53394,53-39-4,CC12COC(=O)CC1CCC1C2CCC2(C)C1CCC2(C)O,1.796778741
53861,53-86-1,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,4.439688487
53952,53-95-2,CC(=O)N(O)c1ccc2c(c1)Cc1ccccc1-2,3.662892166
54068,1954/6/8,CN1CC(O)C2=CC(=O)C(=O)C=C21,3.077186154
54126,1954/12/6,NC(Cc1c[nH]c2ccccc12)C(=O)O,1.957164027
54251,54-25-1,O=c1cnn(C2OC(CO)C(O)C2O)c(=O)[nH]1,1.416376671
