RTECS_ID,CAS_RN,SMILES,rat_intraperitoneal_LDLo
50124,1950/12/4,CCC1(c2ccccc2)NC(=O)N(C)C1=O,2.907602427
51309,51-30-9,CC(C)NCC(O)c1ccc(O)c(O)c1,3.324819331
51525,51-52-5,CCCc1cc(=O)[nH]c(=S)[nH]1,2.628993966
53963,53-96-3,CC(=O)Nc1ccc2c(c1)Cc1ccccc1-2,3.047810102
56360,56-36-0,CCCC[Sn](CCCC)(CCCC)OC(C)=O,4.542953581
56575,56-57-5,O=[N+]([O-])c1cc[n+]([O-])c2ccccc12,3.67705461
57067,1957/6/7,C=CCN=C=S,3.093237772
57625,57-62-5,CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(C)(O)C3CC12,3.155186427
58220,58-22-0,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12,2.946824336
58402,58-40-2,CN(C)CCCN1c2ccccc2Sc2ccccc21,2.978932584
59870,59-87-0,NC(=O)N/N=C/c1ccc([N+](=O)[O-])o1,3.120876516
60877,60-87-7,CC(CN1c2ccccc2Sc2ccccc21)N(C)C,3.307844312
61121,1961/12/1,CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1,4.690792035
62511,62-51-1,CC(=O)OC(C)C[N+](C)(C)C,3.464400116
62555,62-55-5,CC(N)=S,2.097696821
64040,64-04-0,NCCc1ccccc1,3.0834417
64437,64-43-7,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,3.275457247
64697,64-69-7,O=C(O)CI,3.792270257
64868,64-86-8,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,5.455326779
67641,67-64-1,CC(C)=O,2.065056603
67721,67-72-1,ClC(Cl)(Cl)C(Cl)(Cl)Cl,1.911873645
68359,68-35-9,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,2.749096493
72571,72-57-1,Cc1cc(-c2ccc(N=Nc3c(S(=O)(=O)O)cc4cc(S(=O)(=O)O)cc(N)c4c3O)c(C)c2)ccc1N=Nc1c(S(=O)(=O)O)cc2cc(S(=O)(=O)O)cc(N)c2c1O,3.463840254
75070,75-07-0,CC=O,1.945005485
75310,75-31-0,CC(C)N,3.072705649
75525,75-52-5,C[N+](=O)[O-],1.609523266
75854,75-85-4,CCC(C)(C)O,1.760530886
76766,76-76-6,CCC1(C(C)C)C(=O)NC(=O)NC1=O,3.255759169
76879,76-87-9,O[Sn](c1ccccc1)(c1ccccc1)c1ccccc1,3.564708663
76982,76-98-2,CCC1CC2CN3CCc4c([nH]c5cc(OC)c(OC)cc45)C(C(=O)OC)(C2)C13,3.822280345
77021,1977/2/1,C=CCC1(C(C)C)C(=O)NC(=O)NC1=O,3.322700888
77587,77-58-7,CCCCCCCCCCCC(=O)O[Sn](CCCC)(CCCC)OC(=O)CCCCCCCCCCC,3.871003254
78944,78-94-4,C=CC(C)=O,3.669570997
79243,79-24-3,CC[N+](=O)[O-],1.671329077
79469,79-46-9,CC(C)[N+](=O)[O-],1.908455772
80717,80-71-7,CC1=C(O)C(=O)CC1,2.350744071
81210,81-21-0,C1C2OC2C2C1C1CC2C2OC12,4.173991047
81812,81-81-2,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,2.865770718
83056,1983/5/6,O=C(O)C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,3.272828292
83749,83-74-9,CCC1CC2CC3c4[nH]c5ccc(OC)cc5c4CCN(C2)C13,3.087145357
87003,87-00-3,CN1C2CCC1CC(OC(=O)C(O)c1ccccc1)C2,3.184609421
87525,87-52-5,CN(C)Cc1c[nH]c2ccccc12,2.843225301
88302,88-30-2,O=[N+]([O-])c1ccc(O)cc1C(F)(F)F,3.714134787
88744,88-74-4,Nc1ccccc1[N+](=O)[O-],2.237185448
90039,1990/3/9,Oc1ccccc1[Hg]Cl,4.119451212
92706,92-70-6,O=C(O)c1cc2ccccc2cc1O,3.27457808
95169,95-16-9,c1ccc2scnc2c1,2.130947781
95556,95-55-6,Nc1ccccc1O,2.560814941
95636,95-63-6,Cc1ccc(C)c(C)c1,1.8363523
95716,95-71-6,Cc1cc(O)ccc1O,2.792878247
96082,1996/8/2,CC1OC1C1CCC2(C)OC2C1,2.623858943
96220,96-22-0,CCC(=O)CC,1.838264603
96231,96-23-1,OC(CCl)CCl,3.265444535
96242,96-24-2,OCC(O)CCl,4.04351946
97029,1997/2/9,Nc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],2.864802886
97267,97-26-7,Cc1cc(N=C2C=CC(=[N+](C)C)C=C2)c(N)cc1N,3.260999323
97530,97-53-0,C=CCc1ccc(O)c(OC)c1,2.312293745
97643,97-64-3,CCOC(=O)C(C)O,2.072367557
99116,1999/11/6,O=C(O)c1cc(O)[nH]c(=O)c1,2.287547011
100016,100-01-6,Nc1ccc([N+](=O)[O-])cc1,2.362124185
100561,100-56-1,Cl[Hg]c1ccccc1,3.796781025
100663,100-66-3,COc1ccccc1,2.335016361
101406,101-40-6,CNC(C)CC1CCCCC1,3.37821615
102363,102-36-3,O=C=Nc1ccc(Cl)c(Cl)c1,3.274187879
103720,103-72-0,S=C=Nc1ccccc1,2.954856521
104121,104-12-1,O=C=Nc1ccc(Cl)cc1,3.390420711
104461,104-46-1,CC=Cc1ccc(OC)cc1,3.325764816
105088,105-08-8,OCC1CCC(CO)CC1,2.255917436
105602,105-60-2,O=C1CCCCCN1,2.150602952
107108,107-10-8,CCCN,3.197644386
107119,107-11-9,C=CCN,3.182574416
107222,107-22-2,O=CC=O,2.763697472
107415,107-41-5,CC(O)CC(C)(C)O,1.896438027
107460,107-46-0,C[Si](C)(C)O[Si](C)(C)C,1.949272343
108032,108-03-2,CCC[N+](=O)[O-],2.209485768
108781,108-78-1,Nc1nc(N)nc(N)n1,1.595644314
109875,109-87-5,COCOC,1.182386117
110123,110-12-3,CC(=O)CCC(C)C,2.455560475
110178,110-17-8,O=C(O)C=CC(=O)O,1.88597119
110496,110-49-6,COCCOC(C)=O,1.993186311
110543,110-54-3,CCCCCC,0.976355019
111682,111-68-2,CCCCCCCN,3.186466607
114807,114-80-7,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1,5.427194468
115219,115-21-9,CC[Si](Cl)(Cl)Cl,3.736415096
115446,115-44-6,C=CCC1(C(C)CC)C(=O)NC(=O)NC1=O,3.475690554
120570,120-57-0,O=Cc1ccc2c(c1)OCO2,2.000384904
121437,121-43-7,COB(OC)OC,1.81255408
121448,121-44-8,CCN(CC)CC,3.130089208
121595,121-59-5,NC(=O)Nc1ccc([As](=O)(O)O)cc1,2.415108626
121824,121-82-4,O=[N+]([O-])N1CN([N+](=O)[O-])CN([N+](=O)[O-])C1,4.346581799
123513,123-51-3,CC(C)CCO,2.035131771
123546,123-54-6,CC(=O)C=C(C)O,2.398447836
123637,123-63-7,CC1OC(C)OC(C)O1,1.798877449
124630,124-63-0,CS(=O)(=O)Cl,4.360036463
127855,127-85-5,Nc1ccc([As](=O)(O)O)cc1,2.734511804
130154,130-15-4,O=C1C=CC(=O)c2ccccc21,3.500115668
130869,130-86-9,CN1CCc2cc3c(cc2C(=O)Cc2ccc4c(c2C1)OCO4)OCO3,3.548234593
133062,133-06-2,O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)Cl,4.080040299
135206,135-20-6,O=NN(O)c1ccccc1,3.441305431
136403,136-40-3,Nc1ccc(N=Nc2ccccc2)c(N)n1,3.027846825
139935,139-93-5,Nc1cc([AsH]=[AsH]c2ccc(O)c(N)c2)ccc1O,3.516747795
140294,140-29-4,N#CCc1ccccc1,3.19378898
141902,141-90-2,O=c1cc[nH]c(=S)[nH]1,1.931647685
142847,142-84-7,CCCNCCC,3.130089208
144741,144-74-1,Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,2.421106001
144832,144-83-2,Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1,2.347495545
154416,154-41-6,CC(N)C(O)c1ccccc1,3.401426391
154698,154-69-8,CN(C)CCN(Cc1ccccc1)c1ccccn1,3.838959649
300425,300-42-5,CNC(C)Cc1ccccc1,3.668726532
300629,300-62-9,CC(N)Cc1ccccc1,3.799629897
