RTECS_ID,CAS_RN,SMILES,rat_intravenous_LD50
50000,50-00-0,C=O,2.537978228
50077,1950/7/7,COC12C(COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1CC1NC12,5.047056692
50135,50-13-5,CCOC(=O)C1(c2ccccc2)CCN(C)CC1,3.978638958
50248,50-24-8,CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,3.477663784
50339,50-33-9,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,3.471394798
50340,50-34-0,CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc21)C(C)C,4.964373965
50373,50-37-3,CCN(CC)C(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1,4.305673746
50420,50-42-0,CCN(CC)CCOC(=O)C(c1ccccc1)c1ccccc1,4.158648539
50442,50-44-2,S=c1nc[nH]c2nc[nH]c12,2.784423279
50497,50-49-7,CN(C)CCCN1c2ccccc2CCc2ccccc21,4.335923514
50533,50-53-3,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,4.123783825
50555,50-55-5,COC(=O)C1C2CC3c4[nH]c5cc(OC)ccc5c4CCN3CC2CC(OC(=O)c2cc(OC)c(OC)c(OC)c2)C1OC,4.472770095
50566,50-56-6,CCC(C)C1NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(N)CSSCC(C(=O)N2CCCC2C(=O)NC(CC(C)C)C(=O)NCC(N)=O)NC(=O)C(CC(N)=O)NC(=O)C(CCC(N)=O)NC1=O,5.646137334
50599,50-59-9,O=C(Cc1cccs1)NC1C(=O)N2C(C(=O)O)=C(C[n+]3ccccc3)CSC12,2.592269569
50602,50-60-2,Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1,3.574199548
50635,50-63-5,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,3.726835837
50679,50-67-9,NCCc1c[nH]c2ccc(O)cc12,3.768931478
50715,50-71-5,O=C1NC(=O)C(=O)C(=O)N1,2.675381126
50760,50-76-0,Cc1ccc(C(=O)NC2C(=O)NC(C(C)C)C(=O)N3CCCC3C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC2C)c2c1OC1C(C)C(=O)C(N)C(C(=O)NC3C(=O)NC(C(C)C)C(=O)N4CCCC4C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC3C)C1N2,6.438124603
50817,50-81-7,O=C1OC(C(O)CO)C(O)=C1O,1.643758549
51058,1951/5/8,CCN(CC)CCOC(=O)c1ccc(N)cc1,3.771974846
51069,1951/6/9,CCN(CC)CCNC(=O)c1ccc(N)cc1,3.320535835
51183,51-18-3,C1CN1c1nc(N2CC2)nc(N2CC2)n1,5.264811444
51218,51-21-8,O=c1[nH]cc(F)c(=O)[nH]1,2.725037766
51285,51-28-5,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,3.407737805
51309,51-30-9,CC(C)NCC(O)c1ccc(O)c(O)c1,4.033376811
51456,51-45-6,NCCc1cnc[nH]1,2.246561103
51467,51-46-7,C1CN2CN3CCN(CN1C3)C2,2.90372029
51558,51-55-8,CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,3.598138148
51581,51-58-1,N=C(N)NC(=O)Nc1ccc([N+](=O)[O-])cc1,2.968467382
51616,51-61-6,NCCc1ccc(O)c(O)c1,4.503963663
51752,51-75-2,CN(CCCl)CCCl,5.151887786
51774,51-77-4,CC(C)=CCCC(C)=CCCC(C)=CCCC(=O)OCC=C(C)CCC=C(C)C,2.293131728
51832,51-83-2,C[N+](C)(C)CCOC(N)=O,6.167901909
52244,52-24-4,S=P(N1CC1)(N1CC1)N1CC1,4.303848365
52493,52-49-3,OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1,4.002128609
52517,52-51-7,O=[N+]([O-])C(Br)(CO)CO,3.728132335
52528,52-52-8,NC1(C(=O)O)CCCC1,2.579645757
52664,52-66-4,CC(C)(S)C(N)C(=O)O,1.872782488
52868,52-86-8,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,4.39894756
52891,52-89-1,NC(CS)C(=O)O,2.026457998
53101,1953/10/1,CC12CCC(=O)CC1CCC1C2CCC2(C)C(C(=O)COC(=O)CCC(=O)O)CCC12,3.357289744
53214,53-21-4,COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,4.248492121
53463,53-46-3,CC[N+](C)(CC)CCOC(=O)C1c2ccccc2Oc2ccccc21,4.850803172
53861,53-86-1,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,4.218243031
53894,53-89-4,CN1CCC(n2[nH]c(-c3ccccc3)c(Cc3ccccc3)c2=O)CC1,3.336787332
54035,1954/3/5,COc1cc(C(=O)OCCCN(C)CCN(C)CCCOC(=O)c2cc(OC)c(OC)c(OC)c2)cc(OC)c1OC,4.149083538
54319,54-31-9,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,2.616408553
54717,54-71-7,CCC1C(=O)OCC1Cc1cncn1C,3.371664679
