RTECS_ID,CAS_RN,SMILES,rat_intravenous_LDLo
51456,51-45-6,NCCc1cnc[nH]1,2.091659143
54864,54-86-4,O=C(O)c1cccnc1,1.546228815
56542,56-54-2,C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,3.636051711
57921,57-92-1,CNC1C(OC2C(OC3C(O)C(O)C(NC(=N)N)C(O)C3NC(=N)N)OC(C)C2(O)C=O)OC(CO)C(O)C1O,3.521571414
58004,58-00-4,CN1CCc2cccc3c2C1Cc1ccc(O)c(O)c1-3,3.824984458
62759,62-75-9,CN(C)N=O,3.26765857
66320,66-32-0,O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46,5.746139694
66831,66-83-1,COc1ccc2[nH]cc(CCN)c2c1,4.501164284
67992,67-99-2,CN1C(=O)C23CC4=CC=CC(O)C4N2C(=O)C1(CO)SS3,3.860536306
72571,72-57-1,Cc1cc(-c2ccc(N=Nc3c(S(=O)(=O)O)cc4cc(S(=O)(=O)O)cc(N)c4c3O)c(C)c2)ccc1N=Nc1c(S(=O)(=O)O)cc2cc(S(=O)(=O)O)cc(N)c2c1O,3.463840254
73096,1973/9/6,CCOC(=O)C=C1SC(N2CCCCC2)C(=O)N1C,3.412507892
76744,76-74-4,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,3.404184701
78400,78-40-0,CCOP(=O)(OCC)OCC,2.260443481
95169,95-16-9,c1ccc2scnc2c1,2.829917785
97449,97-44-9,CC(=O)Nc1cc([As](=O)(O)O)ccc1O,2.962356706
100798,100-79-8,CC1(C)OCC(CO)O1,4.548225142
108214,108-21-4,CC(=O)OC(C)C,2.768616841
108941,108-94-1,O=C1CCCCC1,2.237519844
111171,111-17-1,O=C(O)CCSCCC(=O)O,3.074838374
115446,115-44-6,C=CCC1(C(C)CC)C(=O)NC(=O)NC1=O,3.518242905
121211,121-21-1,C=CC=CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O,4.817501906
121824,121-82-4,O=[N+]([O-])N1CN([N+](=O)[O-])CN([N+](=O)[O-])C1,4.091309294
