RTECS_ID,CAS_RN,SMILES,rat_oral_LD50
50000,50-00-0,C=O,2.47749748
50077,1950/7/7,COC12C(COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1CC1NC12,4.047056692
50099,1950/9/9,CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,2.373410419
50124,1950/12/4,CCC1(c2ccccc2)NC(=O)N(C)C1=O,2.409547266
50135,50-13-5,CCOC(=O)C1(c2ccccc2)CCN(C)CC1,3.173308877
50146,50-14-6,C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)C=CC(C)C(C)C,4.598417313
50191,50-19-1,CCC(O)(COC(N)=O)c1ccccc1,2.537466398
50271,50-27-1,CC12CCC3c4ccc(O)cc4CCC3C1CC(O)C2O,2.158945684
50293,50-29-3,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,3.610085961
50317,50-31-7,O=C(O)c1c(Cl)ccc(Cl)c1Cl,2.540152293
50339,50-33-9,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,2.918988185
50340,50-34-0,CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc21)C(C)C,2.998232232
50442,50-44-2,S=c1nc[nH]c2nc[nH]c12,2.739883518
50497,50-49-7,CN(C)CCCN1c2ccccc2CCc2ccccc21,3.006681317
50533,50-53-3,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,3.346789574
50555,50-55-5,COC(=O)C1C2CC3c4[nH]c5cc(OC)ccc5c4CCN3CC2CC(OC(=O)c2cc(OC)c(OC)c(OC)c2)C1OC,3.16114545
50566,50-56-6,CCC(C)C1NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(N)CSSCC(C(=O)N2CCCC2C(=O)NC(CC(C)C)C(=O)NCC(N)=O)NC(=O)C(CC(N)=O)NC(=O)C(CCC(N)=O)NC1=O,4.690941379
