RTECS_ID,CAS_RN,SMILES,rat_oral_LDLo
51172,51-17-2,c1ccc2[nH]cnc2c1,2.373423286
52313,52-31-3,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,2.896289165
55981,55-98-1,CS(=O)(=O)OCCCCOS(C)(=O)=O,4.215383732
56542,56-54-2,C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,2.608022988
56826,56-82-6,O=CC(O)CO,1.255648731
56893,56-89-3,NC(CSSCC(N)C(=O)O)C(=O)O,0.982824606
57523,57-52-3,CC[Sn](CC)(CC)OS(=O)(=O)O[Sn](CC)(CC)CC,4.705741443
57625,57-62-5,CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(C)(O)C3CC12,2.203109979
59961,59-96-1,CC(COc1ccccc1)N(CCCl)Cc1ccccc1,2.579544955
64040,64-04-0,NCCc1ccccc1,2.180351713
69534,69-53-4,CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O,1.844367812
74602,74-60-2,CC(C)OP(=S)(Oc1ccc(S(C)=O)cc1)OC(C)C,4.128935343
75627,75-62-7,ClC(Cl)(Cl)Br,3.297265768
77496,77-49-6,CC(CO)(CO)[N+](=O)[O-],1.829686427
78808,78-80-8,C#CC(=C)C,2.014720312
79403,79-40-3,NC(=S)C(N)=S,2.380941689
79903,79-90-3,CC1CCCC(C)(C)C1CCC(C)[N+](C)(C)CCCCCC[N+](C)(C)C(C)CCC1C(C)CCCC1(C)C,3.126295414
80079,1980/7/9,O=S(=O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,1.583073268
81889,81-88-9,CCN(CC)c1ccc2c(-c3ccccc3C(=O)O)c3ccc(N(CC)CC)cc3[o+]c2c1,2.947989224
84651,84-65-1,O=C1c2ccccc2C(=O)c2ccccc21,1.14242284
84797,84-79-7,CC(C)=CCC1=C(O)C(=O)c2ccccc2C1=O,2.305125564
85109,1985/10/9,CCN(CC)CCCC(C)Nc1c(C)cnc2cc(Cl)ccc12,2.620535537
85916,85-91-6,CNc1ccccc1C(=O)OC,1.689072311
86420,86-42-0,CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O,2.648200171
86566,86-56-6,CN(C)c1cccc2ccccc12,2.534642823
86748,86-74-8,c1ccc2c(c1)[nH]c1ccccc12,2.52429484
87014,1987/1/4,Cc1cc(=O)oc2cc(N(C)C)ccc12,2.131920064
87694,87-69-4,O=C(O)C(O)C(O)C(=O)O,1.30127892
88584,88-58-4,CC(C)(C)c1cc(O)c(C(C)(C)C)cc1O,2.443904174
90039,1990/3/9,Oc1ccccc1[Hg]Cl,3.517391221
90642,90-64-2,O=C(O)C(O)c1ccccc1,1.705147848
91565,91-56-5,O=C1Nc2ccccc2C1=O,1.468740086
94359,94-35-9,NC(=O)OCC(O)c1ccccc1,2.14419327
94939,94-93-9,Oc1ccccc1C=NCCN=Cc1ccccc1O,2.729676567
95318,95-31-8,CC(C)(C)NSc1nc2ccccc2s1,1.477451135
95716,95-71-6,Cc1cc(O)ccc1O,2.792878247
96264,96-26-4,O=C(CO)CO,0.051528748
97449,97-44-9,CC(=O)Nc1cc([As](=O)(O)O)ccc1O,2.360296715
97563,97-56-3,Cc1cc(N=Nc2ccccc2C)ccc1N,2.176660294
98055,1998/5/5,O=[As](O)(O)c1ccccc1,3.606469505
98646,98-64-6,NS(=O)(=O)c1ccc(Cl)cc1,2.583513892
98726,98-72-6,O=[N+]([O-])c1ccc([As](=O)(O)O)cc1,3.392763763
98964,98-96-4,NC(=O)c1cnccn1,1.613189715
99423,99-42-3,COC(=O)c1ccc(O)c([N+](=O)[O-])c1,1.896847961
100107,100-10-7,CN(C)c1ccc(C=O)cc1,2.474778443
100221,100-22-1,CN(C)c1ccc(N(C)C)cc1,2.516540662
100254,100-25-4,O=[N+]([O-])c1ccc([N+](=O)[O-])cc1,3.526618377
100470,100-47-0,N#Cc1ccccc1,2.156027254
101019,101-01-9,c1ccc(N=C(Nc2ccccc2)Nc2ccccc2)cc1,3.060495374
101611,101-61-1,CN(C)c1ccc(Cc2ccc(N(C)C)cc2)cc1,2.706507837
102078,102-07-8,O=C(Nc1ccccc1)Nc1ccccc1,2.627881787
103628,103-62-8,CCCCNc1ccc(O)cc1,2.564892159
105566,105-56-6,CCOC(=O)CC#N,2.451464048
105588,105-58-8,CCOC(=O)OCC,0.896276298
106945,106-94-5,CCCBr,1.487820403
107153,107-15-3,NCCN,2.079904468
107700,107-70-0,COC(C)(C)CC(C)=O,1.637446365
107982,107-98-2,COCC(C)O,1.382075356
108098,108-09-8,CC(C)CC(C)N,2.226999221
109853,109-85-3,COCCN,1.671583561
109900,109-90-0,CCN=C=O,2.490013473
110270,110-27-0,CCCCCCCCCCCCCC(=O)OC(C)C,1.227978244
110714,110-71-4,COCCOC,1.954830821
111864,111-86-4,CCCCCCCCN,3.412450467
115913,115-91-3,COP(=S)(OC)Oc1ccc(S(C)=O)cc1,4.970512689
117828,117-82-8,COCCOC(=O)c1ccccc1C(=O)OCCOC,2.011365877
119471,119-47-1,Cc1cc(Cc2cc(C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,1.532126044
122112,122-11-2,COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(OC)n1,1.491830759
127639,127-63-9,O=S(=O)(c1ccccc1)c1ccccc1,1.986825458
131919,131-91-9,O=Nc1c(O)ccc2ccccc12,2.539505161
132605,132-60-5,O=C(O)c1cc(-c2ccccc2)nc2ccccc12,2.697698267
132923,132-92-3,COc1cccc(OC)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,1.978205633
133653,133-65-3,O=S(=O)(c1ccc(NC(CC(c2ccccc2)S(=O)(=O)O)S(=O)(=O)O)cc1)c1ccc(NC(CC(c2ccccc2)S(=O)(=O)O)S(=O)(=O)O)cc1,2.303693267
133915,133-91-5,O=C(O)c1cc(I)cc(I)c1O,2.891998825
137075,137-07-5,Nc1ccccc1S,2.398620449
137188,137-18-8,CC1=CC(=O)C(C)=CC1=O,2.435047641
141139,141-13-9,CC(C)=CCCC(C)CCCC(C)C=O,1.623995222
141253,141-25-3,C=C(C)CCCC(C)CCO,1.494902829
141468,141-46-8,O=CCO,1.301406221
141593,141-59-3,CC(C)(C)CC(C)(C)S,3.466271353
141731,141-73-1,COC(C)(C)CC(C)O,1.820211315
142643,142-64-3,C1CNCCN1,2.23622478
144003,144-00-3,CCCCCCC1(CC)C(=O)NC(=O)NC1=O,2.079729197
300425,300-42-5,CNC(C)Cc1ccccc1,3.32877847
303219,303-21-9,Cc1c([N+](=O)[O-])cc(C(C)C)c(O)c1[N+](=O)[O-],3.380600123
303333,303-33-3,COC(C)C(O)(C(=O)OCC1=CCN2CCC(O)C12)C(C)C,3.797120673
304176,304-17-6,CC(C)N1C(=O)c2ccccc2C1=O,2.577983262
306127,306-12-7,Nc1cc([As]=O)ccc1O,2.599972541
306445,306-44-5,C=C(O)/C=N\O,3.161757195
306832,306-83-2,FC(F)(F)C(Cl)Cl,1.230250179
309433,309-43-3,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,3.280190337
311091,311-09-1,CC[N+](CC)(CCCNC1=CC(=O)C(NCCC[N+](CC)(CC)Cc2ccccc2)=CC1=O)Cc1ccccc1,3.084615992
316427,316-42-7,CCC1CN2CCc3cc(OC)c(OC)cc3C2CC1CC1NCCc2cc(OC)c(OC)cc21,4.640435358
329657,329-65-7,CNCC(O)c1ccc(O)c(O)c1,3.785820809
339720,339-72-0,NC1CONC1=O,1.70796597
343475,343-47-5,O=C(Nc1cccc2ccccc12)OCCF,3.668836752
361091,361-09-1,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,2.758186511
364716,364-71-6,O=C(CF)Oc1ccccc1C(=O)O,4.296991885
406202,406-20-2,COC(=O)CCCF,3.681686161
422059,422-05-9,OCC(F)(F)C(F)(F)F,1.824041904
422640,422-64-0,O=C(O)C(F)(F)C(F)(F)F,2.339859374
455163,455-16-3,Cc1ccc(S(=O)(=O)F)cc1,2.542068174
464482,464-48-2,CC12CCC(CC1=O)C2(C)C,5.27943023
469590,469-59-0,CC1=C2C(=O)C3C(CC=C4CC(O)CCC43C)C2CCC12OC1CC(C)CNC1C2C,3.248803643
485472,485-47-2,O=C1c2ccccc2C(=O)C1(O)O,2.852828753
495841,495-84-1,O=C(NN=Cc1ccccc1O)c1ccncc1,2.382467322
499445,499-44-5,CC(C)c1cccc(=O)c(O)c1,2.516413728
500425,500-42-5,Nc1ncnc(Nc2ccc(Cl)cc2)n1,4.646699691
502567,502-56-7,CCCCC(=O)CCCC,2.15302785
502841,502-84-1,O=C(O)CCCF,4.326729006
504632,504-63-2,OCCCO,0.881356121
511706,511-70-6,CCC(Br)(CC)C(N)=O,2.68590289
521528,521-52-8,COC(=O)C(=C1OC(=O)C(c2ccccc2)=C1O)c1ccccc1,2.80931186
521744,521-74-4,Oc1c(Br)cc(Br)c2cccnc12,1.481375257
524403,524-40-3,COc1ccn(C)c(=O)c1C#N,3.340216662
524425,524-42-5,O=C1C=Cc2ccccc2C1=O,2.801145664
524834,524-83-4,CCN1C2CCC1CC(OC(c1ccccc1)c1ccccc1)C2,2.758944317
532547,532-54-7,O=C(C=NO)c1ccccc1,3.173620346
536298,536-29-8,Nc1cc([As](Cl)Cl)ccc1O,2.705774793
542905,542-90-5,CCSC#N,2.637056384
547911,547-91-1,O=S(=O)(O)c1cc(I)c(O)c2ncccc12,2.642366818
548663,548-66-3,CCN(CC)CCOC(=O)C(c1ccccc1)C1CCCCC1,2.297586813
555771,555-77-1,ClCCN(CCCl)CCCl,4.611782767
563417,563-41-7,NNC(N)=O,3.875472201
594650,594-65-0,NC(=O)C(Cl)(Cl)Cl,2.511624043
597897,597-89-7,COP(=O)(Oc1ccc([N+](=O)[O-])cc1)SC,3.11927404
598505,598-50-5,CNC(N)=O,2.170748557
600259,600-25-9,CCC(Cl)[N+](=O)[O-],3.392834077
609723,609-72-3,Cc1ccccc1N(C)C,2.432038808
614788,614-78-8,Cc1ccccc1NC(N)=S,4.521789037
615156,615-15-6,Cc1nc2ccccc2[nH]1,2.422149742
615203,615-20-3,Clc1nc2ccccc2s1,2.831578015
615214,615-21-4,NN=c1[nH]c2ccccc2s1,3.218065246
615678,615-67-8,Oc1ccc(O)c(Cl)c1,2.859009131
619249,619-24-9,N#Cc1cccc([N+](=O)[O-])c1,3.471646631
622526,622-52-6,Cc1ccc(NC(N)=S)cc1,4.521789037
626675,626-67-5,CN1CCCCC1,3.598470959
628944,628-94-4,NC(=O)CCCCC(N)=O,2.459916943
634606,634-60-6,Nc1c(O)cccc1O,2.398381028
646208,646-20-8,N#CCCCCCC#N,2.387998124
675207,675-20-7,O=C1CCCCN1,0.954825564
681845,681-84-5,CO[Si](OC)(OC)OC,2.337379384
707608,707-60-8,CN(C)S(=O)(=O)c1ccc(Br)cc1,2.722870746
709557,709-55-7,CCNCC(O)c1cccc(O)c1,2.986400466
762425,762-42-5,COC(=O)C#CC(=O)OC,3.453654635
765344,765-34-4,O=CC1CO1,3.158742334
824793,824-79-3,Cc1ccc(S(=O)O)cc1,1.688547733
827521,827-52-1,c1ccc(C2CCCCC2)cc1,1.505855134
872504,872-50-4,CN1CCCC1=O,1.519096994
927491,927-49-1,CCCCCC(=O)CCCCC,2.231204447
934327,934-32-7,Nc1nc2ccccc2[nH]1,2.425384213
