RTECS_ID,CAS_RN,SMILES,rat_skin_LD50
50293,50-29-3,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,2.26382294
50317,50-31-7,O=C(O)c1c(Cl)ccc(Cl)c1Cl,2.35306565
51036,1951/3/6,CCCCOCCOCCOCc1cc2c(cc1CCC)OCO2,1.629119691
51752,51-75-2,CN(CCCl)CCCl,4.114099225
52460,52-46-0,C1CN1P1(N2CC2)=NP(N2CC2)(N2CC2)=NP(N2CC2)(N2CC2)=N1,2.985997598
52517,52-51-7,O=[N+]([O-])C(Br)(CO)CO,2.096883955
52686,52-68-6,COP(=O)(OC)C(O)C(Cl)(Cl)Cl,2.10964097
52857,52-85-7,COP(=S)(OC)Oc1ccc(S(=O)(=O)N(C)C)cc1,2.91028815
55389,55-38-9,COP(=S)(OC)Oc1ccc(SC)c(C)c1,2.926053881
55630,55-63-0,O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],3.890805597
56235,56-23-5,ClC(Cl)(Cl)Cl,1.482013318
56359,56-35-9,CCCC[Sn](CCCC)(CCCC)O[Sn](CCCC)(CCCC)CCCC,3.298210252
56382,56-38-2,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,4.631779388
56724,56-72-4,CCOP(=S)(OCC)Oc1ccc2c(C)c(Cl)c(=O)oc2c1,2.625134111
57147,57-14-7,CN(C)N,1.892383747
57396,57-39-6,CC1CN1P(=O)(N1CC1C)N1CC1C,3.07046584
58902,58-90-2,Oc1c(Cl)cc(Cl)c(Cl)c1Cl,2.6795459
60344,60-34-4,CNN,2.400995402
60515,60-51-5,CNC(=O)CSP(=S)(OC)OC,2.812559266
61825,61-82-5,Nc1nnc[nH]1,0.924703033
62737,62-73-7,COP(=O)(OC)OC=C(Cl)Cl,5.469283845
62748,62-74-8,O=C(O)CF,3.211087153
63252,63-25-2,CNC(=O)Oc1cccc2ccccc12,1.701621945
64006,64-00-6,CNC(=O)Oc1cccc(C(C)C)c1,3.23303207
67685,67-68-5,CS(C)=O,0.290791183
69727,69-72-7,O=C(O)c1ccccc1O,1.839232863
70304,70-30-4,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,2.506899529
72435,72-43-5,COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1,1.76048908
75478,75-47-8,IC(I)I,2.521847907
75898,75-89-8,OCC(F)(F)F,1.77486006
75912,75-91-2,CC(C)(C)OO,2.05720373
75989,75-98-9,CC(C)(C)C(=O)O,1.730412488
76448,76-44-8,ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl,3.496535459
77816,77-81-6,CCOP(=O)(C#N)N(C)C,3.954588199
78342,78-34-2,CCOP(=S)(OCC)SC1OCCOC1SP(=S)(OCC)OCC,3.860147798
78488,78-48-8,CCCCSP(=O)(SCCCC)SCCCC,3.272341747
78579,78-57-9,COP(=S)(OC)SCc1nc(N)nc(N)n1,2.148144368
78591,78-59-1,CC1=CC(=O)CC(C)(C)C1,1.997524667
78706,78-70-6,C=CC(C)(O)CCC=C(C)C,1.439270758
78922,78-92-2,CCC(C)O,1.568922993
79049,1979/4/9,O=C(Cl)CCl,2.23200133
79061,1979/6/1,C=CC(N)=O,2.249681318
79083,1979/8/3,O=C(O)CBr,3.1428523
79276,79-27-6,BrC(Br)C(Br)Br,1.818482284
79390,79-39-0,C=C(C)C(N)=O,1.151808929
80057,1980/5/7,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,2.35848879
80068,1980/6/8,CC(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,1.426763307
80159,80-15-9,CC(C)(OO)c1ccccc1,2.483424674
80331,80-33-1,O=S(=O)(Oc1ccc(Cl)cc1)c1ccc(Cl)cc1,1.481680494
80386,80-38-6,O=S(=O)(Oc1ccc(Cl)cc1)c1ccccc1,2.128271611
81812,81-81-2,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,2.342891973
81969,81-96-9,O=C1c2ccccc2-c2ccc(Br)c3cccc1c23,2.189156112
82666,82-66-6,O=C1C(=C(O)C(c2ccccc2)c2ccccc2)C(=O)c2ccccc21,3.230931486
83794,83-79-4,C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1,2.622834378
84651,84-65-1,O=C1c2ccccc2C(=O)c2ccccc21,2.318514099
85687,85-68-7,CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1,1.668587563
86500,86-50-0,COP(=S)(OC)SCn1nnc2ccccc2c1=O,3.557031197
86522,86-52-2,ClCc1cccc2ccccc12,1.548133803
87332,87-33-2,O=[N+]([O-])OC1COC2C(O[N+](=O)[O-])COC12,1.896040948
87865,87-86-5,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,3.443161901
88186,88-18-6,CC(C)(C)c1ccccc1O,2.328541532
88299,88-29-9,CCc1cc2c(cc1C(C)=O)C(C)(C)CCC2(C)C,2.645888066
88857,88-85-7,CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,3.477510136
90028,1990/2/8,O=Cc1ccccc1O,2.308646214
90722,90-72-2,CN(C)Cc1cc(CN(C)C)c(O)c(CN(C)C)c1,2.316692585
91203,91-20-3,c1ccc2ccccc2c1,1.709859929
93710,93-71-0,C=CCN(CC=C)C(=O)CCl,2.68335478
93765,93-76-5,O=C(O)COc1cc(Cl)c(Cl)cc1Cl,2.221255327
95147,95-14-7,c1ccc2n[nH]nc2c1,2.076010205
95487,95-48-7,Cc1ccccc1O,2.241594676
95545,95-54-5,Nc1ccccc1N,1.335032425
96242,96-24-2,OCC(O)CCl,2.019444473
97176,97-17-6,CCOP(=S)(OCC)Oc1ccc(Cl)cc1Cl,2.948299983
98000,98-00-0,OCc1ccco1,1.409041995
98737,98-73-7,CC(C)(C)c1ccc(C(=O)O)cc1,2.773861989
98942,98-94-2,CN(C)C1CCCCC1,2.536391217
98953,98-95-3,O=[N+]([O-])c1ccccc1,1.768077564
99423,99-42-3,COC(=O)c1ccc(O)c([N+](=O)[O-])c1,1.993757974
99990,99-99-0,Cc1ccc([N+](=O)[O-])cc1,0.933037829
100005,100-00-5,O=[N+]([O-])c1ccc(Cl)cc1,0.993314964
100027,100-02-7,O=[N+]([O-])c1ccc(O)cc1,2.133058394
100174,100-17-4,COc1ccc([N+](=O)[O-])cc1,0.980960152
100298,100-29-8,CCOc1ccc([N+](=O)[O-])cc1,1.019022772
100470,100-47-0,N#Cc1ccccc1,1.934178504
101053,101-05-3,Clc1nc(Cl)nc(Nc2ccccc2Cl)n1,1.741192583
101279,101-27-9,O=C(Nc1cccc(Cl)c1)OCC#CCCl,2.207674752
103695,103-69-5,CCNc1ccccc1,1.411343842
103957,103-95-7,CC(C=O)Cc1ccc(C(C)C)cc1,1.580436833
104767,104-76-7,CCCCC(CC)CO,1.637593121
104870,104-87-0,Cc1ccc(C=O)cc1,1.681787381
104949,104-94-9,COc1ccc(N)cc1,1.58530207
105395,105-39-5,CCOC(=O)CCl,2.881490983
105602,105-60-2,O=C1CCCCCN1,1.752662943
105679,105-67-9,Cc1ccc(O)c(C)c1,2.06992057
106445,106-44-5,Cc1ccc(O)cc1,2.158925102
106467,106-46-7,Clc1ccc(Cl)cc1,1.389177902
106478,106-47-8,Nc1ccc(Cl)cc1,1.600612194
106489,106-48-9,Oc1ccc(Cl)cc1,1.933007848
106934,106-93-4,BrCCBr,2.796717687
107073,107-07-3,OCCCl,2.439003783
107131,107-13-1,C=CC#N,2.554538269
107222,107-22-2,O=CC=O,1.462667476
107277,107-27-7,CC[Hg]Cl,3.122387923
107313,107-31-3,COC=O,1.176467485
107448,107-44-8,CC(C)OP(C)(=O)F,4.748479527
107493,107-49-3,CCOP(=O)(OCC)OP(=O)(OCC)OCC,5.082469704
107595,107-59-5,CC(C)(C)OC(=O)CCl,2.027389981
108394,108-39-4,Cc1cccc(O)c1,1.99259368
108429,108-42-9,Nc1cccc(Cl)c1,2.707822164
108601,108-60-1,CC(CCl)OC(C)CCl,1.932136244
108623,108-62-3,CC1OC(C)OC(C)OC(C)O1,1.889054079
108985,108-98-5,Sc1ccccc1,2.564985455
109024,109-02-4,CN1CCOCC1,1.744890206
109773,109-77-3,N#CCC#N,2.275890247
110805,110-80-5,CCOCCO,1.363766214
110930,110-93-0,CC(=O)CCC=C(C)C,1.800025918
111308,111-30-8,O=CCCCC=O,1.602567819
111411,111-41-1,NCCNCCO,1.665489266
112050,112-05-0,CCCCCCCCC(=O)O,1.898289023
112561,112-56-1,CCCCOCCOCCSC#N,2.910212323
112801,112-80-1,CCCCCCCCC=CCCCCCCCC(=O)O,2.149939259
113484,113-48-4,CCCCC(CC)CN1C(=O)C2C3C=CC(C3)C2C1=O,2.767853462
114261,114-26-1,CNC(=O)Oc1ccccc1OC(C)C,2.417565102
115264,115-26-4,CN(C)P(=O)(F)N(C)C,4.886843094
115297,115-29-7,O=S1OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,4.078039724
115322,115-32-2,OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)C(Cl)(Cl)Cl,3.56877649
115902,115-90-2,CCOP(=S)(OCC)Oc1ccc(S(C)=O)cc1,5.011938191
116018,116-01-8,CCNC(=O)CSP(=S)(OC)OC,2.085094263
116063,116-06-3,CNC(=O)ON=CC(C)(C)SC,4.881425744
116529,116-52-9,O=C(NC(O)C(Cl)(Cl)Cl)NC(O)C(Cl)(Cl)Cl,1.851052775
118821,118-82-1,CC(C)(C)c1cc(Cc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)cc(C(C)(C)C)c1O,2.327020564
119120,119-12-0,CCOP(=S)(OCC)Oc1ccc(=O)n(-c2ccccc2)n1,2.209694976
119380,119-38-0,Cc1cc(OC(=O)N(C)C)n(C(C)C)n1,4.576639527
120365,120-36-5,CC(Oc1ccc(Cl)cc1Cl)C(=O)O,1.933080897
120570,120-57-0,O=Cc1ccc2c(c1)OCO2,4.477506159
120821,120-82-1,Clc1ccc(Cl)c(Cl)c1,1.470656946
121755,121-75-5,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,1.871218666
122145,122-14-5,COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(C)c1,2.441985036
122349,122-34-9,CCNc1nc(Cl)nc(NCC)n1,1.605651912
122429,122-42-9,CC(C)OC(=O)Nc1ccccc1,1.554414045
122690,122-69-0,O=C(C=Cc1ccccc1)OCC=Cc1ccccc1,1.723166594
122996,122-99-6,OCCOc1ccccc1,0.981375693
123773,123-77-3,NC(=O)N=NC(N)=O,2.365787395
126227,126-22-7,CCCC(=O)OC(C(Cl)(Cl)Cl)P(=O)(OC)OC,1.670150393
126330,126-33-0,O=S1(=O)CCCC1,1.500023306
126987,126-98-7,C=C(C)C#N,1.50860093
127195,127-19-5,CC(=O)N(C)C,1.639097841
127208,127-20-8,CC(Cl)(Cl)C(=O)O,1.456271875
127593,127-59-3,CCCCN(CCCC)S(=O)(=O)c1ccc(Cl)cc1,1.509538534
131113,131-11-3,COC(=O)c1ccccc1C(=O)OC,1.606976679
133062,133-06-2,O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)Cl,1.779010303
133664,133-66-4,O=S(=O)(O)c1cc(Nc2nc(Nc3ccccc3)nc(Nc3ccccc3)n2)ccc1C=Cc1ccc(Nc2nc(Nc3ccccc3)nc(Nc3ccccc3)n2)cc1S(=O)(=O)O,2.473722423
133904,133-90-4,Nc1cc(Cl)cc(C(=O)O)c1Cl,1.971503566
134623,134-62-3,CCN(CC)C(=O)c1cccc(C)c1,1.582685936
136458,136-45-8,CCCOC(=O)c1ccc(C(=O)OCCC)nc1,1.427033526
136969,136-96-9,CCN(CC)CCOc1ccc2nc(N(C)C)sc2c1,2.443849476
137428,137-42-8,CNC(=S)S,2.226749823
139402,139-40-2,CC(C)Nc1nc(Cl)nc(NC(C)C)n1,1.869827661
140294,140-29-4,N#CCc1ccccc1,1.767716004
141059,141-05-9,CCOC(=O)C=CC(=O)OCC,1.537012699
141662,141-66-2,COP(=O)(OC)OC(C)=CC(=O)N(C)C,3.751850747
141957,141-95-7,O=C(O)CC(=O)O,3.256112182
143135,143-13-5,CCCCCCCCCOC(C)=O,1.571231195
143500,143-50-0,O=C1C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl,2.389732071
144412,144-41-2,COP(=S)(OC)SCC(=O)N1CCOCC1,3.003556435
147842,147-84-2,CCN(CC)C(=S)S,2.174013263
150196,150-19-6,COc1cccc(O)c1,2.260123868
150505,150-50-5,CCCCSP(SCCCC)SCCCC,2.686102682
150685,150-68-5,CN(C)C(=O)Nc1ccc(Cl)cc1,1.900155119
152169,152-16-9,CN(C)P(=O)(OP(=O)(N(C)C)N(C)C)N(C)C,4.280658788
297789,297-78-9,ClC1=C(Cl)C2(Cl)C3C(Cl)OC(Cl)C3C1(Cl)C2(Cl)Cl,4.915667822
297972,297-97-2,CCOP(=S)(OCC)Oc1cnccn1,4.491788774
298000,298-00-0,COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1,3.594229232
298022,298-02-2,CCOP(=S)(OCC)SCSCC,5.017677621
298044,298-04-4,CCOP(=S)(OCC)SCCSCC,4.660253431
299843,299-84-3,COP(=S)(OC)Oc1cc(Cl)c(Cl)cc1Cl,2.206217168
299854,299-85-4,COP(S)(=NC(C)C)Oc1ccc(Cl)cc1Cl,2.27186096
300765,300-76-5,COP(=O)(OC)OC(Br)C(Cl)(Cl)Br,2.677588705
301122,301-12-2,CCS(=O)CCSP(=O)(OC)OC,3.391446779
302170,302-17-0,OC(O)C(Cl)(Cl)Cl,1.737100754
306832,306-83-2,FC(F)(F)C(Cl)Cl,1.883462693
314409,314-40-9,CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O,2.018898465
315184,315-18-4,CNC(=O)Oc1cc(C)c(N(C)C)c(C)c1,2.170824759
327980,327-98-0,CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl,3.717051275
329657,329-65-7,CNCC(O)c1ccc(O)c(O)c1,3.470550374
330541,330-54-1,CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,1.668568543
330552,330-55-2,CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1,1.998428488
330643,330-64-3,CNC(=O)Oc1cc(C(C)C)cc(C(C)C)c1,1.991460517
333415,333-41-5,CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,3.228103655
351053,351-05-3,O=C(CF)Nc1ccc(Br)cc1,4.520487276
354212,354-21-2,FC(F)(Cl)C(Cl)Cl,1.927844953
367259,367-25-9,Nc1ccc(F)cc1F,2.283587244
368978,368-97-8,F[As](F)c1ccccc1,4.102717197
420042,420-04-2,N#CN,2.699393752
422560,422-56-0,FC(F)(F)C(F)(F)C(Cl)Cl,2.00633124
465736,465-73-6,ClC1=C(Cl)C2(Cl)C3C4C=CC(C4)C3C1(Cl)C2(Cl)Cl,3.780797196
467696,467-69-6,O=C(O)C1(O)c2ccccc2-c2ccccc21,1.354552115
