RTECS_ID,CAS_RN,SMILES,rat_subcutaneous_LD50
50000,50-00-0,C=O,1.85424819
50077,1950/7/7,COC12C(COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1CC1NC12,5.012294585
50135,50-13-5,CCOC(=O)C1(c2ccccc2)CCN(C)CC1,3.245232599
50237,50-23-7,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,2.907020934
50248,50-24-8,CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,3.389527695
50293,50-29-3,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,2.373513955
50328,50-32-8,c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,3.702974787
50339,50-33-9,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,3.08414849
50340,50-34-0,CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc21)C(C)C,3.092217692
50442,50-44-2,S=c1nc[nH]c2nc[nH]c12,3.228120778
50497,50-49-7,CN(C)CCCN1c2ccccc2CCc2ccccc21,3.08060137
50533,50-53-3,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,3.628556484
50555,50-55-5,COC(=O)C1C2CC3c4[nH]c5cc(OC)ccc5c4CCN3CC2CC(OC(=O)c2cc(OC)c(OC)c(OC)c2)C1OC,4.386454731
50566,50-56-6,CCC(C)C1NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(N)CSSCC(C(=O)N2CCCC2C(=O)NC(CC(C)C)C(=O)NCC(N)=O)NC(=O)C(CC(N)=O)NC(=O)C(CCC(N)=O)NC1=O,4.690941379
50599,50-59-9,O=C(Cc1cccs1)NC1C(=O)N2C(C(=O)O)=C(C[n+]3ccccc3)CSC12,2.221679168
50602,50-60-2,Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1,3.009928118
50635,50-63-5,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,3.226233486
50679,50-67-9,NCCc1c[nH]c2ccc(O)cc12,2.791207872
50704,50-70-4,OCC(O)C(O)C(O)C(O)CO,0.789189915
50759,50-75-9,O=C(O)c1ccc(Cl)c(Cl)c1Cl,2.875944395
50760,50-76-0,Cc1ccc(C(=O)NC2C(=O)NC(C(C)C)C(=O)N3CCCC3C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC2C)c2c1OC1C(C)C(=O)C(N)C(C(=O)NC3C(=O)NC(C(C)C)C(=O)N4CCCC4C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC3C)C1N2,6.197792448
50817,50-81-7,O=C1OC(C(O)CO)C(O)=C1O,1.24581854
51058,1951/5/8,CCN(CC)CCOC(=O)c1ccc(N)cc1,2.596428498
51069,1951/6/9,CCN(CC)CCNC(=O)c1ccc(N)cc1,2.070649145
