RTECS_ID,CAS_RN,SMILES,rat_subcutaneous_LDLo
50033,1950/3/3,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C,3.208981738
50099,1950/9/9,CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,2.792427111
51285,51-28-5,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,4.088979042
51456,51-45-6,NCCc1cnc[nH]1,2.647961644
51796,51-79-6,CCOC(N)=O,1.694575953
53463,53-46-3,CC[N+](C)(CC)CCOC(=O)C1c2ccccc2Oc2ccccc21,3.026894431
56177,56-17-7,NCCSSCCN,2.944105056
56542,56-54-2,C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,3.01121728
57476,57-47-6,CNC(=O)Oc1ccc2c(c1)C1(C)CCN(C)C1N2C,5.439888235
57523,57-52-3,CC[Sn](CC)(CC)OS(=O)(=O)O[Sn](CC)(CC)CC,4.307801434
57921,57-92-1,CNC1C(OC2C(OC3C(O)C(O)C(NC(=N)N)C(O)C3NC(=N)N)OC(C)C2(O)C=O)OC(CO)C(O)C1O,2.986458213
58902,58-90-2,Oc1c(Cl)cc(Cl)c(Cl)c1Cl,3.043068344
60797,60-79-7,CC(CO)NC(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1,2.81346356
60800,60-80-0,Cc1cc(=O)n(-c2ccccc2)n1C,2.07878919
62135,62-13-5,CNCC(=O)c1ccc(O)c(O)c1,3.355046635
62328,62-32-8,CNCCc1ccc(O)c(O)c1,3.01913707
64437,64-43-7,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,3.400395983
64868,64-86-8,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,4.999394823
66320,66-32-0,O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46,5.047169689
68359,68-35-9,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,1.398431352
69534,69-53-4,CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O,1.844367812
72571,72-57-1,Cc1cc(-c2ccc(N=Nc3c(S(=O)(=O)O)cc4cc(S(=O)(=O)O)cc(N)c4c3O)c(C)c2)ccc1N=Nc1c(S(=O)(=O)O)cc2cc(S(=O)(=O)O)cc(N)c2c1O,3.463840254
75854,75-85-4,CCC(C)(C)O,1.799094281
76766,76-76-6,CCC1(C(C)C)C(=O)NC(=O)NC1=O,3.255759169
77021,1977/2/1,C=CCC1(C(C)C)C(=O)NC(=O)NC1=O,3.720640896
78671,78-67-1,CC(C)(C#N)N=NC(C)(C)C#N,3.738283636
78900,78-90-0,CC(N)CN,1.911412541
79209,79-20-9,COC(C)=O,0.966605124
87661,87-66-1,Oc1cccc(O)c1O,2.287839613
87694,87-69-4,O=C(O)C(O)C(O)C(=O)O,1.699218928
