RTECS_ID,CAS_RN,SMILES,rat_unreported_LD50
50135,50-13-5,CCOC(=O)C1(c2ccccc2)CCN(C)CC1,2.946132813
50293,50-29-3,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,3.072483959
50533,50-53-3,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,3.549375238
51058,1951/5/8,CCN(CC)CCOC(=O)c1ccc(N)cc1,3.19740003
51069,1951/6/9,CCN(CC)CCNC(=O)c1ccc(N)cc1,3.174891539
51309,51-30-9,CC(C)NCC(O)c1ccc(O)c(O)c1,2.395400405
51752,51-75-2,CN(CCCl)CCCl,4.96283155
52686,52-68-6,COP(=O)(OC)C(O)C(Cl)(Cl)Cl,2.670308276
54648,54-64-8,CC[Hg]Sc1ccccc1C(=O)O,3.98095051
54864,54-86-4,O=C(O)c1cccnc1,1.488236868
55185,55-18-5,CCN(CC)N=O,2.620017013
55436,55-43-6,ClCCN(Cc1ccccc1)Cc1ccccc1,3.335424466
55981,55-98-1,CS(=O)(=O)OCCCCOS(C)(=O)=O,4.391474991
56542,56-54-2,C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,3.732961724
57410,57-41-0,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,3.217179341
58151,58-15-1,Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,3.118661087
59143,59-14-3,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1Br,2.12555198
59529,59-52-9,OCC(S)CS,3.041148042
60355,60-35-5,CC(N)=O,1.40962443
60515,60-51-5,CNC(=O)CSP(=S)(OC)OC,3.027895511
60571,60-57-1,ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,4.350376873
62737,62-73-7,COP(=O)(OC)OC=C(Cl)Cl,3.588470252
62748,62-74-8,O=C(O)CF,3.716237132
62759,62-75-9,CN(C)N=O,3.31341606
63252,63-25-2,CNC(=O)Oc1cccc2ccccc12,2.604711932
64006,64-00-6,CNC(=O)Oc1cccc(C(C)C)c1,3.673326656
64391,64-39-1,CCC(=O)OC1(c2ccccc2)CC(C)N(C)CC1C,3.92143738
66819,66-81-9,CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1,3.325398366
67685,67-68-5,CS(C)=O,1.778907822
68122,1968/12/2,CN(C)C=O,1.386766416
68359,68-35-9,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,3.194311369
69534,69-53-4,CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O,1.543337816
70439,70-43-9,CC(C)=CC1C(C(=O)OCc2cc3c(cc2Cl)OCO3)C1(C)C,2.549667819
73789,73-78-9,CCN(CC)CC(=O)Nc1c(C)cccc1C,3.774355764
75092,1975/9/2,ClCCl,1.200722682
75127,1975/12/7,NC=O,1.176486769
75503,75-50-3,CN(C)C,2.043321872
75865,75-86-5,CC(C)(O)C#N,3.806108538
78422,78-42-2,CCCCC(CC)COP(=O)(OCC(CC)CCCC)OCC(CC)CCCC,1.036071699
79061,1979/6/1,C=CC(N)=O,2.533677974
79072,1979/7/2,NC(=O)CCl,3.12577395
79107,1979/10/7,C=CC(=O)O,1.760802325
79163,79-16-3,CNC(C)=O,1.358737692
79414,79-41-4,C=C(C)C(=O)O,1.730832725
80331,80-33-1,O=S(=O)(Oc1ccc(Cl)cc1)c1ccc(Cl)cc1,2.169926633
80433,80-43-3,CC(C)(OOC(C)(C)c1ccccc1)c1ccccc1,1.887893669
81812,81-81-2,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,3.790050004
82666,82-66-6,O=C1C(=C(O)C(c2ccccc2)c2ccccc2)C(=O)c2ccccc21,4.490568797
82860,82-86-0,O=c1c(=O)c2cccc3cccc1c32,2.398364551
83794,83-79-4,C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1,3.475388301
84662,84-66-2,CCOC(=O)c1ccccc1C(=O)OCC,1.369098623
84695,84-69-5,CC(C)COC(=O)c1ccccc1C(=O)OCC(C)C,1.132834244
84742,84-74-2,CCCCOC(=O)c1ccccc1C(=O)OCCCC,1.470998482
84753,84-75-3,CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC,1.005825052
84764,84-76-4,CCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCCC,1.366545393
85438,85-43-8,O=C1OC(=O)C2CC=CCC12,1.705147848
86306,86-30-6,O=NN(c1ccccc1)c1ccccc1,1.820037172
