RTECS_ID,CAS_RN,SMILES,quail_oral_LD50
50077,1950/7/7,COC12C(COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1CC1NC12,3.524177946
51183,51-18-3,C1CN1c1nc(N2CC2)nc(N2CC2)n1,3.186282782
51809,51-80-9,CN(C)CN(C)C,2.509683066
52244,52-24-4,S=P(N1CC1)(N1CC1)N1CC1,2.902227873
52460,52-46-0,C1CN1P1(N2CC2)=NP(N2CC2)(N2CC2)=NP(N2CC2)(N2CC2)=N1,3.335204558
52528,52-52-8,NC1(C(=O)O)CCCC1,2.611437591
52686,52-68-6,COP(=O)(OC)C(O)C(Cl)(Cl)Cl,3.546694182
54251,54-25-1,O=c1cnn(C2OC(CO)C(O)C2O)c(=O)[nH]1,2.889817442
55389,55-38-9,COP(=S)(OC)Oc1ccc(SC)c(C)c1,4.403175136
56382,56-38-2,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,4.857906935
56724,56-72-4,CCOP(=S)(OCC)Oc1ccc2c(C)c(Cl)c(=O)oc2c1,4.435780921
57556,57-55-6,CC(O)CO,1.563292786
59143,59-14-3,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1Br,3.487279816
60515,60-51-5,CNC(=O)CSP(=S)(OC)OC,3.962393962
60571,60-57-1,ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,4.752375366
61825,61-82-5,Nc1nnc[nH]1,2.425015951
62384,62-38-4,CC(=O)O[Hg]c1ccccc1,3.676036359
62737,62-73-7,COP(=O)(OC)OC=C(Cl)Cl,4.001725065
62748,62-74-8,O=C(O)CF,3.637055886
63252,63-25-2,CNC(=O)Oc1cccc2ccccc12,2.385127406
64868,64-86-8,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,3.978205524
66273,66-27-3,COS(C)(=O)=O,3.166860149
66320,66-32-0,O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46,4.162563108
70699,70-69-9,CCC(=O)c1ccc(N)cc1,2.674061364
72173,72-17-3,CC(O)C(=O)O,1.602436217
75752,75-75-2,CS(=O)(=O)O,1.982755021
79061,1979/6/1,C=CC(N)=O,2.582228365
80331,80-33-1,O=S(=O)(Oc1ccc(Cl)cc1)c1ccc(Cl)cc1,1.818922662
81845,81-84-5,O=C1OC(=O)c2cccc3cccc1c23,1.684269393
86408,86-40-8,C[n+]1c2cc(N)ccc2cc2ccc(N)cc21,3.350804102
87423,87-42-3,Clc1ncnc2nc[nH]c12,2.689410026
88744,88-74-4,Nc1ccccc1[N+](=O)[O-],2.265214172
95556,95-55-6,Nc1ccccc1O,2.538249113
97176,97-17-6,CCOP(=S)(OCC)Oc1ccc(Cl)cc1Cl,2.998841253
98986,98-98-6,O=C(O)c1ccccn1,2.340560543
99092,1999/9/2,Nc1cccc([N+](=O)[O-])c1,2.39053912
100016,100-01-6,Nc1ccc([N+](=O)[O-])cc1,2.140275435
100221,100-22-1,CN(C)c1ccc(N(C)C)cc1,3.592261376
101053,101-05-3,Clc1nc(Cl)nc(Nc2ccccc2Cl)n1,2.042222579
104961,104-96-1,CSc1ccc(N)cc1,2.393974672
106478,106-47-8,Nc1ccc(Cl)cc1,2.731013827
106490,106-49-0,Cc1ccc(N)cc1,2.655268148
106934,106-93-4,BrCCBr,3.159895589
108338,108-33-8,Cc1nnc(N)s1,2.561618345
108996,108-99-6,Cc1cccnc1,1.96908494
110189,110-18-9,CN(C)CCN(C)C,2.565548944
110952,110-95-2,CN(C)CCCN(C)C,2.615040632
111513,111-51-3,CN(C)CCCCN(C)C,2.659464866
111535,111-53-5,CN(C)CC#CCN(C)C,2.647153851
114261,114-26-1,CNC(=O)Oc1ccccc1OC(C)C,3.873497058
115093,115-09-3,C[Hg]Cl,3.984835313
115902,115-90-2,CCOP(=S)(OCC)Oc1ccc(S(C)=O)cc1,5.409878199
116063,116-06-3,CNC(=O)ON=CC(C)(C)SC,4.978335757
118105,118-10-5,C=CC1CN2CCC1CC2C(O)c1ccnc2ccccc12,2.969247773
118741,118-74-1,Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,1.648335612
119120,119-12-0,CCOP(=S)(OCC)Oc1ccc(=O)n(-c2ccccc2)n1,3.696858169
120365,120-36-5,CC(Oc1ccc(Cl)cc1Cl)C(=O)O,2.973249809
120796,120-79-6,CNC(=S)C(=S)NC,3.920592276
122145,122-14-5,COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(C)c1,3.693116442
123331,123-33-1,O=c1ccc(=O)[nH][nH]1,1.04955912
141662,141-66-2,COP(=O)(OC)OC(C)=CC(=O)N(C)C,4.773040046
143339,143-33-9,N#C[Na],3.760848054
143500,143-50-0,O=C1C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl,3.316013721
149304,149-30-4,S=c1[nH]c2ccccc2s1,1.890948439
288880,288-88-0,c1nnc[nH]1,2.33958351
290879,290-87-9,c1ncncn1,2.534154681
297789,297-78-9,ClC1=C(Cl)C2(Cl)C3C(Cl)OC(Cl)C3C1(Cl)C2(Cl)Cl,4.990355731
297972,297-97-2,CCOP(=S)(OCC)Oc1cnccn1,4.895191678
298022,298-02-2,CCOP(=S)(OCC)SCSCC,4.57051959
298044,298-04-4,CCOP(=S)(OCC)SCCSCC,4.359223436
301122,301-12-2,CCS(=O)CCSP(=O)(OC)OC,3.467167493
303479,303-47-9,CC1Cc2c(Cl)cc(C(=O)NC(Cc3ccccc3)C(=O)O)c(O)c2C(=O)O1,4.388701729
315184,315-18-4,CNC(=O)Oc1cc(C)c(N(C)C)c(C)c1,4.972167672
320672,320-67-2,Nc1ncn(C2OC(CO)C(O)C2O)c(=O)n1,3.387758108
327980,327-98-0,CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl,4.148482903
333415,333-41-5,CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,4.859094064
350038,350-03-8,CC(=O)c1cccnc1,2.457971533
438415,438-41-5,CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+](O)C1,2.478233072
461892,461-89-2,O=c1cn[nH]c(=O)[nH]1,3.053370437
462088,462-08-8,Nc1cccnc1,2.723248073
465736,465-73-6,ClC1=C(Cl)C2(Cl)C3C4C=CC(C4)C3C1(Cl)C2(Cl)Cl,3.93790843
470906,470-90-6,CCOP(=O)(OCC)OC(=CCl)c1ccc(Cl)cc1Cl,3.385525358
504290,504-29-0,Nc1ccccn1,2.849816435
512561,512-56-1,COP(=O)(OC)OC,2.271299368
536903,536-90-3,COc1cccc(N)c1,2.340715733
545551,545-55-1,O=P(N1CC1)(N1CC1)N1CC1,2.863689199
555771,555-77-1,ClCCN(CCCl)CCCl,3.186901131
556127,556-12-7,Nc1ncc(C=Cc2ccc([N+](=O)[O-])o2)nn1,2.868017253
584134,584-13-4,Nn1cnnc1,2.425015951
586981,586-98-1,OCc1ccccn1,2.037936196
587020,587-02-0,CCc1cccc(N)c1,2.208380436
589162,589-16-2,CCc1ccc(N)cc1,2.458129249
591275,591-27-5,Nc1cccc(O)c1,2.162874933
598550,598-55-0,COC(N)=O,3.553229765
608731,608-73-1,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,3.384460944
615747,615-74-7,Cc1ccc(Cl)c(O)c1,2.404337524
624180,624-18-0,Nc1ccc(N)cc1,3.034002429
626619,626-61-9,Clc1ccncc1,2.277024414
636737,636-73-7,O=S(=O)(O)c1cccnc1,2.70216322
640197,640-19-7,NC(=O)CF,3.772874381
657841,657-84-1,Cc1ccc(S(=O)(=O)O)cc1,2.736358674
671045,671-04-5,CNC(=O)Oc1cc(C)c(C)cc1Cl,4.454670091
680319,680-31-9,CN(C)P(=O)(N(C)C)N(C)C,2.253347699
694597,694-59-7,O[n+]1ccccc1,1.982764059
694859,694-85-9,Cn1ccccc1=O,2.4136541
704018,704-01-8,CN(C)c1ccccc1N(C)C,2.715823584
741582,741-58-2,CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)c1ccccc1,2.457600123
768945,768-94-5,NC12CC3CC(CC(C3)C1)C2,2.680016915
786196,786-19-6,CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,3.780787485
824113,824-11-3,CCC12COP(OC1)OC2,4.209849989
873745,873-74-5,N#Cc1ccc(N)cc1,3.697644944
900958,900-95-8,CC(=O)O[Sn](c1ccccc1)(c1ccccc1)c1ccccc1,3.611800816
931862,931-86-2,Nc1nc(=O)nc[nH]1,2.549887536
944229,944-22-9,CCOP(=S)(CC)Sc1ccccc1,4.312348402
