RTECS_ID,CAS_RN,SMILES,cat_intravenous_LD50
50339,50-33-9,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,3.489087612
51069,1951/6/9,CCN(CC)CCNC(=O)c1ccc(N)cc1,3.141230219
53214,53-21-4,COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,4.481955452
55914,55-91-4,CC(C)OP(=O)(F)OC(C)C,5.034715727
56122,1956/12/2,NCCCC(=O)O,1.314377112
56382,56-38-2,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,4.987167046
56542,56-54-2,C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,4.03399172
57476,57-47-6,CNC(=O)Oc1ccc2c(c1)C1(C)CCN(C)C1N2C,5.6203443
57943,57-94-3,COc1cc2c3cc1Oc1cc(ccc1O)CC1c4c(cc(OC)c(O)c4Oc4ccc(cc4)CC3N(C)CC2)CC[N+]1(C)C,6.183086832
58560,58-56-0,Cc1ncc(CO)c(CO)c1O,2.480160994
60388,60-38-8,CC(=O)OC1CCC2(C=O)C3CCC4(C)C(C5=CC(=O)OC5)CCC4(O)C3CCC2(O)C1,6.378018762
61687,61-68-7,Cc1cccc(Nc2ccccc2C(=O)O)c1C,3.382539323
64868,64-86-8,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,6.203514806
65225,65-22-5,Cc1ncc(CO)c(C=O)c1O,3.019022772
66284,66-28-4,CC12CCC3C(CCC4(O)CC(O)CCC34C=O)C1(O)CCC2C1=CC(=O)OC1,6.256673729
67038,1967/3/8,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1,3.548777468
74908,74-90-8,C#N,4.523296754
76744,76-74-4,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,3.497305996
76755,76-75-5,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,3.872548911
77816,77-81-6,CCOP(=O)(C#N)N(C)C,6.537762846
79141,79-14-1,O=C(O)CO,1.881104929
96275,96-27-5,OCC(O)CS,2.691652028
96640,96-64-0,CC(OP(C)(=O)F)C(C)(C)C,7.084397519
104314,104-31-4,CCCCNc1ccc(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)cc1,5.178797152
107448,107-44-8,CC(C)OP(C)(=O)F,6.803996855
109808,109-80-8,SCCCS,3.58719364
114807,114-80-7,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1,6.115884833
114909,114-90-9,ON=Cc1cc[n+](COC[n+]2ccc(C=NO)cc2)cc1,3.459855187
124992,124-99-2,CC1OC(OC2C=C3CCC4C(CCC5(C)C(c6ccc(=O)oc6)CCC45O)C3(C)CC2)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O,6.617890781
125699,125-69-9,COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3,4.136951054
129635,129-63-5,CC(=O)Nc1c(I)cc(I)c(C(=O)O)c1I,1.997560336
136663,136-66-3,Cc1ccccc1CC(=O)OC1CC2CCC(C1)N2C,4.322817032
136685,136-68-5,CN1C2CCC1CC(OC(=O)Cc1ccc([N+](=O)[O-])cc1)C2,3.881307607
149213,149-21-3,CN1C2CCC1CC(OC(=O)Cc1cccc(Br)c1)C2,4.22820139
151508,151-50-8,N#C[K],4.471265034
302272,302-27-2,CCN1CC2(COC)C(O)CC(OC)C34C5CC6(O)C(OC)C(O)C(OC(C)=O)(C5C6OC(=O)c5ccccc5)C(C(OC)C23)C14,6.634937715
318989,318-98-9,CC(C)NCC(O)COc1cccc2ccccc12,4.052156742
337473,337-47-3,C=CCC1(C(C)CCC)C(=O)NC(=S)NC1=O,3.966107585
406202,406-20-2,COC(=O)CCCF,5.778596174
453189,453-18-9,COC(=O)CF,5.66308343
464766,464-76-6,COC1CC(OC2CCC3(C)C(CCC4C3C(=O)C(O)C3(C)C(C5=CC(=O)OC5)CCC43O)C2)OC(C)C1O,6.136250963
464813,464-81-3,CC(=O)OC1CC2(O)C3CCC4CC(OC(=O)CCCCCCC(=O)NC(CCCNC(=N)N)C(=O)O)CCC4(C)C3CCC2(C)C1c1ccc(=O)oc1,6.401939054
465112,465-11-2,CC12CCC(O)CC1CCC1C2C(O)CC2(C)C(c3ccc(=O)oc3)CCC12O,6.604799332
465167,465-16-7,COC1CC(OC2CCC3(C)C(CCC4C3CCC3(C)C(C5=CC(=O)OC5)C(OC(C)=O)CC43O)C2)OC(C)C1O,6.319441842
465225,465-22-5,CC12CCC(O)C=C1CCC1C2CCC2(C)C(c3ccc(=O)oc3)CCC12O,6.389014763
465689,465-68-9,COC1CC(OC2CCC3(C)C(C2)CC2OC4CC(c5cc(O)co5)C5(C)C(O)C(=O)C3C2C45O)OC(C)C1O,5.474240964
465974,465-97-4,COC1C(O)C(C)OC(OC2CCC3(C)C(CCC4C3C(=O)C(O)C3(C)C(C5=CC(=O)OC5)CCC43O)C2)C1O,6.069651177
466035,466-03-5,COC1CC(OC2CCC3(C)C(CCC4C3C(O)CC3(C)C(C5=CC(=O)OC5)CCC43O)C2)OC(C)C1O,6.382426102
466068,466-06-8,CC1OC(OC2C=C3CCC4C(CCC5(C)C(c6ccc(=O)oc6)CCC45O)C3(C)CC2)C(O)C(O)C1O,6.679491737
466079,466-07-9,COC1C(O)C(C)OC(OC2CCC3(C)C(CCC4C3CCC3(C)C(C5=CC(=O)OC5)CCC43O)C2)C1O,6.382929886
466104,466-10-4,COC1C(O)C(C)OC(OC2CCC3(C)C(CCC4C3CCC3(C)C(C5=CC(=O)OC5)CCC43O)C2)C1OC1OC(CO)C(O)C(O)C1O,5.557570154
466240,466-24-0,CCN1CC2(COC)C(O)CC(OC)C34C5CC6(O)C(OC)C(O)C(O)(C5C6OC(=O)c5ccccc5)C(C(OC)C23)C14,4.400616409
468133,468-13-3,COC1C(O)C(C)OC(OC2CCC3(CO)C(CCC4C3CCC3(C)C(c5ccc(=O)oc5)CCC43O)C2)C1O,6.671095669
468177,468-17-7,CC12CCC3C(CCC4CC(O)CCC43C=O)C1(O)CC(O)C2C1=CC(=O)OC1,5.693107895
468199,468-19-9,CC12CCC3C(CCC4CC(O)CCC43CO)C1(O)CCC2C1=CC(=O)OC1,5.910402043
468202,468-20-2,CC12CCC3C(CCC4CC(O)CCC43C=O)C1(O)CCC2C1=CC(=O)OC1,5.558391213
471954,471-95-4,CC(=O)OC1CC2(O)C3CCC4CC(O)CCC4(C)C3CCC2(C)C1c1ccc(=O)oc1,6.514399291
472264,472-26-4,CC12CCC(O)CC1(O)CCC1C2CCC2(C)C(c3ccc(=O)oc3)CCC12O,6.604799332
485358,485-35-8,O=c1cccc2n1CC1CNCC2C1,5.677255543
507595,507-59-5,CC(=O)OCC12CCC(O)C=C1CCC1(O)C2CCC2(C)C(c3ccc(=O)oc3)CCC21O,6.810129296
507608,507-60-8,CC(=O)OC1CC2(O)C(CCC3(C)C(c4ccc(=O)oc4)CCC32O)C2(C)CCC(OC3OC(CO)C(O)C(O)C3O)C=C12,6.678932796
507879,507-87-9,COC1CC(OC2CCC3(C=O)C(CCC4C3C(O)CC3(C)C(C5=CC(=O)OC5)CCC43O)C2)OC(C)C1O,6.660132343
507880,507-88-0,COC1CC(OC2CCC3(C)C(CCC4C3C(O)C(=O)C3(C)C(C5=CC(=O)OC5)CCC43O)C2)OC(C)C1O,6.119451187
508521,508-52-1,CC12CC(O)C3C(CCC4(O)CC(O)CC(O)C34CO)C1(O)CCC2C1=CC(=O)OC1,3.263588533
508645,508-64-5,CC12CCC3C(CCC4(O)CC(O)CCC34C(=O)O)C1(O)CCC2C1=CC(=O)OC1,5.214511414
508758,508-75-8,CC1OC(OC2CCC3(C=O)C4CCC5(C)C(C6=CC(=O)OC6)CCC5(O)C4CCC3(O)C2)C(O)C(O)C1O,6.815120224
508770,508-77-0,COC1CC(OC2CCC3(C=O)C4CCC5(C)C(C6=CC(=O)OC6)CCC5(O)C4CCC3(O)C2)OC(C)C1O,6.761589984
508929,508-92-9,CC12CCC(O)CC1=CCC1C2CCC2(C)C(C3=CC(=O)OC3)CCC12O,5.463922137
508930,508-93-0,CC1OC(C)(OC2CCC3(C)C(CCC4C3CCC3(C)C(C5=CC(=O)OC5)CCC43O)C2)C(O)C(O)C1O,6.284057266
509206,509-20-6,CCN1CC2(COC)C(O)CC(OC)C34C5CC6(O)C(O)C5C(O)(C(O)C6OC)C(C(OC)C23)C14,3.096563308
510587,510-58-7,CC12CCC3C(CCC4(OC5OC(CO)C(O)C(O)C5O)C=CCCC34C=O)C1(O)CCC2c1ccc(=O)oc1,6.90358604
510598,510-59-8,CC1OC(OC2CCC3(C=O)C(CCC4C3CCC3(C)C(C5=CC(=O)OC5)CCC43O)C2)CC(O)C1O,6.30833169
514374,514-37-4,COC1C(O)C(C)OC(OC2CCC3(C)C(CCC4C3C(O)CC3(C)C(C5=CC(=O)OC5)CCC43O)C2)C1O,6.351830776
514396,514-39-6,CC12CCC(O)CC1(O)CCC1C2CCC2(C)C(C3=CC(=O)OC3)CCC12O,5.734310784
514421,514-42-1,COC1C(O)C(C)OC(OC2CCC3(C)C4CCC5(C)C(C6=CC(=O)OC6)CCC5(O)C4CCC3(O)C2)C1O,6.601027315
514443,514-44-3,COC1CC(OC2CCC3(C)C4CCC5(C)C(C6=CC(=O)OC6)CCC5(O)C4CCC3(O)C2)OC(C)C1O,6.452072295
518285,518-28-5,COc1cc(C2c3cc4c(cc3C(O)C3COC(=O)C23)OCO4)cc(OC)c1OC,5.386981305
519266,519-26-6,Cn1c(C(=O)O)c(I)c(=O)c(I)c1C(=O)O,1.852845818
524367,524-36-7,Cc1ncc(CO)c(CN)c1O,2.493421903
541220,541-22-0,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,6.868382423
545324,545-32-4,CC1OC(OC2CCC34C(=O)OC(CC5C3CCC3(C)C(C6=CC(=O)OC6)CCC53O)C4(O)C2)C(O)C(O)C1O,5.006297242
545368,545-36-8,COC1CC(OC2CCC3(C)C(C2)CC2OC4CC(C5=CC(=O)OC5)C5(C)C(=O)C(O)C3C2C45O)OC(C)C1O,6.148182963
545493,545-49-3,CC1OC(OC2CCC3(C)C(CCC4C3C(O)CC3(C)C(C5=CC(=O)OC5)CCC43O)C2)C(O)C(O)C1O,6.70439498
545517,545-51-7,CC12CCC=CC1=CCC1C2CCC2(C)C(c3ccc(=O)oc3)CCC12O,5.328546717
546021,546-02-1,CC1OC(OC2CCC3(CO)C(CCC4C3CCC3(C)C(C5=CC(=O)OC5)CCC43O)C2)C(O)C(O)C1O,6.525580862
546032,546-03-2,CC12CCC3C(CC=C4CC(O)CCC43CO)C1(O)CCC2C1=CC(=O)OC1,3.998330888
546043,546-04-3,CC12CCC3C(CC=C4CC(O)CCC43C=O)C1(O)CCC2C1=CC(=O)OC1,5.301578705
562210,562-21-0,CC12CCC3C(CCC4(O)CC(O)CCC34C=O)C13OC3CC2c1ccc(=O)oc1,5.82513075
584043,584-04-3,OC(CS)CS,4.30889665
595211,595-21-1,COC1C(O)C(C)OC(OC2CCC3(C)C(CCC4C3CCC3(C)C(C5=CC(=O)OC5)C(O)CC43O)C2)C1O,6.128122545
630604,630-60-4,CC1OC(OC2CC(O)C3(CO)C4C(O)CC5(C)C(C6=CC(=O)OC6)CCC5(O)C4CCC3(O)C2)C(O)C(O)C1O,6.74424115
630648,630-64-8,CC1OC(OC2CCC3(C=O)C4CCC5(C)C(C6=CC(=O)OC6)CCC5(O)C4CCC3(O)C2)CC(O)C1O,6.787003362
630659,630-65-9,CC1OC(OC2CCC3(C=O)C4CCC5(C)C(C6=CC(=O)OC6)CCC5(O)C4CCC3(O)C2)CC(O)C1OC1OCC(O)C(O)C1O,6.843966818
637490,637-49-0,CCCC1CCCCN1,4.627471686
639134,639-13-4,CC1OC(OC2CCC3(C=O)C4CC(O)C5(C)C(C6=CC(=O)OC6)CCC5(O)C4CCC3(O)C2)C(O)C(O)C1O,6.775610751
639156,639-15-6,CC12C(O)CC(O)CC1CCC1C2CCC2(C)C(C3=CC(=O)OC3)CCC12O,5.747787858
663810,663-81-0,COC1CC(OC2CCC3(C)C(C2)CC2OC4CC(c5cc(O)co5)C5(C)C(=O)C(O)C3C2C45O)OC(C)C1O,5.485661225
663956,663-95-6,COC1C(O)C(C)OC(OC2CC(O)C3(C)C(CCC4C3CCC3(C)C(C5=CC(=O)OC5)CCC43O)C2)C1O,6.195199556
737315,737-31-5,CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,1.735029801
749724,749-72-4,CC12C(O)CC3C(CCC4(O)CC(O)CCC34C=O)C1(O)CCC2C1=CC(=O)OC1,6.067465565
752614,752-61-4,COC1C(O)C(OC2CCC3(C)C(CCC4C3CCC3(C)C(C5=CC(=O)OC5)C(O)CC43O)C2)OC(C)C1OC1OC(CO)C(O)C(O)C1O,5.728481744
876857,876-85-7,Cc1ncc(CS)c(CO)c1O,3.174331843
1108685,1108-68-5,CC(=O)OC1C(c2ccc(=O)oc2)C2(C)CCC3C(CCC4(O)CC(O)CCC34C)C23OC13,6.360357649
1111393,1111-39-3,CC(=O)OC1CC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)OC(C)C1O,6.19590342
1173213,1173-21-3,CC12CCC(O)CC1CC(O)C1C2CCC2(C)C(C3=CC(=O)OC3)CCC12O,5.324471552
1926687,1926-68-7,CC12C(O)CC3C(CCC4(O)CC(O)CCC34CO)C1(O)CCC2C1=CC(=O)OC1,5.847693965
1986705,1986-70-5,CC1CC(O)C2(O)OC3CC4(C=O)C(CCC5C4CCC4(C)C(C6=CC(=O)OC6)CCC54O)CC3OC2O1,6.713588399
2015283,2015-28-3,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,4.062290745
2247452,2247-45-2,Cc1ccc(CC(=O)OC2CC3CCC(C2)N3C)cc1,4.135730389
2532867,2532-86-7,CN1C2CCC1CC(OC(=O)Cc1ccccc1F)C2,4.14198095
2624171,2624-17-1,O=c1[nH]c(=O)[nH]c(=O)[nH]1,1.779617353
2820511,2820-51-1,CN1CCCC1c1cccnc1,5.096203878
3131279,3131-27-9,COCc1c(CO)cnc(C)c1O,4.359852076
3566390,3566-39-0,CC12CCC3C(CCC4=CC(=O)CCC43C=O)C1(O)CCC2C1=CC(=O)OC1,5.854890431
3572358,3572-35-8,CC[N+](C)(CC)CCCOc1ccc(OCCC[N+](C)(CC)CC)nn1,5.867545265
3786763,3786-76-3,CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7COC(=O)C7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,2.261526821
3877869,3877-86-9,CC(C)(O)C=CC(=O)C(C)(O)C1C(O)CC2(C)C3CC=C4C(CC(O)C(=O)C4(C)C)C3(C)C(=O)CC12C,5.758974939
3981166,3981-16-6,CC1OC(OC2CCC3(C)C4CC(O)C5(C)C(C6=CC(=O)OC6)CCC5(O)C4CCC3(O)C2)C(O)C(O)C1O,6.645548806
4026975,4026-97-5,CC(=O)OC1CCC2(C)C(CCC3C2CCC2(C)C(c4ccc(=O)oc4)C(OC(C)=O)C4OC342)C1,5.91452154
4029689,4029-68-9,CC(=O)OC1CCC2(C)C3CCC4(C)C(c5ccc(=O)oc5)CC5OC54C3CCC2(O)C1,5.668240702
4064099,09-09-64,CC(=O)OC1CCC2(C=O)C3CCC4(C)C(c5ccc(=O)oc5)CCC4(O)C3CCC2(O)C1,6.855207671
4189917,4189-91-7,CC(=O)OC1CCC2(C)C3CCC4(C)C(c5ccc(=O)oc5)C(OC(C)=O)C5OC54C3CCC2(O)C1,6.444207929
4426511,4426-51-1,CC1CCOS(=O)O1,2.891049767
4988265,4988-26-5,COC1C(OC(C)=O)C(C)OC(OC2CCC3(C)C(C2)CC2OC24C3CCC2(C)C(C3=CC(=O)OC3)CCC24O)C1OC(C)=O,5.842188702
5135795,5135-79-5,Cc1ccc(CC(=O)OC2CC3CCC(C2)[N+]3(C)C)cc1,4.158981825
5421465,5421-46-5,O=C(O)CS,2.721311166
5868064,06-04-68,C[N+]1(CC(=O)c2ccc(-c3ccccc3)cc2)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,4.685397749
5954507,5954-50-7,COP(=O)(F)OC,4.931251015
6014433,6014-43-3,CC12CCC3C(CCC4(O)CC(OC5OC(CO)C(O)C(O)C5O)CCC34C=O)C1(O)CCC2C1=CC(=O)OC1,6.799067785
6246577,6246-57-7,CC12CCC(O)CC1CCC13OC14CCC(C1=CC(=O)OC1)C4(C)CCC23,4.002930382
6246817,6246-81-7,COC1C(O)C(C)OC(OC2CCC3(C)C4C(O)CC5(C)C(C6=CC(=O)OC6)CCC5(O)C4CCC3(O)C2)C1O,6.598007979
6785688,6785-68-8,CC12CC(O)C3C(CCC4(O)CC(O)CCC34CO)C1(O)CCC2C1=CC(=O)OC1,6.046061619
6869518,6869-51-8,CC1OC(OC2CCC3(C)C4C(O)CC5(C)C(C6=CC(=O)OC6)CCC5(O)C4CCC3(O)C2)C(O)C(O)C1O,6.749072951
6875167,6875-16-7,CC12CCC(O)CC1CC1OC13C2CCC1(C)C(C2=CC(=O)OC2)CCC13O,5.582501787
6891947,6891-94-7,CC1OC(OC2CCC3(CO)C4C(O)CC5(C)C(C6=CC(=O)OC6)CCC5(O)C4CCC3(O)C2)C(O)C(O)C1O,6.800610171
7009496,7009-49-6,O=C(O)CC1(CO)CCCCC1,4.63403368
7044339,7044-33-9,CC1OC(OC2CCC3(C=O)C4CCC5(C)C(C6=CC(=O)OC6)CCC5(O)C4CCC3(O)C2)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O,6.7774122
7242071,07-01-42,CC(=O)OC1CC2(O)C3CCC4CC(OC5CC(O)C(OC6CC(O)C(OC7CC(O)C(O)C(C)O7)C(C)O6)C(C)O5)CCC4(C)C3CCC2(C)C1C1=CC(=O)OC1,6.130062612
7491749,7491-74-9,NC(=O)CN1CCCC1=O,1.152771305
9007561,9007-56-1,COC1CC(OC2CCC3(C)C(CCC4C3CCC3(C)C(C5=CC(=O)OC5)CCC43O)C2)OC(C)C1OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O,6.44869241
10049839,10049-83-9,Cc1ncc(CSSCc2cnc(C)c(O)c2CO)c(CO)c1O,3.472992235
10078258,10078-25-8,O=S1c2ccccc2N(CCCN2CCN(CCO)CC2)c2cc(Cl)ccc21,3.790717628
11002827,11002-82-7,CC1CC(O)C2(O)OC3CC4(C)C(CCC5C4CCC4(C)C(C6=CC(=O)OC6)CC(O)C54O)CC3OC2O1,6.084613645
11003966,11003-96-6,CC1OC(OC2C=C3CCC4C(CCC5(C)C(c6ccc(=O)oc6)CCC45O)C3(C)CC2)C(O)C(O)C1OC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,3.701486715
11005495,11005-49-5,CC(=O)OC1CC2(O)C3CCC4(OC5OC(CO)C(O)C(O)C5O)C=CCCC4(C=O)C3CCC2(C)C1c1ccc(=O)oc1,6.791463269
11005702,11005-70-2,COC1C(O)C(C)OC(OC2CCC3(C)C(CCC4C3CCC3(C)C(C5=CC(=O)OC5)CCC43O)C2)C1OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O,6.025493988
11027580,11027-58-0,COC1C(O)C(C)OC(OC2C=C3CCC4C(CCC5(C)C(C6=CC(=O)OC6)CCC45O)C3(C)C(O)C2)C1O,6.282947556
11028141,11028-14-1,CC12CCC3C(CCC4CC(OCCCCC=CCOOOO)CCC43C=O)C1(O)CCC2c1ccc(=O)oc1,6.638128453
11032443,11032-44-3,COC1C(O)C(C)OC(OC2CCC3(C=O)C4CCC5(C)C(c6ccc(=O)oc6)C(=O)CC5(O)C4CCC3(O)C2)C1O,6.817099463
11037266,11037-26-6,COC1C(OC2CCC3(C=O)C4CCC5(C)C(C6=CC(=O)OC6)CCC5(O)C4CCC3(O)C2)OC(C)C(O)C1OC,6.586361473
12708279,12708-27-9,COC1CC(OC2CCC3(C)C(CCC4C3CCC3(C)C(C5=CC(=O)OC5)CCC43O)C2)OC(C)C1O,6.209684831
13289184,13289-18-4,CC1OC(OC2CCC3(C=O)C4CCC5(C)C(c6ccc(=O)oc6)CCC5(O)C4CCC3(O)C2)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O,6.843183048
14549327,14549-32-7,CCC(OCCN(C(C)C)C(C)C)C(=O)c1ccccc1,4.686390457
14614176,14614-17-6,CC12CCC3C(CCC4=CC(O)CCC43CO)C1(O)CCC2C1=CC(=O)OC1,5.828973011
15350988,15350-98-8,O=C(CN1CCCC1)Nc1ccccc1,2.766142923
15571070,15571-07-0,CC(=O)OC1CCC2(C=O)C(=CCC3C2CCC2(C)C(C4=CC(=O)OC4)CCC32O)C1,5.360366862
15596266,15596-26-6,CC12CCC3C(CCC4(O)CC(OC5OCC(O)C(O)C5O)CCC34C=O)C1(O)CCC2C1=CC(=O)OC1,6.731847639
16478594,16478-59-4,C[N+]1(C)CCOC(O)(c2ccc(-c3ccc(C4(O)C[N+](C)(C)CCO4)cc3)cc2)C1,6.140451474
16479531,16479-53-1,CC12CCC3C(CCC4(O)CC(OC5OC(CO)C(O)C(O)C5O)CCC34CO)C1(O)CCC2C1=CC(=O)OC1,6.754852681
16777427,16777-42-7,COc1cccc(C(=O)CCNC(C)C(O)c2ccccc2)c1,4.169758974
17059164,17059-16-4,CC12CCC(OC3OC(CO)C(O)C(O)C3O)CC1CCC1C2CCC2(C)C(C3=CC(=O)OC3)CCC12O,6.650519599
17179383,17179-38-3,CC1OC(OC2CCC3(C)C(CCC4C3CCC3(C)C(C5=CC(=O)OC5)CCC43O)C2)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O,5.999875353
17243399,17243-39-9,CNCC12CCC(c3ccccc31)c1ccccc12,4.396821564
17575212,17575-21-2,CC(=O)OC1CC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)C(O)CC65O)C4)OC3C)OC2C)OC(C)C1OC1OC(CO)C(O)C(O)C1O,6.404660497
17598651,17598-65-1,CC1OC(OC2CCC3(C)C(CCC4C3CC(O)C3(C)C(C5=CC(=O)OC5)CCC43O)C2)CC(O)C1OC1CC(O)C(OC2CC(O)C(OC3OC(CO)C(O)C(O)C3O)C(C)O2)C(C)O1,6.612825304
18531447,18531-44-7,CC12CCC(OC3OC(CO)C(O)C(O)C3O)CC1(O)CCC1C2CCC2(C)C(C3=CC(=O)OC3)CCC12O,6.663277572
18539349,18539-34-9,Cc1cccc(C)c1C(OCCN(C)C)c1c(C)cccc1C,4.317323569
18642109,18642-10-9,CC(=C(CCO)SSC(CCO)=C(C)N(C=O)Cc1cnc(C)nc1N)N(C=O)Cc1cnc(C)nc1N,3.05132389
19105636,19105-63-6,CCN1C(=O)CC2(CCN(C)CC2)C1=O,5.021761777
19855391,19855-39-1,CC1OC(OC2C(C)OC(OC3CCC4(C)C(CCC5C4CCC4(C)C(C6=CC(=O)OC6)C(O)CC54O)C3)CC2OC2CC(OC3OC(CO)C(O)C(O)C3O)C(O)C(C)O2)CC(O)C1O,6.406351416
19855404,19855-40-4,CC1OC(OC2C(C)OC(OC3CCC4(C)C(CCC5C4CCC4(C)C(C6=CC(=O)OC6)CCC54O)C3)CC2OC2CC(OC3OC(CO)C(O)C(O)C3O)C(O)C(C)O2)CC(O)C1O,6.448608425
20231816,20231-81-6,CC12CCC(OC3OC(CO)C(O)C(O)C3OC3OC(CO)C(O)C(O)C3O)CC1CCC1C2CCC2(C)C(C3=CC(=O)OC3)CCC12O,5.182542075
20300441,20300-44-1,CC1OC(OC2CCC3(C=O)C4CCC5(C)C(c6ccc(=O)oc6)CCC5(O)C4CCC3(O)C2)C(O)C(O)C1O,6.815744503
20304498,20304-49-8,CC1OC2OC3CC4CCC5C(CCC6(C)C(C7=CC(=O)OC7)CCC56O)C4(C=O)CC3OC2(O)C(O)C1O,6.690060738
21256713,21256-71-3,CC1OC(OC2C=C3CCC4C(CC(O)C5(C)C(c6ccc(=O)oc6)CCC45O)C3(C)CC2)C(O)C(O)C1O,6.783472404
21305135,21305-13-5,CCC1OC(OC2C(C)OC(OC3C=C4CCC5C(CC(O)C6(C)C(c7ccc(=O)oc7)CCC56O)C4(C)CC3)C(O)C2O)C(O)C(O)C1O,6.807919831
21515435,21515-43-5,CC12CCC3C(CCC4(O)CC(OC(=O)c5cccnc5)CCC34C=O)C1(O)CCC2C1=CC(=O)OC1,5.721802093
21590250,21590-25-0,CC1OC(OC2C=C3CCC4C(CCC5(C)C(c6ccc(=O)oc6)CCC45O)C3(C)CC2)C2OC(C)(C)OC2C1O,6.510912707
21887069,21887-06-9,CC12CCC3C(CCC4=CC(=O)CCC43C=O)C1(O)CCC2c1ccc(=O)oc1,6.297194575
22146038,22146-03-8,CC12CCC(O)CC1CC1OC13C2C(O)C(=O)C1(C)C(C2=CC(=O)OC2)CCC13O,5.906513576
22149231,22149-23-1,CC1C(=CC(=O)OCCN(C)C)CCC2C1C(=O)CC1C(C)(C)C(OC(=O)CC(C)(C)O)CCC21C,6.670465763
22766978,22766-97-8,COc1ccc(C(=N)NCCS(=O)(=O)O)cc1OC,2.584821037
23883456,23883-45-6,Cc1ncc(C[n+]2csc(CCOP(=O)(O)OP(=O)(O)O)c2C)c(N)n1,2.921145629
24211812,24211-81-2,CC1CC2(N=CCS2)C2(O)OC3CC4(C=O)C(CCC5C4CCC4(C)C(C6=CC(=O)OC6)CCC54O)CC3OC2O1,6.610819062
