RTECS_ID,CAS_RN,SMILES,cat_intravenous_LDLo
50000,50-00-0,C=O,3.000376226
50077,1950/7/7,COC12C(COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1CC1NC12,5.126237938
50293,50-29-3,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,3.947545222
50420,50-42-0,CCN(CC)CCOC(=O)C(c1ccccc1)c1ccccc1,4.317262214
50497,50-49-7,CN(C)CCCN1c2ccccc2CCc2ccccc21,4.146771246
50679,50-67-9,NCCc1c[nH]c2ccc(O)cc12,4.547082728
51058,1951/5/8,CCN(CC)CCOC(=O)c1ccc(N)cc1,4.207272059
51183,51-18-3,C1CN1c1nc(N2CC2)nc(N2CC2)n1,5.310134423
51558,51-55-8,CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,3.616362968
51752,51-75-2,CN(CCCl)CCCl,1.607819741
52528,52-52-8,NC1(C(=O)O)CCCC1,1.509064683
53214,53-21-4,COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,4.606894189
53861,53-86-1,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,4.24828047
54955,54-95-5,C1CCc2nnnn2CC1,3.538366339
55436,55-43-6,ClCCN(Cc1ccccc1)Cc1ccccc1,3.870537668
55527,55-52-7,CC(Cc1ccccc1)NN,3.699620958
55652,55-65-2,N=C(N)NCCN1CCCCCCC1,3.59838337
56406,56-40-6,NCC(=O)O,1.398327805
56542,56-54-2,C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,3.543416312
57921,57-92-1,CNC1C(OC2C(OC3C(O)C(O)C(NC(=N)N)C(O)C3NC(=N)N)OC(C)C2(O)C=O)OC(CO)C(O)C1O,3.588518204
58082,1958/8/2,Cn1c(=O)c2c(ncn2C)n(C)c1=O,3.38514582
58151,58-15-1,Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,3.364173755
60800,60-80-0,Cc1cc(=O)n(-c2ccccc2)n1C,2.554529539
61734,61-73-4,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1,3.841157952
62680,62-68-0,CCCC(C(=O)OCCN(CC)CC)(c1ccccc1)c1ccccc1,4.150456781
64175,64-17-5,CCO,1.067361778
64437,64-43-7,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,3.576487243
66320,66-32-0,O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46,6.005777004
66831,66-83-1,COc1ccc2[nH]cc(CCN)c2c1,4.881375526
67481,67-48-1,C[N+](C)(C)CCO,3.619815163
67561,67-56-1,CO,0.839108048
67630,67-63-0,CC(C)O,1.485925267
67685,67-68-5,CS(C)=O,2.591821179
69056,1969/5/6,CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12,4.602023075
69534,69-53-4,CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O,3.543337816
71238,71-23-8,CCCO,1.175917853
71363,71-36-3,CCCCO,2.484346715
71410,71-41-0,CCCCCO,2.858862486
71636,71-63-6,CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,6.628360544
71681,71-68-1,CN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3C1C5,4.978245968
78831,78-83-1,CC(C)CO,2.009614982
79141,79-14-1,O=C(O)CO,1.881104929
83794,83-79-4,C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1,5.783048875
86408,86-40-8,C[n+]1c2cc(N)ccc2cc2ccc(N)cc21,4.484339536
91101,1991/10/1,COc1cccc(OC)c1O,3.187985787
92626,92-62-6,Nc1ccc2cc3ccc(N)cc3nc2c1,4.27491647
95169,95-16-9,c1ccc2scnc2c1,3.130947781
100516,100-51-6,OCc1ccccc1,2.238106348
103844,103-84-4,CC(=O)Nc1ccccc1,4.201448536
107028,107-02-8,C=CC=O,3.572592821
111900,111-90-0,CCOCCOCCO,2.127671604
114498,114-49-8,CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12,3.578865465
123513,123-51-3,CC(C)CCO,2.623003022
123911,123-91-1,C1COCCO1,1.768914226
125291,125-29-1,COc1ccc2c3c1OC1C(=O)CCC4C(C2)N(C)CCC314,4.521965768
131282,131-28-2,COc1ccc(C(=O)Cc2c(CCN(C)C)cc3c(c2OC)OCO3)c(C(=O)O)c1OC,2.745726525
139935,139-93-5,Nc1cc([AsH]=[AsH]c2ccc(O)c(N)c2)ccc1O,4.009663317
143624,143-62-4,CC12CCC(O)CC1CCC1C2CCC2(C)C(C3=CC(=O)OC3)CCC12O,6.168642458
144003,144-00-3,CCCCCCC1(CC)C(=O)NC(=O)NC1=O,3.681789188
144025,144-02-5,CCC1(CC)C(=O)NC(=O)NC1=O,2.663217846
154427,154-42-7,Nc1nc2nc[nH]c2c(=S)[nH]1,3.848113796
156569,156-56-9,C=C1CC1CC(N)C(=O)O,3.547682423
300549,300-54-9,CC1OC(C[N+](C)(C)C)CC1O,5.199814993
306127,306-12-7,Nc1cc([As]=O)ccc1O,4.453844505
309433,309-43-3,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,3.678130345
313677,313-67-7,COc1cccc2c1cc([N+](=O)[O-])c1c(C(=O)O)cc3c(c12)OCO3,3.931044484
316427,316-42-7,CCC1CN2CCc3cc(OC)c(OC)cc3C2CC1CC1NCCc2cc(OC)c(OC)cc21,4.755777626
329657,329-65-7,CNCC(O)c1ccc(O)c(O)c1,5.563972059
404864,404-86-4,COc1cc(CNC(=O)CCCCC=CC(C)C)ccc1O,5.280774646
442513,442-51-3,COc1ccc2c(c1)[nH]c1c(C)nccc12,4.326851791
465190,465-19-0,CC12CCC(O)CC1CCC1C2CCC2(C)C(c3ccc(=O)oc3)C(O)CC12O,6.184843584
470371,470-37-1,CC(=O)OC1C(c2ccoc(=O)c2)C2(C)CCC3C(CCC4CC(O)CCC43C)C23OC13,6.284236472
470428,470-42-8,CC12CCC(O)CC1(O)CCC1C2CCC2(C)C(c3ccc(=O)oc3)CC3OC312,5.420775198
486704,486-70-4,OCC1CCCN2CCCCC12,3.228574863
491929,491-92-9,CCN(CC)CCCC(C)Nc1cc(OC)cc2cccnc12,4.799975671
505759,505-75-9,CCCC(O)C=CC=CC=CC#CC#CCCCO,4.683062167
518343,518-34-3,COc1ccc2cc1Oc1ccc(cc1)CC1c3cc(c(OC)cc3CCN1C)Oc1c(OC)c(OC)cc3c1C(C2)N(C)CC3,4.192262113
537268,537-26-8,CN1C2CCC1CC(OC(=O)c1ccccc1)C2,4.134463992
560532,560-53-2,COC1CC(OC2CCC3(C=O)C4CCC5(C)C(C6=CC(=O)OC6)CCC5(O)C4CCC3(O)C2)OC(C)C1OC1OC(CO)C(O)C(O)C1O,6.705627937
565366,565-36-6,Nc1cccc(S(=O)(=O)Nc2ncc(Cl)cn2)c1,2.419801721
573580,573-58-0,Nc1c(N=Nc2ccc(-c3ccc(N=Nc4cc(S(=O)(=O)O)c5ccccc5c4N)cc3)cc2)cc(S(=O)(=O)O)c2ccccc12,3.814722928
577913,577-91-3,O=C(O)C(Cc1cc(I)c(O)c(I)c1)c1ccccc1,3.693784968
603509,603-50-9,CC(=O)Oc1ccc(C(c2ccc(OC(C)=O)cc2)c2ccccn2)cc1,3.955924552
616682,616-68-2,CCN(CC)CC(=O)Nc1c(C)cc(C)cc1C,3.284509427
627134,627-13-4,CCCO[N+](=O)[O-],3.02157379
685916,685-91-6,CCN(CC)C(C)=O,2.061361992
751984,751-98-4,CN(C)C1C(=O)C(C(=O)NCNCC(=O)O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3CC12,3.725517977
964523,964-52-3,CC(=O)Oc1cc(C(C)C)c(OCCN(C)C)cc1C,3.969074058
999815,999-81-5,C[N+](C)(C)CCCl,5.009376524
1165486,1165-48-6,COc1ccc2c(=O)c(C)c(-c3ccccc3)oc2c1CN(C)C,5.509729272
1562716,1562-71-6,CC1=CCN(CCNC(=N)N)CC1,3.783596322
2216515,2216-51-5,CC1CCC(C(C)C)C(O)C1,3.644032512
2792929,2792-92-9,CN1C2CCC(OC(=O)Cc3ccc([N+](=O)[O-])cc3)C1CC2,3.830155084
2922545,2922-54-5,O=C(O)CCC(=O)O,1.771175772
3087023,02-03-87,CN1C2CCC1CC(OC(=O)Cc1ccccc1)C2,4.024808953
3565331,3565-33-1,CC[N+](C)(CC)CCOC(=O)C1CC2CC[N+]1(C)CC2,3.755026773
4026953,4026-95-3,CC12CCC(O)CC1CCC1C2CCC2(C)C(c3ccc(=O)oc3)C(O)C3OC132,4.957688078
4099303,4099-30-3,CC12CCC(O)CC1(O)CCC1C2CCC2(C)C(c3ccc(=O)oc3)C(O)C3OC132,5.590245826
4170303,4170-30-3,CC=CC=O,3.368541001
4410484,4410-48-4,CCC1C2CC3C4N(C)c5ccccc5C45CC(C2C5O)N3C1O,5.212773374
5355486,5355-48-6,CC(=O)OC1C(O)CC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)OC1C,6.460547587
5373422,5373-42-2,COc1cc(CC2c3cc(OC)c(OC)cc3CCN2C)c(Oc2cc3c(cc2OC)-c2c(OC)c(OC)cc4c2C(C3)N(C)CC4)cc1OC,4.843133695
5434060,5434-06-0,CS(=O)(=O)c1ccc(C(=N)N)cc1,2.850048593
5511988,5511-98-8,CC(=O)OC1CC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)OC(C)C1O,6.553664611
5892159,5892-15-9,CCCCN(CCCC)CCCOC(=O)c1ccc(N)cc1,4.310268367
5908894,5908-89-4,CN1C2CCC1CC(OC(=O)C1CCC(C(=O)Oc3ccccc3)(C3CC4CCC(C3)N4C)c3ccccc31)C2,4.433545831
6078597,6078-59-7,CC(=O)OC1CCC2(C)C(CCC3C2CC(OC(C)=O)C2(C)C(C4=CC(=O)OC4)CCC32O)C1,4.99598673
6198578,6198-57-8,C=C1C2CCC3C(CCC4C5(C)CCCC43C3OCCN3C5)(C2)C1O,5.234910653
6784254,6784-25-4,O=CNc1ccc(S(=O)(=O)c2ccc(NC=O)cc2)cc1,3.076800304
6875101,10-01-75,COC1C(O)C(C)OC(OC2CCC3(C)C(CCC4C3CCC3(C)C(C5=CC(=O)OC5)C(OC=O)CC43O)C2)C1O,6.398840752
10176393,10176-39-3,CC1OC(OC2C(C)OC(OC3C(C)OC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)C(OC=O)CC65O)C4)CC3OC=O)CC2OC=O)CC(OC=O)C1OC=O,5.713839156
10347816,10347-81-6,CNCCCC12CCC(c3ccccc31)c1ccccc12,3.966002423
11005633,11005-63-3,COC1CC(OC2CCC3(C=O)C(O)(CCC4(C)C3(C)CCC3(C)C(C5=CC(=O)OC5)CCC34O)C2)OC(C)C1OC1CC(CO)C(O)C(O)C1O,6.826013514
14046992,14046-99-2,CCC[N+]12C(O)C(CC)C3CC1C1N(C)c4ccccc4C14CC2C3C4O,4.868678522
15233655,15233-65-5,COc1cc(O)cc(OC)c1O,3.753746431
16048105,16048-10-5,CN1C2CCC1CC(OC(=O)Cc1cccc(Cl)c1)C2,4.291951663
16048116,16048-11-6,CN1C2CCC1CC(OC(=O)Cc1ccc(Cl)cc1)C2,4.338007228
16398393,16398-39-3,CN(C)CCCN1C(=O)c2cc([N+](=O)[O-])ccc2Oc2ccccc21,3.834251531
16479508,16479-50-8,CC1OC(OC2C(O)CC(OC3CCC4(C)C(CCC5C4CCC4(C)C(C6=CC(=O)OC6)CCC54O)C3)OC2C)CC(O)C1O,6.258573663
17575201,17575-20-1,CC(=O)OC1CC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)OC(C)C1OC1OC(CO)C(O)C(O)C1O,6.643958461
17575223,17575-22-3,CC(=O)OC1CC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)OC(C)C1OC1OC(CO)C(O)C(O)C1O,6.631764386
18552744,18552-74-4,Cc1ccccc1C(OCCN(C)C(=N)N)c1ccccc1,4.871283893
18552835,18552-83-5,Cc1ccccc1C(OCCN(C)CC#N)c1ccccc1,4.866874864
18984800,18984-80-0,CCC1CN2CCC1CC2C(O)c1ccnc2ccc(OCCC(C)C)cc12,4.748901561
20073807,20073-80-7,O=C(NO)c1ccc(C(=O)NO)cc1,2.774100941
20830755,20830-75-5,CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,6.691225549
21829254,21829-25-4,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],5.840531394
26660764,26660-76-4,C[N+](C)(CCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2)C12CC3CC(CC(C3)C1)C2,3.697999576
27074700,27074-70-0,CCCCCN(CCCCC)CC(O)c1cc2c(c3ccccc13)CCCC2,4.280582923
27389679,27389-67-9,C[N+](C)(C)CCc1ccc([N+](C)(C)C)cc1,4.347087914
29362489,29362-48-9,CC(=O)OC1CC2(O)C3CCC4CC(OC5CC(OC6CC(O)C(O)C(C)O6)C(OC6CC(O)C(O)C(C)O6)C(C)O5)CCC4(C)C3CCC2(C)C1C1=CC(=O)OC1,6.508852267
29429036,29429-03-6,COc1cc2c(cc1O)C1C(O)C(O)C=C3CCN(C2)C31,2.51641906
30685439,30685-43-9,COC1C(O)CC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)OC1C,6.621600417
31248665,31248-66-5,COC1C=CC2=CCN3CCc4cc5c(cc4C23C1)OCO5,4.99615253
33396371,33396-37-1,COC1C(C)OC(OC2C=C3CCC4C(CCC5(C)C(c6ccc(=O)oc6)CCC45O)C3(C)CC2)C(O)C1O,6.599424848
38243811,38243-81-1,CCN(CC)CCCOC(=O)c1cc(OC)c(OC)c(OC)c1,4.035302967
42373626,42373-62-6,Cc1ccccc1OCC(O)CN1C(C)(C)CCC1(C)C,4.425434709
49745951,49745-95-1,CC(CCc1ccc(O)cc1)NCCc1ccc(O)c(O)c1,3.877063083
50720304,50720-30-4,CC=C1CN(C)C2Cc3c([nH]c4ccccc34)C(=O)CC1C2C(=O)OC,4.547077799
53214576,53214-57-6,CNC(C)C(O)c1ccccc1,3.415725919
57647355,57647-35-5,CN(C)CCN(C)n1cc(-c2ccccc2)c2ccccc21,3.76161712
61132158,61132-15-8,NC1=NC(O)C2C3OC4(O)OC(C(O)C2(N1)C4O)C3(O)C(O)C(N)C(=O)O,7.894671551
63938283,63938-28-3,COC1C=CC2=CCN3CCc4cc(O)c(O)cc4C23C1,5.154337227
63938294,63938-29-4,COC1C=CC2=CCN3CCc4cc(O)c(OS(=O)(=O)CC(=O)O)cc4C23C1,5.70697794
63938307,63938-30-7,COC1CC=C2CCN3CCc4cc5c(cc4C23C1)OCO5,4.999087023
64049838,64049-83-8,CN(CC[N+](C)(C)C)CC[N+](C)(C)C,3.405205444
73953998,73953-99-8,N=C(CCN1C2CCC1CC(O)C2)NO,3.522772194
108369320,108369-32-0,COc1cc(C(=O)OCCCN2CCCCC2)cc(OC)c1OC,4.130225664
108479294,108479-29-4,COc1cc(C(=O)OCCCN2CCOCC2)cc(OC)c1OC,3.928636491
109652973,109652-97-3,O=C(OCc1ccccc1)c1ccc[n+](Cc2ccccc2)c1,4.483400417
1391124,1391-12-4,C=C(CCC1(O)OC2CC3C4CCC5CC(OC6OC(C)C(OC7OC(CO)C(O)C(O)C7O)C(O)C6O)CC(OC6OC(C)C(OC7OC(C)C(O)C(O)C7O)C(O)C6O)C5(C)C4CCC3C2(C)C1C)COC1OC(CO)C(O)C(O)C1O,5.813757416
2380634,2380-63-4,Nc1ncnc2n[nH]cc12,3.130751777
3261538,3261-53-8,CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)C(OC=O)CC65O)C4)OC3C)OC2C)CC(O)C1O,5.953684002
3266146,3266-14-6,Cc1cccc(CC(=O)OC2CC3CCC(C2)N3C)c1,4.206311463
4562361,4562-36-1,CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)C(O)CC65O)C4)OC3C)OC2C)CC(O)C1O,6.121770661
4720096,2009/6/20,CC(=O)OC1C2CCC3C(C)(O)C4CC(O)C(C)(C)C4(O)C(O)CC13CC2(C)O,6.013388176
63977811,63977-81-1,C[N+]1(Cc2ccc(Cl)cc2)C2CCC1CC(OC(=O)C(O)(c1ccccc1)c1ccc(N)cc1)C2,4.993029523
63982321,63982-32-1,CNC(=O)Oc1cccc(C(C)N(C)C)c1,4.869794764
95541961,95541-96-1,CCCSCC(C)C1(C)OCC(COCN(CC)CC)O1,4.504485814
