RTECS_ID,CAS_RN,SMILES,cat_oral_LD50
50124,1950/12/4,CCC1(c2ccccc2)NC(=O)N(C)C1=O,3.060212591
51285,51-28-5,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,3.390009038
52686,52-68-6,COP(=O)(OC)C(O)C(Cl)(Cl)Cl,3.423899232
53861,53-86-1,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,3.048481861
55914,55-91-4,CC(C)OP(=O)(F)OC(C)C,2.061044665
56382,56-38-2,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,5.495805352
57307,57-30-7,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,3.122897104
57943,57-94-3,COc1cc2c3cc1Oc1cc(ccc1O)CC1c4c(cc(OC)c(O)c4Oc4ccc(cc4)CC3N(C)CC2)CC[N+]1(C)C,4.529874318
58560,58-56-0,Cc1ncc(CO)c(CO)c1O,2.228349021
60515,60-51-5,CNC(=O)CSP(=S)(OC)OC,3.360333971
62748,62-74-8,O=C(O)CF,5.348260346
63252,63-25-2,CNC(=O)Oc1cccc2ccccc12,3.127590677
65225,65-22-5,Cc1ncc(CO)c(C=O)c1O,2.52417275
66320,66-32-0,O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46,5.82532094
69727,69-72-7,O=C(O)c1ccccc1O,2.538202867
70699,70-69-9,CCC(=O)c1ccc(N)cc1,4.42556042
71636,71-63-6,CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,6.628360544
75058,1975/5/8,CC#N,2.312314904
76744,76-74-4,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,3.354638493
77930,77-93-0,CCOC(=O)CC(O)(CC(=O)OCC)C(=O)OCC,1.897289263
79196,79-19-6,NNC(N)=S,3.658674263
80773,80-77-3,CN1C(=O)CCS(=O)(=O)C1c1ccc(Cl)cc1,2.835279858
81812,81-81-2,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,4.710868758
82666,82-66-6,O=C1C(=C(O)C(c2ccccc2)c2ccccc2)C(=O)c2ccccc21,4.355870223
85449,85-44-9,O=C1OC(=O)c2ccccc21,2.26751492
86884,86-88-4,NC(=S)Nc1cccc2ccccc12,2.606987235
87683,87-68-3,ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,3.144402697
90153,90-15-3,Oc1cccc2ccccc12,3.031779137
90437,90-43-7,Oc1ccccc1-c1ccccc1,2.532017619
92524,92-52-4,c1ccc(-c2ccccc2)cc1,1.773144822
94804,94-80-4,CCCCOC(=O)COc1ccc(Cl)cc1Cl,2.550615579
100470,100-47-0,N#Cc1ccccc1,2.110269763
107211,107-21-1,OCCO,1.575383807
108441,108-44-1,Cc1cccc(N)c1,3.331046489
108623,108-62-3,CC1OC(C)OC(C)OC(C)O1,2.930065135
109319,109-31-9,CCCCCCOC(=O)CCCCCCCC(=O)OCCCCCC,4.321667865
111466,111-46-6,OCCOCCO,1.507287394
111693,111-69-3,N#CCCCCC#N,3.63606242
114807,114-80-7,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1,4.476782969
115264,115-26-4,CN(C)P(=O)(F)N(C)C,4.886843094
115297,115-29-7,O=S1OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,5.308488646
115388,115-38-8,CCC1(c2ccccc2)C(=O)NC(=O)N(C)C1=O,3.02967662
118741,118-74-1,Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,2.224066664
