RTECS_ID,CAS_RN,SMILES,cat_oral_LDLo
50135,50-13-5,CCOC(=O)C1(c2ccccc2)CCN(C)CC1,3.393290845
50146,50-14-6,C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)C=CC(C)C(C)C,4.899447308
50293,50-29-3,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,3.151665205
50497,50-49-7,CN(C)CCCN1c2ccccc2CCc2ccccc21,3.447801241
50533,50-53-3,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,3.503617748
52313,52-31-3,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,3.332017734
56257,56-25-7,CC12C(=O)OC(=O)C1(C)C1CCC2O1,2.801341736
57307,57-30-7,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,3.26902514
57921,57-92-1,CNC1C(OC2C(OC3C(O)C(O)C(NC(=N)N)C(O)C3NC(=N)N)OC(C)C2(O)C=O)OC(CO)C(O)C1O,2.463579467
58082,1958/8/2,Cn1c(=O)c2c(ncn2C)n(C)c1=O,3.288235807
58151,58-15-1,Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,3.364173755
60800,60-80-0,Cc1cc(=O)n(-c2ccccc2)n1C,2.177778829
60877,60-87-7,CC(CN1c2ccccc2Sc2ccccc21)N(C)C,3.056032339
63989,63-98-9,NC(=O)NC(=O)Cc1ccccc1,1.949855769
64175,64-17-5,CCO,0.885257535
64437,64-43-7,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,3.354638493
64868,64-86-8,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,6.504544802
65452,65-45-2,NC(=O)c1ccccc1O,2.961066552
66320,66-32-0,O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46,5.223260948
69056,1969/5/6,CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12,3.300993079
76448,76-44-8,ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl,3.873112416
77656,77-65-6,CCC(Br)(CC)C(=O)NC(N)=O,2.830858015
77894,77-89-4,CCOC(=O)CC(CC(=O)OCC)(OC(C)=O)C(=O)OCC,1.572937095
79016,1979/1/6,ClC=C(Cl)Cl,1.350365046
79141,79-14-1,O=C(O)CO,2.182134925
80080,80-08-0,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,2.842320747
83738,83-73-8,Oc1c(I)cc(I)c2cccnc12,3.121617834
