RTECS_ID,CAS_RN,SMILES,rabbit_intraperitoneal_LD50
50555,50-55-5,COC(=O)C1C2CC3c4[nH]c5cc(OC)ccc5c4CCN3CC2CC(OC(=O)c2cc(OC)c(OC)c(OC)c2)C1OC,4.9392967
51127,1951/12/7,O=C(CCNNC(=O)c1ccncc1)NCc1ccccc1,3.29862896
51718,51-71-8,NNCCc1ccccc1,3.28907269
52017,1952/1/7,CC(=O)SC1CC2=CC(=O)CCC2(C)C2CCC3(C)C(CCC34CCC(=O)O4)C12,2.682183651
52686,52-68-6,COP(=O)(OC)C(O)C(Cl)(Cl)Cl,3.632519715
54853,54-85-3,NNC(=O)c1ccncc1,2.969853144
55630,55-63-0,O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],3.079726644
56100,56-10-0,N=C(N)SCCN,2.703338748
57090,57-09-0,CCCCCCCCCCCCCCCC[N+](C)(C)C,3.357251629
57307,57-30-7,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,3.189843894
57374,57-37-4,CCN(CC)CCOC(=O)C(O)(c1ccccc1)c1ccccc1,3.51511051
57476,57-47-6,CNC(=O)Oc1ccc2c(c1)C1(C)CCN(C)C1N2C,5.047191282
63252,63-25-2,CNC(=O)Oc1cccc2ccccc12,2.955377073
63989,63-98-9,NC(=O)NC(=O)Cc1ccccc1,1.852945756
64119,1964/11/9,Cc1ccc(CC(C)N)cc1,3.571816519
64175,64-17-5,CCO,1.679782498
64437,64-43-7,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,3.400395983
67561,67-56-1,CO,1.244218843
67630,67-63-0,CC(C)O,1.954719732
68122,1968/12/2,CN(C)C=O,1.86388767
71238,71-23-8,CCCO,2.067038337
71410,71-41-0,CCCCCO,2.799094281
74908,74-90-8,C#N,4.23588212
74942,74-94-2,CNC,3.108724958
76744,76-74-4,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,3.541725136
76755,76-75-5,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,3.840364227
78831,78-83-1,CC(C)CO,2.360750466
78922,78-92-2,CCC(C)O,2.427473219
95045,1995/4/5,CC=C(CC)C(=O)NC(N)=O,2.047511286
100470,100-47-0,N#Cc1ccccc1,1.916449737
101804,101-80-4,Nc1ccc(Oc2ccc(N)cc2)cc1,2.488639649
106898,106-89-8,ClCC1CO1,2.762139111
107073,107-07-3,OCCCl,3.002781416
107200,107-20-0,O=CCCl,4.152762189
107222,107-22-2,O=CC=O,2.985546222
108941,108-94-1,O=C1CCCCC1,1.804347459
109091,109-09-1,Clc1ccccn1,3.373934427
109773,109-77-3,N#CCC#N,3.818094829
111206,111-20-6,O=C(O)CCCCCCCCC(=O)O,1.52773728
111762,111-76-2,CCCCOCCO,2.730106605
112561,112-56-1,CCCCOCCOCCSC#N,3.405062345
123319,123-31-9,Oc1ccc(O)cc1,2.944924638
125406,125-40-6,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,3.383342828
127480,127-48-0,CN1C(=O)OC(C)(C)C1=O,1.979675822
144025,144-02-5,CCC1(CC)C(=O)NC(=O)NC1=O,2.867337828
151508,151-50-8,N#C[K],4.214678475
302341,302-34-1,C=CCC1(C2C=CCC2)C(=O)NC(=O)NC1=O,3.208320867
311455,311-45-5,CCOP(=O)(OCC)Oc1ccc([N+](=O)[O-])cc1,4.919815701
