RTECS_ID,CAS_RN,SMILES,rabbit_intravenous_LD50
50077,1950/7/7,COC12C(COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1CC1NC12,4.992699029
50099,1950/9/9,CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,3.516077923
50135,50-13-5,CCOC(=O)C1(c2ccccc2)CCN(C)CC1,3.941745851
50339,50-33-9,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,3.324734757
50373,50-37-3,CCN(CC)C(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1,6.032672474
50420,50-42-0,CCN(CC)CCOC(=O)C(c1ccccc1)c1ccccc1,4.016232218
50497,50-49-7,CN(C)CCCN1c2ccccc2CCc2ccccc21,4.247100971
50533,50-53-3,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,4.552072754
50555,50-55-5,COC(=O)C1C2CC3c4[nH]c5cc(OC)ccc5c4CCN3CC2CC(OC(=O)c2cc(OC)c(OC)c(OC)c2)C1OC,4.608303481
50602,50-60-2,Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1,4.00210278
50635,50-63-5,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,4.6018971
51058,1951/5/8,CCN(CC)CCOC(=O)c1ccc(N)cc1,3.750365133
51069,1951/6/9,CCN(CC)CCNC(=O)c1ccc(N)cc1,3.274769127
51309,51-30-9,CC(C)NCC(O)c1ccc(O)c(O)c1,3.893455567
51456,51-45-6,NCCc1cnc[nH]1,4.604520767
51558,51-55-8,CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,3.762491004
51616,51-61-6,NCCc1ccc(O)c(O)c1,3.230962391
51752,51-75-2,CN(CCCl)CCCl,4.989160488
52244,52-24-4,S=P(N1CC1)(N1CC1)N1CC1,4.536613529
52437,52-43-7,C=CCC1(CC=C)C(=O)NC(=O)NC1=O,3.15119885
52460,52-46-0,C1CN1P1(N2CC2)=NP(N2CC2)(N2CC2)=NP(N2CC2)(N2CC2)=N1,5.125659591
52868,52-86-8,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,4.671948832
53101,1953/10/1,CC12CCC(=O)CC1CCC1C2CCC2(C)C(C(=O)COC(=O)CCC(=O)O)CCC12,3.658319739
53214,53-21-4,COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,4.301929089
53894,53-89-4,CN1CCC(n2[nH]c(-c3ccccc3)c(Cc3ccccc3)c2=O)CC1,3.621829223
