RTECS_ID,CAS_RN,SMILES,rabbit_intravenous_LDLo
50000,50-00-0,C=O,2.796256243
50099,1950/9/9,CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,3.470320432
50293,50-29-3,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,3.850635209
50420,50-42-0,CCN(CC)CCOC(=O)C(c1ccccc1)c1ccccc1,4.016232218
50715,50-71-5,O=C1NC(=O)C(=O)C(=O)N1,2.675381126
50997,50-99-7,O=CC(O)C(O)C(O)C(O)CO,1.176467485
51218,51-21-8,O=c1[nH]cc(F)c(=O)[nH]1,3.938112592
51456,51-45-6,NCCc1cnc[nH]1,4.744871657
51796,51-79-6,CCOC(N)=O,1.648818462
52313,52-31-3,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,3.41916791
54717,54-71-7,CCC1C(=O)OCC1Cc1cncn1C,3.239426703
55652,55-65-2,N=C(N)NCCN1CCCCCCC1,3.59838337
56122,1956/12/2,NCCCC(=O)O,1.633135874
56542,56-54-2,C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,3.815067612
57067,1957/6/7,C=CCN=C=S,3.917146512
57136,57-13-6,NC(N)=O,1.097315165
57294,57-29-4,C=CCN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,3.794322105
57410,57-41-0,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,3.205971119
57523,57-52-3,CC[Sn](CC)(CC)OS(=O)(=O)O[Sn](CC)(CC)CC,5.228620188
57921,57-92-1,CNC1C(OC2C(OC3C(O)C(O)C(NC(=N)N)C(O)C3NC(=N)N)OC(C)C2(O)C=O)OC(CO)C(O)C1O,3.521571414
58004,58-00-4,CN1CCc2cccc3c2C1Cc1ccc(O)c(O)c1-3,4.427044449
59267,59-26-7,CCN(CC)C(=O)c1cccnc1,3.074901731
60388,60-38-8,CC(=O)OC1CCC2(C=O)C3CCC4(C)C(C5=CC(=O)OC5)CCC4(O)C3CCC2(O)C1,5.909497679
60797,60-79-7,CC(CO)NC(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1,4.734282314
60800,60-80-0,Cc1cc(=O)n(-c2ccccc2)n1C,2.496537592
64040,64-04-0,NCCc1ccccc1,3.384471695
64119,1964/11/9,Cc1ccc(CC(C)N)cc1,4.474906506
64868,64-86-8,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,5.12433356
66284,66-28-4,CC12CCC3C(CCC4(O)CC(O)CCC34C=O)C1(O)CCC2C1=CC(=O)OC1,6.565529062
66831,66-83-1,COc1ccc2[nH]cc(CCN)c2c1,3.404254271
67481,67-48-1,C[N+](C)(C)CCO,4.976362486
67641,67-64-1,CC(C)=O,1.566470395
67992,67-99-2,CN1C(=O)C23CC4=CC=CC(O)C4N2C(=O)C1(CO)SS3,3.860536306
