RTECS_ID,CAS_RN,SMILES,rabbit_oral_LD50
50124,1950/12/4,CCC1(c2ccccc2)NC(=O)N(C)C1=O,2.705497736
50135,50-13-5,CCOC(=O)C1(c2ccccc2)CCN(C)CC1,2.69432084
50293,50-29-3,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,3.151665205
50317,50-31-7,O=C(O)c1c(Cl)ccc(Cl)c1Cl,2.5749144
50339,50-33-9,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,2.596436579
50340,50-34-0,CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc21)C(C)C,2.691372693
50497,50-49-7,CN(C)CCCN1c2ccccc2CCc2ccccc21,2.862340512
50602,50-60-2,Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1,2.148230816
50782,50-78-2,CC(=O)Oc1ccccc1C(=O)O,2.251334589
51036,1951/3/6,CCCCOCCOCCOCc1cc2c(cc1CCC)OCO2,2.106240945
51218,51-21-8,O=c1[nH]cc(F)c(=O)[nH]1,3.837742047
51285,51-28-5,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,3.787949047
51309,51-30-9,CC(C)NCC(O)c1ccc(O)c(O)c1,1.837680956
51558,51-55-8,CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,2.683309758
51752,51-75-2,CN(CCCl)CCCl,4.229017128
52017,1952/1/7,CC(=O)SC1CC2=CC(=O)CCC2(C)C2CCC3(C)C(CCC34CCC(=O)O4)C12,2.619701543
52686,52-68-6,COP(=O)(OC)C(O)C(Cl)(Cl)Cl,3.206550983
53394,53-39-4,CC12COC(=O)CC1CCC1C2CCC2(C)C1CCC2(C)O,1.787383953
53861,53-86-1,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,3.423298071
53894,53-89-4,CN1CCC(n2[nH]c(-c3ccccc3)c(Cc3ccccc3)c2=O)CC1,2.310458394
54319,54-31-9,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,2.616408553
54853,54-85-3,NNC(=O)c1ccncc1,2.73923047
54864,54-86-4,O=C(O)c1cccnc1,1.432285462
