RTECS_ID,CAS_RN,SMILES,rabbit_oral_LDLo
50099,1950/9/9,CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,2.294229173
50997,50-99-7,O=CC(O)C(O)C(O)C(O)CO,0.954618735
52313,52-31-3,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,2.720197906
52437,52-43-7,C=CCC1(CC=C)C(=O)NC(=O)NC1=O,3.619546181
53214,53-21-4,COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,3.381584907
56042,1956/4/2,Cc1cc(=O)[nH]c(=S)[nH]1,1.754907665
56257,56-25-7,CC12C(=O)OC(=O)C1(C)C1CCC2O1,3.991673434
56359,56-35-9,CCCC[Sn](CCCC)(CCCC)O[Sn](CCCC)(CCCC)CCCC,4.076361503
56360,56-36-0,CCCC[Sn](CCCC)(CCCC)OC(C)=O,3.94089359
56542,56-54-2,C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,2.744102976
57136,57-13-6,NC(N)=O,0.778556403
57523,57-52-3,CC[Sn](CC)(CC)OS(=O)(=O)O[Sn](CC)(CC)CC,4.705741443
58275,58-27-5,CC1=CC(=O)c2ccccc2C1=O,2.874262434
58742,58-74-2,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,3.251946721
59472,59-47-2,Cc1ccccc1OCC(O)CO,1.898865823
60128,1960/12/8,OCCc1ccccc1,1.785923914
60708,60-70-8,Cc1c(C(C)C2NCC(C)CC2O)ccc2c1CC1C2CC=C2CC(O)CCC21C,4.093860852
61734,61-73-4,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1,2.453941808
62566,62-56-6,NC(N)=S,1.03735519
62759,62-75-9,CN(C)N=O,3.869718561
64868,64-86-8,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,3.90248481
66320,66-32-0,O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46,5.746139694
67663,67-66-3,ClC(Cl)Cl,2.377954294
69056,1969/5/6,CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12,2.999963083
72173,72-17-3,CC(O)C(=O)O,1.255648731
74884,74-88-4,CI,3.307003701
74908,74-90-8,C#N,3.829721781
75036,1975/3/6,CCI,2.715908679
75092,1975/9/2,ClCCl,1.650322864
75525,75-52-5,C[N+](=O)[O-],1.910553262
75741,75-74-1,C[Pb](C)(C)C,4.046852702
76131,76-13-1,FC(F)(Cl)C(F)(Cl)Cl,1.042262724
76744,76-74-4,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,3.111600444
76755,76-75-5,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,2.606281021
76766,76-76-6,CCC1(C(C)C)C(=O)NC(=O)NC1=O,3.121060595
77021,1977/2/1,C=CCC1(C(C)C)C(=O)NC(=O)NC1=O,3.118580905
77474,77-47-4,ClC1=C(Cl)C(Cl)(Cl)C(Cl)=C1Cl,2.81255209
77496,77-49-6,CC(CO)(CO)[N+](=O)[O-],2.130716422
77656,77-65-6,CCC(Br)(CC)C(=O)NC(N)=O,2.596774808
