RTECS_ID,CAS_RN,SMILES,rabbit_skin_LD50
50293,50-29-3,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,3.072483959
51036,1951/3/6,CCCCOCCOCCOCc1cc2c(cc1CCC)OCO2,3.228456824
51149,51-14-9,CCOCCOCCOC(C)Oc1ccc2c(c1)OCO2,1.433311522
51752,51-75-2,CN(CCCl)CCCl,4.114099225
52857,52-85-7,COP(=S)(OC)Oc1ccc(S(=O)(=O)N(C)C)cc1,2.347995286
55630,55-63-0,O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],2.909030417
55914,55-91-4,CC(C)OP(=O)(F)OC(C)C,3.196978786
56235,56-23-5,ClC(Cl)(Cl)Cl,0.885991281
56359,56-35-9,CCCC[Sn](CCCC)(CCCC)O[Sn](CCCC)(CCCC)CCCC,2.821088998
56382,56-38-2,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,4.288197042
56724,56-72-4,CCOP(=S)(OCC)Oc1ccc2c(C)c(Cl)c(=O)oc2c1,2.860662558
56815,56-81-5,OCC(O)CO,0.964231336
57067,1957/6/7,C=CCN=C=S,3.051845086
57147,57-14-7,CN(C)N,1.753568607
57556,57-55-6,CC(O)CO,0.563292786
58902,58-90-2,Oc1c(Cl)cc(Cl)c(Cl)c1Cl,2.96734763
60344,60-34-4,CNN,2.685722887
60515,60-51-5,CNC(=O)CSP(=S)(OC)OC,2.360333971
60571,60-57-1,ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,3.492780165
62737,62-73-7,COP(=O)(OC)OC=C(Cl)Cl,3.31496133
63252,63-25-2,CNC(=O)Oc1cccc2ccccc12,2.00265194
64006,64-00-6,CNC(=O)Oc1cccc(C(C)C)c1,3.684050522
67561,67-56-1,CO,0.307062529
67630,67-63-0,CC(C)O,0.671635597
67663,67-66-3,ClC(Cl)Cl,0.775894303
67710,67-71-0,CS(C)(=O)=O,1.274781123
67721,67-72-1,ClC(Cl)(Cl)C(Cl)(Cl)Cl,0.869121665
68122,1968/12/2,CN(C)C=O,1.189945672
69727,69-72-7,O=C(O)c1ccccc1O,1.140262858
71238,71-23-8,CCCO,1.07641503
71363,71-36-3,CCCCO,1.338474071
71432,71-43-2,c1ccccc1,1.591698882
72173,72-17-3,CC(O)C(=O)O,1.653588739
72435,72-43-5,COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1,1.76048908
72548,72-54-8,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,2.426031158
74942,74-94-2,CNC,2.331812779
74953,74-95-3,BrCBr,1.638077231
