RTECS_ID,CAS_RN,SMILES,frog_subcutaneous_LDLo
50420,50-42-0,CCN(CC)CCOC(=O)C(c1ccccc1)c1ccccc1,3.016232218
50782,50-78-2,CC(=O)Oc1ccccc1C(=O)O,2.297092079
51058,1951/5/8,CCN(CC)CCOC(=O)c1ccc(N)cc1,2.595340039
51456,51-45-6,NCCc1cnc[nH]1,1.815452731
51558,51-55-8,CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,2.461461008
53214,53-21-4,COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,3.004834198
56542,56-54-2,C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,3.210082979
57136,57-13-6,NC(N)=O,2.000405152
57307,57-30-7,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,2.666965148
58004,58-00-4,CN1CCc2cccc3c2C1Cc1ccc(O)c(O)c1-3,2.949923195
58082,1958/8/2,Cn1c(=O)c2c(ncn2C)n(C)c1=O,3.209054561
58742,58-74-2,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,3.384572286
60297,60-29-7,CCOCC,0.489741747
60800,60-80-0,Cc1cc(=O)n(-c2ccccc2)n1C,1.973658847
62566,62-56-6,NC(N)=S,0.881521601
64175,64-17-5,CCO,0.812150437
66320,66-32-0,O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46,6.9802229
66400,66-40-0,CC[N+](CC)(CC)CC,1.572217927
69727,69-72-7,O=C(O)c1ccccc1O,2.74232285
71432,71-43-2,c1ccccc1,1.746600842
74908,74-90-8,C#N,2.653630522
75058,1975/5/8,CC#N,0.654303507
75127,1975/12/7,NC=O,3.176486769
75503,75-50-3,CN(C)C,1.470645658
75570,75-57-0,C[N+](C)(C)C,1.569063588
77656,77-65-6,CCC(Br)(CC)C(=O)NC(N)=O,2.152990459
78820,78-82-0,CC(C)C#N,1.158280803
78977,78-97-7,CC(O)C#N,2.374620054
83341,83-34-1,Cc1c[nH]c2ccccc12,2.117861005
86408,86-40-8,C[n+]1c2cc(N)ccc2cc2ccc(N)cc21,2.447714115
87661,87-66-1,Oc1cccc(O)c1O,2.799722974
88755,88-75-5,O=[N+]([O-])c1ccccc1O,2.666237096
89838,89-83-8,Cc1ccc(C(C)C)c(O)c1,3.00063939
90391,90-39-1,C1CCN2CC3CC(CN4CCCCC34)C2C1,1.847489287
91225,91-22-5,c1ccc2ncccc2c1,2.935043502
95487,95-48-7,Cc1ccccc1O,2.73295637
95545,95-54-5,Nc1ccccc1N,1.431942438
95578,95-57-8,Oc1ccccc1Cl,2.507039116
98077,1998/7/7,ClC(Cl)(Cl)c1ccccc1,1.958654984
98088,1998/8/8,FC(F)(F)c1ccccc1,2.225163661
98464,98-46-4,O=[N+]([O-])c1cccc(C(F)(F)F)c1,2.523124246
100027,100-02-7,O=[N+]([O-])c1ccc(O)cc1,3.3652071
100470,100-47-0,N#Cc1ccccc1,1.782910829
103902,103-90-2,CC(=O)Nc1ccc(O)cc1,3.480481244
105566,105-56-6,CCOC(=O)CC#N,1.430274749
105602,105-60-2,O=C1CCCCCN1,1.606534907
106445,106-44-5,Cc1ccc(O)cc1,2.857895106
107073,107-07-3,OCCCl,2.507931395
107120,107-12-0,CCC#N,0.837903945
108394,108-39-4,Cc1cccc(O)c1,2.636046357
108441,108-44-1,Cc1cccc(N)c1,2.271104601
108883,108-88-3,Cc1ccccc1,2.000665094
108941,108-94-1,O=C1CCCCC1,1.713114578
109740,109-74-0,CCCC#N,1.348160346
109773,109-77-3,N#CCC#N,2.842234686
110612,110-61-2,N#CCCC#N,1.903578294
113008,113-00-8,N=C(N)N,1.29426042
113155,113-15-5,CN1CC(C(=O)NC2(C)OC3(O)C4CCCN4C(=O)C(Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)CC21,4.246164965
118105,118-10-5,C=CC1CN2CCC1CC2C(O)c1ccnc2ccccc12,3.16790486
120809,120-80-9,Oc1ccccc1O,2.837714668
120923,120-92-3,O=C1CCCC1,1.447767684
123319,123-31-9,Oc1ccc(O)cc1,2.76308105
