RTECS_ID,CAS_RN,SMILES,rabbit_skin_LDLo
64175,64-17-5,CCO,0.36237879
71556,71-55-6,CC(Cl)(Cl)Cl,0.92651502
74884,74-88-4,CI,2.252281239
75570,75-57-0,C[N+](C)(C)C,2.870093584
75741,75-74-1,C[Pb](C)(C)C,1.896736154
77485,77-48-5,CC1(C)C(=O)N(Br)C(=O)N1Br,1.155219096
78002,78-00-2,CC[Pb](CC)(CC)CC,2.590726378
79049,1979/4/9,O=C(Cl)CCl,2.553172237
80159,80-15-9,CC(C)(OO)c1ccccc1,2.103213432
87901,87-90-1,O=c1n(Cl)c(=O)n(Cl)c(=O)n1Cl,1.666417085
88051,1988/5/1,Cc1cc(C)c(N)c(C)c1,2.788586132
88108,1988/10/8,CCN(CC)C(=O)Cl,1.023675449
90120,90-12-0,Cc1cccc2ccccc12,1.277841387
90302,90-30-2,c1ccc(Nc2cccc3ccccc23)cc1,1.437922899
95147,95-14-7,c1ccc2n[nH]nc2c1,2.422797691
95169,95-16-9,c1ccc2scnc2c1,2.829917785
95545,95-54-5,Nc1ccccc1N,1.85791117
95578,95-57-8,Oc1ccccc1Cl,1.91044202
95761,95-76-1,Nc1ccc(Cl)c(Cl)c1,2.732444693
97052,1997/5/2,O=C(O)c1cc(S(=O)(=O)O)ccc1O,1.439006378
98011,1998/1/1,O=Cc1ccco1,2.190263905
98806,98-80-6,OB(O)c1ccccc1,1.432905184
98953,98-95-3,O=[N+]([O-])c1ccccc1,2.312145609
99809,99-80-9,CN(N=O)c1ccc(N=O)cc1,2.041792578
100027,100-02-7,O=[N+]([O-])c1ccc(O)cc1,1.967267092
100549,100-54-9,N#Cc1cccnc1,1.415440798
100607,100-60-7,CNC1CCCCC1,1.752831777
101020,101-02-0,c1ccc(OP(Oc2ccccc2)Oc2ccccc2)cc1,1.792796375
104121,104-12-1,O=C=Nc1ccc(Cl)cc1,1.408149478
105373,105-37-3,CCOC(=O)CC,0.855168402
107700,107-70-0,COC(C)(C)CC(C)=O,1.637446365
108452,108-45-2,Nc1cccc(N)c1,1.85791117
