RTECS_ID,CAS_RN,SMILES,rabbit_subcutaneous_LD50
50293,50-29-3,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,3.151665205
50635,50-63-5,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,3.629925824
51058,1951/5/8,CCN(CC)CCOC(=O)c1ccc(N)cc1,2.536534552
51752,51-75-2,CN(CCCl)CCCl,4.716159216
53214,53-21-4,COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,3.58986085
54853,54-85-3,NNC(=O)c1ccncc1,3.00683671
54955,54-95-5,C1CCc2nnnn2CC1,3.259612738
55914,55-91-4,CC(C)OP(=O)(F)OC(C)C,5.265164648
56382,56-38-2,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,3.987167046
57090,57-09-0,CCCCCCCCCCCCCCCC[N+](C)(C)C,3.357251629
57476,57-47-6,CNC(=O)Oc1ccc2c(c1)C1(C)CCN(C)C1N2C,4.962766981
57545,57-54-5,C[N+]1(CCCl)CC1,5.081358111
57943,57-94-3,COc1cc2c3cc1Oc1cc(ccc1O)CC1c4c(cc(OC)c(O)c4Oc4ccc(cc4)CC3N(C)CC2)CC[N+]1(C)C,6.086176819
59018,1959/1/8,NCC1OC(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(O)C(O)C1O,2.208175216
61121,1961/12/1,CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1,4.626725982
62442,62-44-2,CCOc1ccc(NC(C)=O)cc1,2.25338405
62748,62-74-8,O=C(O)CF,5.443622071
69056,1969/5/6,CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12,3.726961811
74908,74-90-8,C#N,4.033841764
77816,77-81-6,CCOP(=O)(C#N)N(C)C,5.635829436
78535,78-53-5,CCOP(=O)(OCC)SCCN(CC)CC,6.33340213
83818,83-81-8,CCN(CC)C(=O)c1ccccc1C(=O)N(CC)CC,3.964385358
87694,87-69-4,O=C(O)C(O)C(O)C(=O)O,2.12326174
90697,90-69-7,CN1C(CC(=O)c2ccccc2)CCCC1CC(O)c1ccccc1,3.984158119
96640,96-64-0,CC(OP(C)(=O)F)C(C)(C)C,6.959458783
100527,100-52-7,O=Cc1ccccc1,1.326843607
104314,104-31-4,CCCCNc1ccc(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)cc1,3.479827148
107073,107-07-3,OCCCl,2.905871403
107415,107-41-5,CC(O)CC(C)(C)O,0.958585934
107448,107-44-8,CC(C)OP(C)(=O)F,6.669298281
107493,107-49-3,CCOP(=O)(OCC)OP(=O)(OCC)OCC,5.16165095
107982,107-98-2,COCC(C)O,1.255860817
110021,110-02-1,c1ccsc1,2.0059399
110189,110-18-9,CN(C)CCN(C)C,1.975330915
110805,110-80-5,CCOCCO,1.653800825
112561,112-56-1,CCCCOCCOCCSC#N,3.308152332
113451,113-45-1,COC(=O)C(c1ccccc1)C1CCCCN1,3.137486294
114807,114-80-7,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1,5.649910939
115264,115-26-4,CN(C)P(=O)(F)N(C)C,4.409721839
115297,115-29-7,O=S1OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,3.05321614
121755,121-75-5,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,3.071834685
123035,123-03-5,CCCCCCCCCCCCCCCC[n+]1ccccc1,3.006525941
123820,123-82-0,CCCCCC(C)N,2.947584519
124970,124-97-0,CCC(C)C(=O)OC1C(O)C2C(CN3CC(C)CCC3C2(C)O)C2CC34OC5(O)C(OC(=O)C(C)(O)C(C)O)CCC3(C)C5C(OC(C)=O)C(OC(C)=O)C4C21O,6.67800768
125644,125-64-4,CCC1(CC)C(=O)NCC(C)C1=O,2.564076349
136470,136-47-0,CCCCNc1ccc(C(=O)OCCN(C)C)cc1,4.246119269
142847,142-84-7,CCCNCCC,1.908240458
143577,143-57-7,CCC(C)C(=O)OC1C(O)C2C(CN3CC(C)CCC3C2(C)O)C2CC34OC5(O)C(OC(=O)C(C)(O)CC)CCC3(C)C5C(OC(C)=O)C(OC(C)=O)C4C21O,6.50185205
147842,147-84-2,CCN(CC)C(=S)S,2.475043259
151508,151-50-8,N#C[K],4.211627723
154416,154-41-6,CC(N)C(O)c1ccccc1,2.773037461
154698,154-69-8,CN(C)CCN(Cc1ccccc1)c1ccccn1,3.888647433
154869,154-86-9,CNCC(O)c1cccc(O)c1,3.880834371
300425,300-42-5,CNC(C)Cc1ccccc1,2.862122649
300629,300-62-9,CC(N)Cc1ccccc1,4.089616128
306536,306-53-6,CC[N+](C)(C)CCN(C)CC[N+](C)(C)CC,3.16029592
311455,311-45-5,CCOP(=O)(OCC)Oc1ccc([N+](=O)[O-])cc1,6.077915859
329657,329-65-7,CNCC(O)c1ccc(O)c(O)c1,4.660882072
329997,329-99-7,CP(=O)(F)OC1CCCCC1,6.255655963
337473,337-47-3,C=CCC1(C(C)CCC)C(=O)NC(=S)NC1=O,3.053257761
341708,341-70-8,CCN(CC)CCN1c2ccccc2Sc2ccccc21,3.2987876
378449,378-44-9,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,4.736470649
453189,453-18-9,COC(=O)CF,5.486992171
485358,485-35-8,O=c1cccc2n1CC1CNCC2C1,4.58034553
500287,500-28-7,COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(Cl)c1,4.075774633
505602,505-60-2,ClCCSCCCl,3.900588317
526089,526-08-9,Nc1ccc(S(=O)(=O)Nc2ccnn2-c2ccccc2)cc1,2.51971749
532321,532-32-1,O=C(O)c1ccccc1,1.785767469
532763,532-76-3,CC(CNC1CCCCC1)OC(=O)c1ccccc1,3.202403582
533288,533-28-8,CC1CCCCN1CCCOC(=O)c1ccccc1,2.77478291
541253,541-25-3,ClC=C[As](Cl)Cl,5.01560911
546805,546-80-5,CC1C(=O)CC2(C(C)C)CC12,5.623811647
550345,550-34-5,CCN(CC)CCOC(=O)c1ccc(N)c2ccccc12,3.724541342
