RTECS_ID,CAS_RN,SMILES,rabbit_subcutaneous_LDLo
50000,50-00-0,C=O,2.097286239
50135,50-13-5,CCOC(=O)C1(c2ccccc2)CCN(C)CC1,3.092260849
50420,50-42-0,CCN(CC)CCOC(=O)C(c1ccccc1)c1ccccc1,3.016232218
50602,50-60-2,Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1,3.148230816
51058,1951/5/8,CCN(CC)CCOC(=O)c1ccc(N)cc1,3.011763453
51285,51-28-5,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,3.725479678
51456,51-45-6,NCCc1cnc[nH]1,3.966720406
51558,51-55-8,CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,2.762491004
52313,52-31-3,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,2.896289165
53214,53-21-4,COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,3.782985448
55630,55-63-0,O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],2.754128457
56235,56-23-5,ClC(Cl)(Cl)Cl,1.709900022
56257,56-25-7,CC12C(=O)OC(=O)C1(C)C1CCC2O1,5.29270343
56542,56-54-2,C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,3.136058318
57136,57-13-6,NC(N)=O,1.301435148
57307,57-30-7,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,3.189843894
57921,57-92-1,CNC1C(OC2C(OC3C(O)C(O)C(NC(=N)N)C(O)C3NC(=N)N)OC(C)C2(O)C=O)OC(CO)C(O)C1O,2.986458213
58004,58-00-4,CN1CCc2cccc3c2C1Cc1ccc(O)c(O)c1-3,4.728074445
58082,1958/8/2,Cn1c(=O)c2c(ncn2C)n(C)c1=O,2.848903114
58151,58-15-1,Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,2.966233746
58742,58-74-2,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,3.132760313
59267,59-26-7,CCN(CC)C(=O)c1cccnc1,2.773871736
60571,60-57-1,ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,3.404734536
60800,60-80-0,Cc1cc(=O)n(-c2ccccc2)n1C,2.274688842
61905,61-90-5,CC(C)CC(N)C(=O)O,1.699549782
64040,64-04-0,NCCc1ccccc1,2.606320445
64175,64-17-5,CCO,0.36237879
64437,64-43-7,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,3.21871769
64697,64-69-7,O=C(O)CI,3.491240261
64868,64-86-8,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,4.90248481
65292,65-29-2,CC[N+](CC)(CC)CCOc1cccc(OCC[N+](CC)(CC)CC)c1OCC[N+](CC)(CC)CC,5.407244699
66320,66-32-0,O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46,5.922230953
67481,67-48-1,C[N+](C)(C)CCO,2.017755171
67663,67-66-3,ClC(Cl)Cl,2.173834312
67721,67-72-1,ClC(Cl)(Cl)C(Cl)(Cl)Cl,1.772211652
68893,68-89-3,Cc1c(N(C)CS(=O)(=O)O)c(=O)n(-c2ccccc2)n1C,2.016145748
69727,69-72-7,O=C(O)c1ccccc1O,1.362111608
71238,71-23-8,CCCO,1.301724312
71556,71-55-6,CC(Cl)(Cl)Cl,2.426202103
75058,1975/5/8,CC#N,2.5921556
75070,75-07-0,CC=O,1.564794243
75092,1975/9/2,ClCCl,1.4977127
75252,75-25-2,BrC(Br)Br,2.789874659
75354,75-35-4,C=C(Cl)Cl,1.418319211
75478,75-47-8,IC(I)I,2.896229606
75503,75-50-3,CN(C)C,1.868585667
75570,75-57-0,C[N+](C)(C)C,4.091942334
76017,1976/1/7,ClC(Cl)C(Cl)(Cl)Cl,2.460887109
76766,76-76-6,CCC1(C(C)C)C(=O)NC(=O)NC1=O,2.996121858
77781,77-78-1,COS(=O)(=O)OC,3.376552856
78002,78-00-2,CC[Pb](CC)(CC)CC,4.004654492
78308,78-30-8,Cc1ccccc1OP(=O)(Oc1ccccc1C)Oc1ccccc1C,3.566283075
78671,78-67-1,CC(C)(C#N)N=NC(C)(C)C#N,3.516434886
78820,78-82-0,CC(C)C#N,3.885279531
78977,78-97-7,CC(O)C#N,4.135737966
79005,79-00-5,ClCC(Cl)Cl,2.426202103
79016,1979/1/6,ClC=C(Cl)Cl,1.863286502
79196,79-19-6,NNC(N)=S,3.813576223
79345,79-34-5,ClC(Cl)C(Cl)Cl,2.525951341
