RTECS_ID,CAS_RN,SMILES,dog_intravenous_LD50
50077,1950/7/7,COC12C(COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1CC1NC12,5.66684545
50135,50-13-5,CCOC(=O)C1(c2ccccc2)CCN(C)CC1,3.560781932
50339,50-33-9,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,3.406302242
50420,50-42-0,CCN(CC)CCOC(=O)C(c1ccccc1)c1ccccc1,3.949285429
50533,50-53-3,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,4.026496493
50555,50-55-5,COC(=O)C1C2CC3c4[nH]c5cc(OC)ccc5c4CCN3CC2CC(OC(=O)c2cc(OC)c(OC)c(OC)c2)C1OC,6.085424736
50782,50-78-2,CC(=O)Oc1ccccc1C(=O)O,2.422508851
51058,1951/5/8,CCN(CC)CCOC(=O)c1ccc(N)cc1,3.57415074
51309,51-30-9,CC(C)NCC(O)c1ccc(O)c(O)c1,3.625849327
51456,51-45-6,NCCc1cnc[nH]1,4.200803612
51616,51-61-6,NCCc1ccc(O)c(O)c1,3.287577809
51752,51-75-2,CN(CCCl)CCCl,5.193280471
52528,52-52-8,NC1(C(=O)O)CCCC1,2.634003419
52686,52-68-6,COP(=O)(OC)C(O)C(Cl)(Cl)Cl,3.234579707
52868,52-86-8,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,4.319766314
53214,53-21-4,COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,4.298586786
53861,53-86-1,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,3.55363184
54319,54-31-9,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,2.917438548
55630,55-63-0,O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],4.077434847
55914,55-91-4,CC(C)OP(=O)(F)OC(C)C,4.729870528
56382,56-38-2,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,4.385107055
57147,57-14-7,CN(C)N,2.932683227
57294,57-29-4,C=CCN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,3.414110863
57410,57-41-0,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,3.447628262
57545,57-54-5,C[N+]1(CCCl)CC1,5.382388107
57556,57-55-6,CC(O)CO,0.466382773
57625,57-62-5,CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(C)(O)C3CC12,3.504139975
57943,57-94-3,COc1cc2c3cc1Oc1cc(ccc1O)CC1c4c(cc(OC)c(O)c4Oc4ccc(cc4)CC3N(C)CC2)CC[N+]1(C)C,6.086176819
58139,58-13-9,CCN(CC)CCSC(=O)N(c1ccccc1)c1ccccc1,4.215480258
58151,58-15-1,Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,3.281388385
58286,58-28-6,CNCCCN1c2ccccc2CCc2ccccc21,4.027574649
58935,58-93-5,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,3.075904468
58946,58-94-6,NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O,2.470893915
60253,60-25-3,C[N+](C)(C)CCCCCC[N+](C)(C)C,3.762112423
60344,60-34-4,CNN,3.462746221
61803,61-80-3,Nc1nc2cc(Cl)ccc2o1,3.158627916
62748,62-74-8,O=C(O)CF,6.11417714
64437,64-43-7,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,3.535393864
64697,64-69-7,O=C(O)CI,3.616178998
65292,65-29-2,CC[N+](CC)(CC)CCOc1cccc(OCC[N+](CC)(CC)CC)c1OCC[N+](CC)(CC)CC,5.805184707
66320,66-32-0,O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46,5.621200957
66400,66-40-0,CC[N+](CC)(CC)CC,3.466461808
66819,66-81-9,CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1,5.449250007
67038,1967/3/8,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1,2.879770687
67685,67-68-5,CS(C)=O,1.494911166
68122,1968/12/2,CN(C)C=O,2.191789813
69727,69-72-7,O=C(O)c1ccccc1O,2.390526543
69749,69-74-9,Nc1ccn(C2OC(CO)C(O)C2O)c(=O)n1,3.150469052
70699,70-69-9,CCC(=O)c1ccc(N)cc1,4.319442405
74908,74-90-8,C#N,4.304676974
75218,75-21-8,C1CO1,2.125461549
76744,76-74-4,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,3.655668489
76755,76-75-5,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,3.828129771
77510,77-51-0,CC(CC(C#N)(c1ccccc1)C(C)C)N(C)C,3.703223853
77816,77-81-6,CCOP(=O)(C#N)N(C)C,6.285581418
81812,81-81-2,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,3.187990013
82984,82-98-4,CCN1CCCC(OC(=O)C(c2ccccc2)c2ccccc2)C1,3.965720313
86544,86-54-4,NNc1nncc2ccccc12,3.505638285
88755,88-75-5,O=[N+]([O-])c1ccccc1O,3.143358351
90391,90-39-1,C1CCN2CC3CC(CN4CCCCC34)C2C1,4.193842261
93141,93-14-1,COc1ccccc1OCC(O)CO,2.772098283
96640,96-64-0,CC(OP(C)(=O)F)C(C)(C)C,7.260488778
96844,96-84-4,CCC(Cc1c(I)cc(I)c(O)c1I)C(=O)O,3.449837727
98011,1998/1/1,O=Cc1ccco1,2.584715586
99650,99-65-0,O=[N+]([O-])c1cccc([N+](=O)[O-])c1,4.225588381
102761,102-76-1,CC(=O)OCC(COC(C)=O)OC(C)=O,2.162773439
106616,106-61-6,CC(=O)OCC(O)CO,1.428559158
107357,107-35-7,NCCS(=O)(=O)O,1.796397388
107448,107-44-8,CC(C)OP(C)(=O)F,6.867665935
107982,107-98-2,COCC(C)O,1.653800825
108918,108-91-8,NC1CCCCC1,2.695380972
110861,110-86-1,c1ccncc1,1.953704792
110985,110-98-5,CC(O)COCC(C)O,1.066973764
112276,112-27-6,OCCOCCOCCO,1.523382235
113188,113-18-8,C#CC(O)(C=CCl)CC,3.419808607
114909,114-90-9,ON=Cc1cc[n+](COC[n+]2ccc(C=NO)cc2)cc1,3.614757147
115264,115-26-4,CN(C)P(=O)(F)N(C)C,4.488903085
115593,115-59-3,CCCCSCC1(CC)C(=O)NC(=S)NC1=O,3.397008831
117511,117-51-1,CCCCCCc1cc(O)c2c(c1)OC(C)(C)C1=C2CC(C)CC1,3.168225223
120978,120-97-8,NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1,3.183503303
125406,125-40-6,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,3.372603143
125520,125-52-0,CN1CCCN=C1COC(=O)C(O)(c1ccccc1)C1CCCCC1,3.865034635
126523,126-52-3,C#CC1(OC(N)=O)CCCCC1,3.06489456
127071,127-07-1,NC(=O)NO,1.881127771
129204,129-20-4,CCCCC1C(=O)N(c2ccccc2)N(c2ccc(O)cc2)C1=O,3.260634067
129635,129-63-5,CC(=O)Nc1c(I)cc(I)c(C(=O)O)c1I,1.946407813
130836,130-83-6,C=CCN1Cc2ccccc2-c2ccccc2C1,3.67270729
132934,132-93-4,CC(Oc1ccccc1)C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,3.548768554
147240,147-24-0,CN(C)CCOC(c1ccccc1)c1ccccc1,4.026943329
147842,147-84-2,CCN(CC)C(=S)S,2.174013263
148016,148-01-6,Cc1c(C(N)=O)cc([N+](=O)[O-])cc1[N+](=O)[O-],3.477429977
149291,149-29-1,O=C1C=C2C(=CCOC2O)O1,4.187861818
152169,152-16-9,CN(C)P(=O)(OP(=O)(N(C)C)N(C)C)N(C)C,4.757780043
288131,288-13-1,c1cn[nH]c1,2.589975119
300425,300-42-5,CNC(C)Cc1ccccc1,4.742512746
302830,302-83-0,CC[N+](C)(C)c1cccc(O)c1,4.044654721
303219,303-21-9,Cc1c([N+](=O)[O-])cc(C(C)C)c(O)c1[N+](=O)[O-],4.204508864
304847,304-84-7,CCN(CC)C(=O)c1ccc(O)c(OC)c1,3.871713008
309364,309-36-4,C=CCC1(C(C)C#CCC)C(=O)NC(=O)N(C)C1=O,4.086374732
309433,309-43-3,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,3.695859112
320672,320-67-2,Nc1ncn(C2OC(CO)C(O)C2O)c(=O)n1,4.530425612
329657,329-65-7,CNCC(O)c1ccc(O)c(O)c1,6.262942063
337473,337-47-3,C=CCC1(C(C)CCC)C(=O)NC(=S)NC1=O,3.900290301
404820,404-82-0,CCNC(C)Cc1cccc(C(F)(F)F)c1,4.002374563
453189,453-18-9,COC(=O)CF,6.185962176
470906,470-90-6,CCOP(=O)(OCC)OC(=CCl)c1ccc(Cl)cc1Cl,3.848216897
505602,505-60-2,ClCCSCCCl,5.900588317
509864,509-86-4,CCC1(C2=CCCCCC2)C(=O)NC(=O)NC1=O,3.37726808
518478,518-47-8,O=C(O)c1ccccc1-c1c2ccc(=O)cc-2oc2cc(O)ccc12,2.521544717
519266,519-26-6,Cn1c(C(=O)O)c(I)c(=O)c(I)c1C(=O)O,1.799096838
536436,536-43-6,CCCCOc1ccc(C(=O)CCN2CCCCC2)cc1,4.483803433
536696,536-69-6,CCCCc1ccc(C(=O)O)nc1,2.998111545
540738,540-73-8,CNNC,2.675461534
541151,541-15-1,C[N+](C)(C)CC(O)CC(=O)O,1.85366662
541253,541-25-3,ClC=C[As](Cl)Cl,5.01560911
548685,548-68-5,CCN(CC)CCSC(=O)C(c1ccccc1)c1ccccc1,4.038080767
549188,549-18-8,CN(C)CCC=C1c2ccccc2CCc2ccccc21,4.011759914
553844,553-84-4,CC(C)CCC(=O)c1ccoc1,3.195377413
554847,554-84-7,O=[N+]([O-])c1cccc(O)c1,3.224280258
554994,554-99-4,CN(C)CC(O)c1ccc(O)c(O)c1,4.419920519
558258,558-25-8,CS(=O)(=O)F,4.241923838
561784,561-78-4,CCC(=O)OC1(c2ccccc2)CCN(C)CC1C,3.858538859
562094,562-09-4,CN(C)CCOC(C)(c1ccccc1)c1ccc(Cl)cc1,3.994084225
576681,576-68-1,OC(CNCCCl)C(O)C(O)C(O)CNCCCl,3.785617371
579566,579-56-6,CC(COc1ccccc1)NC(C)C(O)c1ccc(O)cc1,3.723248219
586061,586-06-1,CC(C)NCC(O)c1cc(O)cc(O)c1,3.847698076
593919,593-91-9,C[Bi](C)C,4.325797781
605914,605-91-4,CCN1C(=CC=Cc2ccc3ccccc3[n+]2CC)C=Cc2ccccc21,4.98017418
616911,616-91-1,CC(=O)NC(CS)C(=O)O,2.367616792
628477,628-47-7,CC(N)CCCC(=O)O,2.339699822
635858,635-85-8,COc1ccc(CCN)cc1OC,3.171882241
676993,676-99-3,CP(=O)(F)F,3.588397665
737315,737-31-5,CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,1.667534314
749020,749-02-0,O=C(CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc(F)cc1,4.296092334
751973,751-97-3,CN(C)C1C(=O)C(C(=O)NCN2CCCC2)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3CC12,3.753800436
768945,768-94-5,NC12CC3CC(CC(C3)C1)C2,3.611502273
804104,804-10-4,CCOC(=O)COc1ccc2c(C)c(CCN(CC)CC)c(=O)oc2c1,4.007805457
832928,832-92-8,COc1cc(CCN)cc(OC)c1OC,3.592425571
848533,848-53-3,CN1CCCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,4.197087495
872504,872-50-4,CN1CCCC1=O,3.194814539
