RTECS_ID,CAS_RN,SMILES,dog_intravenous_LDLo
50000,50-00-0,C=O,2.63239944
50099,1950/9/9,CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,3.443991494
50146,50-14-6,C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)C=CC(C)C(C)C,4.899447308
50293,50-29-3,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,3.67454395
50497,50-49-7,CN(C)CCCN1c2ccccc2CCc2ccccc21,3.794588727
50635,50-63-5,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,4.6018971
50760,50-76-0,Cc1ccc(C(=O)NC2C(=O)NC(C(C)C)C(=O)N3CCCC3C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC2C)c2c1OC1C(C)C(=O)C(N)C(C(=O)NC3C(=O)NC(C(C)C)C(=O)N4CCCC4C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC3C)C1N2,6.896762452
51183,51-18-3,C1CN1c1nc(N2CC2)nc(N2CC2)n1,5.708074431
51285,51-28-5,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,4.026509674
51558,51-55-8,CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,3.762491004
52244,52-24-4,S=P(N1CC1)(N1CC1)N1CC1,5.396162627
53463,53-46-3,CC[N+](C)(CC)CCOC(=O)C1c2ccccc2Oc2ccccc21,4.170316573
54842,54-84-2,CN(C)CCCSc1ccccc1NC(=O)C=Cc1ccccc1,4.629016925
54955,54-95-5,C1CCc2nnnn2CC1,3.538366339
55936,55-93-6,CC(CCC(C)OS(C)(=O)=O)OS(C)(=O)=O,5.438320794
55981,55-98-1,CS(=O)(=O)OCCCCOS(C)(=O)=O,4.488385004
56235,56-23-5,ClC(Cl)(Cl)Cl,3.090111264
56542,56-54-2,C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,3.636051711
56757,56-75-7,O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,3.33328871
57136,57-13-6,NC(N)=O,1.301435148
57410,57-41-0,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,3.447628262
57625,57-62-5,CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(C)(O)C3CC12,3.504139975
58082,1958/8/2,Cn1c(=O)c2c(ncn2C)n(C)c1=O,4.686175816
58388,58-38-8,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,3.572817022
58719,58-71-9,CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)Cc3cccs3)C2SC1,1.82003279
59961,59-96-1,CC(COc1ccccc1)N(CCCl)Cc1ccccc1,4.482634942
60322,60-32-2,NCCCCCC(=O)O,1.785412613
61734,61-73-4,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1,3.754971804
62442,62-44-2,CCOc1ccc(NC(C)=O)cc1,2.838410702
62599,62-59-9,CC=C(C)C(=O)OC1CCC2(C)C3CCC4C5(O)CC(O)C6(O)C(CN7CC(C)CCC7C6(C)O)C5(O)CC42OC13O,3.707674406
62737,62-73-7,COP(=O)(OC)OC=C(Cl)Cl,5.001922427
63423,63-42-3,O=CC(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,2.358311834
64175,64-17-5,CCO,1.459288803
65145,65-14-5,CCC(c1ccc(O)cc1)C(C#N)c1ccc(O)cc1,3.427044449
66273,66-27-3,COS(C)(=O)=O,3.699498732
66762,66-76-2,O=c1oc2ccccc2c(O)c1Cc1c(O)c2ccccc2oc1=O,3.924665585
67481,67-48-1,C[N+](C)(C)CCO,4.318785167
67630,67-63-0,CC(C)O,1.76854561
67663,67-66-3,ClC(Cl)Cl,3.201863035
67721,67-72-1,ClC(Cl)(Cl)C(Cl)(Cl)Cl,2.862388282
68906,68-90-6,CCc1oc2ccccc2c1C(=O)c1cc(I)c(O)c(I)c1,4.714403533
69056,1969/5/6,CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12,4.300993079
69330,69-33-0,Nc1ncnc2c1ccn2C1OC(CO)C(O)C1O,3.744059797
70304,70-30-4,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,4.910525157
71556,71-55-6,CC(Cl)(Cl)Cl,3.147448502
71625,71-62-5,COc1ccc(C(=O)OC2CCC3(C)C4CCC5C6(O)CC(O)C7(O)C(CN8CC(C)CCC8C7(C)O)C6(O)CC53OC24O)cc1OC,4.549777406
71636,71-63-6,CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,6.184663045
71670,71-67-0,O=C1OC(c2ccc(O)c(S(=O)(=O)O)c2)(c2ccc(O)c(S(=O)(=O)O)c2)c2c(Br)c(Br)c(Br)c(Br)c21,4.200872376
73518,73-51-8,C[N+](C)(CCO)C(=O)Cc1ccc(-c2ccc(CC(=O)[N+](C)(C)CCO)cc2)cc1,6.742511466
73789,73-78-9,CCN(CC)CC(=O)Nc1c(C)cccc1C,3.552286616
75092,1975/9/2,ClCCl,2.628046469
75127,1975/12/7,NC=O,1.477516765
75354,75-35-4,C=C(Cl)Cl,2.634338417
75525,75-52-5,C[N+](=O)[O-],1.882524538
75898,75-89-8,OCC(F)(F)F,2.398109351
76017,1976/1/7,ClC(Cl)C(Cl)(Cl)Cl,3.305985149
76744,76-74-4,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,3.655668489
79005,79-00-5,ClCC(Cl)Cl,3.147448502
79016,1979/1/6,ClC=C(Cl)Cl,2.942467748
79345,79-34-5,ClC(Cl)C(Cl)Cl,3.525951341
79903,79-90-3,CC1CCCC(C)(C)C1CCC(C)[N+](C)(C)CCCCCC[N+](C)(C)C(C)CCC1C(C)CCCC1(C)C,4.825265419
80353,80-35-3,COc1ccc(NS(=O)(=O)c2ccc(N)cc2)nn1,2.192364537
83794,83-79-4,C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1,5.783048875
86408,86-40-8,C[n+]1c2cc(N)ccc2cc2ccc(N)cc21,3.952864093
87661,87-66-1,Oc1cccc(O)c1O,3.197662982
89258,89-25-8,Cc1cc(=O)n(-c2ccccc2)[nH]1,2.462904379
89805,89-80-5,CC1CCC(C(C)C)C(=O)C1,2.410082369
89838,89-83-8,Cc1ccc(C(C)C)c(O)c1,3.00063939
91338,91-33-8,NS(=O)(=O)c1cc2c(cc1Cl)NC(=CSCc1ccccc1)NS2(=O)=O,3.334401472
95487,95-48-7,Cc1ccccc1O,3.130896378
98806,98-80-6,OB(O)c1ccccc1,2.432905184
98851,98-85-1,CC(O)c1ccccc1,2.785923914
98953,98-95-3,O=[N+]([O-])c1ccccc1,2.9142056
99796,99-79-6,CCOC(=O)CCCCCCCCC(C)c1ccc(I)cc1,2.619451267
100027,100-02-7,O=[N+]([O-])c1ccc(O)cc1,4.143358351
100210,100-21-0,O=C(O)c1ccc(C(=O)O)cc1,2.335657929
100516,100-51-6,OCc1ccccc1,3.335016361
100630,100-63-0,NNc1ccccc1,2.954821183
102067,102-06-7,N=C(Nc1ccccc1)Nc1ccccc1,3.926893712
103844,103-84-4,CC(=O)Nc1ccccc1,2.653746207
103902,103-90-2,CC(=O)Nc1ccc(O)cc1,2.262471201
106478,106-47-8,Nc1ccc(Cl)cc1,3.105762173
107062,107-06-2,ClCCCl,2.752421638
107131,107-13-1,C=CC#N,2.423769989
107153,107-15-3,NCCN,2.778874472
108394,108-39-4,Cc1cccc(O)c1,2.857895106
108429,108-42-9,Nc1cccc(Cl)c1,3.406792168
108452,108-45-2,Nc1cccc(N)c1,3.803553508
108463,108-46-3,Oc1cccc(O)c1,2.196736611
108736,108-73-6,Oc1cc(O)cc(O)c1,2.702812961
108918,108-91-8,NC1CCCCC1,2.695380972
109579,109-57-9,C=CCNC(N)=S,3.023772329
110009,110-00-9,c1ccoc1,2.686859614
110463,110-46-3,CC(C)CCON=O,2.846018407
115026,115-02-6,N#[N+][CH-]C(=O)OCC(N)C(=O)O,3.761246057
120809,120-80-9,Oc1ccccc1O,3.43977466
121324,121-32-4,CCOc1cc(C=O)ccc1O,2.339754709
121335,121-33-5,COc1cc(C=O)ccc1O,2.061695171
122112,122-11-2,COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(OC)n1,3.345702723
122985,122-98-5,OCCNc1ccccc1,2.919813186
123319,123-31-9,Oc1ccc(O)cc1,3.138744664
124970,124-97-0,CCC(C)C(=O)OC1C(O)C2C(CN3CC(C)CCC3C2(C)O)C2CC34OC5(O)C(OC(=O)C(C)(O)C(C)O)CCC3(C)C5C(OC(C)=O)C(OC(C)=O)C4C21O,5.602031574
125519,125-51-9,CC[N+]1(C)CCCC(OC(=O)C(O)(c2ccccc2)c2ccccc2)C1,4.24854949
125699,125-69-9,COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3,4.023844276
127184,127-18-4,ClC(Cl)=C(Cl)Cl,3.290254651
131282,131-28-2,COc1ccc(C(=O)Cc2c(CCN(C)C)cc3c(c2OC)OCO3)c(C(=O)O)c1OC,2.306393831
131895,131-89-5,O=[N+]([O-])c1cc(C2CCCCC2)c(O)c([N+](=O)[O-])c1,4.522204523
133584,133-58-4,Cc1ccc([N+](=O)[O-])c2c1O[Hg]2,5.002117907
141537,141-53-7,O=CO,1.185872542
143339,143-33-9,N#C[Na],4.576323627
143577,143-57-7,CCC(C)C(=O)OC1C(O)C2C(CN3CC(C)CCC3C2(C)O)C2CC34OC5(O)C(OC(=O)C(C)(O)CC)CCC3(C)C5C(OC(C)=O)C(OC(C)=O)C4C21O,5.823880298
143679,143-67-9,CCC1(O)CC2CN(CCc3c([nH]c4ccccc34)C(C(=O)OC)(c3cc4c(cc3OC)N(C)C3C(O)(C(=O)OC)C(OC(C)=O)C5(CC)C=CCN6CCC43C65)C2)C1,6.210044959
144003,144-00-3,CCCCCCC1(CC)C(=O)NC(=O)NC1=O,3.778699201
144025,144-02-5,CCC1(CC)C(=O)NC(=O)NC1=O,2.788156582
144832,144-83-2,Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1,2.697743564
148538,148-53-8,COc1cccc(C=O)c1O,2.548800647
149326,149-32-6,OCC(O)C(O)CO,1.387816791
151508,151-50-8,N#C[K],4.11471771
152476,152-47-6,COc1nccnc1NS(=O)(=O)c1ccc(N)cc1,3.327063111
152534,152-53-4,CC1(C)N=C(N)N=C(N)N1c1ccc(Cl)cc1,4.020708207
154698,154-69-8,CN(C)CCN(Cc1ccccc1)c1ccccn1,4.106131377
154938,154-93-8,O=NN(CCCl)C(=O)NCCCl,5.029489294
300425,300-42-5,CNC(C)Cc1ccccc1,4.775936501
302170,302-17-0,OC(O)C(Cl)(Cl)Cl,2.963270877
302272,302-27-2,CCN1CC2(COC)C(O)CC(OC)C34C5CC6(O)C(OC)C(O)C(OC(C)=O)(C5C6OC(=O)c5ccccc5)C(C(OC)C23)C14,6.26599368
302705,302-70-5,C[N+]([O-])(CCCl)CCCl,4.633607307
306127,306-12-7,Nc1cc([As]=O)ccc1O,4.219761299
306401,306-40-1,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C,5.985881339
311091,311-09-1,CC[N+](CC)(CCCNC1=CC(=O)C(NCCC[N+](CC)(CC)Cc2ccccc2)=CC1=O)Cc1ccccc1,6.737828506
316427,316-42-7,CCC1CN2CCc3cc(OC)c(OC)cc3C2CC1CC1NCCc2cc(OC)c(OC)cc21,5.079768052
318989,318-98-9,CC(C)NCC(O)COc1cccc2ccccc12,4.055740253
329657,329-65-7,CNCC(O)c1ccc(O)c(O)c1,5.262942063
334225,334-22-5,ClCCNCCCl,4.396502174
342950,342-95-0,NC(Cc1ccccc1N(CCCl)CCCl)C(=O)O,6.205838043
357573,357-57-3,COc1cc2c(cc1OC)C13CCN4CC5=CCOC6CC(=O)N2C1C6C5CC43,4.692925094
465190,465-19-0,CC12CCC(O)CC1CCC1C2CCC2(C)C(c3ccc(=O)oc3)C(O)CC12O,5.841371339
465770,465-77-0,CCC(C)C(=O)OC1C(O)C2C(CN3CC(C)CCC3C2(C)O)C2CC34OC5(O)C(OC(C)=O)CCC3(C)C5CC(O)C4C21O,4.460894427
471954,471-95-4,CC(=O)OC1CC2(O)C3CCC4CC(O)CCC4(C)C3CCC2(C)C1c1ccc(=O)oc1,6.091635698
477327,477-32-7,CCC(C)C(=O)OC1C(OC(C)=O)c2c(ccc3ccc(=O)oc23)OC1(C)C,4.288267116
481390,481-39-0,O=C1C=CC(=O)c2c(O)cccc21,4.240935948
485358,485-35-8,O=c1cccc2n1CC1CNCC2C1,4.075195552
492886,492-88-6,CCOc1cccc(C=O)c1O,2.6642658
494520,494-52-0,c1cncc(C2CCCCN2)c1,4.733025975
499752,499-75-2,Cc1ccc(C(C)C)cc1O,2.685368955
501304,501-30-4,O=c1cc(CO)occ1O,2.152624639
508667,508-66-7,CCC(C)C(=O)OC1C(O)C2C(CN3CC(C)CCC3C2(C)O)C2CC34OC5(O)C(OC(C)=O)CCC3(C)C5CC(OC(C)=O)C4C21O,5.522771119
512641,512-64-1,CSC1SCC2C(=O)N(C)C(C(C)C)C(=O)OCC(NC(=O)c3cnc4ccccc4n3)C(=O)NC(C)C(=O)N(C)C1C(=O)N(C)C(C(C)C)C(=O)OCC(NC(=O)c1cnc3ccccc3n1)C(=O)NC(C)C(=O)N2C,7.092507351
540727,540-72-7,N#CS,2.771536039
