RTECS_ID,CAS_RN,SMILES,dog_oral_LD50
50293,50-29-3,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,3.373513955
50339,50-33-9,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,2.967949529
50782,50-78-2,CC(=O)Oc1ccccc1C(=O)O,2.410557923
51218,51-21-8,O=c1[nH]cc(F)c(=O)[nH]1,3.637082596
51309,51-30-9,CC(C)NCC(O)c1ccc(O)c(O)c1,2.546668081
52517,52-51-7,O=[N+]([O-])C(Br)(CO)CO,2.903063929
52528,52-52-8,NC1(C(=O)O)CCCC1,2.634003419
52686,52-68-6,COP(=O)(OC)C(O)C(Cl)(Cl)Cl,2.808610974
52868,52-86-8,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,3.62079631
53861,53-86-1,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,3.349511857
54319,54-31-9,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,2.218468544
54853,54-85-3,NNC(=O)c1ccncc1,3.438200474
56100,56-10-0,N=C(N)SCCN,2.828277484
56382,56-38-2,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,4.987167046
57307,57-30-7,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,3.189843894
57556,57-55-6,CC(O)CO,0.538933441
57625,57-62-5,CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(C)(O)C3CC12,2.805169971
58082,1958/8/2,Cn1c(=O)c2c(ncn2C)n(C)c1=O,3.142107772
58151,58-15-1,Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,3.021751074
58560,58-56-0,Cc1ncc(CO)c(CO)c1O,2.529379016
59632,59-63-2,Cc1cc(C(=O)NNCc2ccccc2)no1,3.76203114
60322,60-32-2,NCCCCCC(=O)O,1.272753033
60515,60-51-5,CNC(=O)CSP(=S)(OC)OC,2.75827398
