RTECS_ID,CAS_RN,SMILES,dog_oral_LDLo
50146,50-14-6,C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)C=CC(C)C(C)C,4.996357321
50351,50-35-1,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,2.225055405
50497,50-49-7,CN(C)CCCN1c2ccccc2CCc2ccccc21,3.447801241
50533,50-53-3,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,3.105677739
50997,50-99-7,O=CC(O)C(O)C(O)C(O)CO,1.352558744
51069,1951/6/9,CCN(CC)CCNC(=O)c1ccc(N)cc1,2.027286867
51183,51-18-3,C1CN1c1nc(N2CC2)nc(N2CC2)n1,5.310134423
51285,51-28-5,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,3.787949047
51832,51-83-2,C[N+](C)(C)CCOC(N)=O,4.690780655
52313,52-31-3,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,3.072380424
53463,53-46-3,CC[N+](C)(CC)CCOC(=O)C1c2ccccc2Oc2ccccc21,2.869286577
56235,56-23-5,ClC(Cl)(Cl)Cl,2.187021277
56257,56-25-7,CC12C(=O)OC(=O)C1(C)C1CCC2O1,3.593733426
58388,58-38-8,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,3.56421685
60800,60-80-0,Cc1cc(=O)n(-c2ccccc2)n1C,2.575718838
60877,60-87-7,CC(CN1c2ccccc2Sc2ccccc21)N(C)C,2.755002343
61734,61-73-4,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1,2.754971804
62759,62-75-9,CN(C)N=O,3.568688565
63989,63-98-9,NC(=O)NC(=O)Cc1ccccc1,1.706817721
64175,64-17-5,CCO,0.923046096
64437,64-43-7,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,2.956698484
64868,64-86-8,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,6.504544802
66320,66-32-0,O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46,2.524290944
67561,67-56-1,CO,0.630658353
67630,67-63-0,CC(C)O,1.592171699
67641,67-64-1,CC(C)=O,0.860936621
67663,67-66-3,ClC(Cl)Cl,2.076924299
69330,69-33-0,Nc1ncnc2c1ccn2C1OC(CO)C(O)C1O,3.744059797
69727,69-72-7,O=C(O)c1ccccc1O,2.487050345
70304,70-30-4,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,4.00743517
71238,71-23-8,CCCO,1.301724312
71363,71-36-3,CCCCO,1.624440321
71410,71-41-0,CCCCCO,1.799094281
71432,71-43-2,c1ccccc1,1.591698882
73096,1973/9/6,CCOC(=O)C=C1SC(N2CCCCC2)C(=O)N1C,1.948750599
74839,74-83-9,CBr,2.278474649
74908,74-90-8,C#N,3.829721781
75092,1975/9/2,ClCCl,1.45195521
75354,75-35-4,C=C(Cl)Cl,1.22685309
75478,75-47-8,IC(I)I,1.59519961
75525,75-52-5,C[N+](=O)[O-],2.688704512
76017,1976/1/7,ClC(Cl)C(Cl)(Cl)Cl,2.607015144
76755,76-75-5,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,3.208341013
77656,77-65-6,CCC(Br)(CC)C(=O)NC(N)=O,2.721713545
78875,78-87-5,CC(Cl)CCl,1.354058473
78897,78-89-7,CC(Cl)CO,2.674590196
78922,78-92-2,CCC(C)O,1.489741747
79005,79-00-5,ClCC(Cl)Cl,2.426202103
79345,79-34-5,ClC(Cl)C(Cl)Cl,2.747800091
79903,79-90-3,CC1CCCC(C)(C)C1CCC(C)[N+](C)(C)CCCCCC[N+](C)(C)C(C)CCC1C(C)CCCC1(C)C,4.42732541
83794,83-79-4,C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1,3.118840977
87661,87-66-1,Oc1cccc(O)c1O,3.702812961
87694,87-69-4,O=C(O)C(O)C(O)C(=O)O,1.477370179
91203,91-20-3,c1ccc2ccccc2c1,2.505739946
92671,92-67-1,Nc1ccc(-c2ccccc2)cc1,3.830529647
92875,92-87-5,Nc1ccc(-c2ccc(N)cc2)cc1,2.964358644
95794,95-79-4,Cc1ccc(Cl)cc1N,3.15106632
96184,96-18-4,ClCC(Cl)CCl,2.867561761
96833,96-83-3,CCC(Cc1c(I)cc(I)c(N)c1I)C(=O)O,3.262431313
97165,97-16-5,O=S(=O)(Oc1ccc(Cl)cc1Cl)c1ccccc1,2.689288804
97530,97-53-0,C=CCc1ccc(O)c(OC)c1,2.516413728
97745,97-74-5,CN(C)C(=S)SC(=S)N(C)C,3.318849781
97778,97-77-8,CCN(CC)C(=S)SSC(=S)N(CC)CC,1.928032813
98953,98-95-3,O=[N+]([O-])c1ccccc1,2.215235596
99650,99-65-0,O=[N+]([O-])c1cccc([N+](=O)[O-])c1,2.447437131
100630,100-63-0,NNc1ccccc1,2.732972433
100652,100-65-2,ONc1ccccc1,3.560814941
101779,101-77-9,Nc1ccc(Cc2ccc(N)cc2)cc1,2.820133561
103844,103-84-4,CC(=O)Nc1ccccc1,2.431897457
103902,103-90-2,CC(=O)Nc1ccc(O)cc1,1.878421253
110009,110-00-9,c1ccoc1,2.463771793
119904,119-90-4,COc1cc(-c2ccc(N)c(OC)c2)ccc1N,2.60976155
127004,127-00-4,CC(O)CCl,2.674590196
127184,127-18-4,ClC(Cl)=C(Cl)Cl,1.617613585
129033,129-03-3,CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1,3.759525826
131179,131-17-9,C=CCOC(=O)c1ccccc1C(=O)OCC=C,2.488307415
141537,141-53-7,O=CO,1.060933806
142289,142-28-9,ClCCCCl,1.575907223
144627,144-62-7,O=C(O)C(=O)O,1.954406545
144809,144-80-9,CC(=O)NS(=O)(=O)c1ccc(N)cc1,1.427822735
150696,150-69-6,CCOc1ccc(NC(N)=O)cc1,2.255771657
154698,154-69-8,CN(C)CCN(Cc1ccccc1)c1ccccn1,4.045433537
154938,154-93-8,O=NN(CCCl)C(=O)NCCCl,4.631549286
299207,299-20-7,CC(C)CC1NC(=O)C(NC(=O)c2ncccc2O)C(C)OC(=O)C(c2ccccc2)N(C)C(=O)C(C)NC(=O)C(C(C)C(C)C)N(C)C(=O)CN(C)C(=O)C2CC(O)CN2C1=O,2.944001227
300425,300-42-5,CNC(C)Cc1ccccc1,4.17387651
300629,300-62-9,CC(N)Cc1ccccc1,4.324828839
302170,302-17-0,OC(O)C(Cl)(Cl)Cl,2.218543382
309433,309-43-3,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,3.42285784
311091,311-09-1,CC[N+](CC)(CCCNC1=CC(=O)C(NCCC[N+](CC)(CC)Cc2ccccc2)=CC1=O)Cc1ccccc1,4.997465816
318989,318-98-9,CC(C)NCC(O)COc1cccc2ccccc12,3.334703332
464482,464-48-2,CC12CCC(CC1=O)C2(C)C,2.27943023
471954,471-95-4,CC(=O)OC1CC2(O)C3CCC4CC(O)CCC4(C)C3CCC2(C)C1c1ccc(=O)oc1,5.656712123
477327,477-32-7,CCC(C)C(=O)OC1C(OC(C)=O)c2c(ccc3ccc(=O)oc23)OC1(C)C,3.288267116
494520,494-52-0,c1cncc(C2CCCCN2)c1,3.511177226
507608,507-60-8,CC(=O)OC1CC2(O)C(CCC3(C)C(c4ccc(=O)oc4)CCC32O)C2(C)CCC(OC3OC(CO)C(O)C(O)C3O)C=C12,2.616784889
512856,512-85-6,CC(C)C12C=CC(C)(CC1)OO2,2.827978925
515833,515-83-3,CCOC(O)C(Cl)(Cl)Cl,2.207403203
528927,528-92-7,C=CCC(C(=O)NC(N)=O)C(C)C,2.788260313
536436,536-43-6,CCCCOc1ccc(C(=O)CCN2CCCCC2)cc1,3.859467047
548629,548-62-9,CN(C)c1ccc([C+](c2ccc(N(C)C)cc2)c2ccc(N(C)C)cc2)cc1,2.571168247
549188,549-18-8,CN(C)CCC=C1c2ccccc2CCc2ccccc21,3.142093682
563688,563-68-8,CC(=O)O,3.664584124
584087,584-08-7,O=C(O)O,2.19049978
593919,593-91-9,C[Bi](C)C,3.037623106
630604,630-60-4,CC1OC(OC2CC(O)C3(CO)C4C(O)CC5(C)C(C6=CC(=O)OC6)CCC5(O)C4CCC3(O)C2)C(O)C(O)C1O,5.59081138
723466,723-46-6,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,1.926484787
791286,791-28-6,O=P(c1ccccc1)(c1ccccc1)c1ccccc1,2.745529157
801525,801-52-5,COC12C(COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1CC1C2N1C,4.542027035
964523,964-52-3,CC(=O)Oc1cc(C(C)C)c(OCCN(C)C)cc1C,2.601097273
1465265,1465-26-5,NC(Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O,4.882531653
1505959,1505-95-9,CC(C)C(CCN(C)C)(C(N)=O)c1cccc2ccccc12,2.775872475
1649189,1649-18-9,O=C(CCCN1CCN(c2ccccn2)CC1)c1ccc(F)cc1,4.214052659
1972083,08-03-72,CCCCCc1cc(O)c2c(c1)OC(C)(C)C1CCC(C)=CC21,2.777418536
2033945,2033-94-5,C#CC(C)(O)C(O)c1ccccc1,2.643982883
2152343,2152-34-3,N=C1NC(=O)C(c2ccccc2)O1,3.666160684
2799077,07-07-99,NC(CSC(c1ccccc1)(c1ccccc1)c1ccccc1)C(=O)O,2.685421646
2862160,2862-16-0,O=c1nc[nH]c2c1ccn2C1OC(CO)C(O)C1O,3.745661851
3930196,3930-19-6,COC1=C(N)C(=O)c2nc(-c3nc(C(=O)O)c(C)c(-c4ccc(OC)c(OC)c4O)c3N)ccc2C1=O,6.005584579
4418262,4418-26-2,CC(=O)c1c(O)cc(C)oc1=O,2.570553271
5135831,5135-83-1,CCn1cc(C(O)CN(C)C)c2ccccc21,5.366099684
5801127,2012/7/1,CN(CCN(C)c1ccccn1)Cc1ccc(Br)s1,3.531849187
6285069,06-09-85,C#CC(O)(CC)CC,2.748854468
6452717,6452-71-7,C=CCOc1ccccc1OCC(O)CNC(C)C,3.946702747
7414837,7414-83-7,CC(O)(P(=O)(O)O)P(=O)(O)O,2.614954134
10347816,10347-81-6,CNCCCC12CCC(c3ccccc31)c1ccccc12,4.142093682
13010474,13010-47-4,O=NN(CCCl)C(=O)NC1CCCCC1,4.368656854
13045620,13045-62-0,O=C(NNCc1ccccc1)c1ccccn1,3.378812774
15446089,15446-08-9,OCCCCSc1ccc(Cl)cc1,2.543533353
16398393,16398-39-3,CN(C)CCCN1C(=O)c2cc([N+](=O)[O-])ccc2Oc2ccccc21,2.357130276
17730824,17730-82-4,CCCC(=O)N1CCN(CC=Cc2ccccc2)CC1,3.020221
19387918,19387-91-8,CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C,2.092151971
20830755,20830-75-5,CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,6.415501418
21755668,21755-66-8,c1ccc(N(CCN2CCCCC2)Cc2ccccn2)cc1,3.470454594
21898191,21898-19-1,CC(C)(C)NCC(O)c1cc(Cl)c(N)c(Cl)c1,2.743815388
22232719,22232-71-9,OC1(c2ccc(Cl)cc2)c2ccccc2C2=NCCN21,4.500215123
23135220,23135-22-0,CNC(=O)ON=C(SC)C(=O)N(C)C,3.863850039
23239410,23239-41-0,CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)CC#N)C2SC1,2.831650973
23564058,23564-05-8,COC(=O)NC(=S)Nc1ccccc1NC(=S)NC(=O)OC,1.932476301
24095805,24095-80-5,CNC(=S)NNc1cc(C(F)(F)F)cc(C(F)(F)F)c1,2.325321323
