RTECS_ID,CAS_RN,SMILES,human_oral_TDLo
50293,50-29-3,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,4.59806022
50373,50-37-3,CCN(CC)C(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1,8.431797361
51309,51-30-9,CC(C)NCC(O)c1ccc(O)c(O)c1,5.926879323
51558,51-55-8,CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,6.942947068
52017,1952/1/7,CC(=O)SC1CC2=CC(=O)CCC2(C)C2CCC3(C)C(CCC34CCC(=O)O4)C12,1.871513516
52528,52-52-8,NC1(C(=O)O)CCCC1,3.332973423
52664,52-66-4,CC(C)(S)C(N)C(=O)O,1.436619841
52868,52-86-8,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,6.723780471
53214,53-21-4,COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,2.628257241
54875,54-87-5,O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1,3.473777011
56815,56-81-5,OCC(O)CO,1.809503129
56973,56-97-3,ON=Cc1cc[n+](CCC[n+]2ccc(C=NO)cc2)cc1,3.803661923
57307,57-30-7,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,4.110662648
57374,57-37-4,CCN(CC)CCOC(=O)C(O)(c1ccccc1)c1ccccc1,7.368982474
57476,57-47-6,CNC(=O)Oc1ccc2c(c1)C1(C)CCN(C)C1N2C,4.13885824
57534,57-53-4,CCCC(C)(COC(N)=O)COC(N)=O,2.891802191
57965,57-96-5,O=C1C(CCS(=O)c2ccccc2)C(=O)N(c2ccccc2)N1c1ccccc1,4.144510865
67630,67-63-0,CC(C)O,2.430540703
71556,71-55-6,CC(Cl)(Cl)Cl,2.299097304
76437,76-43-7,CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3(F)C(O)CC21C,5.924856669
77667,77-66-7,CCC(Br)(CC)C(=O)NC(=O)NC(C)=O,4.600714699
79345,79-34-5,ClC(Cl)C(Cl)Cl,3.747800091
84742,84-74-2,CCCCOC(=O)c1ccccc1C(=O)OCCCC,3.298460069
106467,106-46-7,Clc1ccc(Cl)cc1,2.690207897
107062,107-06-2,ClCCCl,2.364015918
107448,107-44-8,CC(C)OP(C)(=O)F,7.84538954
107493,107-49-3,CCOP(=O)(OCC)OP(=O)(OCC)OCC,5.972722466
110178,110-17-8,O=C(O)C=CC(=O)O,2.732289008
113188,113-18-8,C#CC(O)(C=CCl)CC,3.130787519
114909,114-90-9,ON=Cc1cc[n+](COC[n+]2ccc(C=NO)cc2)cc1,3.86879058
123319,123-31-9,Oc1ccc(O)cc1,2.81138573
125406,125-40-6,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,3.247664407
125644,125-64-4,CCC1(CC)C(=O)NCC(C)C1=O,3.848073005
127333,127-33-3,CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(O)C3CC12,4.667320309
130610,130-61-0,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,4.188678939
147240,147-24-0,CN(C)CCOC(c1ccccc1)c1ccccc1,5.553456359
154416,154-41-6,CC(N)C(O)c1ccccc1,5.087318802
298464,298-46-4,NC(=O)N1c2ccccc2C=Cc2ccccc21,3.739947478
299263,299-26-3,CC(N)Cc1c[nH]c2ccccc12,5.656834085
300425,300-42-5,CNC(C)Cc1ccccc1,3.943427589
302170,302-17-0,OC(O)C(Cl)(Cl)Cl,2.741422128
305975,305-97-5,O=C(O)CC(S[Sb](SC(CC(=O)O)C(=O)O)SC(CC(=O)O)C(=O)O)C(=O)O,4.713872969
333415,333-41-5,CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,3.152962387
340567,340-56-7,Cc1ccccc1-n1c(C)nc2ccccc2c1=O,3.642587729
358521,358-52-1,C#CCC1(OC(N)=O)CCCCC1,2.900307225
361375,361-37-5,CCC(CO)NC(=O)C1C=C2c3cccc4c3c(cn4C)CC2N(C)C1,7.101189614
404820,404-82-0,CCNC(C)Cc1cccc(C(F)(F)F)c1,4.519004359
438415,438-41-5,CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+](O)C1,5.54525225
444279,444-27-9,O=C(O)C1CSCN1,2.501163632
465736,465-73-6,ClC1=C(Cl)C2(Cl)C3C4C=CC(C4)C3C1(Cl)C2(Cl)Cl,4.41606249
477305,477-30-5,CNC1CCc2cc(OC)c(OC)c(OC)c2-c2ccc(OC)c(=O)cc21,6.26885049
478842,478-84-2,CCN(CC)C(=O)C1C=C2c3cccc4[nH]c(Br)c(c34)CC2N(C)C1,6.72952763
478999,478-99-9,CCNC(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1,7.169359912
486179,486-17-9,CCCCSc1ccc(C(SCCN(C)C)c2ccccc2)cc1,4.325375593
512481,512-48-1,C=CCC(CC)(CC)C(N)=O,3.191006432
520525,520-52-5,CN(C)CCc1c[nH]c2cccc(OP(=O)(O)O)c12,6.675552279
536334,536-33-4,CCc1cc(C(N)=S)ccn1,2.288285277
540727,540-72-7,N#CS,2.138067583
543157,543-15-7,CC(N)CCCC(C)(C)O,6.71494615
563122,563-12-2,CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,6.58488166
563688,563-68-8,CC(=O)O,4.611210141
592041,592-04-1,N#C[Hg]C#N,3.971114281
607910,607-91-0,C=CCc1cc(OC)c2c(c1)OCO2,4.527910161
645056,645-05-6,CN(C)c1nc(N(C)C)nc(N(C)C)n1,4.419718308
846491,846-49-1,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,7.122036843
846504,846-50-4,CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21,5.700047165
956901,956-90-1,c1ccc(C2(N3CCCCC3)CCCCC2)cc1,6.535051519
958930,958-93-0,CN(C)CCN(Cc1ccsc1)c1ccccn1,3.71832561
1078213,1078-21-3,NCC(CC(=O)O)c1ccccc1,4.554414045
1082888,1082-88-8,COc1cc(CC(C)N)cc(OC)c1OC,5.449648073
1095905,1095-90-5,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,6.02644297
1146981,1146-98-1,O=C1c2ccccc2C(=O)C1c1ccc(Br)cc1,6.148353231
1182872,1182-87-2,COC1C(O)C(C)OC(OC2CCC3(C=O)C(CCC4C3CCC3(C)C(C5=CC(=O)OC5)CCC43O)C2)C1O,7.359102348
1622624,1622-62-4,CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21,6.231125937
1639607,1639-60-7,CCC(=O)OC(Cc1ccccc1)(c1ccccc1)C(C)CN(C)C,2.717899558
1934210,1934-21-0,O=C(O)c1[nH]n(-c2ccc(S(=O)(=O)O)cc2)c(=O)c1/N=N/c1ccc(S(=O)(=O)O)cc1,7.52451203
