RTECS_ID,CAS_RN,SMILES,women_oral_TDLo
50124,1950/12/4,CCC1(c2ccccc2)NC(=O)N(C)C1=O,2.297573506
50497,50-49-7,CN(C)CCCN1c2ccccc2CCc2ccccc21,3.615031057
50635,50-63-5,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,3.323689309
50782,50-78-2,CC(=O)Oc1ccccc1C(=O)O,2.352565976
51718,51-71-8,NNCCc1ccccc1,3.878898225
52313,52-31-3,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,2.072380424
52493,52-49-3,OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1,5.576159876
52686,52-68-6,COP(=O)(OC)C(O)C(Cl)(Cl)Cl,3.030459724
53861,53-86-1,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,4.55363184
54319,54-31-9,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,4.723618522
54875,54-87-5,O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1,3.996655756
55389,55-38-9,COP(=S)(OC)Oc1ccc(SC)c(C)c1,2.724408518
55630,55-63-0,O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],7.453098461
56235,56-23-5,ClC(Cl)(Cl)Cl,1.931748772
56382,56-38-2,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,4.710705242
56542,56-54-2,C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,3.641881255
57307,57-30-7,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,3.703177321
57410,57-41-0,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,3.100840776
57534,57-53-4,CCCC(C)(COC(N)=O)COC(N)=O,3.009111375
58286,58-28-6,CNCCCN1c2ccccc2CCc2ccccc21,3.713482395
58322,58-32-2,OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1,4.158910185
58548,58-54-8,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,4.879584688
58742,58-74-2,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,3.053579067
58935,58-93-5,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,5.925389471
61687,61-68-7,Cc1cccc(Nc2ccccc2C(=O)O)c1C,2.72932681
63569,63-56-9,COc1ccc(CN(CCN(C)C)c2ncccn2)cc1,5.155911173
64653,64-65-3,CCC1(C)CC(=O)NC(=O)C1,3.190883322
64868,64-86-8,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,5.802706968
67561,67-56-1,CO,0.903659625
68224,68-22-4,C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,3.851587367
70224,70-22-4,O=C1CCCN1CC#CCN1CCCC1,7.314476071
70304,70-30-4,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,2.831343911
71636,71-63-6,CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,6.344042426
73789,73-78-9,CCN(CC)CC(=O)Nc1c(C)cccc1C,3.778787378
75058,1975/5/8,CC#N,1.914374895
76744,76-74-4,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,3.576487243
77214,77-21-4,CCC1(c2ccccc2)CCC(=O)NC1=O,2.859874512
77269,77-26-9,C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O,2.748691826
80080,80-08-0,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,4.043773695
80773,80-77-3,CN1C(=O)CCS(=O)(=O)C1c1ccc(Cl)cc1,3.291211814
87332,87-33-2,O=[N+]([O-])OC1COC2C(O[N+](=O)[O-])COC12,6.373162202
89576,89-57-6,Nc1ccc(O)c(C(=O)O)c1,4.281990148
94202,94-20-2,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,3.663928533
96833,96-83-3,CCC(Cc1c(I)cc(I)c(N)c1I)C(=O)O,3.978434656
98953,98-95-3,O=[N+]([O-])c1ccccc1,2.789266863
98964,98-96-4,NC(=O)c1cnccn1,4.090310969
111762,111-76-2,CCCCOCCO,2.294378036
113188,113-18-8,C#CC(O)(C=CCl)CC,4.160171296
122145,122-14-5,COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(C)c1,2.53976277
125644,125-64-4,CCC1(CC)C(=O)NCC(C)C1=O,2.484895103
128370,128-37-0,Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,3.440034893
136403,136-40-3,Nc1ccc(N=Nc2ccccc2)c(N)n1,3.490073344
141537,141-53-7,O=CO,1.320571116
147240,147-24-0,CN(C)CCOC(c1ccccc1)c1ccccc1,3.51704627
150696,150-69-6,CCOc1ccc(NC(N)=O)cc1,2.477620406
151508,151-50-8,N#C[K],2.813687714
152114,152-11-4,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,3.720467901
154416,154-41-6,CC(N)C(O)c1ccccc1,5.480607637
155975,155-97-5,CN(C)C(=O)Oc1ccc[n+](C)c1,4.366099541
298044,298-04-4,CCOP(=S)(OCC)SCCSCC,5.535314695
300425,300-42-5,CNC(C)Cc1ccccc1,3.872846514
302170,302-17-0,OC(O)C(Cl)(Cl)Cl,2.393681289
303537,303-53-7,CN(C)CCC=C1c2ccccc2C=Cc2ccccc21,4.360774805
309433,309-43-3,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,3.871950371
318989,318-98-9,CC(C)NCC(O)COc1cccc2ccccc12,3.368579224
339720,339-72-0,NC1CONC1=O,3.230844715
341695,341-69-5,Cc1ccccc1C(OCCN(C)C)c1ccccc1,3.254286987
358521,358-52-1,C#CCC1(OC(N)=O)CCCCC1,2.355152085
359831,359-83-1,CC(C)=CCN1CCC2(C)c3cc(O)ccc3CC1C2C,3.756531135
404820,404-82-0,CCNC(C)Cc1cccc(C(F)(F)F)c1,3.807799898
437387,437-38-7,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,6.526957965
438415,438-41-5,CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+](O)C1,4.876173081
439145,439-14-5,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,4.755487628
443481,443-48-1,Cc1ncc([N+](=O)[O-])n1CCO,3.89277151
446866,446-86-6,Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[nH]c12,5.743931312
496673,496-67-3,CC(C)C(Br)C(=O)NC(N)=O,2.658335546
518285,518-28-5,COc1cc(C2c3cc4c(cc3C(O)C3COC(=O)C23)OCO4)cc(OC)c1OC,3.71434024
549188,549-18-8,CN(C)CCC=C1c2ccccc2CCc2ccccc21,3.950723112
584087,584-08-7,O=C(O)O,1.889469784
592041,592-04-1,N#C[Hg]C#N,4.402478046
846504,846-50-4,CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21,5.700047165
894713,894-71-3,CNCCC=C1c2ccccc2CCc2ccccc21,3.568536368
897154,897-15-4,CN(C)CCC=C1c2ccccc2CSc2ccccc21,4.81727295
1003403,1003-40-3,Nc1ccncc1,5.894486829
1030064,1030-06-4,O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,3.566203432
1069665,1069-66-5,CCCC(CCC)C(=O)O,2.414168328
1476988,1476-98-8,CCC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,4.434622123
1508652,1508-65-2,CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,5.252238762
1563662,1563-66-2,CNC(=O)Oc1cccc2c1OC(C)(C)C2,5.265713811
1622624,1622-62-4,CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21,6.392140039
1646873,1646-87-3,CNC(=O)ON=CC(C)(C)S(C)=O,6.582035992
2104963,2104-96-3,COP(=S)(OC)Oc1cc(Cl)c(Br)cc1Cl,3.381637497
2192203,2192-20-3,OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,5.874959337
5370014,01-04-70,Cc1cccc(C)c1OCC(C)N,2.697188159
5786210,5786-21-0,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,4.213293247
6055192,6055-19-2,O=P1(N(CCCl)CCCl)NCCCO1,3.763576061
6452717,6452-71-7,C=CCOc1ccccc1OCC(O)CNC(C)C,3.219704019
6493056,05-06-93,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,3.541441945
6673354,6673-35-4,CC(=O)Nc1ccc(OCC(O)CNC(C)C)cc1,4.823378035
10238218,10238-21-8,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,6.526421043
10265926,10265-92-6,COP(N)(=O)SC,2.593322995
10347816,10347-81-6,CNCCCC12CCC(c3ccccc31)c1ccccc12,3.855078048
13078154,13078-15-4,Clc1cccc(N2CCNCC2)c1,5.594792403
14028445,14028-44-5,Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2,4.220258785
17140680,17140-68-0,CCN(CC)CCn1cnc2c1c(=O)n(C)c(=O)n2C,3.065928106
17321776,17321-77-6,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,3.644332403
17560519,17560-51-9,Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C,6.387202304
18559949,18559-94-9,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,5.10178592
19237844,19237-84-4,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,7.433146173
20830755,20830-75-5,CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,6.543137671
21829254,21829-25-4,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],4.490283376
21898191,21898-19-1,CC(C)(C)NCC(O)c1cc(Cl)c(N)c(Cl)c1,7.780027561
22577668,22577-66-8,COCC[Hg+],3.357530306
22839470,22839-47-0,COC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)O,4.899426682
23076359,23076-35-9,Cc1cccc(C)c1NC1=NCCCS1,4.440005329
23327573,23327-57-3,CN1CCOC(c2ccccc2)c2ccccc2C1,4.227621078
