RTECS_ID,CAS_RN,SMILES,man_oral_TDLo
50000,50-00-0,C=O,1.668275735
50293,50-29-3,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,4.771453963
50533,50-53-3,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,4.507643499
50635,50-63-5,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,4.571955592
50782,50-78-2,CC(=O)Oc1ccccc1C(=O)O,2.183738869
51069,1951/6/9,CCN(CC)CCNC(=O)c1ccc(N)cc1,3.909281142
51525,51-52-5,CCCc1cc(=O)[nH]c(=S)[nH]1,2.821120834
53032,1953/3/2,CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,5.621428377
53861,53-86-1,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,5.699933628
54126,1954/12/6,NC(Cc1c[nH]c2ccccc12)C(=O)O,2.832996156
54648,54-64-8,CC[Hg]Sc1ccccc1C(=O)O,3.663932409
54853,54-85-3,NNC(=O)c1ccncc1,2.503702023
55389,55-38-9,COP(=S)(OC)Oc1ccc(SC)c(C)c1,3.034634698
56235,56-23-5,ClC(Cl)(Cl)Cl,1.956572356
56724,56-72-4,CCOP(=S)(OCC)Oc1ccc2c(C)c(Cl)c(=O)oc2c1,3.342148618
57307,57-30-7,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,3.809632652
57410,57-41-0,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,2.28792742
58082,1958/8/2,Cn1c(=O)c2c(ncn2C)n(C)c1=O,3.877479043
58286,58-28-6,CNCCCN1c2ccccc2CCc2ccccc21,5.735318577
58322,58-32-2,OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1,5.673188758
58548,58-54-8,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,5.004523424
60515,60-51-5,CNC(=O)CSP(=S)(OC)OC,2.864948803
60991,60-99-1,COc1ccc2c(c1)N(CC(C)CN(C)C)c1ccccc1S2,4.662629604
63252,63-25-2,CNC(=O)Oc1cccc2ccccc12,2.604711932
64653,64-65-3,CCC1(C)CC(=O)NC(=O)C1,3.889853326
64868,64-86-8,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,5.999394823
67458,67-45-8,O=C1OCCN1N=Cc1ccc([N+](=O)[O-])o1,4.311098555
67561,67-56-1,CO,0.970552131
67630,67-63-0,CC(C)O,0.619519046
67641,67-64-1,CC(C)=O,1.308116367
70224,70-22-4,O=C1CCCN1CC#CCN1CCCC1,7.469378031
71636,71-63-6,CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,7.0323747
74555,74-55-5,CCC(CO)NCCNC(CC)CO,2.381631878
76744,76-74-4,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,4.54642752
79016,1979/1/6,ClC=C(Cl)Cl,1.787536836
80080,80-08-0,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,3.838686462
80773,80-77-3,CN1C(=O)CCS(=O)(=O)C1c1ccc(Cl)cc1,3.241440197
81812,81-81-2,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,4.480419837
91805,91-80-5,CN(C)CCN(Cc1cccs1)c1ccccn1,5.784838322
94202,94-20-2,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,4.295951747
95250,95-25-0,O=c1[nH]c2cc(Cl)ccc2o1,3.530371332
101406,101-40-6,CNC(C)CC1CCCCC1,4.638339656
101779,101-77-9,Nc1ccc(Cc2ccc(N)cc2)cc1,4.371942725
103844,103-84-4,CC(=O)Nc1ccccc1,2.523412439
104314,104-31-4,CCCCNc1ccc(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)cc1,4.073286968
107062,107-06-2,ClCCCl,2.045094832
115297,115-29-7,O=S1OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,3.67502019
117817,117-81-7,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,3.436356173
127071,127-07-1,NC(=O)NO,3.734999735
134496,134-49-6,CC1NCCOC1c1ccccc1,4.792668653
134805,134-80-5,CCN(CC)C(C)C(=O)c1ccccc1,4.27099838
136403,136-40-3,Nc1ccc(N=Nc2ccccc2)c(N)n1,3.271971969
143339,143-33-9,N#C[Na],4.836568768
146225,146-22-5,O=C1CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc2N1,4.407732272
147240,147-24-0,CN(C)CCOC(c1ccccc1)c1ccccc1,4.377202928
151064,151-06-4,CC(C)(N)Cc1ccc(Cl)cc1,4.535144953
151508,151-50-8,N#C[K],3.676998849
155975,155-97-5,CN(C)C(=O)Oc1ccc[n+](C)c1,4.303951634
156081,156-08-1,CC(Cc1ccccc1)N(C)Cc1ccccc1,4.650133559
302170,302-17-0,OC(O)C(Cl)(Cl)Cl,2.218543382
311455,311-45-5,CCOP(=O)(OCC)Oc1ccc([N+](=O)[O-])cc1,4.29351566
318989,318-98-9,CC(C)NCC(O)COc1cccc2ccccc12,3.767125738
329657,329-65-7,CNCC(O)c1ccc(O)c(O)c1,3.376451338
340567,340-56-7,Cc1ccccc1-n1c(C)nc2ccccc2c1=O,4.641522349
341695,341-69-5,Cc1ccccc1C(OCCN(C)C)c1ccccc1,3.579119897
390647,390-64-7,CC(Cc1ccccc1)NCCC(c1ccccc1)c1ccccc1,4.403894932
404820,404-82-0,CCNC(C)Cc1cccc(C(F)(F)F)c1,4.732050233
439145,439-14-5,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,6.299121595
453189,453-18-9,COC(=O)CF,5.151200069
466900,466-90-0,COc1ccc2c3c1OC1C(OC(C)=O)=CCC4C(C2)N(C)CCC314,2.387144386
469216,469-21-6,CN(C)CCOC(C)(c1ccccc1)c1ccccn1,3.676093283
496673,496-67-3,CC(C)C(Br)C(=O)NC(N)=O,2.896355289
518285,518-28-5,COc1cc(C2c3cc4c(cc3C(O)C3COC(=O)C23)OCO4)cc(OC)c1OC,2.492600077
540727,540-72-7,N#CS,2.14009227
542563,542-56-3,CC(C)CON=O,2.93416587
544161,544-16-1,CCCCON=O,2.828655685
549188,549-18-8,CN(C)CCC=C1c2ccccc2CCc2ccccc21,4.288213032
549848,549-84-8,COC(=O)C1C(O)CCC2CN3CCc4c([nH]c5ccccc45)C3CC21,6.42570334
586061,586-06-1,CC(C)NCC(O)c1cc(O)cc(O)c1,5.868453298
591811,591-81-1,O=C(O)CCCO,3.16621324
592041,592-04-1,N#C[Hg]C#N,3.548779834
624180,624-18-0,Nc1ccc(N)cc1,3.18274408
637070,637-07-0,CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,5.355283884
846504,846-50-4,CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21,5.845741124
897154,897-15-4,CN(C)CCC=C1c2ccccc2CSc2ccccc21,4.139483559
950378,950-37-8,COc1nn(CSP(=S)(OC)OC)c(=O)s1,3.512011224
1030064,1030-06-4,O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,4.930393629
1071836,1071-83-6,O=C(O)CNCP(=O)(O)O,2.143855572
1082888,1082-88-8,COc1cc(CC(C)N)cc(OC)c1OC,5.408255387
1639607,1639-60-7,CCC(=O)OC(Cc1ccccc1)(c1ccccc1)C(C)CN(C)C,4.22601571
2152343,2152-34-3,N=C1NC(=O)C(c2ccccc2)O1,5.51677949
2192203,2192-20-3,OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,6.021261125
2702729,2702-72-9,O=C(O)COc1ccc(Cl)cc1Cl,1.815483791
2764729,2764-72-9,c1cc[n+]2c(c1)-c1cccc[n+]1CC2,2.332407817
2921882,2921-88-2,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,3.067679508
3485823,3485-82-3,Cn1c(=O)c2[nH]cnc2n(C)c1=O,3.300797881
3776930,3776-93-0,CC(Cc1ccccc1)N(C)Cc1ccco1,4.603507379
3820675,3820-67-5,O=C(OCC(O)CO)c1ccccc1Nc1ccnc2cc(Cl)ccc12,4.51347699
4410484,4410-48-4,CCC1C2CC3C4N(C)c5ccccc5C45CC(C2C5O)N3C1O,4.008653391
4468024,02-04-68,O=C(O[Zn]OC(=O)C(O)C(O)C(O)C(O)CO)C(O)C(O)C(O)C(O)CO,3.986565922
5588330,5588-33-0,CN1CCCCC1CCN1c2ccccc2Sc2ccc(S(C)=O)cc21,3.652747671
