RTECS_ID,CAS_RN,SMILES,mammal (species unspecified)_intraperitoneal_LD50
50135,50-13-5,CCOC(=O)C1(c2ccccc2)CCN(C)CC1,3.279347492
50339,50-33-9,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,3.011966358
54864,54-86-4,O=C(O)c1cccnc1,1.809746167
56257,56-25-7,CC12C(=O)OC(=O)C1(C)C1CCC2O1,5.05970732
58151,58-15-1,Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,2.8870525
62384,62-38-4,CC(=O)O[Hg]c1ccccc1,4.527294708
62566,62-56-6,NC(N)=S,1.337453556
62748,62-74-8,O=C(O)CF,5.892328391
64175,64-17-5,CCO,1.02994033
64777,64-77-7,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,2.556871536
77736,77-73-6,C1=CC2C3C=CC(C3)C2C1,2.138979932
86408,86-40-8,C[n+]1c2cc(N)ccc2cc2ccc(N)cc21,3.537890745
89770,89-77-0,Nc1cc(Cl)ccc1C(=O)O,2.234474257
93469,93-46-9,c1ccc2cc(Nc3ccc(Nc4ccc5ccccc5c4)cc3)ccc2c1,1.903644565
95250,95-25-0,O=c1[nH]c2cc(Cl)ccc2o1,2.488978647
95352,95-35-2,O=C(NCSc1nc2ccccc2s1)NCSc1nc2ccccc2s1,1.843641749
101020,101-02-0,c1ccc(OP(Oc2ccccc2)Oc2ccccc2)cc1,3.093826371
102818,102-81-8,CCCCN(CCO)CCCC,3.159617317
102829,102-82-9,CCCCN(CCCC)CCCC,3.238620528
108918,108-91-8,NC1CCCCC1,2.695380972
111206,111-20-6,O=C(O)CCCCCCCCC(=O)O,2.235850664
119153,119-15-3,O=[N+]([O-])c1ccc(Nc2ccc(O)cc2)c([N+](=O)[O-])c1,2.041739982
147240,147-24-0,CN(C)CCOC(c1ccccc1)c1ccccc1,3.504064583
149644,149-64-4,CCCC[N+]1(C)C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12,3.743960589
300629,300-62-9,CC(N)Cc1ccccc1,3.318095456
316154,316-15-4,CCCCNc1c2c(nc3ccccc13)CCCC2,4.104447845
316869,316-86-9,CCNc1cccc2nc3c(cc12)CCCC3,4.053698696
316881,316-88-1,CNc1cccc2nc3c(cc12)CCCC3,4.025911816
359831,359-83-1,CC(C)=CCN1CCC2(C)c3cc(O)ccc3CC1C2C,3.309373103
519982,519-98-2,CNc1c(C)n(C)n(-c2ccccc2)c1=O,2.734943771
550243,550-24-3,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,3.825471852
708736,708-73-6,Cc1nc2cc(Cl)ccc2c(=O)o1,2.291379952
894495,894-49-5,Cc1ccccc1-n1c(C)nc2cc(Cl)ccc2c1=O,2.454457632
929179,929-17-9,NCCCCCCC(=O)O,4.349059242
985160,985-16-0,CCOc1ccc2ccccc2c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,2.515073017
1050108,1050-10-8,CN(C(=S)Oc1ccc2ccccc2c1)c1ccc2ccccc2c1,1.535864785
1901060,1901-06-0,O=C(NN(CCCl)CCCl)c1ccco1,2.945024337
1901071,2007/1/1,O=C(C=Cc1ccco1)NN(CCCl)CCCl,3.71032269
1901082,2008/2/1,O=C(c1ccco1)N(CCCl)CCCl,2.760308451
1901093,2009/3/1,O=C(C=Cc1ccco1)N(CCCl)CCCl,3.201042724
1901106,2010/6/1,O=C(c1ccc([N+](=O)[O-])o1)N(CCCl)CCCl,2.904785076
1917595,1917-59-5,O=C(NN(CCCl)CCCl)c1ccc([N+](=O)[O-])o1,3.073513066
1980490,1980-49-0,O=C1C(N2CCCCC2)CCN1c1ccccc1,3.035808497
1980694,1980-69-4,O=C(C=Cc1ccc([N+](=O)[O-])o1)N(CCCl)CCCl,3.010205227
2007467,2007-46-7,O=C(/C=C/c1ccc([N+](=O)[O-])o1)NN(CCCl)CCCl,2.196301578
2170210,2170-21-0,Cc1cccc(OCC2COB(c3ccccc3)O2)c1,2.695937071
2170221,2170-22-1,Cc1ccc(OCC2COB(c3ccccc3)O2)cc1,2.525240844
2170232,2170-23-2,Clc1cccc(OCC2COB(c3ccccc3)O2)c1,2.719841833
2170243,2170-24-3,Clc1ccc(OCC2COB(c3ccccc3)O2)cc1,2.826736067
3818697,3818-69-7,CCCCCCCCCCCCOC(=O)C[N+](C)(C)CCCCCC[N+](C)(C)CC(=O)OCCCCCCCCCCCC,3.780270218
3991999,3991-99-9,CN(C)CC(=O)NC(=O)Nc1ccccc1,3.254997797
3992005,3992-00-5,COc1ccc(NC(=O)NC(=O)CN(C)C)cc1,2.430752381
3992016,01-06-92,CCOc1ccc(NC(=O)NC(=O)CN(C)C)cc1,2.58239906
3992027,02-07-92,CCOc1ccc(NC(=O)NC(=O)C(CC)N(C)C)cc1,2.502209559
4002862,4002-86-2,OC1(c2ccc(Cl)cc2)CCN(CCCN2c3ccccc3Sc3cc(Cl)ccc32)CC1,3.181021365
4046473,4046-47-3,CCOc1ccc(NC(=O)NC(=O)C(C)N(C)C)cc1,2.693316698
4205918,4205-91-8,Clc1cccc(Cl)c1NC1=NCCN1,3.353312672
4449734,4449-73-4,Cc1ccccc1-n1c(C)nc2ccc(I)cc2c1=O,2.575415328
5090540,5090-54-0,CC(C)C1CCC2(C)CCCC(=O)C2(C)C1,2.583652109
5326476,5326-47-6,Nc1ccc(I)cc1C(=O)O,2.420011889
5667209,5667-20-9,ONC1NCNC2NCNC12,2.529826109
5934203,5934-20-3,CN(C)CCN1c2ccccc2Sc2ccccc21,3.191459045
6248528,6248-52-8,OC1(c2ccc(Cl)cc2)CCN(CCCN2c3ccccc3CCc3ccccc32)CC1,3.571147651
6311235,6311-23-5,Cc1ccc(S(=O)(=O)Nc2ccccc2C(=O)O)cc1,2.514992221
7075038,03-08-75,NC(=O)C1(N2CCCCC2)CCN(CCCN2c3ccccc3CCc3ccccc32)CC1,3.516417734
10433337,10433-33-7,C[Si](C)(C)NCCc1ccccc1,2.985350118
10453868,10453-86-8,CC(C)=CC1C(C(=O)OCc2coc(Cc3ccccc3)c2)C1(C)C,2.529490669
10563298,10563-29-8,CN(C)CCCNCCCN,3.344820571
11033344,11033-34-4,COc1cc(O)c2c(c1)C(=O)c1cc3c(c(O)c1C2=O)C(OC1OC(C)C(O)C(O)C1OC)C(OC)C(C)(O)C3=O,3.009580175
11097691,11097-69-1,Clc1cccc(-c2ccc(Cl)c(Cl)c2Cl)c1Cl,2.416889365
12692852,12692-85-2,CCC(C)(NC(=O)CN(C)C(=O)C(C)N(C)C(=O)C(C)N(C)C(=O)C(Cc1ccccc1)NC(C)=O)C(=O)NCC(=O)NC(CC(C)C)C(=O)N(C)C(C)C(=O)N(C)CC(=O)N1CC(O)CC1C(=O)NC(CCC(N)=O)C(=O)NC(C)(CC)C(=O)N1CC(O)CC1C(=O)N(C)C(C)C(=O)N1CCCC1C(=O)NC(CO)Cc1ccccc1,4.025296085
13390040,13390-04-0,NC(=O)NC(=O)C1CC(=O)OC1c1ccccc1,1.850800219
13655522,13655-52-2,C=CCc1ccccc1OCC(O)CNC(C)C,3.388216168
13805431,13805-43-1,NC(=O)C1(N2CCCCC2)CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,3.782738602
13805486,13805-48-6,Cc1ccc2c(c1)N(CCCN1CCC(C(N)=O)(N3CCCCC3)CC1)c1ccccc1S2,4.065093055
13805497,13805-49-7,CC(=O)c1ccc2c(c1)N(CCCN1CCC(C(N)=O)(N3CCCCC3)CC1)c1ccccc1S2,3.914421616
14884709,14884-70-9,CN(Cc1ccccc1)[Si](C)(C)C,2.985350118
15764779,15764-77-9,CCOC(=O)C=C(C)C=CC1(O)C(C)=CC(=O)CC1(C)C,2.289848976
16543105,16543-10-5,NNC(=O)CP(=O)(c1ccccc1)c1ccccc1,2.939851918
16846245,16846-24-5,COC1C(OC(C)=O)CC(=O)OC(C)CC=CC=CC(O)C(C)CC(CC=O)C1OC1OC(C)C(OC2CC(C)(O)C(OC(=O)CC(C)C)C(C)O2)C(N(C)C)C1O,3.20203014
19395789,19395-78-9,O=C1c2ccccc2N(C(=O)CN2CCOCC2)CN1c1ccccc1,2.797621145
19819364,19819-36-4,ClCCN(CCCl)N=CC=Cc1ccco1,2.453105529
19819375,19819-37-5,O=[N+]([O-])c1ccc(C=NN(CCCl)CCCl)o1,2.90326212
19819386,19819-38-6,O=[N+]([O-])c1ccc(C=CC=CC=NN(CCCl)CCCl)o1,2.345291373
19819411,19819-41-1,CC(C=Cc1ccc([N+](=O)[O-])o1)=NN(CCCl)CCCl,2.125177533
19819477,19819-47-7,O=[N+]([O-])c1ccc(C=CC=NN(CCCl)CCCl)o1,2.330596808
20587046,20587-04-6,Cc1cc(N(C)N=Cc2ccc([N+](=O)[O-])o2)ncn1,2.590966535
20887165,20887-16-5,Cc1ccc(N2CN(C(=O)CN3CCCCC3)c3ccccc3C2=O)cc1,3.384366558
21293298,21293-29-8,CC(C=CC1(O)C(C)=CC(=O)CC1(C)C)=CC(=O)O,2.24604041
21704212,21704-21-2,O=C(CCCN1CCC2(CCCC(C(F)(F)F)C2)CC1)c1ccc(F)cc1,3.585962416
23092708,23092-70-8,CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,2.875583626
24280931,24280-93-1,COc1c(C)c2c(c(O)c1CC=C(C)CCC(=O)O)C(=O)OC2,2.505612527
25129913,25129-91-3,COC1C=CC(C)(O)C=CC(=O)OC(C)C(C)CCC=C1C,2.489139717
26095590,26095-59-0,CCCCCCCCOc1ccccc1C(=O)Nc1ccc(C(=O)OCC[N+](C)(CC)CC)cc1,3.755132919
26369039,26369-03-9,CC(=O)C1(c2ccccc2)CCN(CCCN2c3ccccc3C=Cc3ccccc32)CC1,3.134932758
26369040,26369-04-0,OC1(c2cccc(C(F)(F)F)c2)CCN(CCCN2c3ccccc3C=Cc3ccccc32)CC1,3.600753335
26369051,26369-05-1,Cc1ccc(C2(O)CCN(CCCN3c4ccccc4C=Cc4ccccc43)CC2)cc1,3.54878647
26369062,26369-06-2,OC1(c2ccccc2)CCN(CCCN2c3ccccc3C=Cc3ccccc32)CC1,3.835226442
26438733,26438-73-3,COC1(c2ccccc2)CCN(CCCN2c3ccccc3C=Cc3ccccc32)CC1,3.247756474
28027932,28027-93-2,OC1(Cc2ccccc2)CCN(CCCN2c3ccccc3C=Cc3ccccc32)CC1,3.54878647
28027998,28027-99-8,NC(=O)C1(N2CCCCC2)CCN(CCCN2c3ccccc3C=Cc3ccccc32)CC1,3.869840674
28028004,28028-00-4,CN(C)C1(C(N)=O)CCN(CCCN2c3ccccc3C=Cc3ccccc32)CC1,3.527799548
28028082,28028-08-2,CC1(C)c2ccccc2N(CCCN2CCC(O)(c3cccc(C(F)(F)F)c3)CC2)c2ccccc21,3.189105012
28028106,28028-10-6,CN(C)C1(C(N)=O)CCN(CCCN2c3ccccc3C(C)(C)c3ccccc32)CC1,3.623870301
28028117,28028-11-7,CN1CCN(C2CCN(CCCN3c4ccccc4C(C)(C)c4ccccc43)CC2)CC1,3.556961485
28058631,28058-63-1,CC1(C)c2ccccc2N(CCCN2CCC(C(N)=O)(N3CCCCC3)CC2)c2ccccc21,3.158236181
28652042,28652-04-2,CCCCCc1ccc(O)c(CCCCC)c1,2.577534419
