RTECS_ID,CAS_RN,SMILES,mammal (species unspecified)_oral_LD50
50339,50-33-9,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,2.643989572
50497,50-49-7,CN(C)CCCN1c2ccccc2CCc2ccccc21,2.903733197
50533,50-53-3,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,2.804647743
50782,50-78-2,CC(=O)Oc1ccccc1C(=O)O,2.012617914
52868,52-86-8,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,3.671948832
53861,53-86-1,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,4.650541853
54477,54-47-7,Cc1ncc(COP(=O)(O)O)c(C=O)c1O,1.915827059
54864,54-86-4,O=C(O)c1cccnc1,1.441964264
55389,55-38-9,COP(=S)(OC)Oc1ccc(SC)c(C)c1,3.423378522
56235,56-23-5,ClC(Cl)(Cl)Cl,1.408870027
56382,56-38-2,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,3.774092221
57410,57-41-0,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,3.003930763
58220,58-22-0,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12,1.761071931
60571,60-57-1,ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,3.607697941
62748,62-74-8,O=C(O)CF,5.850935705
63252,63-25-2,CNC(=O)Oc1cccc2ccccc12,2.59611176
66251,66-25-1,CCCCCC=O,1.432496928
67685,67-68-5,CS(C)=O,0.562437401
70699,70-69-9,CCC(=O)c1ccc(N)cc1,4.42556042
71432,71-43-2,c1ccccc1,1.136854022
75058,1975/5/8,CC#N,1.390628428
75127,1975/12/7,NC=O,1.15529747
75569,75-56-9,CC1CO1,2.120573931
75876,75-87-6,O=CC(Cl)(Cl)Cl,2.317203777
76380,76-38-0,COC(F)(F)C(Cl)Cl,1.661091943
78308,78-30-8,Cc1ccccc1OP(=O)(Oc1ccccc1C)Oc1ccccc1C,2.964223084
78422,78-42-2,CCCCC(CC)COP(=O)(OCC(CC)CCCC)OCC(CC)CCCC,1.757318098
79061,1979/6/1,C=CC(N)=O,2.851741309
79094,1979/9/4,CCC(=O)O,1.654851263
80057,1980/5/7,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,1.545575434
80126,1980/12/6,O=S1(=O)N2CN3CN1CN(C2)S3(=O)=O,6.380692318
84742,84-74-2,CCCCOC(=O)c1ccccc1C(=O)OCCCC,1.745618101
87901,87-90-1,O=c1n(Cl)c(=O)n(Cl)c(=O)n1Cl,2.491193547
88051,1988/5/1,Cc1cc(C)c(N)c(C)c1,2.560465873
88062,1988/6/2,Oc1c(Cl)cc(Cl)cc1Cl,2.638396886
88302,88-30-2,O=[N+]([O-])c1ccc(O)cc1C(F)(F)F,2.617224774
92648,92-64-8,N#CCCN(CCO)c1ccccc1,2.024043029
93721,93-72-1,CC(Oc1cc(Cl)c(Cl)cc1Cl)C(=O)O,2.617663139
93765,93-76-5,O=C(O)COc1cc(Cl)c(Cl)cc1Cl,2.708393703
94202,94-20-2,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,2.425464236
95136,95-13-6,C1=Cc2ccccc2C1,1.366097815
95534,95-53-4,Cc1ccccc1N,1.799567572
95567,95-56-7,Oc1ccccc1Br,2.425155339
95578,95-57-8,Oc1ccccc1Cl,2.465646431
96242,96-24-2,OCC(O)CCl,3.129705608
96344,96-34-4,COC(=O)CCl,2.655314551
96662,96-66-2,Cc1cc(Sc2cc(C)c(O)c(C(C)(C)C)c2)cc(C(C)(C)C)c1O,1.752456835
98000,98-00-0,OCc1ccco1,2.435370934
98077,1998/7/7,ClC(Cl)(Cl)c1ccccc1,2.177150091
98544,98-54-4,CC(C)(C)c1ccc(O)cc1,2.00063939
98862,98-86-2,CC(=O)c1ccccc1,1.648363626
98873,98-87-3,ClC(Cl)c1ccccc1,2.060781454
98953,98-95-3,O=[N+]([O-])c1ccccc1,2.391326855
99752,99-75-2,COC(=O)c1ccc(C)cc1,1.596819828
100027,100-02-7,O=[N+]([O-])c1ccc(O)cc1,2.750661397
100425,100-42-5,C=Cc1ccccc1,1.841576355
100436,100-43-6,C=Cc1ccncc1,2.687314222
100447,100-44-7,ClCc1ccccc1,1.926294418
100469,100-46-9,NCc1ccccc1,2.184918454
100470,100-47-0,N#Cc1ccccc1,2.110269763
100527,100-52-7,O=Cc1ccccc1,1.720462241
100696,100-69-6,C=Cc1ccccn1,2.403719876
100743,100-74-3,CCN1CCOCC1,1.982180746
102829,102-82-9,CCCCN(CCCC)CCCC,2.31959134
103231,103-23-1,CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC,1.392783686
104825,104-82-5,Cc1ccc(CCl)cc1,2.106632789
106467,106-46-7,Clc1ccc(Cl)cc1,1.752355804
106489,106-48-9,Oc1ccc(Cl)cc1,2.410129103
107119,107-11-9,C=CCN,2.862843922
107186,107-18-6,C=CCO,2.918928568
107197,107-19-7,C#CCO,3.049714076
107879,107-87-9,CCCC(C)=O,1.366972892
108203,108-20-3,CC(C)OC(C)C,1.231201897
108861,108-86-1,Brc1ccccc1,1.764563549
108883,108-88-3,Cc1ccccc1,1.36239293
108907,108-90-7,Clc1ccccc1,1.68965239
108941,108-94-1,O=C1CCCCC1,1.514746925
109024,109-02-4,CN1CCOCC1,1.722339481
110736,110-73-6,CCNCCO,1.870881639
110861,110-86-1,c1ccncc1,1.722096205
110918,110-91-8,C1COCCN1,1.853768006
111206,111-20-6,O=C(O)CCCCCCCCC(=O)O,1.264495845
111444,111-44-4,ClCCOCCCl,3.106157494
111751,111-75-1,CCCCNCCO,1.217639617
112276,112-27-6,OCCOCCOCCO,1.26543714
114261,114-26-1,CNC(=O)Oc1ccccc1OC(C)C,3.36641258
118741,118-74-1,Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,1.755545581
120809,120-80-9,Oc1ccccc1O,2.661623409
120832,120-83-2,Oc1ccc(Cl)cc1Cl,2.545677617
120923,120-92-3,O=C1CCCC1,1.623858943
122349,122-34-9,CCNc1nc(Cl)nc(NCC)n1,2.00056245
122372,122-37-2,Oc1ccc(Nc2ccccc2)cc1,1.749188008
122394,122-39-4,c1ccc(Nc2ccccc2)cc1,1.723319677
123308,123-30-8,Nc1ccc(O)cc1,1.853244765
123319,123-31-9,Oc1ccc(O)cc1,2.360593414
123342,123-34-2,C=CCOCC(O)CO,1.42212674
123386,123-38-6,CCC=O,1.617898572
123751,123-75-1,C1CCNC1,2.454070058
123864,123-86-4,CCCCOC(C)=O,1.431588148
124641,124-64-1,OC[P+](CO)(CO)CO,2.588579807
126738,126-73-8,CCCCOP(=O)(OCCCC)OCCCC,2.350218666
127208,127-20-8,CC(Cl)(Cl)C(=O)O,1.553181888
130007,130-00-7,O=C1Nc2cccc3cccc1c23,1.796992958
134623,134-62-3,CCN(CC)C(=O)c1cccc(C)c1,2.026383435
136787,136-78-7,O=S(=O)(O)OCCOc1ccc(Cl)cc1Cl,2.368158334
137202,137-20-2,CCCCCCCCC=CCCCCCCCC(=O)N(C)CCS(=O)(=O)O,1.890815004
140761,140-76-1,C=Cc1ccc(C)nc1,1.979245993
141797,141-79-7,CC(=O)C=C(C)C,2.140609831
143339,143-33-9,N#C[Na],3.787176992
149644,149-64-4,CCCC[N+]1(C)C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12,2.681812682
150196,150-19-6,COc1cccc(O)c1,2.317933911
288324,288-32-4,c1c[nH]cn1,1.833013168
298000,298-00-0,COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1,3.664429179
299865,299-86-5,CNP(=O)(OC)Oc1ccc(C(C)(C)C)cc1Cl,3.06528504
300629,300-62-9,CC(N)Cc1ccccc1,2.778826295
300765,300-76-5,COP(=O)(OC)OC(Br)C(Cl)(Cl)Br,2.947210236
315184,315-18-4,CNC(=O)Oc1cc(C)c(N(C)C)c(C)c1,4.045886023
420122,420-12-2,C1CS1,3.222723695
439145,439-14-5,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,2.755487628
439645,439-64-5,O=S1OCC2C(CCC3CN4CCc5c([nH]c6ccccc56)C4CC32)O1,2.395023359
439656,439-65-6,CC1C(Cl)CCC2CN3CCc4c([nH]c5ccccc45)C3CC21,2.517046707
439703,439-70-3,OC1CCC2CN3CCc4c([nH]c5ccccc45)C3CC2C1,2.869838721
470906,470-90-6,CCOP(=O)(OCC)OC(=CCl)c1ccc(Cl)cc1Cl,4.555787074
488415,488-41-5,OC(CBr)C(O)C(O)C(O)CBr,2.643404732
504154,504-15-4,Cc1cc(O)cc(O)c1,1.713697001
522714,522-71-4,OC1CCC2CN3CCc4c([nH]c5ccccc45)C3CC2C1CCl,2.935615574
523068,523-06-8,c1ccc2c3c([nH]c2c1)C1CC2CCCCC2CN1CC3,2.970679987
523115,523-11-5,FC1CCC2CN3CCc4c([nH]c5ccccc45)C3CC2C1,3.1737761
538432,538-43-2,OCC(O)COc1ccccc1,1.526835331
549768,549-76-8,CC1CCCC2CN3CCc4c([nH]c5ccccc45)C3CC12,2.539580833
549791,549-79-1,CC1C(O)CCC2CN3CCc4c([nH]c5ccccc45)C3CC21,3.094039065
554847,554-84-7,O=[N+]([O-])c1cccc(O)c1,2.745418342
591504,591-50-4,Ic1ccccc1,2.00862146
598787,598-78-7,CC(Cl)C(=O)O,2.703087333
