RTECS_ID,CAS_RN,SMILES,mammal (species unspecified)_subcutaneous_LD50
51058,1951/5/8,CCN(CC)CCOC(=O)c1ccc(N)cc1,2.57415074
53214,53-21-4,COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,3.385045439
54477,54-47-7,Cc1ncc(COP(=O)(O)O)c(C=O)c1O,2.652585625
54864,54-86-4,O=C(O)c1cccnc1,1.724099979
59325,59-32-5,CN(C)CCN(Cc1ccc(Cl)cc1)c1ccccn1,3.309825023
62759,62-75-9,CN(C)N=O,3.869718561
74555,74-55-5,CCC(CO)NCCNC(CC)CO,2.36090812
106514,106-51-4,O=C1C=CC(=O)C=C1,2.562517912
149644,149-64-4,CCCC[N+]1(C)C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12,3.366542248
154698,154-69-8,CN(C)CCN(Cc1ccccc1)c1ccccn1,3.621831538
300425,300-42-5,CNC(C)Cc1ccccc1,4.027748474
396598,396-59-8,CN(C)CCN(Cc1ccc(F)cc1)c1ccccn1,3.539099931
511137,511-13-7,CN(C)CCC(O)(c1ccccc1)c1ccccc1Cl,3.192594428
531099,531-09-9,CN(C)CCN(Cc1ccc(Br)cc1)c1ccccn1,3.311898104
1050108,1050-10-8,CN(C(=S)Oc1ccc2ccccc2c1)c1ccc2ccccc2c1,1.757713535
1980490,1980-49-0,O=C1C(N2CCCCC2)CCN1c1ccccc1,2.777330852
4918950,4918-95-0,CC(C)c1cc(CN(C)C)cc(C(C)C)c1O,4.371752952
6027232,6027-23-2,CN(C)CCc1ccc(O)cc1,4.218104673
16846245,16846-24-5,COC1C(OC(C)=O)CC(=O)OC(C)CC=CC=CC(O)C(C)CC(CC=O)C1OC1OC(C)C(OC2CC(C)(O)C(OC(=O)CC(C)C)C(C)O2)C(N(C)C)C1O,3.022610938
18591327,18591-32-7,N=C(N)CCNC(=O)c1ccc(NC(=O)Nc2ccc(C(=O)NCCC(=N)N)cc2)cc1,3.766900411
