RTECS_ID,CAS_RN,SMILES,mammal (species unspecified)_unreported_LD50
50293,50-29-3,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,3.248575218
50317,50-31-7,O=C(O)c1c(Cl)ccc(Cl)c1Cl,2.50796761
50497,50-49-7,CN(C)CCCN1c2ccccc2CCc2ccccc21,2.789789845
51285,51-28-5,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,3.66301031
51616,51-61-6,NCCc1ccc(O)c(O)c1,2.135986878
52686,52-68-6,COP(=O)(OC)C(O)C(Cl)(Cl)Cl,2.94084895
52868,52-86-8,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,3.671948832
55210,55-21-0,NC(=O)c1ccccc1,2.083283984
55630,55-63-0,O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],2.994460612
56360,56-36-0,CCCC[Sn](CCCC)(CCCC)OC(C)=O,2.843983577
56382,56-38-2,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,4.68613705
56542,56-54-2,C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,3.685038172
56724,56-72-4,CCOP(=S)(OCC)Oc1ccc2c(C)c(Cl)c(=O)oc2c1,3.819269873
57476,57-47-6,CNC(=O)Oc1ccc2c(c1)C1(C)CCN(C)C1N2C,5.661736985
60571,60-57-1,ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,4.182885786
62384,62-38-4,CC(=O)O[Hg]c1ccccc1,4.296845786
62737,62-73-7,COP(=O)(OC)OC=C(Cl)Cl,3.247435095
63252,63-25-2,CNC(=O)Oc1cccc2ccccc12,2.812320242
67458,67-45-8,O=C1OCCN1N=Cc1ccc([N+](=O)[O-])o1,3.102071238
71410,71-41-0,CCCCCO,1.87555422
74931,74-93-1,CS,2.899261362
75183,75-18-3,CSC,1.50331567
75310,75-31-0,CC(C)N,2.072705649
